,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,Insects_gradual_bal,HT_basic_F,0.6046213093709885,0.5255450705722088,00:00:12,1.37 MB,[]
1,Insects_gradual_bal,HT_ADWIN_F,0.6677295126092178,0.6012748598174719,00:00:17,149.23 KB,"[959, 2175, 3167, 10879, 13951, 23167, 23679]"
2,Insects_gradual_bal,HT_BOCD_F,0.6732369870388007,0.6078841078285662,00:20:50,170.75 KB,"[2562, 8507, 10529, 13829, 21346, 22841, 24110]"
3,Insects_gradual_bal,HT_CUSUM_F,0.6699656300467929,0.6039582460415508,00:00:17,365.15 KB,"[740, 2428, 11722, 13850, 22895]"
4,Insects_gradual_bal,HT_DDM_F,0.6233384405151352,0.5480063333884119,00:00:21,366.67 KB,"[471, 847, 1180, 1569, 1930, 2220, 2428, 2520, 2865, 3206, 3247, 4503, 4695, 15297, 23164]"
5,Insects_gradual_bal,HT_ECDD_F,0.689386724087954,0.6272638558127326,00:00:20,1.04 MB,"[353, 958, 1525, 2150, 2428, 2807, 3058, 3248, 3537, 3572, 4105, 4784, 4905, 5184, 5603, 6335, 6793, 8893, 9328, 9439, 9763, 10425, 10476, 11539, 11828, 12222, 13799, 13838, 13876, 13914, 13952, 13990, 14028, 14490, 15148, 15758, 17588, 20685, 21940, 22565]"
6,Insects_gradual_bal,HT_EDDM_F,0.6682678371775229,0.6019208346356477,00:00:19,367.54 KB,"[362, 813, 979, 1110, 1536, 1689, 2232, 2428, 2531, 2761, 2915, 3060, 3271, 3571, 3668, 4903, 5021, 7082, 9434, 9569, 14254, 14341, 23216, 23264]"
7,Insects_gradual_bal,HT_GMA_F,0.6046213093709885,0.5255450705722088,00:00:19,1.37 MB,[]
8,Insects_gradual_bal,HT_HDDMA_F,0.6790757381258024,0.6148906743012692,00:00:20,146.15 KB,"[492, 1089, 2044, 2561, 3211, 3248, 7717, 10685, 13828, 13880, 13916, 13954, 13992, 14036, 22737, 23290]"
9,Insects_gradual_bal,HT_HDDMW_F,0.6949770176818916,0.6339722661893777,00:00:20,369.09 KB,"[502, 986, 2055, 3077, 4185, 5610, 6795, 9233, 10476, 13824, 14002, 20684, 21045, 21459, 22735, 22988]"
10,Insects_gradual_bal,HT_KSWIN1_F,0.649012381465071,0.578814370830936,00:00:30,144.47 KB,"[13906, 23300]"
11,Insects_gradual_bal,HT_KSWIN51_F,0.6514141372313553,0.5816967298378641,00:00:30,366.42 KB,"[13903, 14018, 20763, 22749]"
12,Insects_gradual_bal,HT_KSWIN101_F,0.649012381465071,0.578814370830936,00:00:29,144.47 KB,"[13906, 23302]"
13,Insects_gradual_bal,HT_KSWIN151_F,0.6636299639736635,0.5963554568970223,00:00:28,144.5 KB,"[10788, 13839, 23295]"
14,Insects_gradual_bal,HT_KSWIN201_F,0.6636299639736635,0.5963554577276045,00:00:29,144.5 KB,"[10788, 13840, 23298]"
15,Insects_gradual_bal,HT_PH_F,0.6718704708269494,0.6062441478573476,00:00:18,365.25 KB,"[816, 2543, 5511, 10769, 14013, 23051]"
16,Insects_gradual_bal,HT_RDDM_F,0.6622220381796348,0.5946659997338233,00:00:19,763.95 KB,"[395, 879, 1110, 1579, 1918, 2205, 2428, 2717, 3157, 3403, 3896, 4183, 5757, 6610, 6793, 10554, 13915, 22930]"
17,Insects_gradual_bal,HT_STEPD_F,0.7025549712203404,0.6430655763201251,00:00:21,513.6 KB,"[379, 1073, 1154, 1214, 1880, 2225, 2435, 2740, 3077, 3268, 3846, 6792, 10476, 10722, 11793, 13800, 13862, 14010, 15448, 16983, 17100, 20759, 21358, 22741, 22864, 23119]"
