,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,Insects_gradual_imbal,HT_basic_F,0.5763804579897015,0.47208233463803695,00:01:07,5.79 MB,[]
1,Insects_gradual_imbal,HT_ADWIN_F,0.6132694213030798,0.5230748782881716,00:01:53,714.95 KB,"[1855, 3647, 16959, 40351, 48319, 52415, 61855, 63647, 76383, 81055, 81823, 82623, 85439, 92607, 95679, 102911, 107007, 122207, 129631]"
2,Insects_gradual_imbal,HT_BOCD_F,0.615578906239098,0.5266989909666042,02:31:05,569.87 MB,"[3133, 8218, 16202, 19001, 24789, 28618, 35280, 39407, 45524, 49953, 55336, 60941, 63816, 70947, 75778, 79147, 85306, 90561, 93254, 95829, 101180, 109403, 116664, 118978, 126176, 129359, 137216]"
3,Insects_gradual_imbal,HT_CUSUM_F,0.6368596586706856,0.5484083901043542,00:01:49,707.1 KB,"[862, 1916, 3086, 3642, 7254, 16798, 18703, 21985, 25205, 28851, 40655, 45496, 50009, 55219, 85372, 87906, 89452, 91468, 92338, 95314, 96182, 99549, 101901, 103929, 112568, 129495, 134649, 138235]"
4,Insects_gradual_imbal,HT_DDM_F,0.6162836131228981,0.5260353279689021,00:01:50,2.74 MB,"[389, 911, 1543, 1577, 2671, 3446, 17434, 18270, 32184, 41244, 57271, 85552]"
5,Insects_gradual_imbal,HT_ECDD_F,0.6093551583148435,0.5155875473006497,00:02:06,1.38 MB,"[289, 1022, 1607, 1709, 2005, 2255, 2520, 2695, 2728, 3273, 3332, 4181, 4286, 4817, 5264, 5546, 5948, 7850, 9180, 9723, 10131, 10526, 11233, 11716, 12198, 12537, 13661, 15222, 16202, 16807, 17432, 17662, 18033, 19571, 20820, 21052, 21184, 21819, 24469, 24720, 25276, 25439, 26321, 26705, 27187, 27369, 28124, 28213, 28758, 29062, 29199, 29386, 29948, 30723, 31281, 32168, 32367, 32794, 33270, 33922, 34469, 35020, 36144, 36648, 36769, 37496, 38379, 38600, 38943, 39128, 39508, 39917, 40375, 40601, 40889, 42013, 42240, 42270, 42547, 42828, 43081, 43404, 44253, 44640, 44757, 45520, 46261, 46680, 47338, 47611, 48081, 48317, 48551, 48804, 49309, 49701, 50703, 51416, 52294, 52675, 52909, 53089, 53211, 53675, 54334, 54967, 55270, 55736, 56827, 57087, 57573, 58375, 58613, 58880, 59906, 60270, 60796, 61731, 62605, 63021, 63439, 64008, 64709, 65388, 65965, 66551, 67393, 67566, 67799, 67965, 68231, 68450, 68670, 69170, 69638, 70229, 70547, 70874, 71490, 71783, 71937, 72049, 72683, 72893, 73069, 73443, 73626, 73773, 74350, 74911, 75441, 75533, 75861, 76327, 76681, 76906, 77041, 77228, 77628, 77849, 78104, 78320, 78714, 79571, 79915, 80192, 80481, 81018, 81837, 82430, 83116, 84333, 84587, 84887, 85298, 130510]"
6,Insects_gradual_imbal,HT_EDDM_F,0.6289125186642665,0.5376744068587354,00:01:43,1.37 MB,"[313, 2438, 2551, 2697, 2795, 3058, 3252, 3361, 19432, 95306, 95438, 95666, 95768, 95866, 95943, 96034, 96304, 96364, 96937, 97020, 97600, 140571, 141121, 141185, 141403, 141496, 141543, 141646]"
7,Insects_gradual_imbal,HT_GMA_F,0.5763804579897015,0.47208233463803695,00:01:33,5.8 MB,[]
8,Insects_gradual_imbal,HT_HDDMA_F,0.6425601094039994,0.554220318036079,00:02:06,709.09 KB,"[480, 776, 1813, 2261, 2737, 3377, 16705, 24759, 28583, 41096, 43083, 45544, 50018, 55352, 85299, 89503, 91275, 92335, 95980, 97640, 101257, 101799, 103827, 116639, 129342, 129502]"
9,Insects_gradual_imbal,HT_HDDMW_F,0.64458352520897,0.5570777470773095,00:02:13,713.44 KB,"[1111, 1613, 2440, 3279, 5814, 6098, 6311, 12539, 16674, 17986, 19587, 19899, 20425, 22205, 23715, 24470, 24761, 25781, 26699, 28619, 28958, 29208, 29621, 31281, 34470, 36951, 38069, 41204, 45523, 49401, 50706, 54983, 55879, 57100, 58624, 61019, 63022, 63440, 64111, 64457, 67031, 67965, 68291, 69310, 70947, 71385, 72021, 72317, 73042, 76747, 77392, 78491, 80345, 81891, 84992, 85317, 86192, 86425, 87108, 87575, 88167, 88672, 89461, 91206, 91463, 92275, 92730, 93130, 94166, 94559, 94919, 95939, 96923, 97801, 100207, 100855, 101269, 101854, 103621, 104918, 109529, 110419, 112822, 113148, 114126, 114349, 116071, 117663, 118202, 119745, 119905, 123633, 124687, 126965, 127284, 128458, 129277, 131021, 131273, 132036, 132832, 133444, 134499, 135791, 138795, 139872, 142469, 143011]"
