,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,Insects_gradual_imbal,NoChange_basic_F,0.3016285008582074,0.10926221317535077,00:00:05,1.61 KB,[]
1,Insects_gradual_imbal,MajClass_basic_F,0.29565593558560443,0.0753558097501668,00:00:06,1.3 KB,[]
2,Insects_gradual_imbal,NB_basic_F,0.5745384518775903,0.4638163790395246,00:00:50,662.86 KB,[]
3,Insects_gradual_imbal,NB_ADWIN_F,0.6178046636245657,0.5322979838877885,00:01:38,674.26 KB,"[895, 1919, 3711, 17023, 19071, 31359, 40575, 46591, 51711, 56063, 70911, 72831, 85791, 87775, 89439, 91711, 94783, 96831, 100927, 130335]"
4,Insects_gradual_imbal,NB_BOCD_F,0.6121390993706479,0.525500341486085,02:36:42,28.81 MB,"[2513, 6094, 12545, 14816, 17912, 25474, 29702, 35270, 39450, 45529, 50097, 55333, 62945, 67965, 74911, 79161, 84540, 85443, 90795, 95851, 101182, 108647, 116874, 119263, 125858, 126460, 129549, 139046, 141965]"
5,Insects_gradual_imbal,NB_CUSUM_F,0.6301405227390072,0.5455326347421879,00:01:37,666.44 KB,"[769, 1871, 2726, 3672, 7176, 16795, 18481, 21338, 25650, 28175, 30472, 33823, 39607, 46008, 50012, 55101, 81287, 82710, 85319, 86242, 87442, 88741, 89852, 90656, 91514, 92614, 94558, 95599, 129495, 131937, 133579]"
6,Insects_gradual_imbal,NB_DDM_F,0.5883674523101826,0.49312383442310564,00:01:38,1.3 MB,"[319, 1060, 1578, 1809, 2023, 2528, 3491, 17635, 17925, 30793, 85912, 92107, 96508, 97780, 99841, 99951, 100350, 100848, 101853, 104112, 105125, 130804]"
7,Insects_gradual_imbal,NB_ECDD_F,0.5796109459817753,0.48743689485540764,00:01:38,1.3 MB,"[288, 1022, 1196, 1290, 1541, 1681, 2005, 2254, 2520, 2729, 3134, 3251, 3993, 4283, 4726, 5950, 6043, 6310, 6487, 6686, 7484, 9180, 9720, 10599, 11240, 11363, 11716, 12198, 12537, 13668, 15190, 16202, 16728, 17422, 17663, 17918, 19571, 19794, 20131, 20940, 21184, 21627, 21851, 22667, 22915, 23325, 23714, 24080, 24470, 25153, 25274, 25649, 25770, 26251, 26699, 27187, 27369, 28124, 28213, 28758, 29198, 29466, 29552, 30276, 31220, 32168, 32680, 33264, 33556, 34469, 34574, 35021, 35230, 35538, 36144, 36648, 36926, 37496, 37708, 37886, 38363, 38536, 38844, 38901, 39128, 39508, 39917, 40682, 40738, 40889, 41827, 42240, 42545, 42782, 43081, 43404, 44253, 44642, 45520, 46260, 46384, 46516, 47203, 48473, 48847, 49309, 49701, 50684, 51192, 51415, 52293, 52402, 52580, 53693, 54146, 54334, 54967, 55227, 55736, 55876, 56388, 56827, 57222, 57572, 58375, 58615, 58813, 59487, 59777, 60138, 60259, 60364, 60796, 61015, 61732, 62013, 62443, 62605, 63022, 63439, 65238, 65965, 66028, 66154, 67014, 67960, 68451, 68614, 69192, 69667, 69785, 70054, 70231, 70475, 70541, 70874, 71007, 71384, 71481, 71577, 71705, 71817, 71937, 72011, 72300, 72785, 72892, 73444, 73626, 73782, 74292, 74724, 75151, 75441, 75860, 75949, 76259, 76309, 76739, 76906, 77041, 77228, 77627, 77895, 79967, 82820, 82867, 83183, 83610, 83752, 84579, 84992, 85320]"
8,Insects_gradual_imbal,NB_EDDM_F,0.6465929864221822,0.5623113015890994,00:01:36,1.3 MB,"[188, 327, 779, 918, 1289, 1574, 1739, 1938, 2087, 2209, 2532, 2677, 2809, 3089, 3253, 3332, 3401, 3500, 9352, 9413, 9494, 17628, 17691, 17954, 18122, 18204, 18264, 18352, 18976, 19200, 19300, 19604, 19682, 19793, 19869, 20450, 23330, 23398, 23472, 23699, 23800, 24520, 24593, 24760, 25267, 25342, 25459, 25534, 25836, 27023, 27097, 27503, 27593, 27656, 27724, 28153, 30414, 30470, 30646, 41143, 41208, 41292, 41461, 41615, 41781, 42085, 42185, 42729, 42829, 43171, 43295, 43377, 43466, 43564, 43773, 44009, 44240, 45289, 45389, 45457, 50190, 50258, 50519, 50708, 51157, 51733, 52570, 52790, 52909, 53258, 56003, 84886, 85469, 85549, 85632, 85876, 86639, 86711, 86806, 86902, 86968, 87034, 87293, 87421, 87531, 87671, 87752, 87822, 87875, 88050, 88728, 88808, 88867, 88947, 89022, 89120, 89286, 89383, 89449, 91278, 91327, 91401, 91465, 92124, 92199, 95864, 95918, 96842, 96904, 96983, 97073, 97212, 97456, 133821, 133881, 133968, 134167, 134224, 138277, 138345, 138414, 138856, 138920, 141495, 141546, 141604]"
9,Insects_gradual_imbal,NB_GMA_F,0.5745384518775903,0.4638163790395246,00:01:33,665.33 KB,[]
10,Insects_gradual_imbal,NB_HDDMA_F,0.6165766595498249,0.5309897144559145,00:01:38,1.3 MB,"[380, 776, 1799, 2120, 3375, 5826, 12538, 16733, 17951, 19609, 25501, 26762, 29699, 34109, 39722, 50344, 55333, 71422, 85342, 96065, 97663, 101257, 101798, 103827, 115458, 129344, 129502]"
