,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,Insects_gradual_imbal,BOLE_basic_F,0.6851565007465706,0.6018963097426784,00:17:12,63.08 MB,[]
1,Insects_gradual_imbal,BOLE_ADWIN_F,0.6848425224320063,0.6048919412531617,00:25:48,6.89 MB,[]
2,Insects_gradual_imbal,BOLE_BOCD_F,0.6820167176009266,0.6022211874542902,08:15:42,1.04 GB,[]
3,Insects_gradual_imbal,BOLE_CUSUM_F,0.701288008819302,0.6230374017572795,00:23:03,6.52 MB,[]
4,Insects_gradual_imbal,BOLE_DDM_F,0.6887846946037594,0.6105890100175735,00:22:00,36.28 MB,[]
5,Insects_gradual_imbal,BOLE_ECDD_F,0.6764767446728346,0.5932349678447807,00:22:06,59.81 MB,[]
6,Insects_gradual_imbal,BOLE_EDDM_F,0.6987203639357531,0.6134952866737039,00:20:06,9.3 MB,[]
7,Insects_gradual_imbal,BOLE_GMA_F,0.6851565007465706,0.6018963097426784,00:16:10,63.09 MB,[]
8,Insects_gradual_imbal,BOLE_HDDMA_F,0.7090258299493448,0.6283587663726068,00:23:47,7.92 MB,[]
9,Insects_gradual_imbal,BOLE_HDDMW_F,0.7035416753882865,0.620555404560544,00:22:39,7.06 MB,[]
10,Insects_gradual_imbal,BOLE_KSWIN1_F,0.6744044877967095,0.5932638083798034,00:32:10,6.85 MB,[]
11,Insects_gradual_imbal,BOLE_KSWIN51_F,0.6756813329426048,0.5953534426134198,00:32:16,6.41 MB,[]
12,Insects_gradual_imbal,BOLE_KSWIN101_F,0.6748789439164957,0.5943575897492865,00:32:00,6.85 MB,[]
13,Insects_gradual_imbal,BOLE_KSWIN151_F,0.6735044166282915,0.5925374518721063,00:32:44,6.84 MB,[]
14,Insects_gradual_imbal,BOLE_KSWIN201_F,0.6764488354893178,0.5959428153781307,00:32:30,6.85 MB,[]
15,Insects_gradual_imbal,BOLE_PH_F,0.7000739593363197,0.6224575754093701,00:20:42,8.19 MB,[]
16,Insects_gradual_imbal,BOLE_RDDM_F,0.7059209332830968,0.6246104114234147,00:21:42,9.99 MB,[]
17,Insects_gradual_imbal,BOLE_STEPD_F,0.7037370396729044,0.6203919538463544,00:23:39,8.43 MB,[]
