,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,Insects_incremental-abrupt_bal,BOLE_basic_F,0.6273551290867038,0.5528255136809048,00:08:51,37.68 MB,[]
1,Insects_incremental-abrupt_bal,BOLE_ADWIN_F,0.703069325498531,0.6436828110560603,00:09:56,1.92 MB,[]
2,Insects_incremental-abrupt_bal,BOLE_BOCD_F,0.7040195036569357,0.6448230479789011,03:28:37,1.07 GB,[]
3,Insects_incremental-abrupt_bal,BOLE_CUSUM_F,0.708695380383822,0.6504341635784539,00:09:04,3.11 MB,[]
4,Insects_incremental-abrupt_bal,BOLE_DDM_F,0.6507720197537038,0.5809258518597888,00:11:38,18.78 MB,[]
5,Insects_incremental-abrupt_bal,BOLE_ECDD_F,0.6607613927611428,0.5929135763375719,00:11:42,27.76 MB,[]
6,Insects_incremental-abrupt_bal,BOLE_EDDM_F,0.7019066074889042,0.6422879245695203,00:08:37,4.01 MB,[]
7,Insects_incremental-abrupt_bal,BOLE_GMA_F,0.6273551290867038,0.5528255136809048,00:10:30,37.7 MB,[]
8,Insects_incremental-abrupt_bal,BOLE_HDDMA_F,0.7138588485341002,0.6566304721789907,00:09:48,3.51 MB,[]
9,Insects_incremental-abrupt_bal,BOLE_HDDMW_F,0.7122085391010815,0.6546501844219227,00:09:16,2.42 MB,[]
10,Insects_incremental-abrupt_bal,BOLE_KSWIN1_F,0.6799399887478902,0.6159275409383717,00:14:40,2.65 MB,[]
11,Insects_incremental-abrupt_bal,BOLE_KSWIN51_F,0.676014252672376,0.6112166486823272,00:14:36,2.12 MB,[]
12,Insects_incremental-abrupt_bal,BOLE_KSWIN101_F,0.6867537663311871,0.6241041114446348,00:14:41,3.33 MB,[]
13,Insects_incremental-abrupt_bal,BOLE_KSWIN151_F,0.6848409076701881,0.6218086479849382,00:14:48,3.7 MB,[]
14,Insects_incremental-abrupt_bal,BOLE_KSWIN201_F,0.6804025754829031,0.6164826328596509,00:14:44,2.41 MB,[]
15,Insects_incremental-abrupt_bal,BOLE_PH_F,0.6961430268175283,0.6353712803077203,00:09:33,2.99 MB,[]
16,Insects_incremental-abrupt_bal,BOLE_RDDM_F,0.7126086141151466,0.6551302140430105,00:09:16,3.88 MB,[]
17,Insects_incremental-abrupt_bal,BOLE_STEPD_F,0.7118334687753954,0.6542001179163672,00:10:10,2.65 MB,[]
