,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,Insects_incremental-abrupt_bal,HT_basic_F,0.5756204288304057,0.4907437350625323,00:00:51,3.42 MB,[]
1,Insects_incremental-abrupt_bal,HT_ADWIN_F,0.6618240920172532,0.5941883316303733,00:01:07,150.83 KB,"[511, 1247, 2399, 8543, 15583, 17087, 21279, 26687, 27967, 35135, 42143, 44063, 45215, 47999, 51583, 53439, 54367, 56159, 58463, 61695, 68863, 74527, 78111]"
2,Insects_incremental-abrupt_bal,HT_BOCD_F,0.6730887041320247,0.6077058930265907,01:02:22,476.83 MB,"[517, 940, 2775, 7833, 14495, 15463, 17084, 20963, 26571, 27301, 30514, 34619, 41685, 42879, 43896, 47669, 53367, 54023, 56692, 61574, 65338, 68544, 69934, 74398]"
3,Insects_incremental-abrupt_bal,HT_CUSUM_F,0.6586234919047321,0.5903477174336498,00:01:08,281.29 KB,"[441, 4355, 7779, 15256, 16907, 17682, 26845, 27556, 30637, 34437, 41776, 42753, 43840, 45016, 53603, 57878, 61375, 65568, 68533, 69483, 71093, 71786]"
4,Insects_incremental-abrupt_bal,HT_DDM_F,0.6192661123960742,0.5431187164116226,00:01:17,2.89 MB,"[273, 4710, 7914, 15355, 17414, 26987, 27508, 30526]"
5,Insects_incremental-abrupt_bal,HT_ECDD_F,0.6261549040445084,0.5513853684585505,00:01:14,0.96 MB,"[171, 566, 903, 3770, 4408, 4962, 5789, 6373, 7262, 7444, 7694, 9875, 10184, 10324, 10821, 11483, 12714, 13201, 13499, 14821, 15105, 15412, 15552, 16341, 26572, 30368, 32561, 32827, 33383, 33630, 34267, 34381, 34808, 35139, 35889, 36899, 37704, 39323, 40934, 41041, 41686, 53371, 53593, 53718, 54267, 54604, 55224, 56437, 58259, 58917, 59845, 60366, 60898, 62165, 63337, 63848, 64089, 64286, 65056, 65303, 65740, 66255, 66628, 68024]"
6,Insects_incremental-abrupt_bal,HT_EDDM_F,0.6419703694442708,0.5703640422652594,00:01:11,750.39 KB,"[170, 236, 356, 479, 579, 741, 901, 18818, 18870, 18938, 19002, 19055, 19171, 19369, 19719, 27131, 27253, 27329, 27449, 27514, 31555, 31598, 31946, 33968, 34021, 34121, 34276, 34355, 42741, 42802, 42939, 43125, 43214, 43278, 43546, 43937, 45018, 45064, 45180, 54102, 54228, 54319, 54521, 54637, 54707, 54784, 55104, 55170, 55248, 57832, 57883, 57999, 58091, 61502, 61568, 65252, 68887, 68945, 69081, 69235, 69338, 69470, 70348, 70418, 70482, 70555, 70708, 70780, 71418, 71485, 71781, 71839, 72195]"
7,Insects_incremental-abrupt_bal,HT_GMA_F,0.5756204288304057,0.4907437350625323,00:01:14,3.42 MB,[]
8,Insects_incremental-abrupt_bal,HT_HDDMA_F,0.665787335125336,0.5989443392212536,00:01:12,283.79 KB,"[289, 553, 906, 1536, 3821, 4424, 7915, 7961, 15154, 15412, 16712, 17304, 17603, 26573, 26610, 26920, 27491, 30473, 30716, 34906, 41888, 42619, 43533, 43934, 45165, 47433, 49748, 53366, 53607, 54287, 57199, 58107, 61515, 66161, 68079, 68490, 69466, 72015]"
9,Insects_incremental-abrupt_bal,HT_HDDMW_F,0.6800525098455961,0.6160626184793555,00:01:09,149.24 KB,"[252, 517, 924, 1537, 3701, 4412, 4980, 7751, 8650, 10324, 14205, 15113, 16285, 16524, 16987, 17415, 17769, 18449, 26607, 27012, 27473, 29165, 29468, 29961, 30717, 33226, 34277, 35995, 40241, 41680, 42425, 43470, 43883, 44518, 45019, 46904, 47430, 47661, 53373, 53684, 54270, 56805, 58106, 58940, 61081, 61762, 64015, 64512, 65746, 67171, 68467, 69359, 69871, 70381, 71443, 71819, 74719, 76395]"
10,Insects_incremental-abrupt_bal,HT_KSWIN1_F,0.6167531412139776,0.5401030298519525,00:01:48,416.13 KB,"[26591, 53380, 54289, 75930]"
11,Insects_incremental-abrupt_bal,HT_KSWIN51_F,0.618090892042258,0.54170839377289,00:01:50,282.26 KB,"[26590, 41701, 58104]"
12,Insects_incremental-abrupt_bal,HT_KSWIN101_F,0.6123773207476402,0.5348520756731181,00:01:51,282.26 KB,"[26592, 54177, 58101]"
13,Insects_incremental-abrupt_bal,HT_KSWIN151_F,0.6168531599674939,0.5402230548776897,00:01:48,528.17 KB,"[26593, 53381, 54292]"
14,Insects_incremental-abrupt_bal,HT_KSWIN201_F,0.6169531787210102,0.5403430774018854,00:01:48,528.69 KB,"[26593, 53380, 54287]"
15,Insects_incremental-abrupt_bal,HT_PH_F,0.6474088891667188,0.5768901340123344,00:01:09,281.04 KB,"[451, 8505, 15593, 17315, 18621, 32245, 41945, 43545, 45404, 59928, 61753, 65895, 68562, 69478, 72024]"
16,Insects_incremental-abrupt_bal,HT_RDDM_F,0.6562980558854785,0.5875571604314649,00:01:14,338.95 KB,"[210, 925, 8579, 11112, 15194, 15419, 16544, 17116, 17413, 17603, 18108, 18428, 26821, 27009, 27214, 27378, 30327, 34480, 38231, 39322, 41785, 42429, 43553, 43926, 44545, 44820, 44975, 53604, 53930, 57238, 58941, 60159, 61132, 61505, 65585, 68565, 68903, 69338, 72458]"
