,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,Insects_incremental-abrupt_bal,NoChange_basic_F,0.4237794586484966,0.30853535039981234,00:00:04,1.62 KB,[]
1,Insects_incremental-abrupt_bal,MajClass_basic_F,0.16651872226042383,-0.00017657441497896214,00:00:04,1.31 KB,[]
2,Insects_incremental-abrupt_bal,NB_basic_F,0.5849846846283678,0.5019808062554857,00:00:30,662.87 KB,[]
3,Insects_incremental-abrupt_bal,NB_ADWIN_F,0.6587110083140589,0.5904526413759233,00:00:52,120.99 KB,"[447, 2367, 8671, 15423, 17087, 21279, 25983, 26719, 27999, 35167, 41951, 42975, 43999, 45247, 48159, 53535, 54943, 56095, 57599, 62207, 68767, 74591, 79743]"
4,Insects_incremental-abrupt_bal,NB_BOCD_F,0.6703756954428955,0.6044503194933615,00:54:22,450.04 MB,"[503, 2295, 6922, 12546, 15224, 16987, 20946, 26570, 27301, 30657, 34630, 41685, 42873, 43881, 45548, 47864, 53366, 54013, 57215, 61300, 65980, 68543, 69639, 72331, 74557]"
5,Insects_incremental-abrupt_bal,NB_CUSUM_F,0.6518222166656248,0.5821862262368039,00:00:53,556.22 KB,"[411, 4409, 7902, 15249, 16793, 17567, 18520, 26657, 27160, 30510, 33964, 39671, 41852, 42620, 43665, 45045, 53465, 53989, 57518, 61312, 65896, 68099, 68740, 69733, 71790]"
6,Insects_incremental-abrupt_bal,NB_DDM_F,0.6013502531724698,0.5216196347055766,00:00:57,1.08 MB,"[78, 256, 307, 492, 577, 4477, 17857, 26713, 26771, 27062, 30912, 30975, 42728, 53560, 68984]"
7,Insects_incremental-abrupt_bal,NB_ECDD_F,0.6241295242858036,0.5489549524210224,00:00:56,1.19 MB,"[171, 1576, 3102, 3770, 4117, 4386, 4961, 5272, 5967, 6374, 6529, 7261, 7443, 7694, 9875, 10282, 10822, 11483, 12989, 14795, 15099, 15411, 15544, 16341, 16460, 26572, 26699, 26826, 26996, 27306, 27350, 27467, 28253, 29908, 30530, 31211, 31475, 31942, 32132, 32369, 33210, 33631, 34266, 34383, 34810, 35139, 35599, 35675, 36782, 37448, 37741, 39323, 40228, 41263, 41679, 53387, 56438, 58259, 58917, 59963, 60365, 60975, 62165, 62369, 63058, 63214, 63551, 64090, 64510, 65056, 65746, 65844, 66705, 67072, 67264, 67654, 68383]"
8,Insects_incremental-abrupt_bal,NB_EDDM_F,0.633431268362818,0.5601171340094221,00:00:53,1.08 MB,"[172, 242, 349, 490, 572, 731, 815, 901, 1005, 1184, 1263, 1341, 1457, 1514, 1588, 1682, 4208, 5765, 5810, 8016, 8085, 8154, 8225, 16027, 16135, 16524, 16634, 17441, 17540, 17735, 17834, 17917, 18015, 18204, 18313, 18374, 18432, 18505, 27256, 27312, 27415, 27508, 27578, 27666, 27747, 32149, 43362, 43448, 43938, 44015, 44164, 44230, 44325, 44414, 44706, 44818, 44980, 45035, 45296, 45349, 54137, 54234, 54312, 54414, 54483, 54567, 54625, 54708, 54789, 55095, 55162, 55234, 57917, 65540, 69462, 69589, 69671, 69929, 70011, 70136, 70231, 70328, 70419, 70489, 70565, 70702, 70784, 70838, 70914, 70987, 71505, 71592, 71767, 71820, 71900, 71997, 72188]"
9,Insects_incremental-abrupt_bal,NB_GMA_F,0.5849846846283678,0.5019808062554857,00:00:55,665.41 KB,[]
10,Insects_incremental-abrupt_bal,NB_HDDMA_F,0.6331687191348377,0.5598019366039482,00:00:55,667.72 KB,"[172, 3896, 4422, 7907, 15169, 16530, 17302, 17957, 18216, 26573, 41695, 42623, 43526, 44083, 45109, 53390, 53426, 53609, 53923, 57170, 57745, 61055, 68468]"
11,Insects_incremental-abrupt_bal,NB_HDDMW_F,0.6626367443895731,0.5951637378271344,00:00:53,0.98 MB,"[252, 518, 1591, 3733, 4413, 4979, 7752, 8650, 9691, 11113, 15110, 16297, 16766, 17279, 17602, 17943, 18215, 18400, 19811, 26575, 26987, 27298, 29950, 31474, 33226, 34276, 35995, 41679, 42632, 43331, 43890, 44137, 44515, 44972, 47106, 53385, 53700, 54283, 55129, 56454, 58259, 61060, 61522, 62385, 64010, 64513, 65745, 67160, 68471, 69357, 69871, 70380, 71444, 71818, 72536, 73523]"
12,Insects_incremental-abrupt_bal,NB_KSWIN1_F,0.598062136650622,0.5176737920145715,00:01:26,116.95 KB,"[26589, 49769, 76413]"
13,Insects_incremental-abrupt_bal,NB_KSWIN51_F,0.6052134775270364,0.5262555350295336,00:01:28,666.97 KB,"[11244, 21973, 53391, 63088]"
14,Insects_incremental-abrupt_bal,NB_KSWIN101_F,0.598062136650622,0.5176737921050418,00:01:26,116.95 KB,"[26589, 49776, 76420]"
15,Insects_incremental-abrupt_bal,NB_KSWIN151_F,0.5892229793086203,0.5070668034251102,00:01:28,116.95 KB,"[26589, 53389, 76418]"
16,Insects_incremental-abrupt_bal,NB_KSWIN201_F,0.6031255860473839,0.5237500035469601,00:01:25,116.95 KB,"[21973, 53390, 76417]"
17,Insects_incremental-abrupt_bal,NB_PH_F,0.6329311745952366,0.5595168899210424,00:00:52,556.01 KB,"[433, 9019, 15270, 16942, 17942, 31497, 35138, 41908, 42788, 43883, 45104, 58158, 61549, 66280, 68562, 69464, 71696]"
18,Insects_incremental-abrupt_bal,NB_RDDM_F,0.6460086266174908,0.5752099121316097,00:00:54,943.61 KB,"[199, 519, 1714, 3801, 4423, 7990, 15258, 15579, 16622, 17058, 17389, 17745, 18650, 26649, 30715, 31511, 33612, 34452, 39671, 41780, 42884, 43144, 43531, 43887, 44486, 44770, 45018, 53466, 53739, 54003, 54282, 54526, 57194, 59254, 60435, 61082, 61593, 64007, 68597, 68917, 69096, 69264, 69478, 69967, 71737]"
19,Insects_incremental-abrupt_bal,NB_STEPD_F,0.6736888166531224,0.6084261500335203,00:01:02,133.35 KB,"[235, 1176, 2248, 3788, 4411, 4531, 4978, 5272, 7757, 12743, 13019, 13115, 15117, 15570, 15639, 16542, 17069, 18336, 18840, 19440, 20954, 21144, 23679, 24837, 24897, 24957, 25017, 25077, 25137, 25197, 25257, 25317, 25377, 25437, 25497, 25557, 25617, 25677, 25737, 25797, 25857, 25917, 25977, 26037, 26097, 26157, 26217, 26277, 26337, 26397, 26457, 26517, 26584, 26787, 27105, 27515, 29225, 29863, 29959, 30025, 30565, 30718, 30943, 31473, 33226, 34275, 37756, 40159, 41062, 41695, 42631, 43487, 43884, 45115, 46185, 47122, 47779, 53370, 53612, 54748, 55447, 56453, 56546, 57588, 58097, 58428, 58941, 61096, 65746, 68414, 69482, 70398, 70532, 70795, 70886, 71156, 71654, 71754, 71936, 72533, 73471, 73629, 73920, 74320, 75291, 76234, 76716, 76776, 76836, 76896, 76956, 77016, 77076, 77136, 77196, 77256, 77316, 77376, 77436, 77496, 77556, 77616, 77676, 77736, 77796, 77856, 77916, 77976, 78036, 78096, 78156, 78216, 78276, 78336, 78396, 78456, 78516, 78576, 78636, 78696, 78756, 78816, 78876, 78936, 78996, 79056, 79116, 79176, 79236, 79296, 79356, 79416, 79476, 79536, 79596, 79656, 79716, 79776, 79836, 79896, 79956]"
