,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,Insects_incremental-abrupt_imbal,HT_basic_F,0.6455226604548683,0.5426030500867405,00:03:56,19.35 MB,[]
1,Insects_incremental-abrupt_imbal,HT_ADWIN_F,0.5802147140869343,0.47756243581369046,00:06:46,715.09 KB,"[383, 1663, 4479, 8191, 18431, 20287, 21535, 23007, 33887, 44799, 54783, 62975, 65375, 74527, 82847, 99903, 116767, 127871, 142207, 147999, 151807, 154527, 159007, 160767, 169791, 171647, 172671, 183903, 198239, 206431, 218591, 232959, 250879, 269055, 278335, 294719, 300735, 301567, 303103, 310271, 313855, 320511, 323583, 329343, 335487, 343711, 356959, 369247, 381695, 402815, 421247, 429247, 431167, 440383, 448671]"
2,Insects_incremental-abrupt_imbal,HT_BOCD_F,0.5882183774552421,0.4894763163565986,09:01:54,17.84 MB,"[521, 2465, 5854, 10651, 15384, 18484, 19944, 22141, 24645, 30360, 33365, 41168, 47242, 53633, 62257, 67842, 74322, 77570, 80778, 84931, 87531, 95957, 100777, 108130, 114917, 121236, 127328, 134031, 138669, 143643, 149778, 150717, 152386, 154890, 158675, 161861, 167909, 169214, 171703, 172803, 177327, 182284, 184081, 192270, 197903, 200374, 205612, 213238, 216244, 223600, 228947, 234515, 242192, 248389, 251080, 258480, 265307, 270256, 277888, 284576, 289356, 291743, 295932, 299989, 301049, 301628, 305367, 309129, 313913, 319832, 323403, 326465, 333085, 335409, 341140, 348097, 354979, 363686, 367964, 375375, 380837, 385853, 391749, 400508, 406822, 413685, 420005, 427147, 429235, 430724, 437981, 442916, 446975, 450981]"
3,Insects_incremental-abrupt_imbal,HT_CUSUM_F,0.5976334109808138,0.4970545528176679,00:06:45,369.12 KB,"[412, 4031, 6922, 7933, 18116, 18603, 19589, 21115, 22308, 31434, 33368, 37940, 39356, 54057, 64753, 67800, 68996, 71113, 73813, 75117, 76698, 78037, 79721, 82432, 84240, 85416, 99356, 109879, 111229, 115036, 118049, 127405, 137077, 137993, 142781, 150764, 151618, 154692, 158543, 159705, 165177, 166112, 168030, 169251, 170607, 171686, 172457, 183993, 186523, 188808, 190250, 204428, 208002, 215752, 220458, 222440, 224154, 225350, 227417, 229018, 230429, 249850, 251743, 256660, 257990, 263887, 266574, 268497, 278027, 279581, 284671, 288091, 290350, 292023, 301469, 302343, 305516, 309216, 310974, 311653, 315934, 318915, 319929, 322438, 323416, 328708, 334915, 341135, 344744, 348273, 350533, 353352, 357141, 359420, 366329, 367611, 371135, 373436, 374541, 376875, 378617, 381178, 381884, 384655, 386224, 387294, 400695, 405861, 410209, 413513, 419467, 428843, 431217, 438662, 441076, 446189, 450077, 451786]"
4,Insects_incremental-abrupt_imbal,HT_DDM_F,0.6069599573491903,0.5040852539868842,00:06:29,1.37 MB,"[127, 239, 377, 496, 690, 3993, 21232, 34670, 87378, 87550, 131120, 151274, 151691, 154696, 159193, 169354, 170023, 186493, 301992, 320207, 323113, 335938, 426957, 428718, 443758, 443847]"
5,Insects_incremental-abrupt_imbal,HT_ECDD_F,0.5917335297748223,0.4912488366057792,00:07:17,736.56 KB,"[229, 340, 474, 600, 903, 1749, 3763, 7837, 9559, 9714, 11409, 11988, 12326, 12530, 13883, 14344, 14580, 14771, 14997, 15296, 15924, 16216, 16538, 17143, 18520, 21243, 30590, 32058, 33177, 33623, 54992, 56002, 56512, 56919, 57280, 57874, 59049, 59355, 59567, 61603, 61787, 64751, 65573, 65661, 65890, 66216, 66476, 66853, 67165, 67556, 67969, 68431, 68651, 69290, 69485, 70038, 70095, 70460, 70661, 71104, 72117, 72410, 73936, 74848, 76532, 76682, 77457, 78673, 79550, 96848, 97950, 101432, 101510, 101625, 101904, 102343, 102570, 103120, 103238, 103631, 103800, 104759, 105662, 106089, 106254, 106598, 107244, 107481, 107944, 108137, 108836, 109183, 109908, 110809, 111142, 111689, 111888, 112062, 112257, 112406, 113256, 113786, 114018, 114365, 114766, 115023, 115410, 115655, 116078, 116182, 116584, 116692, 117101, 118511, 119133, 119717, 119799, 119990, 120987, 121981, 122247, 122402, 122741, 123956, 124525, 124769, 125366, 126221, 126412, 126527, 127241, 131153, 131497, 131590, 131705, 132514, 132733, 133049, 133450, 133838, 134136, 134558, 135083, 135570, 135774, 136383, 137927, 138148, 138504, 139540, 139954, 140268, 140466, 140976, 141595, 142123, 142707, 143056, 143621, 144230, 145034, 145195, 145972, 148775, 149091, 149354, 149749, 150520, 150684, 150915, 151142, 151194, 151586, 152210, 154081, 156514, 157482, 158402, 158503, 158819, 160570, 160884, 161426, 161775, 162320, 162819, 163275, 163594, 164492, 165986, 166277, 167317, 169114, 210123, 213011, 214876, 218263, 218364, 218683, 219285, 219699, 220307, 220731, 221007, 221522, 221629, 221869, 222940, 223092, 223699, 224044, 224393, 225295, 225759, 226001, 226066, 226265, 226819, 227487, 228373, 228861, 229300, 229566, 229733, 229931, 230184, 269214, 270157, 270742, 271114, 271357, 271690, 273799, 274078, 274858, 275277, 275865, 276232, 276596, 276969, 277240, 277669, 278572, 278666, 278925, 279490, 280091, 280357, 281737, 282305, 283617, 283879, 284671, 284770, 285027, 285314, 286349, 286712, 287346, 287506, 287784, 288525, 289028, 289358, 289734, 289880, 291472, 294155, 294354, 294661, 295140, 295658, 296391, 297441, 299473, 300298, 300391, 300628, 300729, 301292, 301366, 301469, 301663, 301860, 302084, 302280, 303626, 303962, 304054, 304257, 304552, 304707, 304971, 305059, 305333, 305399, 305765, 306712, 306813, 307482, 308139, 308670, 308817, 309055, 309193, 309400, 309833, 310368, 313202, 313305, 314071, 315054, 318350, 318856, 319815, 320162, 359407, 360212, 362954, 363159, 364916, 366269, 366491, 366891, 367288, 367630, 367955, 368149, 369012, 369257, 369615, 369703, 370239, 370924, 371272, 371718, 372029, 372419, 372735, 373014, 373416, 373953, 374531, 375008, 376216, 376491, 376824, 377700, 378381, 378500, 378734, 419874, 421746, 421920, 422309, 423445, 424368, 424732, 425194, 425754, 425890, 426384, 426794, 428066, 428300, 428466, 429028, 429294, 429961, 430725, 431590, 431692, 432081, 432827, 433801, 433943, 434197, 434970, 435362, 435474, 436012, 436265, 436572, 436903, 437091, 437364, 437669, 438231, 439292, 439913, 440234, 440522, 441217, 441730, 442618, 442908, 443277, 443627, 444068, 444317, 444538, 444644, 444827, 445135, 445664, 446704, 447451, 448307, 449577, 450062, 450363, 450523, 450811, 451292, 451602]"
6,Insects_incremental-abrupt_imbal,HT_EDDM_F,0.6386958762772568,0.5332021364258398,00:05:44,18.43 MB,"[147, 249, 367, 451, 610, 937, 992, 4960, 8025, 8089, 18489]"
7,Insects_incremental-abrupt_imbal,HT_GMA_F,0.6455226604548683,0.5426030500867405,00:05:38,19.35 MB,[]
8,Insects_incremental-abrupt_imbal,HT_HDDMA_F,0.5909570549704343,0.4935620787968864,00:07:40,2.28 MB,"[230, 921, 3770, 7924, 18603, 19654, 20853, 21276, 22012, 33173, 54231, 65637, 74800, 79687, 82858, 99202, 101434, 109355, 116172, 117107, 127328, 131154, 132716, 144943, 150720, 151009, 151601, 154545, 158665, 159108, 165895, 169163, 184315, 186572, 204460, 276780, 277978, 284801, 289043, 291625, 301371, 301677, 302006, 303965, 305364, 309077, 310731, 319853, 322959, 323751, 328851, 334576, 335806, 339114, 354887, 366263, 367308, 381492, 400540, 408555, 416430, 416942, 429026]"
9,Insects_incremental-abrupt_imbal,HT_HDDMW_F,0.6092761086887751,0.5112022057317119,00:07:30,493.99 KB,"[246, 675, 922, 3763, 4330, 5708, 7808, 9681, 12768, 14099, 14346, 15300, 16282, 17292, 17841, 18453, 18909, 19287, 20070, 20818, 21260, 22010, 23305, 23578, 24099, 24647, 25137, 25625, 26917, 27452, 29215, 30402, 33116, 33526, 34411, 35256, 35790, 36235, 37459, 37801, 42058, 42406, 42857, 44174, 45395, 45977, 46468, 47889, 50557, 51264, 51784, 52293, 53530, 54873, 54994, 56521, 56973, 57872, 59048, 59802, 60684, 61603, 64750, 65510, 66021, 67000, 67562, 69458, 70087, 70967, 71481, 72211, 73944, 76424, 77476, 78288, 78759, 79525, 80039, 80407, 81259, 82015, 82726, 82988, 83927, 86458, 87402, 88644, 88986, 89262, 90817, 91934, 92432, 93919, 94254, 95113, 96425, 97055, 97260, 98399, 98712, 99945, 101241, 103366, 107996, 109367, 110812, 111142, 113828, 114371, 115412, 117108, 117552, 119980, 123088, 126798, 127244, 128188, 128986, 131146, 131938, 132512, 132956, 134708, 135243, 135595, 135827, 136942, 137465, 138730, 139539, 142257, 143535, 144693, 145190, 148776, 149492, 150689, 150955, 151590, 152211, 154400, 155419, 156311, 157859, 158400, 159107, 163027, 163802, 164542, 165169, 165658, 165896, 168011, 168887, 169512, 170248, 170928, 171649, 172142, 172413, 172664, 176025, 178455, 179466, 180186, 182328, 182986, 183793, 185802, 186240, 186562, 186897, 187215, 187632, 189400, 189640, 190619, 193175, 194063, 194429, 195293, 196195, 198885, 199809, 201864, 203180, 203916, 204360, 205528, 207402, 208162, 209464, 211599, 212857, 213214, 215009, 215743, 216444, 218264, 219013, 219954, 220731, 222449, 223709, 224045, 224584, 225298, 226153, 227680, 228622, 229469, 230182, 231322, 232387, 232507, 234105, 234498, 235474, 237113, 237411, 237964, 238365, 239461, 239836, 240178, 240790, 241018, 241577, 242033, 242278, 245477, 246031, 246254, 246689, 247332, 247929, 248149, 248466, 249113, 249566, 250988, 252523, 255797, 258836, 262902, 263788, 266538, 267854, 270740, 271116, 272153, 272535, 273288, 277826, 279851, 280644, 281736, 282330, 283913, 284586, 285045, 285343, 285969, 286574, 287937, 288725, 289161, 289346, 290045, 291509, 292199, 294153, 294579, 296591, 299807, 300263, 300626, 301381, 301664, 302135, 303693, 305085, 305336, 306714, 308141, 309073, 310397, 310634, 310888, 311305, 311659, 314519, 315078, 315336, 317356, 317933, 318374, 319817, 321433, 322407, 322949, 323327, 325171, 327387, 327994, 330099, 330534, 330903, 332684, 333306, 333605, 334473, 336430, 336654, 337199, 339173, 339930, 340987, 343185, 344498, 345735, 346625, 347748, 348274, 348930, 349586, 351406, 352757, 353305, 353806, 354433, 355259, 359408, 360130, 362955, 363732, 365788, 367633, 368147, 369884, 370385, 370920, 371309, 371969, 372420, 373347, 373996, 374434, 375074, 376856, 377737, 378441, 378748, 379410, 379673, 380256, 381045, 381423, 381693, 385260, 385717, 386010, 386875, 387271, 389127, 389342, 390815, 391185, 391689, 391955, 392268, 392693, 393616, 394072, 394841, 395208, 396656, 396762, 399063, 399669, 400336, 403868, 404302, 406809, 409304, 412778, 413448, 416084, 416389, 418416, 418947, 421747, 423540, 425658, 428641, 429028, 430147, 430727, 431184, 431766, 432862, 434322, 436006, 436460, 437839, 440010, 442989, 443679, 445427, 449784, 451486]"
