,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,Insects_incremental-abrupt_imbal,NoChange_basic_F,0.28125864132394485,0.07146234080242554,00:00:22,1.6 KB,[]
1,Insects_incremental-abrupt_imbal,MajClass_basic_F,0.2980092601810005,0.0005741268587765777,00:00:24,1.3 KB,[]
2,Insects_incremental-abrupt_imbal,NB_basic_F,0.5227732759936554,0.3984749975629031,00:02:53,662.86 KB,[]
3,Insects_incremental-abrupt_imbal,NB_ADWIN_F,0.5694414026984158,0.4750762744937527,00:05:38,674.6 KB,"[383, 1663, 8831, 11071, 15167, 18751, 19903, 21631, 22911, 33695, 44671, 54399, 66687, 78975, 80127, 84223, 106335, 110527, 118527, 127743, 142079, 149247, 150367, 150943, 152415, 155167, 158751, 161055, 169503, 173087, 184127, 199487, 206495, 217887, 233535, 235743, 252127, 260319, 264127, 271295, 278463, 294847, 300415, 301407, 301887, 306239, 310335, 312383, 319551, 320063, 323647, 329279, 331327, 334911, 343135, 357407, 367423, 381951, 410335, 422623, 429535, 434559, 440703, 449151]"
4,Insects_incremental-abrupt_imbal,NB_BOCD_F,0.5872914744836222,0.49446050475049036,09:11:29,353.57 KB,"[433, 1974, 6845, 10669, 15383, 18484, 19924, 22032, 30354, 33356, 40910, 46870, 51141, 54280, 62353, 65678, 71931, 77570, 81920, 89001, 98270, 100180, 107477, 113827, 118214, 126396, 127490, 134087, 138360, 145088, 150159, 150927, 152545, 158497, 162053, 168310, 169175, 171705, 172802, 179449, 184043, 190251, 194411, 198344, 204839, 212634, 216244, 223600, 229447, 232946, 240191, 245016, 251444, 258463, 265415, 271609, 277149, 278159, 282062, 288273, 295246, 299922, 300928, 301427, 302635, 305521, 309141, 312210, 317599, 319819, 323385, 328690, 333224, 334695, 340684, 346832, 352844, 357606, 365474, 370613, 373300, 379604, 382296, 391040, 398508, 400244, 406862, 413608, 419963, 427147, 429236, 430692, 437981, 442910, 447021, 450660, 452015]"
5,Insects_incremental-abrupt_imbal,NB_CUSUM_F,0.6018365509475868,0.509419332016622,00:05:10,450.11 KB,"[394, 4018, 7969, 16538, 18546, 19584, 20879, 21983, 32012, 33312, 34339, 36252, 38005, 39679, 42430, 52122, 54014, 64758, 67095, 68810, 70621, 73854, 75121, 76423, 77526, 78835, 79987, 81808, 83965, 84949, 86072, 86697, 87903, 88948, 97167, 97878, 98985, 109363, 113817, 114959, 118048, 127405, 137027, 138188, 142780, 144068, 146775, 150698, 151313, 154695, 158571, 159331, 165559, 169188, 170539, 171606, 172645, 183622, 184356, 186557, 188823, 190260, 204428, 205726, 210173, 213725, 215434, 218812, 220895, 222867, 223782, 225341, 226819, 228193, 229267, 230620, 244154, 246422, 248673, 269517, 278033, 279694, 285456, 287782, 289193, 291558, 301488, 305532, 309169, 310916, 311850, 315142, 318817, 319908, 321466, 322586, 323534, 328709, 331035, 334618, 335868, 337011, 338097, 355207, 357129, 359408, 366312, 367520, 369202, 372107, 373604, 374800, 377021, 379134, 380812, 381460, 383718, 384752, 386106, 388042, 389706, 390729, 391954, 392745, 395302, 396584, 398677, 399669, 420334, 428847, 430524, 438329, 440910, 445271, 450029, 451526]"
6,Insects_incremental-abrupt_imbal,NB_DDM_F,0.5303920202281641,0.4280744599511438,00:05:17,667.21 KB,"[119, 244, 342, 474, 721, 4008, 18715, 18942, 19381, 20244, 20901, 21452, 33579, 55742, 57110, 85271, 132741, 152638, 169499, 171276, 186005, 206186, 216498, 235841, 236015, 302005, 320388, 323843, 336134, 336962, 356201, 367180, 399757, 431116, 439747]"
7,Insects_incremental-abrupt_imbal,NB_ECDD_F,0.5290669250491656,0.4199628108987819,00:05:24,1.3 MB,"[228, 477, 599, 2826, 5826, 5986, 6223, 7783, 9559, 10366, 10535, 11357, 11661, 11879, 12231, 12322, 12648, 12715, 13704, 14097, 17997, 18070, 18436, 18916, 19270, 19820, 20050, 20381, 31439, 31971, 32503, 32720, 33103, 53770, 55210, 56529, 56919, 57087, 57277, 57607, 57706, 57819, 59048, 59995, 60066, 60556, 60653, 60906, 61602, 64761, 65508, 65891, 66481, 66853, 67109, 67210, 67555, 67969, 68431, 68710, 69437, 70038, 70135, 70609, 71389, 71914, 72205, 72496, 73929, 74253, 74603, 74871, 76420, 76689, 77003, 77361, 78787, 78902, 79023, 79551, 132736, 135250, 135487, 135591, 135770, 136383, 137928, 138148, 138504, 139174, 139463, 139953, 140214, 140444, 140976, 141287, 141475, 142231, 142633, 142926, 143302, 143760, 144228, 145025, 145196, 145972, 146744, 146880, 147229, 147494, 147643, 148098, 148320, 148758, 149086, 149465, 149749, 150521, 150687, 150790, 150892, 150987, 151223, 151294, 151551, 151587, 151692, 152210, 152711, 152944, 153192, 153373, 153633, 154545, 155414, 155685, 156054, 156513, 156833, 157482, 158402, 159108, 160570, 160884, 161138, 161244, 161530, 161774, 162528, 164536, 164872, 164995, 165155, 165337, 165645, 165986, 166943, 169117]"
8,Insects_incremental-abrupt_imbal,NB_EDDM_F,0.5795200899029517,0.48127760211690407,00:05:13,1.31 MB,"[157, 249, 381, 492, 606, 738, 858, 928, 991, 1059, 5685, 20021, 20102, 21239, 21292, 21380, 22093, 22172, 22258, 22813, 23289, 35441, 37967, 38040, 38115, 38176, 38542, 38607, 38664, 38882, 39097, 39147, 39211, 39297, 39362, 39413, 39535, 39663, 62078, 62143, 62200, 62326, 62501, 62581, 62676, 62725, 62793, 62883, 63600, 86391, 86488, 86546, 86621, 86695, 86755, 86819, 86909, 87000, 87093, 87168, 87334, 87408, 87540, 87903, 88026, 88109, 88368, 88420, 88541, 88622, 88730, 88987, 89083, 89176, 89231, 89309, 89385, 89462, 91710, 91781, 91851, 91927, 92068, 92118, 92188, 92427, 92496, 92576, 92651, 153210, 153253, 154748, 171091, 171262, 171338, 171447, 171522, 171640, 171708, 172115, 172397, 172464, 172574, 172679, 172795, 173122, 173189, 173269, 173630, 186069, 186134, 186184, 190458, 217023, 234075, 234133, 234444, 234537, 234693, 234826, 234908, 234972, 235112, 235182, 235303, 235383, 235456, 235626, 235768, 235843, 235929, 235984, 236049, 236172, 236235, 236316, 236399, 236651, 236702, 236778, 236854, 236963, 237064, 237261, 237361, 237491, 237594, 237683, 237793, 237855, 237937, 238023, 238568, 238733, 238808, 239103, 239217, 239283, 239418, 239504, 239688, 239755, 240021, 240114, 240203, 240347, 240422, 240571, 240669, 240738, 241013, 241097, 241170, 241252, 241321, 241473, 241554, 241664, 241717, 242305, 242883, 242992, 243052, 243116, 243364, 243437, 243538, 243879, 243976, 244020, 244175, 244245, 244318, 244408, 244464, 244583, 244760, 244872, 245008, 245084, 245144, 245234, 245337, 245383, 245472, 245557, 245801, 245978, 246035, 246101, 246160, 246230, 246326, 246696, 246761, 246862, 246938, 247317, 247432, 247501, 247556, 247731, 247795, 247917, 248142, 248192, 248292, 248419, 248526, 248584, 248734, 248795, 249081, 249239, 249385, 249486, 249553, 249713, 251694, 252002, 252243, 257517, 257703, 257824, 257896, 258017, 258136, 258239, 258415, 258515, 258873, 258990, 260217, 271108, 271164, 272180, 272268, 272550, 272661, 273046, 273216, 273263, 273381, 273493, 273662, 278548, 278633, 278924, 305766, 305844, 305935, 306097, 307555, 307604, 307780, 307847, 310655, 310700, 310840, 310912, 310975, 311220, 311307, 311452, 311534, 312190, 312317, 312388, 312484, 312580, 312771, 312859, 313004, 313178, 313300, 313361, 313644, 313757, 313866, 313978, 314043, 314128, 319656, 319708, 319801, 319929, 320004, 320173, 320251, 320354, 321271, 321329, 321440, 321517, 321611, 321731, 322478, 322567, 322746, 322801, 323403, 323507, 323600, 323709, 323851, 324391, 324467, 324581, 324874, 325053, 326984, 327394, 327989, 335963, 336013, 336572, 336639, 337402, 337713, 337780, 337855, 369113, 369201, 369332, 369448, 369524, 369881, 370178, 370252, 370526, 370996, 372137, 372196, 373346, 375164, 375294, 375445, 375546, 375688, 375869, 376533, 376874, 377005, 377167, 377661, 377737, 378587, 378743, 378811, 379042, 379125, 379312, 379492, 381177, 381318, 381394, 381683, 381794, 381933, 382015, 382122, 382193, 382249, 382399, 382497, 382632, 382708, 382863, 383045, 383113, 383382, 383495, 383567, 384685, 386639, 386704, 395001, 400410, 401149, 401258, 401363, 401530, 401993, 402297, 402420, 405645, 405814, 405911, 406016, 406157, 406251, 406716, 406797, 406893, 406970, 407051, 407146, 407451, 407559, 407788, 407937, 408032, 408258, 408361, 408469, 408922, 409014, 409264, 409384, 413832, 416071, 416233, 416395, 416552, 416668, 416786, 416918, 417078, 420753, 420822, 430508, 430620, 431691, 442879, 442931, 443111, 443270, 443680, 443741, 443851, 443900, 444068, 444275, 444576]"
9,Insects_incremental-abrupt_imbal,NB_GMA_F,0.5227732759936554,0.3984749975629031,00:05:11,665.33 KB,[]
10,Insects_incremental-abrupt_imbal,NB_HDDMA_F,0.5729919498808742,0.4780828165600524,00:05:16,669.96 KB,"[230, 379, 608, 3797, 4086, 7835, 8116, 16541, 17838, 18392, 19824, 21801, 21996, 33170, 34329, 53629, 65433, 70608, 75655, 80627, 87546, 127471, 137096, 137464, 137975, 150742, 169118, 170491, 172453, 172693, 179466, 183057, 184022, 186304, 204346, 216186, 230828, 250151, 256483, 270031, 275872, 277990, 285509, 287935, 289245, 289357, 290234, 291587, 299633, 300440, 301048, 301397, 301667, 302028, 302326, 303962, 305372, 309082, 310731, 319961, 321786, 322523, 322856, 323388, 328707, 331605, 334536, 335015, 354900, 366265, 367110, 367629, 368172, 381693, 401536, 408096, 412853, 420831, 421098, 421747, 428690, 431177, 436012, 438258, 441366, 448311, 450755, 451491]"
