,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,Insects_incremental-abrupt_imbal,BOLE_basic_F,0.692091239107784,0.6022862177221336,00:33:49,196.1 MB,[]
1,Insects_incremental-abrupt_imbal,BOLE_ADWIN_F,0.6365522748942025,0.5475009672145575,01:05:37,5.71 MB,[]
2,Insects_incremental-abrupt_imbal,BOLE_BOCD_F,0.6367159761350137,0.5477548581173837,02:39:54,273.54 MB,[]
3,Insects_incremental-abrupt_imbal,BOLE_CUSUM_F,0.6636315571748705,0.5756386364065661,00:58:50,4.93 MB,[]
4,Insects_incremental-abrupt_imbal,BOLE_DDM_F,0.69401804695571,0.6096038152323677,00:52:17,145.15 MB,[]
5,Insects_incremental-abrupt_imbal,BOLE_ECDD_F,0.645195257973246,0.5539682313085733,00:56:56,14.05 MB,[]
6,Insects_incremental-abrupt_imbal,BOLE_EDDM_F,0.685737861221167,0.5909082076407975,00:54:30,42.75 MB,[]
7,Insects_incremental-abrupt_imbal,BOLE_GMA_F,0.692091239107784,0.6022862177221336,00:39:40,196.12 MB,[]
8,Insects_incremental-abrupt_imbal,BOLE_HDDMA_F,0.6882221381594229,0.5994768840473226,01:00:00,5.68 MB,[]
9,Insects_incremental-abrupt_imbal,BOLE_HDDMW_F,0.6910581515475298,0.5991065918002229,00:58:21,4.75 MB,[]
10,Insects_incremental-abrupt_imbal,BOLE_KSWIN1_F,0.6212683306676577,0.530719834653818,01:24:01,5.76 MB,[]
11,Insects_incremental-abrupt_imbal,BOLE_KSWIN51_F,0.6220978977663629,0.5317157001426377,01:21:45,5.03 MB,[]
12,Insects_incremental-abrupt_imbal,BOLE_KSWIN101_F,0.6188083876976306,0.5282842979237827,01:21:35,5.78 MB,[]
13,Insects_incremental-abrupt_imbal,BOLE_KSWIN151_F,0.6210736589218282,0.5305044433017038,01:21:35,5.81 MB,[]
14,Insects_incremental-abrupt_imbal,BOLE_KSWIN201_F,0.6179743962410655,0.5276596758871309,01:37:11,5.46 MB,[]
15,Insects_incremental-abrupt_imbal,BOLE_PH_F,0.6654897874759702,0.5792136737968575,01:17:49,25.14 MB,[]
16,Insects_incremental-abrupt_imbal,BOLE_RDDM_F,0.6892131943200094,0.5991414201114069,01:24:29,10.3 MB,[]
17,Insects_incremental-abrupt_imbal,BOLE_STEPD_F,0.6933897881396239,0.6014843411089317,01:33:18,5.76 MB,[]
