,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,Insects_incremental-reoccurring_bal,BOLE_basic_F,0.6011127086328687,0.5213347471384464,00:18:03,36.45 MB,[]
1,Insects_incremental-reoccurring_bal,BOLE_ADWIN_F,0.7307995249109208,0.676959179048705,00:16:15,1.79 MB,[]
2,Insects_incremental-reoccurring_bal,BOLE_BOCD_F,0.7300243795711696,0.6760289802194276,06:07:43,1.37 GB,[]
3,Insects_incremental-reoccurring_bal,BOLE_CUSUM_F,0.7290742014127649,0.6748888282102634,00:13:08,2.9 MB,[]
4,Insects_incremental-reoccurring_bal,BOLE_DDM_F,0.6916171782209164,0.6299402753532446,00:15:23,15.4 MB,[]
5,Insects_incremental-reoccurring_bal,BOLE_ECDD_F,0.6964555854222667,0.6357466055675854,00:16:00,21.45 MB,[]
6,Insects_incremental-reoccurring_bal,BOLE_EDDM_F,0.724548352816153,0.6694580352936913,00:12:17,3.32 MB,[]
7,Insects_incremental-reoccurring_bal,BOLE_GMA_F,0.6011127086328687,0.5213347471384464,00:15:55,36.46 MB,[]
8,Insects_incremental-reoccurring_bal,BOLE_HDDMA_F,0.7381384009501781,0.6857659960392671,00:13:53,2.39 MB,[]
9,Insects_incremental-reoccurring_bal,BOLE_HDDMW_F,0.7307870225667312,0.6769443961258012,00:13:22,3.22 MB,[]
10,Insects_incremental-reoccurring_bal,BOLE_KSWIN1_F,0.7151590923298118,0.6581906260151906,00:21:22,2.65 MB,[]
11,Insects_incremental-reoccurring_bal,BOLE_KSWIN51_F,0.718572232293555,0.6622863636211551,00:21:14,3.09 MB,[]
12,Insects_incremental-reoccurring_bal,BOLE_KSWIN101_F,0.7119709945614803,0.6543648835929099,00:21:27,3.03 MB,[]
13,Insects_incremental-reoccurring_bal,BOLE_KSWIN151_F,0.7160342564230793,0.6592407964458838,00:21:25,2.39 MB,[]
14,Insects_incremental-reoccurring_bal,BOLE_KSWIN201_F,0.7172969931862224,0.6607561133800528,00:20:34,3.07 MB,[]
15,Insects_incremental-reoccurring_bal,BOLE_PH_F,0.7184597111958492,0.6621514168206154,00:14:09,3.39 MB,[]
16,Insects_incremental-reoccurring_bal,BOLE_RDDM_F,0.736825654810277,0.6841907026142225,00:12:09,4.89 MB,[]
17,Insects_incremental-reoccurring_bal,BOLE_STEPD_F,0.7322122898043383,0.6786547289695019,00:13:37,2.3 MB,[]
