,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,Insects_incremental-reoccurring_bal,HT_basic_F,0.5330499468650371,0.43965945446220733,00:00:52,3.07 MB,[]
1,Insects_incremental-reoccurring_bal,HT_ADWIN_F,0.6842908045258486,0.6211485237968992,00:01:08,423.63 KB,"[479, 1023, 5119, 9215, 15519, 17823, 21407, 26623, 30207, 34335, 44415, 45503, 48927, 53407, 53919, 58271, 62431, 69023, 74559]"
2,Insects_incremental-reoccurring_bal,HT_BOCD_F,0.692192286053635,0.6306303065171623,01:02:50,473.25 MB,"[527, 938, 4321, 7939, 14884, 17452, 18765, 21072, 26571, 29297, 33671, 40696, 45599, 48731, 53369, 53900, 57269, 61356, 66897, 68496, 70993, 74419]"
3,Insects_incremental-reoccurring_bal,HT_CUSUM_F,0.6691629680565105,0.6029951337221983,00:01:10,281.21 KB,"[424, 964, 4056, 7925, 15241, 16984, 17928, 26639, 28098, 29031, 33674, 53070, 53503, 54365, 57282, 61101, 64594, 68640, 69754, 71045, 71914]"
4,Insects_incremental-reoccurring_bal,HT_DDM_F,0.6467087578921048,0.5760500232163007,00:01:18,860.32 KB,"[90, 284, 947, 4262, 7938, 8407, 16357, 27082, 27961, 28020, 28104, 28691, 28906, 29310, 33602, 53756, 54430, 57914, 63748, 68832]"
5,Insects_incremental-reoccurring_bal,HT_ECDD_F,0.659273613802588,0.5911282906372584,00:01:12,286.22 KB,"[84, 229, 415, 900, 1795, 3004, 3662, 4318, 4467, 5056, 5268, 5574, 6188, 6427, 6824, 7336, 7701, 8228, 8410, 8720, 9473, 9815, 10291, 10651, 11339, 11647, 11985, 12757, 13731, 14911, 26573, 26910, 27100, 27307, 28034, 28121, 28634, 28921, 29188, 30493, 30704, 31229, 32001, 32237, 33145, 33664, 33754, 33818, 36657, 37974, 38242, 38859, 39001, 39348, 40094, 40733, 41036, 41705, 42481, 43217, 43998, 44433, 45224, 45728, 46889, 47657, 49101, 49963, 50393, 50699, 52052, 52774, 53363, 53601, 53706, 54103, 54163, 54292, 54349, 54461, 55561, 57088, 57498, 57740, 57899, 58141, 58604, 59457, 60486, 60869, 61578, 62191, 62468, 63153, 63494, 64405, 66035, 66635, 66926, 67456, 67624, 68194, 68383]"
6,Insects_incremental-reoccurring_bal,HT_EDDM_F,0.6508720385072201,0.5810460340521714,00:01:15,861.53 KB,"[172, 275, 384, 824, 996, 1068, 1165, 1351, 1467, 1557, 1629, 5013, 5088, 5266, 5316, 5622, 5688, 8824, 8877, 8970, 9046, 9114, 9174, 15476, 28622, 28682, 29194, 33870, 33934, 35656, 35845, 35990, 36052, 36115, 36700, 54849, 55075, 55166, 62626, 62708, 63026, 69697, 69750, 69826, 69917, 71006, 71572, 71787, 71873]"
7,Insects_incremental-reoccurring_bal,HT_GMA_F,0.5330499468650371,0.43965945446220733,00:01:15,3.07 MB,[]
8,Insects_incremental-reoccurring_bal,HT_HDDMA_F,0.6736138025879852,0.6083361415049456,00:01:17,283.38 KB,"[229, 941, 4047, 8188, 15117, 15643, 17471, 18147, 18757, 26572, 27999, 28294, 29188, 33798, 46723, 52608, 53366, 53630, 54275, 57127, 61356, 65697, 68561, 69865, 71875]"
9,Insects_incremental-reoccurring_bal,HT_HDDMW_F,0.6795774207663937,0.6154926165151041,00:01:16,592.21 KB,"[288, 585, 903, 3694, 5586, 5804, 7702, 8346, 9713, 10650, 12389, 15101, 15535, 16229, 17434, 18235, 18614, 26577, 27851, 28293, 29110, 33549, 34000, 34769, 36020, 36661, 40393, 42485, 52617, 53384, 53624, 54273, 57087, 57500, 60130, 60885, 61087, 62467, 63496, 64547, 66035, 67088, 67950, 68478, 69102, 69648, 70573, 70929, 71713, 73105, 74110]"
10,Insects_incremental-reoccurring_bal,HT_KSWIN1_F,0.5554416453084954,0.46652924032259346,00:01:52,2.32 MB,[26584]
11,Insects_incremental-reoccurring_bal,HT_KSWIN51_F,0.5530161905357255,0.4636187200689382,00:01:54,2.32 MB,"[12005, 26583]"
12,Insects_incremental-reoccurring_bal,HT_KSWIN101_F,0.6336938175907982,0.560431963985029,00:01:49,664.34 KB,"[26584, 47672, 53301, 54287]"
