,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,Insects_incremental-reoccurring_bal,NoChange_basic_F,0.4045258485966119,0.28543101833827295,00:00:03,1.62 KB,[]
1,Insects_incremental-reoccurring_bal,MajClass_basic_F,0.1665812339813715,-0.00010111039546438863,00:00:04,1.31 KB,[]
2,Insects_incremental-reoccurring_bal,NB_basic_F,0.4873538788522848,0.3848235851027731,00:00:30,662.87 KB,[]
3,Insects_incremental-reoccurring_bal,NB_ADWIN_F,0.6834656498093392,0.6201583614205662,00:00:51,233.77 KB,"[447, 2495, 5695, 15647, 17759, 21343, 26207, 26623, 28351, 29439, 34079, 44319, 46175, 48575, 53183, 53439, 53919, 58271, 62367, 68735, 70591, 71583, 74783]"
4,Insects_incremental-reoccurring_bal,NB_BOCD_F,0.6877039444895918,0.6252442879521461,01:04:34,448.55 MB,"[501, 3259, 7925, 15117, 17766, 20997, 26570, 28247, 29389, 33708, 40688, 45588, 48721, 53163, 53476, 54982, 57292, 61366, 67302, 68539, 70591, 73817, 74566]"
5,Insects_incremental-reoccurring_bal,NB_CUSUM_F,0.662936800650122,0.5955238143807242,00:00:52,556.08 KB,"[411, 4397, 7971, 15240, 16895, 17765, 18758, 26650, 27858, 28514, 29416, 33595, 37672, 52888, 53500, 57528, 61191, 64875, 68628, 69676, 71041, 71950]"
6,Insects_incremental-reoccurring_bal,NB_DDM_F,0.6371944739638682,0.5646329291023341,00:00:55,1.19 MB,"[100, 289, 539, 588, 631, 4316, 17409, 26737, 28022, 28103, 28535, 28594, 29194, 33573, 38625, 38807, 39847, 53009, 53056, 53363, 53525, 53625, 53776, 54294, 57292, 57429, 61241, 65696, 68900]"
7,Insects_incremental-reoccurring_bal,NB_ECDD_F,0.663849471775958,0.5966190186267945,00:00:52,1.08 MB,"[227, 415, 607, 647, 860, 907, 1735, 3688, 4191, 4320, 4557, 5267, 5573, 5924, 6427, 6716, 7141, 7702, 8228, 8776, 8986, 9633, 10380, 10651, 10958, 11646, 11985, 12756, 13559, 14911, 26579, 26910, 27076, 27307, 27891, 28034, 28104, 28694, 28921, 29188, 31749, 32088, 33211, 33831, 36657, 37769, 38918, 39264, 39514, 40094, 40732, 41036, 41450, 42096, 42483, 43218, 43299, 43998, 45224, 45542, 45724, 46329, 46889, 47657, 49101, 49410, 49671, 49962, 50393, 52052, 52774, 53132, 53363, 53484, 53625, 53740, 53875, 54067, 54103, 54295, 54427, 55561, 57126, 57500, 57741, 57899, 58141, 58604, 59457, 60450, 60869, 60972, 61651, 63718, 64405, 66035, 66635, 67052, 67240, 67914, 68479, 68841, 69031, 69649, 69900, 70186, 70431]"
8,Insects_incremental-reoccurring_bal,NB_EDDM_F,0.6542726761267738,0.5851269882612686,00:00:51,890.24 KB,"[173, 275, 388, 641, 4832, 4887, 5310, 5746, 5850, 8158, 8220, 16183, 16266, 16391, 16454, 16533, 16612, 16734, 16815, 16966, 17033, 17110, 17219, 17313, 17428, 17497, 17568, 17754, 17834, 17961, 18135, 18219, 18379, 18440, 18505, 27383, 27510, 27890, 28245, 28389, 28569, 28910, 29006, 29193, 29459, 33737, 33805, 33942, 34001, 34714, 34766, 34837, 34960, 35065, 36834, 36909, 37435, 37543, 40400, 40462, 40801, 40920, 41046, 41520, 41597, 53826, 58529, 58725, 58851, 61180, 61235, 61313, 61367, 61495, 61579, 61921, 62086, 62149, 65074, 69299, 69359, 69445, 69644, 69716, 69802, 69917, 69985, 70043, 70138, 70254, 70346, 70400, 70491, 70722, 70784, 70864, 70975, 71052, 71621, 71707, 71826, 72005, 72146, 72200, 72743]"
9,Insects_incremental-reoccurring_bal,NB_GMA_F,0.4873538788522848,0.3848235851027731,00:00:54,665.41 KB,[]
