,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,Insects_incremental-reoccurring_imbal,HT_basic_F,0.6293494202985114,0.5227817388262628,00:04:23,18.42 MB,[]
1,Insects_incremental-reoccurring_imbal,HT_ADWIN_F,0.5799802231203669,0.47816382902446447,00:06:54,371.65 KB,"[575, 2655, 4447, 18687, 22303, 34335, 43551, 54975, 68767, 83103, 98463, 99423, 114815, 119327, 127583, 151775, 153567, 154335, 155359, 158175, 166367, 172511, 188895, 200927, 202815, 223647, 247295, 249279, 262783, 270975, 275583, 279679, 281311, 284383, 294527, 300895, 302303, 304095, 305375, 310367, 320287, 323903, 335839, 345247, 347551, 355807, 368095, 382431, 401887, 419807, 429151, 440607, 446047, 451103, 451807]"
2,Insects_incremental-reoccurring_imbal,HT_BOCD_F,0.5834710414717184,0.4831048579794671,10:40:01,8.04 MB,"[627, 3113, 9470, 14418, 18554, 21465, 24178, 31491, 33302, 38872, 46406, 53532, 61146, 66526, 73857, 78928, 82346, 91266, 99182, 105769, 112825, 118057, 125954, 127364, 135778, 143284, 147947, 153606, 157865, 163511, 168373, 171571, 178483, 184196, 190824, 197825, 202516, 211240, 219896, 224309, 230304, 235757, 242068, 248652, 255027, 261765, 269451, 276301, 279481, 281437, 283919, 290529, 294033, 299515, 300575, 301285, 301963, 304375, 309495, 316482, 319860, 323472, 329836, 334548, 342308, 349467, 355063, 362508, 366418, 373137, 376485, 381051, 390044, 395012, 398659, 401897, 408593, 415947, 421177, 427995, 429610, 437119, 442341, 446640, 451345]"
3,Insects_incremental-reoccurring_imbal,HT_CUSUM_F,0.596980818196499,0.49514571759369325,00:06:31,709.12 KB,"[467, 4553, 8796, 13666, 15522, 17525, 18592, 19923, 21060, 22168, 27231, 29356, 33132, 36632, 54210, 60640, 65246, 67029, 70400, 73676, 77648, 80144, 127696, 144790, 148534, 149217, 150177, 151617, 153222, 157981, 161305, 162839, 165886, 184855, 192506, 201023, 202631, 220128, 222173, 227028, 228786, 230223, 233548, 234868, 236267, 237259, 262105, 264231, 279563, 281008, 282039, 294011, 300573, 301352, 301869, 302525, 305669, 309427, 313919, 319920, 320781, 322480, 323538, 329915, 334639, 335587, 338652, 355464, 359063, 361517, 366393, 373126, 375216, 376717, 378800, 381034, 385072, 400634, 402812, 406675, 419349, 426858, 428749, 438952, 440886]"
4,Insects_incremental-reoccurring_imbal,HT_DDM_F,0.6297188541798014,0.5299736291421808,00:06:02,5.36 MB,"[289, 18780, 22139, 35024, 264280, 279864, 281333, 294512, 300634, 301863, 306237, 326285, 335253]"
5,Insects_incremental-reoccurring_imbal,HT_ECDD_F,0.5845616456841495,0.47939511285879144,00:07:07,1.04 MB,"[254, 512, 902, 1307, 3726, 4385, 5407, 5844, 6278, 6947, 7982, 8655, 10010, 10537, 11091, 11224, 11496, 11915, 12644, 13195, 13433, 13719, 14387, 14840, 15029, 16018, 16093, 16269, 17095, 18450, 18635, 18821, 63102, 95257, 108992, 113404, 113499, 113662, 114678, 115213, 115429, 115972, 116461, 116543, 116646, 117159, 117581, 118048, 118838, 119503, 120025, 121171, 122315, 122658, 122925, 123495, 124676, 124889, 125628, 125956, 127211, 129607, 130653, 130822, 131223, 131335, 131468, 131915, 133413, 133580, 134077, 134313, 134752, 135405, 135719, 136017, 139008, 139550, 139984, 140273, 140695, 140976, 141086, 141572, 142804, 143354, 144124, 144377, 145403, 145906, 146284, 148664, 149306, 149852, 149981, 150756, 151153, 151595, 152262, 152730, 153016, 153181, 153471, 154315, 156322, 157901, 158988, 159374, 159623, 160217, 160466, 160871, 161015, 161309, 161420, 161829, 161922, 162177, 162647, 163044, 164140, 165103, 165373, 165914, 166029, 166169, 166371, 166583, 167023, 167196, 167437, 168719, 168951, 169405, 169915, 170101, 170487, 170775, 170999, 171223, 173593, 174763, 175199, 175316, 176240, 176751, 176958, 177503, 177803, 178176, 178782, 180119, 181519, 182070, 182638, 183716, 184244, 184506, 184908, 185845, 186024, 186418, 186670, 187228, 187446, 187898, 188171, 188690, 188868, 189181, 189635, 189832, 190154, 190301, 190630, 191189, 191632, 191791, 191994, 192342, 192742, 192948, 193476, 194128, 194651, 194800, 195458, 196016, 196398, 196631, 197455, 197607, 197894, 198302, 198726, 198864, 198981, 199240, 199528, 200030, 200155, 200316, 200474, 200912, 202057, 202555, 236914, 244521, 245052, 245164, 245516, 246364, 249811, 250667, 251052, 251160, 251741, 251792, 252519, 253673, 254972, 255141, 255371, 255721, 256933, 257336, 257510, 259175, 259805, 260035, 260283, 260421, 261015, 261823, 278059, 278607, 278678, 279220, 294878, 295510, 296262, 296733, 297123, 298947, 300477, 300996, 301155, 301596, 301707, 302269, 305069, 305692, 306024, 306216, 307554, 308214, 308954, 309048, 309252, 309378, 309538, 309970, 310381, 311935, 313633, 318917, 367632, 371216, 371418, 372059, 372310, 372559, 372891, 373024, 373390, 373524, 374006, 374408, 375519, 376170, 377529, 377608, 378329, 378568, 379133, 379781, 380112, 380816, 419313, 419629, 420005, 420863, 421133, 422366, 422732, 423589, 424098, 424292, 424911, 425700, 426047, 426654, 427469, 428564, 432654, 434529, 434765, 435180, 435539, 435965, 436343, 436641, 436764, 437972, 438354, 438526, 438808, 439183, 439591, 439795, 440311, 440769, 441175, 441314, 441566, 441930, 442218, 442713, 442840, 443175, 443912, 444069, 444705, 446040, 446844, 447529, 447994, 448405, 448724, 449354, 449800, 450466, 450625, 451144, 451360]"
6,Insects_incremental-reoccurring_imbal,HT_EDDM_F,0.6390520370849676,0.5339871544630178,00:05:34,6.4 MB,"[113, 269, 363, 465, 573, 668, 912, 1071, 1148, 1275, 1379, 1437, 1611, 1722, 1816, 1891, 2229, 2302, 4243, 20546, 20614, 21897, 22001, 22093, 22788, 22857, 22970, 23030, 23104, 23435, 23680, 23742, 24002, 24330, 33887, 33973, 34065, 34131, 34181, 34246, 34419, 34705, 34753, 34839, 34900, 34972, 35074, 35160, 35315, 35381, 340221, 340288]"
7,Insects_incremental-reoccurring_imbal,HT_GMA_F,0.6293494202985114,0.5227817388262628,00:05:33,18.42 MB,[]
8,Insects_incremental-reoccurring_imbal,HT_HDDMA_F,0.5863291766491241,0.48590815361175077,00:07:30,845.12 KB,"[315, 905, 1664, 3866, 8056, 15583, 18566, 20086, 22388, 32998, 35124, 53647, 66537, 79416, 127635, 146433, 150210, 151210, 151646, 153267, 157842, 161972, 162704, 164409, 164682, 165518, 184544, 190845, 192349, 202849, 222742, 223674, 227216, 229294, 237395, 253160, 253702, 255802, 259280, 260497, 261791, 279435, 280696, 281689, 282135, 282823, 285620, 288019, 294018, 296263, 300493, 300669, 301153, 301642, 302086, 305082, 309200, 313519, 319855, 320780, 323418, 334542, 355137, 366373, 373138, 375712, 378640, 381100, 401134, 403922, 413860, 421165, 424923, 428620, 439702, 440902]"
9,Insects_incremental-reoccurring_imbal,HT_HDDMW_F,0.606705556772254,0.5084843613504026,00:07:26,492.1 KB,"[277, 907, 1306, 1638, 2323, 3722, 7438, 7924, 10696, 14531, 15536, 16927, 18455, 19918, 20341, 21082, 21567, 24316, 26682, 27809, 28942, 29521, 32015, 32995, 34491, 34972, 35432, 36283, 36977, 37996, 40818, 41798, 42315, 43145, 43797, 45292, 47036, 48661, 50079, 53015, 53560, 54283, 55362, 57062, 58353, 59405, 60392, 61146, 62682, 63844, 64563, 64762, 65745, 66202, 67269, 67818, 68299, 68955, 69550, 70265, 71508, 72154, 72815, 73666, 74484, 75493, 77068, 77650, 79023, 79791, 80264, 83042, 84020, 85115, 85473, 86420, 87200, 87552, 88341, 89009, 89655, 91192, 92025, 93012, 93327, 93633, 94018, 95159, 95845, 96354, 96587, 97095, 98097, 98478, 98901, 102062, 103769, 104465, 105462, 107834, 108987, 114277, 116734, 119548, 120100, 121173, 122949, 125953, 127227, 127602, 128368, 129157, 129788, 130653, 130850, 131224, 132108, 132828, 133592, 135723, 136026, 136390, 138905, 139651, 140171, 141149, 141953, 142865, 144390, 147079, 150210, 151205, 151620, 152274, 153034, 153471, 153776, 155597, 155979, 157867, 159623, 161451, 161841, 162856, 164125, 164954, 165556, 165954, 166444, 167511, 168835, 169424, 171445, 173594, 174797, 176240, 177508, 180370, 182642, 183267, 183831, 184508, 187468, 190707, 192505, 193691, 194776, 198123, 198725, 200226, 202058, 202432, 202701, 202917, 203461, 203601, 204598, 204741, 206643, 208086, 211956, 212827, 213498, 213861, 217351, 218382, 219763, 222057, 222741, 223329, 225218, 225772, 225996, 226563, 227156, 227732, 228559, 229063, 232041, 232495, 232883, 233474, 234429, 235604, 235973, 236494, 236793, 237262, 238561, 239373, 240062, 240791, 241641, 242142, 242862, 243552, 245615, 246370, 247232, 250506, 252183, 252570, 252990, 253642, 254972, 255505, 257823, 259074, 260502, 261197, 261765, 262724, 263881, 264204, 265105, 266114, 266737, 267280, 267860, 269345, 270893, 273589, 278069, 279438, 280059, 280670, 281335, 282310, 282803, 284794, 284967, 285928, 286418, 287697, 288021, 289432, 290099, 290638, 291149, 292735, 293783, 296261, 300476, 300662, 301125, 301857, 302084, 305070, 306215, 309146, 310394, 312578, 314360, 316512, 318511, 319070, 319810, 320190, 320520, 321312, 321658, 322275, 323345, 324407, 325190, 325651, 327584, 329367, 332332, 333368, 334475, 336419, 337831, 338071, 339224, 341627, 342511, 346316, 347690, 348538, 349763, 351116, 352491, 353292, 353559, 354434, 354974, 355739, 356932, 358753, 360129, 361519, 363899, 364567, 366123, 367854, 368496, 368689, 369561, 371214, 372073, 372638, 373988, 374422, 375545, 375791, 376169, 377259, 377697, 378624, 380848, 381017, 382052, 383028, 383235, 384719, 386640, 387258, 387826, 388997, 389369, 389890, 391892, 392353, 392681, 394285, 394763, 395650, 395906, 397018, 397231, 397635, 398226, 399339, 400101, 400418, 402216, 405747, 408612, 412785, 413858, 417006, 417561, 419016, 419628, 421148, 423590, 424913, 426235, 427505, 428570, 428932, 429186, 429914, 430187, 433202, 433628, 437052, 437522, 439520, 442862, 443476, 443972, 445165, 449636, 450677, 451556]"
