,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,Insects_incremental-reoccurring_imbal,NoChange_basic_F,0.2817873520881863,0.07214526821122297,00:00:22,1.6 KB,[]
1,Insects_incremental-reoccurring_imbal,MajClass_basic_F,0.29800483582314075,0.004641366382087971,00:00:24,1.3 KB,[]
2,Insects_incremental-reoccurring_imbal,NB_basic_F,0.5251049125857495,0.4013451686230098,00:02:54,662.86 KB,[]
3,Insects_incremental-reoccurring_imbal,NB_ADWIN_F,0.5678132390060238,0.47350215647835886,00:05:38,342.02 KB,"[415, 2591, 3935, 11615, 19007, 20831, 22495, 34111, 43327, 55327, 67999, 75167, 79423, 81215, 84799, 101407, 119551, 127743, 140511, 146271, 147967, 151551, 153919, 158239, 166431, 184895, 202879, 237311, 251647, 262911, 270719, 276607, 279711, 281727, 284287, 294271, 300799, 302335, 303039, 308159, 320479, 324031, 335679, 345375, 347423, 356095, 368383, 382719, 410943, 419647, 429215, 440447, 445311, 450815, 451743]"
4,Insects_incremental-reoccurring_imbal,NB_BOCD_F,0.5885125972529162,0.49554924295187325,09:10:35,8.58 MB,"[627, 3111, 9471, 14528, 18510, 20812, 22153, 28992, 33221, 40630, 47406, 53615, 61192, 66520, 70954, 75013, 80007, 88591, 95248, 100712, 106458, 111802, 117756, 125763, 127406, 136444, 142209, 146040, 148133, 149350, 151619, 153386, 155250, 157982, 162127, 168556, 171493, 177508, 184196, 190748, 197273, 202434, 209557, 215358, 220695, 224829, 228719, 236265, 242114, 248905, 254458, 260742, 262020, 269104, 277265, 279500, 281540, 283907, 290526, 293988, 300107, 300599, 303361, 306216, 309752, 313973, 317936, 319130, 319944, 322384, 325113, 329542, 334538, 341951, 349461, 355024, 362497, 366470, 373138, 376106, 381050, 385896, 393000, 399997, 404828, 411416, 417449, 422436, 428674, 436278, 442364, 446656, 451319]"
5,Insects_incremental-reoccurring_imbal,NB_CUSUM_F,0.5863092670387552,0.4926201503554598,00:05:09,668.55 KB,"[414, 4564, 8676, 13041, 18551, 19912, 20693, 22065, 25211, 26693, 29780, 32713, 33394, 34971, 37250, 54061, 59585, 65271, 67233, 70296, 73851, 77400, 80206, 87231, 88341, 91302, 92728, 95061, 98785, 118431, 127380, 139012, 140742, 159841, 163641, 164818, 166425, 167750, 170827, 184540, 187547, 190748, 193494, 197926, 200700, 202593, 205579, 206774, 208803, 217495, 261943, 279554, 281025, 282285, 293938, 300573, 301908, 302526, 305646, 309404, 313870, 315690, 319283, 319998, 320754, 322392, 323550, 329652, 334731, 339927, 340934, 343098, 344526, 346836, 348618, 355004, 359529, 366286, 369621, 372325, 376486, 378640, 381026, 384674, 389469, 391195, 392350, 393274, 429269, 438378, 440889]"
6,Insects_incremental-reoccurring_imbal,NB_DDM_F,0.5244368345489256,0.4225218985942128,00:05:12,1.3 MB,"[106, 278, 387, 591, 4910, 30120, 37659, 55500, 67273, 84700, 134134, 173677, 186647, 203120, 205666, 263626, 279732, 320545]"
7,Insects_incremental-reoccurring_imbal,NB_ECDD_F,0.5180347887258513,0.4133235958174319,00:05:17,1.3 MB,"[106, 278, 388, 461, 523, 1364, 1586, 6279, 7049, 7434, 7693, 7987, 8447, 8656, 10010, 10645, 10776, 11366, 11764, 11846, 12159, 13196, 13413, 13719, 14386, 16926, 18451, 204650, 206197, 261766, 263091, 279414, 294878, 295510, 296262, 296734, 297124, 298088, 298698, 300466, 305073, 305646, 306148, 306409, 307554, 308216, 308460, 309008, 309329, 309971, 310953, 311825, 312099, 312452, 312804, 313314, 313623, 314325, 315046, 315308, 315545, 315969, 316265, 316366, 316697, 317991, 318512, 318632, 319070, 319543, 319812]"
8,Insects_incremental-reoccurring_imbal,NB_EDDM_F,0.5360574104675883,0.4219036960459544,00:05:08,1.3 MB,"[126, 270, 364, 460, 550, 654, 776, 858, 936, 1069, 1141, 1219, 1294, 1357, 1666, 2437, 4383, 4462, 8210, 8288, 8369, 8918, 9044, 9165, 9304, 10830, 10943, 12096, 12160, 12293, 12398, 12629, 12730, 13194, 19325, 19431, 19535, 19622, 19944, 20014, 20058, 20145, 20276, 20358, 20429, 21277, 22158, 22415, 22755, 27078, 27147, 27214, 27356, 28903, 28967, 29080, 29176, 29536, 33271, 33356, 33758, 34470, 34559, 34614, 35190, 35254, 35337, 37472, 37528, 37682, 37907, 37967, 79358, 79429, 79606, 79780, 79865, 79982, 80252, 80305, 80385, 80447, 80512, 80593, 80689, 80920, 80997, 81074, 81152, 81337, 81428, 81556, 84102, 84157, 84249, 84416, 84469, 84565, 84655, 84767, 84836, 84954, 85213, 85277, 85349, 85572, 85670, 85739, 85808, 85888, 86142, 86221]"
9,Insects_incremental-reoccurring_imbal,NB_GMA_F,0.5251049125857495,0.4013451686230098,00:05:05,665.33 KB,[]
