,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,Insects_incremental-reoccurring_imbal,BOLE_basic_F,0.6917970193101098,0.6009872703065696,01:00:13,189.48 MB,[]
1,Insects_incremental-reoccurring_imbal,BOLE_ADWIN_F,0.6339662377251721,0.5448367773381795,01:27:27,5.61 MB,[]
2,Insects_incremental-reoccurring_imbal,BOLE_BOCD_F,0.6375366945179994,0.5484426429773616,04:33:17,417.04 MB,[]
3,Insects_incremental-reoccurring_imbal,BOLE_CUSUM_F,0.6634457341447606,0.5756830193840732,01:16:59,4.84 MB,[]
4,Insects_incremental-reoccurring_imbal,BOLE_DDM_F,0.6950666197684734,0.6104855836027223,01:06:21,139.16 MB,[]
5,Insects_incremental-reoccurring_imbal,BOLE_ECDD_F,0.6634523706815502,0.5746955868549121,01:13:51,22.37 MB,[]
6,Insects_incremental-reoccurring_imbal,BOLE_EDDM_F,0.6872797499352937,0.5927747109737008,01:08:19,28.08 MB,[]
7,Insects_incremental-reoccurring_imbal,BOLE_GMA_F,0.6917970193101098,0.6009872703065696,01:07:11,189.5 MB,[]
8,Insects_incremental-reoccurring_imbal,BOLE_HDDMA_F,0.6877708536577273,0.5991639310690985,01:43:25,6.82 MB,[]
9,Insects_incremental-reoccurring_imbal,BOLE_HDDMW_F,0.6916952590793354,0.5998082356044168,01:27:54,4.64 MB,[]
10,Insects_incremental-reoccurring_imbal,BOLE_KSWIN1_F,0.6187287492561548,0.5274225528413304,02:03:24,5.88 MB,[]
11,Insects_incremental-reoccurring_imbal,BOLE_KSWIN51_F,0.6190937587795852,0.5281741720861589,01:56:58,5.77 MB,[]
12,Insects_incremental-reoccurring_imbal,BOLE_KSWIN101_F,0.6214607902345574,0.5309745919163332,01:55:20,6.22 MB,[]
13,Insects_incremental-reoccurring_imbal,BOLE_KSWIN151_F,0.6215713991810513,0.5307825020434132,01:55:19,6.3 MB,[]
14,Insects_incremental-reoccurring_imbal,BOLE_KSWIN201_F,0.6212528454151486,0.5309226474043802,01:56:42,5.54 MB,[]
15,Insects_incremental-reoccurring_imbal,BOLE_PH_F,0.6666578179509471,0.5805436157513797,01:16:13,15.95 MB,[]
16,Insects_incremental-reoccurring_imbal,BOLE_RDDM_F,0.6897330563685313,0.5996655121431276,01:19:53,7.49 MB,[]
17,Insects_incremental-reoccurring_imbal,BOLE_STEPD_F,0.6950356492634551,0.6035494725094289,01:30:47,6.94 MB,[]
