,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,Insects_incremental_bal,BOLE_basic_F,0.5416103968991705,0.44993351893788275,00:08:37,27.22 MB,[]
1,Insects_incremental_bal,BOLE_ADWIN_F,0.5641650735745479,0.4769992132370808,00:11:43,6.87 MB,[]
2,Insects_incremental_bal,BOLE_CUSUM_F,0.5798796850062262,0.4958565765019884,00:11:08,9.98 MB,[]
3,Insects_incremental_bal,BOLE_DDM_F,0.5767402704456566,0.49208938815198267,00:12:31,35.16 MB,[]
4,Insects_incremental_bal,BOLE_ECDD_F,0.5481873827104197,0.45782588715141465,00:12:14,12.48 MB,[]
5,Insects_incremental_bal,BOLE_EDDM_F,0.5762316502095867,0.49147899671840983,00:11:26,32.88 MB,[]
6,Insects_incremental_bal,BOLE_GMA_F,0.5416103968991705,0.44993351893788275,00:10:52,27.24 MB,[]
7,Insects_incremental_bal,BOLE_HDDMA_F,0.5808443095918762,0.4970140164994226,00:12:16,10.51 MB,[]
8,Insects_incremental_bal,BOLE_HDDMW_F,0.5661469386323377,0.4793767201566972,00:12:04,8.53 MB,[]
9,Insects_incremental_bal,BOLE_KSWIN1_F,0.5756353368293666,0.4907634040472528,00:16:20,6.83 MB,[]
10,Insects_incremental_bal,BOLE_KSWIN51_F,0.5777925881754564,0.49335209646548406,00:16:16,6.82 MB,[]
11,Insects_incremental_bal,BOLE_KSWIN101_F,0.5791079853377062,0.4949305725838367,00:16:16,6.83 MB,[]
12,Insects_incremental_bal,BOLE_KSWIN151_F,0.5792307557395163,0.49507785670577986,00:16:18,6.82 MB,[]
13,Insects_incremental_bal,BOLE_KSWIN201_F,0.5785116719574863,0.4942149643249591,00:16:14,6.82 MB,[]
14,Insects_incremental_bal,BOLE_PH_F,0.5605871932932284,0.4727057499796378,00:10:55,18.92 MB,[]
15,Insects_incremental_bal,BOLE_RDDM_F,0.5804233824999562,0.4965089098556405,00:12:07,13.13 MB,[]
16,Insects_incremental_bal,BOLE_STEPD_F,0.5696546643983373,0.4835860208694096,00:13:15,10.11 MB,[]
