,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,Insects_incremental_bal,HT_basic_F,0.5211428170545627,0.4253727008783739,00:00:38,2.51 MB,[]
1,Insects_incremental_bal,HT_ADWIN_F,0.5477839942473297,0.45734186978701874,00:00:57,713.4 KB,"[3295, 7903, 38111, 42399, 44031, 44959, 53663]"
2,Insects_incremental_bal,HT_BOCD_F,0.563498605679008,0.47619936531640844,01:22:42,343.3 MB,"[3353, 6916, 12284, 19262, 24060, 32881, 41697, 48145, 52280]"
3,Insects_incremental_bal,HT_CUSUM_F,0.5599908799130084,0.47199011365705623,00:00:54,706.25 KB,"[6890, 12217, 52096, 55800]"
4,Insects_incremental_bal,HT_DDM_F,0.5341564796464212,0.4409889148381935,00:00:57,2.74 MB,[7476]
5,Insects_incremental_bal,HT_ECDD_F,0.5214058964870126,0.4256883032554333,00:00:58,1.37 MB,"[54125, 55166, 55814, 56084]"
6,Insects_incremental_bal,HT_EDDM_F,0.5407860813441605,0.4489442788871006,00:00:55,2.29 MB,[15361]
7,Insects_incremental_bal,HT_GMA_F,0.5211428170545627,0.4253727008783739,00:00:54,2.51 MB,[]
8,Insects_incremental_bal,HT_HDDMA_F,0.5606222705508883,0.47274781515800113,00:00:57,843.38 KB,"[6664, 13087, 52081]"
9,Insects_incremental_bal,HT_HDDMW_F,0.5667432520125577,0.4800928408884944,00:00:56,845.23 KB,"[992, 4133, 5602, 6426, 8475, 10769, 11757, 12921, 14083, 18020, 21451, 23677, 24540, 25417, 27354, 28048, 29963, 32431, 34016, 35259, 37697, 38932, 42947, 45640, 46297, 47090, 48992, 50691, 51320, 51588, 53297, 55355, 55802]"
10,Insects_incremental_bal,HT_KSWIN1_F,0.5211428170545627,0.4253727008783739,00:01:21,2.51 MB,[]
11,Insects_incremental_bal,HT_KSWIN51_F,0.5211428170545627,0.4253727008783739,00:01:21,2.51 MB,[]
12,Insects_incremental_bal,HT_KSWIN101_F,0.5211428170545627,0.4253727008783739,00:01:25,2.51 MB,[]
13,Insects_incremental_bal,HT_KSWIN151_F,0.5211428170545627,0.4253727008783739,00:01:29,2.51 MB,[]
14,Insects_incremental_bal,HT_KSWIN201_F,0.5211428170545627,0.4253727008783739,00:01:28,2.51 MB,[]
15,Insects_incremental_bal,HT_PH_F,0.5487836960906396,0.45854174426023125,00:00:54,2.05 MB,[11884]
16,Insects_incremental_bal,HT_RDDM_F,0.5591314871003384,0.47095893632536445,00:00:56,1.43 MB,"[1366, 6479, 12914, 54120, 56005]"
17,Insects_incremental_bal,HT_STEPD_F,0.5683743444937475,0.48205013724395374,00:01:05,1.38 MB,"[1374, 1529, 3203, 7613, 8479, 11558, 11832, 12775, 12952, 13206, 14000, 14175, 16458, 17255, 18100, 19728, 23402, 25314, 25813, 27923, 31369, 32439, 32885, 38947, 39205, 43137, 43842, 44016, 44343, 45111, 47454, 48326, 48480, 51142, 51315, 51502, 53442, 54987, 55379, 55606]"
