,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,Insects_incremental_bal,NoChange_basic_F,0.16079414911342232,-0.007047021001939007,00:00:02,1.62 KB,[]
1,Insects_incremental_bal,MajClass_basic_F,0.1154217163302173,-0.061491949097160895,00:00:02,1.31 KB,[]
2,Insects_incremental_bal,NB_basic_F,0.47389375098654785,0.3686734224215902,00:00:19,662.87 KB,[]
3,Insects_incremental_bal,NB_ADWIN_F,0.5517828016205693,0.46214041005455153,00:00:38,672.62 KB,"[3359, 7967, 38559, 42655, 52383]"
4,Insects_incremental_bal,NB_BOCD_F,0.5607275023238684,0.47287409808333875,01:22:36,22.9 MB,"[3418, 7198, 12564, 20974, 27578, 36809, 42270, 49934, 55811]"
5,Insects_incremental_bal,NB_CUSUM_F,0.5659189364575478,0.4791037591841804,00:00:39,665.67 KB,"[6873, 12179, 40273, 51713, 56237]"
6,Insects_incremental_bal,NB_DDM_F,0.5194941859445429,0.42339414802396286,00:00:39,1.3 MB,[7476]
7,Insects_incremental_bal,NB_ECDD_F,0.47389375098654785,0.3686734224215902,00:00:40,1.3 MB,[]
8,Insects_incremental_bal,NB_EDDM_F,0.5375063577529509,0.44500882715804246,00:00:38,1.3 MB,"[15507, 15558, 15802]"
9,Insects_incremental_bal,NB_GMA_F,0.47389375098654785,0.3686734224215902,00:00:38,665.48 KB,[]
10,Insects_incremental_bal,NB_HDDMA_F,0.5502744795411895,0.4603304798755955,00:00:39,1.3 MB,"[6662, 15536, 51142]"
11,Insects_incremental_bal,NB_HDDMW_F,0.5686900398126874,0.4824290064858283,00:00:39,779.6 KB,"[992, 4133, 5602, 6418, 8475, 10769, 11757, 12921, 14092, 18020, 21451, 23677, 24540, 25417, 27354, 28048, 29957, 32431, 34016, 35260, 37697, 38932, 42947, 45640, 46297, 47090, 51316, 54255, 55371, 55806]"
12,Insects_incremental_bal,NB_KSWIN1_F,0.47389375098654785,0.3686734224215902,00:01:03,666.83 KB,[]
13,Insects_incremental_bal,NB_KSWIN51_F,0.47389375098654785,0.3686734224215902,00:01:03,666.83 KB,[]
14,Insects_incremental_bal,NB_KSWIN101_F,0.47389375098654785,0.3686734224215902,00:01:03,666.83 KB,[]
15,Insects_incremental_bal,NB_KSWIN151_F,0.47389375098654785,0.3686734224215902,00:01:03,666.83 KB,[]
16,Insects_incremental_bal,NB_KSWIN201_F,0.5105144079835838,0.41261853132576687,00:01:03,666.92 KB,"[28096, 28221]"
17,Insects_incremental_bal,NB_PH_F,0.5426451760001403,0.4511753805513744,00:00:38,665.55 KB,[11856]
18,Insects_incremental_bal,NB_RDDM_F,0.5536769735342091,0.4644134674746089,00:00:39,722.32 KB,"[1366, 6467, 7610, 8574, 9149, 11497, 11777, 56170, 56381]"
19,Insects_incremental_bal,NB_STEPD_F,0.5681638809477875,0.48179764532702807,00:00:49,1.31 MB,"[1374, 1532, 1599, 2177, 5779, 5960, 7834, 11554, 11833, 12775, 13251, 15586, 17429, 18027, 19728, 23402, 24549, 25415, 25821, 27923, 31369, 32892, 38947, 42837, 43234, 44356, 45111, 45990, 47496, 49969, 51316, 51598, 51747, 53436, 54987, 55582]"
