,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,Insects_incremental_imbal,NoChange_basic_F,0.28195547768685725,0.07236246869177035,00:00:20,1.6 KB,[]
1,Insects_incremental_imbal,MajClass_basic_F,0.2980092601810005,0.0016814523337156067,00:00:22,1.3 KB,[]
2,Insects_incremental_imbal,NB_basic_F,0.49223635804558413,0.3753098961130909,00:02:39,662.86 KB,[]
3,Insects_incremental_imbal,NB_ADWIN_F,0.5750360032120838,0.4819939303473,00:05:15,342.67 KB,"[863, 3327, 10591, 45407, 55935, 60511, 63743, 65279, 67839, 72159, 92639, 99615, 122367, 142847, 161919, 197471, 246623, 303967, 357215, 382879, 423711, 437023, 446015, 447167, 448959, 450751]"
4,Insects_incremental_imbal,NB_BOCD_F,0.5866300329835878,0.4942459389630913,10:15:03,24.42 MB,"[822, 3196, 8524, 10883, 18045, 23362, 27540, 32910, 40149, 47719, 50717, 55337, 59504, 63658, 65195, 67743, 72893, 76540, 82853, 87887, 96263, 99376, 105675, 113393, 120231, 128098, 133137, 137714, 141845, 148544, 155352, 160783, 169918, 177653, 185351, 193088, 202531, 207663, 213356, 216376, 222108, 228274, 233814, 238704, 244425, 254475, 264410, 270716, 274579, 279211, 285241, 294716, 298772, 305812, 311717, 318243, 322193, 329402, 335133, 342110, 347478, 353113, 358559, 365736, 373360, 380539, 382616, 388919, 396593, 403372, 409420, 415679, 422291, 428061, 432278, 436244, 441119, 445165, 447030, 448991, 450788]"
5,Insects_incremental_imbal,NB_CUSUM_F,0.6007393101983661,0.5091672746043164,00:05:01,558.97 KB,"[792, 1175, 1742, 2389, 11342, 15036, 18450, 23496, 27538, 29628, 33937, 35748, 43266, 49039, 54817, 55505, 57330, 58837, 59613, 60300, 62491, 63545, 64877, 66072, 68809, 77253, 79067, 80555, 87119, 99348, 104771, 110317, 114466, 160931, 169218, 172181, 178574, 182427, 185385, 192322, 194043, 195947, 197466, 198778, 200043, 201557, 202748, 204402, 206014, 206865, 208124, 209514, 212453, 215277, 216857, 218571, 219629, 222077, 225565, 227873, 238507, 239122, 240680, 241385, 242467, 249003, 250515, 260378, 263391, 265755, 266766, 269573, 277494, 278782, 280819, 282325, 286988, 287640, 289857, 290525, 297364, 302041, 305712, 309751, 314908, 321310, 342886, 347422, 349975, 353188, 381802, 383736, 386305, 390128, 392818, 393708, 395189, 410479, 418829, 420097, 424266, 426578, 429795, 447174, 448565, 449311, 450394]"
6,Insects_incremental_imbal,NB_DDM_F,0.5582743234603788,0.4629071670814102,00:05:05,1.19 MB,"[240, 771, 12191, 23570, 55723, 57512, 65626, 66075, 94931, 99424, 105232, 163763, 195356, 245942, 279324, 387675, 415953]"
7,Insects_incremental_imbal,NB_ECDD_F,0.5021336465778699,0.3960536410112066,00:05:12,1.3 MB,"[196, 692, 752, 853, 963, 1084, 1132, 1353, 1529, 1604, 1689, 1817, 2005, 2067, 3049, 4091, 7321, 9043, 9584, 12642, 13704, 13834, 14087, 14719, 15037, 15173, 15809, 16112, 16912, 17484, 17872, 18364, 19465, 20464, 21037, 21225, 21844, 22122, 22527, 23000, 24209, 24625, 25286, 25325, 25643, 25887, 26242, 27380, 27750, 28076, 28905, 29189, 30052, 31501, 31896, 32126, 33636, 34262, 34457, 34660, 35479, 36152, 37293, 37476, 37927, 38090, 39209, 39317, 39523, 39731, 40486, 41268, 41441, 41573, 41631, 41822, 41878, 42505, 43254, 43484, 44148, 45229, 46324, 47022, 47760, 47985, 48041, 48624, 48741, 49803, 50442, 50900, 51117, 51215, 51473, 51562, 51984, 52545, 54018, 54877, 55290]"
8,Insects_incremental_imbal,NB_EDDM_F,0.5130728713861292,0.40732658668279403,00:05:04,1.3 MB,"[205, 489, 687, 810, 941, 1042, 1163, 1360, 1455, 1550, 1624, 1718, 1817, 1969, 2029, 2084, 2169, 2285, 2352, 2427, 2582, 2702, 2767, 2877, 3058, 3116, 3182, 3293, 16418, 44789, 44855, 44934, 45016, 45229, 45579, 45884, 55506]"
9,Insects_incremental_imbal,NB_GMA_F,0.49223635804558413,0.3753098961130909,00:05:12,665.33 KB,[]
