,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,mixed_abrupt_100K_0,BOLE_BOCD_F,0.9027390273902739,0.8054398325739366,02:16:51,23.49 MB,[]
1,mixed_abrupt_100K_2,BOLE_BOCD_F,0.8975089750897509,0.7949534825316237,02:05:46,143.21 MB,[]
2,mixed_abrupt_100K_4,BOLE_BOCD_F,0.899718997189972,0.7993918733081667,01:54:45,231.3 MB,[]
3,mixed_abrupt_100K_6,BOLE_BOCD_F,0.9002690026900269,0.8004995434165447,01:55:13,208.49 MB,[]
4,mixed_abrupt_100K_8,BOLE_BOCD_F,0.8993289932899329,0.7986124938636185,01:51:29,154.52 MB,[]
5,mixed_abrupt_100K_10,BOLE_BOCD_F,0.8970589705897059,0.7940533437919909,02:00:46,189.28 MB,[]
6,mixed_abrupt_100K_12,BOLE_BOCD_F,0.9006590065900659,0.8012872195350192,02:11:54,150.33 MB,[]
7,mixed_abrupt_100K_14,BOLE_BOCD_F,0.9006990069900699,0.8013566613905148,01:42:49,162.34 MB,[]
8,mixed_abrupt_100K_16,BOLE_BOCD_F,0.897908979089791,0.7957820725531453,02:01:35,88.02 MB,[]
9,mixed_abrupt_100K_18,BOLE_BOCD_F,0.8981489814898149,0.7962703934322866,01:56:29,285.55 MB,[]
10,mixed_abrupt_100K_20,BOLE_BOCD_F,0.8990489904899049,0.7980534045172375,01:53:42,262.58 MB,[]
11,mixed_abrupt_100K_22,BOLE_BOCD_F,0.9023390233902339,0.8046256458422332,01:43:13,348.22 MB,[]
12,mixed_abrupt_100K_24,BOLE_BOCD_F,0.8969189691896919,0.7937967776402628,01:49:58,93.58 MB,[]
13,mixed_abrupt_100K_26,BOLE_BOCD_F,0.9005690056900569,0.8011127978060018,01:54:54,325.81 MB,[]
14,mixed_abrupt_100K_28,BOLE_BOCD_F,0.8970389703897039,0.7940444832750312,02:00:12,110.3 MB,[]
15,mixed_abrupt_100K_30,BOLE_BOCD_F,0.9015390153901539,0.8030329221915944,01:58:33,84.47 MB,[]
16,mixed_abrupt_100K_32,BOLE_BOCD_F,0.8979889798897989,0.7959368268614182,01:58:21,320.08 MB,[]
17,mixed_abrupt_100K_34,BOLE_BOCD_F,0.8961489614896149,0.7922537605014471,02:08:27,152.35 MB,[]
18,mixed_abrupt_100K_36,BOLE_BOCD_F,0.8999589995899959,0.799879391039892,01:50:25,137.65 MB,[]
19,mixed_abrupt_100K_38,BOLE_BOCD_F,0.897528975289753,0.7950025878916435,01:46:59,153.19 MB,[]
20,mixed_abrupt_100K_40,BOLE_BOCD_F,0.8969989699896999,0.793940404001619,01:33:24,135.75 MB,[]
21,mixed_abrupt_100K_42,BOLE_BOCD_F,0.896478964789648,0.7929049585578514,01:46:55,98.55 MB,[]
22,mixed_abrupt_100K_44,BOLE_BOCD_F,0.8977889778897788,0.7955249201196188,01:48:38,104.65 MB,[]
23,mixed_abrupt_100K_46,BOLE_BOCD_F,0.9008990089900899,0.8017378671191157,01:52:00,180.55 MB,[]
24,mixed_abrupt_100K_48,BOLE_BOCD_F,0.8979689796897969,0.7958969386811015,01:42:02,156.63 MB,[]
25,mixed_abrupt_100K_50,BOLE_BOCD_F,0.9017290172901729,0.8033777669228893,01:52:26,163.03 MB,[]
26,mixed_abrupt_100K_52,BOLE_BOCD_F,0.9000490004900049,0.8000489797075279,01:52:47,292.68 MB,[]
27,mixed_abrupt_100K_54,BOLE_BOCD_F,0.8932789327893279,0.786522619139066,01:47:57,127.13 MB,[]
28,mixed_abrupt_100K_56,BOLE_BOCD_F,0.901879018790188,0.8037128091038344,01:57:26,306.73 MB,[]
29,mixed_abrupt_100K_58,BOLE_BOCD_F,0.8988489884898849,0.7976635954723886,01:53:44,307.83 MB,[]
