,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,mixed_gradual_100K_0,BOLE_basic_F,0.9182691826918269,0.8365237065799389,00:00:59,13.24 MB,[]
1,mixed_gradual_100K_0,BOLE_ADWIN_F,0.8983289832898329,0.7966080061812899,00:01:49,677.21 KB,[]
2,mixed_gradual_100K_0,BOLE_CUSUM_F,0.9217892178921789,0.8435450010109373,00:01:18,888.44 KB,[]
3,mixed_gradual_100K_0,BOLE_DDM_F,0.9177191771917719,0.8354131984830605,00:01:24,3.25 MB,[]
4,mixed_gradual_100K_0,BOLE_ECDD_F,0.8273182731827319,0.6545799146806499,00:01:27,848.74 KB,[]
5,mixed_gradual_100K_0,BOLE_EDDM_F,0.8780387803878039,0.7560303355746474,00:01:14,2.06 MB,[]
6,mixed_gradual_100K_0,BOLE_GMA_F,0.9182691826918269,0.8365237065799389,00:01:19,13.25 MB,[]
7,mixed_gradual_100K_0,BOLE_HDDMA_F,0.8475484754847549,0.6950516825905707,00:01:31,621.37 KB,[]
8,mixed_gradual_100K_0,BOLE_HDDMW_F,0.8652686526865269,0.7304948037961397,00:01:32,698.85 KB,[]
9,mixed_gradual_100K_0,BOLE_KSWIN1_F,0.8878488784887849,0.7756504359743257,00:05:33,482.89 KB,[]
10,mixed_gradual_100K_0,BOLE_KSWIN51_F,0.8934289342893429,0.7868260264225387,00:05:32,551.55 KB,[]
11,mixed_gradual_100K_0,BOLE_KSWIN101_F,0.8890788907889079,0.7781162692082183,00:05:29,581.8 KB,[]
12,mixed_gradual_100K_0,BOLE_KSWIN151_F,0.8958989589895899,0.7917572229240422,00:05:32,490.33 KB,[]
13,mixed_gradual_100K_0,BOLE_KSWIN201_F,0.8955189551895519,0.7909978407496548,00:05:26,745.89 KB,[]
14,mixed_gradual_100K_0,BOLE_PH_F,0.9354793547935479,0.8709374302929881,00:01:12,2.36 MB,[]
15,mixed_gradual_100K_0,BOLE_RDDM_F,0.8869488694886949,0.7738562145522111,00:01:24,1.71 MB,[]
16,mixed_gradual_100K_0,BOLE_STEPD_F,0.8525085250852509,0.7049647875613396,00:02:29,800.93 KB,[]
17,mixed_gradual_100K_2,BOLE_basic_F,0.9085390853908539,0.8170068758019065,00:00:59,13.26 MB,[]
18,mixed_gradual_100K_2,BOLE_ADWIN_F,0.8965389653896539,0.7930227278225759,00:01:47,640.92 KB,[]
19,mixed_gradual_100K_2,BOLE_CUSUM_F,0.9172091720917209,0.8343745094109756,00:01:17,1.35 MB,[]
20,mixed_gradual_100K_2,BOLE_DDM_F,0.922919229192292,0.8458030174576332,00:01:22,2.86 MB,[]
21,mixed_gradual_100K_2,BOLE_ECDD_F,0.8289582895828959,0.6578313265121333,00:01:26,827.75 KB,[]
22,mixed_gradual_100K_2,BOLE_EDDM_F,0.8839388393883939,0.7678198301859108,00:01:13,1.77 MB,[]
23,mixed_gradual_100K_2,BOLE_GMA_F,0.9085390853908539,0.8170068758019065,00:01:18,13.28 MB,[]
24,mixed_gradual_100K_2,BOLE_HDDMA_F,0.8482384823848238,0.6964112736254725,00:01:30,591.45 KB,[]
25,mixed_gradual_100K_2,BOLE_HDDMW_F,0.8616886168861688,0.7233030310431889,00:01:30,525.47 KB,[]
26,mixed_gradual_100K_2,BOLE_KSWIN1_F,0.8925289252892529,0.7849979279800847,00:05:29,631.78 KB,[]
27,mixed_gradual_100K_2,BOLE_KSWIN51_F,0.8920789207892079,0.7840893896151608,00:05:49,579.71 KB,[]
28,mixed_gradual_100K_2,BOLE_KSWIN101_F,0.8956589565895658,0.7912514875520935,00:07:57,526.16 KB,[]
29,mixed_gradual_100K_2,BOLE_KSWIN151_F,0.9002590025900259,0.8004624510394598,00:08:16,745.38 KB,[]
30,mixed_gradual_100K_2,BOLE_KSWIN201_F,0.8990489904899049,0.7980457132158549,00:08:14,607.22 KB,[]
31,mixed_gradual_100K_2,BOLE_PH_F,0.932839328393284,0.8656484847961861,00:01:49,2.33 MB,[]
32,mixed_gradual_100K_2,BOLE_RDDM_F,0.8743787437874379,0.7486841349232638,00:02:05,1.19 MB,[]
33,mixed_gradual_100K_2,BOLE_STEPD_F,0.8514585145851459,0.7028325543952664,00:03:32,801.12 KB,[]
34,mixed_gradual_100K_4,BOLE_basic_F,0.9037390373903739,0.8074649252000494,00:01:30,13.38 MB,[]
