,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,mixed_gradual_100K_0,BOLE_BOCD_F,0.8896288962889629,0.7792310485558849,02:12:11,76.76 MB,[]
1,mixed_gradual_100K_2,BOLE_BOCD_F,0.8865988659886599,0.7731343037562118,02:04:52,107.49 MB,[]
2,mixed_gradual_100K_4,BOLE_BOCD_F,0.8900689006890069,0.7801080849641068,02:04:38,245.81 MB,[]
3,mixed_gradual_100K_6,BOLE_BOCD_F,0.8921689216892169,0.7842749117678317,01:59:43,146.25 MB,[]
4,mixed_gradual_100K_8,BOLE_BOCD_F,0.8911089110891109,0.7821606484216288,01:57:54,165.96 MB,[]
5,mixed_gradual_100K_10,BOLE_BOCD_F,0.8890588905889059,0.7780531913893901,02:16:01,150.44 MB,[]
6,mixed_gradual_100K_12,BOLE_BOCD_F,0.8917089170891709,0.7833796014080194,02:07:59,205.36 MB,[]
7,mixed_gradual_100K_14,BOLE_BOCD_F,0.8933689336893369,0.7866873028323077,02:02:06,87.2 MB,[]
8,mixed_gradual_100K_16,BOLE_BOCD_F,0.8893588935889359,0.7786718410784362,02:16:00,81.54 MB,[]
9,mixed_gradual_100K_18,BOLE_BOCD_F,0.8905089050890509,0.780981186280397,02:02:28,225.66 MB,[]
10,mixed_gradual_100K_20,BOLE_BOCD_F,0.8923589235892359,0.7846675892036304,02:07:20,259.39 MB,[]
11,mixed_gradual_100K_22,BOLE_BOCD_F,0.8959389593895939,0.791829259123527,01:57:25,216.55 MB,[]
12,mixed_gradual_100K_24,BOLE_BOCD_F,0.8902189021890219,0.7803891770672833,02:02:38,175.79 MB,[]
13,mixed_gradual_100K_26,BOLE_BOCD_F,0.8937589375893759,0.7874866986626563,02:04:46,46.93 MB,[]
14,mixed_gradual_100K_28,BOLE_BOCD_F,0.8870988709887099,0.7741418833247721,02:10:30,76.51 MB,[]
15,mixed_gradual_100K_30,BOLE_BOCD_F,0.8925289252892529,0.7850090124425062,02:15:40,147.7 MB,[]
16,mixed_gradual_100K_32,BOLE_BOCD_F,0.8918589185891859,0.7836787225455177,02:10:45,70.58 MB,[]
17,mixed_gradual_100K_34,BOLE_BOCD_F,0.8910789107891078,0.7821144399352523,02:05:07,316.33 MB,[]
18,mixed_gradual_100K_36,BOLE_BOCD_F,0.8919589195891959,0.7838679553154573,01:51:45,226.38 MB,[]
19,mixed_gradual_100K_38,BOLE_BOCD_F,0.8907189071890719,0.7814073768232482,01:57:13,185.28 MB,[]
20,mixed_gradual_100K_40,BOLE_BOCD_F,0.8898588985889859,0.7796543255794096,02:02:39,268.84 MB,[]
21,mixed_gradual_100K_42,BOLE_BOCD_F,0.8886188861888619,0.777181516515187,01:52:44,146.69 MB,[]
22,mixed_gradual_100K_44,BOLE_BOCD_F,0.8907689076890769,0.7814795287934442,01:49:07,206.55 MB,[]
23,mixed_gradual_100K_46,BOLE_BOCD_F,0.8926589265892659,0.7852520022871199,01:59:11,203.93 MB,[]
24,mixed_gradual_100K_48,BOLE_BOCD_F,0.8872488724887249,0.7744661643087976,01:58:53,126.99 MB,[]
25,mixed_gradual_100K_50,BOLE_BOCD_F,0.8926389263892639,0.7852104169299963,01:55:07,143.55 MB,[]
26,mixed_gradual_100K_52,BOLE_BOCD_F,0.8904489044890449,0.7808641623858763,01:57:22,97.96 MB,[]
27,mixed_gradual_100K_54,BOLE_BOCD_F,0.8856388563885639,0.7712411069391067,01:56:26,336.68 MB,[]
28,mixed_gradual_100K_56,BOLE_BOCD_F,0.8916789167891679,0.7833072628745174,01:58:03,206.69 MB,[]
29,mixed_gradual_100K_58,BOLE_BOCD_F,0.8908789087890879,0.7817182199256169,02:01:54,94.7 MB,[]
