,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,mixed_gradual_100K_0,HT_BOCD_F,0.8933289332893329,0.78659339671229,00:39:37,29.12 MB,"[3529, 7125, 10756, 14548, 18123, 19954, 20466, 24083, 27829, 31659, 35270, 38888, 40056, 40812, 44312, 47888, 51592, 55172, 58888, 60074, 60702, 64283, 67954, 74423, 78133, 80020, 80514, 84042, 87759, 91457, 95091, 98620]"
1,mixed_gradual_100K_2,HT_BOCD_F,0.8955089550895509,0.7909561004523331,01:00:34,70.54 MB,"[3656, 7263, 10918, 14647, 17335, 19892, 20468, 24070, 27689, 31296, 37840, 39888, 40464, 44043, 47640, 51265, 58098, 59895, 60442, 64020, 67632, 71259, 78652, 79894, 80388, 83953, 87620, 91186, 97851]"
2,mixed_gradual_100K_4,HT_BOCD_F,0.8934689346893468,0.7868805767235632,00:45:08,88.19 MB,"[3773, 9558, 13278, 16886, 19957, 20375, 23836, 27586, 31265, 34922, 38636, 39972, 40413, 44096, 47709, 51115, 54848, 58487, 59977, 60430, 64251, 67980, 71755, 75383, 79133, 79982, 80492, 84245, 87906, 91501, 97597]"
3,mixed_gradual_100K_6,HT_BOCD_F,0.8929689296892969,0.785861502337452,00:37:41,24.9 MB,"[3702, 7292, 11018, 14617, 18326, 19928, 20431, 23937, 27529, 31243, 34757, 38531, 39906, 40404, 44011, 47574, 51236, 54807, 58583, 59887, 60376, 64519, 68135, 71871, 75527, 79192, 79934, 80484, 84189, 87895, 91346, 94993, 98724]"
4,mixed_gradual_100K_8,HT_BOCD_F,0.8927289272892729,0.7853777652519021,00:40:21,27.29 MB,"[3652, 7263, 10923, 16534, 19955, 20406, 24164, 27901, 31516, 35166, 38653, 40003, 40390, 44045, 47717, 51335, 55005, 58652, 60012, 60372, 64152, 67756, 71348, 74958, 78659, 80017, 80396, 84057, 87729, 91347, 95017, 98664]"
5,mixed_gradual_100K_10,HT_BOCD_F,0.8922089220892209,0.7843325874413585,00:54:46,510.31 KB,"[3738, 7468, 11014, 14799, 18478, 19968, 20597, 24326, 29887, 33418, 37232, 39923, 40459, 44156, 49867, 53642, 57370, 59932, 60468, 64164, 69676, 73212, 76866, 79936, 80392, 84077, 89861, 93476, 99827]"
6,mixed_gradual_100K_12,HT_BOCD_F,0.8913389133891338,0.7826041449579582,00:41:21,4.02 MB,"[3685, 7281, 10916, 14572, 18305, 19968, 20666, 24231, 28054, 31699, 37956, 39940, 40495, 44139, 47965, 51589, 55331, 58990, 59981, 61248, 64911, 68600, 72407, 76091, 79602, 80044, 81884, 85387, 89091, 92734, 96384, 99490]"
7,mixed_gradual_100K_14,HT_BOCD_F,0.8951889518895189,0.7903184000042159,00:42:11,6.16 MB,"[3731, 7300, 10874, 14601, 18284, 19928, 20549, 24030, 27800, 31328, 35062, 38545, 39984, 40677, 44284, 47890, 51334, 55089, 58671, 59977, 60731, 64321, 68074, 71663, 75250, 78920, 79960, 81071, 86565, 90140, 93750, 99367]"
8,mixed_gradual_100K_16,HT_BOCD_F,0.8938189381893819,0.7875726504249145,00:37:06,10.87 MB,"[3588, 7212, 10985, 14599, 18193, 20014, 20628, 24378, 28166, 31727, 35268, 38837, 40043, 41306, 44920, 48601, 52215, 56011, 59888, 60429, 64169, 67856, 71546, 74997, 78834, 80038, 81064, 84755, 88509, 92127, 95595, 99158]"
9,mixed_gradual_100K_18,HT_BOCD_F,0.8910189101891018,0.781976633578375,00:37:00,21.88 MB,"[3708, 7340, 11125, 14638, 18284, 19951, 20359, 24087, 27756, 31387, 35067, 38807, 39980, 40574, 44269, 48029, 51489, 55097, 58806, 59976, 60561, 64266, 68032, 71564, 75168, 78805, 79978, 80572, 84267, 88027, 91487, 95095, 98804]"
10,mixed_gradual_100K_20,HT_BOCD_F,0.8924289242892429,0.7847768068380282,00:34:55,89.29 MB,"[3726, 7478, 11074, 14708, 18338, 19993, 20548, 23178, 26743, 30416, 34044, 37830, 39997, 40493, 44217, 47979, 51582, 55175, 58847, 60040, 60660, 62916, 66335, 69975, 73492, 77195, 80008, 80550, 82886, 86493, 90180, 93940, 97582]"
11,mixed_gradual_100K_22,HT_BOCD_F,0.8981589815898159,0.7962382329268958,00:40:50,120.48 MB,"[3488, 7151, 10870, 14440, 18221, 19911, 20404, 24089, 27829, 31499, 35246, 38833, 39953, 40595, 44246, 47981, 51571, 55236, 58719, 59942, 60554, 64169, 67920, 71492, 75228, 78708, 79931, 80517, 84057, 89958, 93624, 97191]"
12,mixed_gradual_100K_24,HT_BOCD_F,0.894318943189432,0.7885601192440658,00:40:35,20.45 MB,"[3705, 7355, 12888, 16445, 19868, 20497, 24112, 27895, 31405, 35062, 38513, 39973, 40572, 44283, 47952, 51433, 55088, 58834, 60007, 60612, 64368, 68018, 71748, 75354, 79111, 80014, 80516, 84200, 87878, 91497, 95111, 98844]"
13,mixed_gradual_100K_26,HT_BOCD_F,0.8971589715897159,0.7942804888687174,00:35:36,39.27 MB,"[3648, 7223, 10781, 14502, 18112, 19969, 20419, 24125, 27740, 31322, 34950, 38604, 39962, 40504, 44132, 47822, 51407, 54963, 58413, 59957, 60496, 64126, 67741, 71492, 75040, 78599, 79949, 80488, 84116, 87806, 91391, 94947, 98397]"
14,mixed_gradual_100K_28,HT_BOCD_F,0.8932889328893289,0.7865114933723212,00:43:19,103.78 MB,"[3418, 7025, 10758, 14254, 17742, 19938, 20637, 24107, 27754, 31367, 35064, 38716, 39950, 40522, 44049, 47627, 51410, 57415, 59901, 60626, 64229, 67751, 71347, 75112, 78719, 79928, 80500, 84027, 87605, 91388, 97393]"
15,mixed_gradual_100K_30,HT_BOCD_F,0.8957989579895799,0.791534397970767,00:37:02,23.41 MB,"[3645, 7362, 10981, 14572, 18283, 19971, 20483, 24167, 27870, 31680, 35170, 38775, 39974, 40467, 44163, 47866, 51676, 55166, 58771, 59970, 60463, 64159, 67862, 71672, 75162, 78767, 79966, 80459, 84155, 87858, 91668, 95158, 98763]"
16,mixed_gradual_100K_32,HT_BOCD_F,0.8932789327893279,0.7864926569755064,00:37:22,6.36 MB,"[3683, 7278, 10875, 14659, 18317, 19927, 20491, 24190, 27873, 31395, 35078, 38731, 39988, 40653, 44327, 47915, 51813, 55801, 59323, 60062, 60773, 64342, 67914, 71430, 75112, 78765, 80022, 80687, 84361, 87949, 91847, 95835, 99357]"
17,mixed_gradual_100K_34,HT_BOCD_F,0.8911389113891139,0.7822132502200211,00:38:43,27.87 MB,"[3624, 7232, 10965, 14617, 18299, 19977, 20859, 24583, 28361, 32021, 35714, 39350, 40043, 42190, 45952, 49580, 53129, 56871, 59921, 60537, 64284, 69428, 73073, 76868, 79890, 80512, 84210, 88031, 91297, 94897, 98650]"
18,mixed_gradual_100K_36,HT_BOCD_F,0.897528975289753,0.7950149517483347,00:40:01,112.56 MB,"[3654, 7923, 11578, 15248, 18821, 19998, 20810, 24372, 27916, 31505, 35238, 38846, 39982, 40667, 44315, 47882, 51510, 54604, 58225, 59956, 60548, 64233, 67670, 71228, 74791, 78438, 79945, 80497, 84152, 87710, 91330, 97285]"
19,mixed_gradual_100K_38,HT_BOCD_F,0.8929389293892939,0.7858115475990516,00:46:55,76.84 MB,"[3679, 7366, 11067, 14670, 18217, 19979, 20486, 24177, 27760, 31377, 38000, 39977, 40515, 44178, 47921, 51510, 55218, 58921, 60018, 60520, 64191, 67947, 71456, 75210, 78907, 80012, 80800, 86788, 90455, 94091, 97757]"
20,mixed_gradual_100K_40,HT_BOCD_F,0.8913989139891398,0.782723463748564,00:40:26,82.63 MB,"[3649, 7216, 10899, 14571, 18311, 19906, 20501, 23946, 27542, 31240, 34859, 38588, 39882, 40520, 44145, 47900, 51562, 55203, 58873, 59898, 60713, 64388, 68089, 71828, 75627, 79346, 79989, 80883, 84629, 88169, 94050, 97674]"
21,mixed_gradual_100K_42,HT_BOCD_F,0.8937989379893799,0.7875377430070069,00:47:10,80.93 MB,"[3656, 7237, 11000, 14794, 18346, 19996, 20467, 24080, 27779, 31504, 35106, 38706, 39991, 40481, 44071, 47897, 51604, 55101, 58709, 59982, 60410, 63999, 70456, 73989, 77420, 79946, 80403, 83991, 90594, 94146, 97698]"
22,mixed_gradual_100K_44,HT_BOCD_F,0.8935289352893528,0.7869886350686099,00:36:30,26.85 MB,"[3696, 7360, 10934, 14546, 18225, 19969, 20467, 24172, 27829, 31451, 35130, 38666, 40014, 40721, 44449, 48040, 51630, 55135, 58738, 60010, 60625, 64345, 68114, 71775, 75471, 79100, 80033, 80583, 84399, 88041, 91616, 95145, 98675]"
23,mixed_gradual_100K_46,HT_BOCD_F,0.8961889618896189,0.7922950379756967,00:36:30,11.13 MB,"[3504, 7268, 10907, 14585, 18236, 19961, 20545, 24175, 27624, 31162, 34910, 38650, 39982, 40741, 44237, 47754, 51347, 55045, 58789, 59983, 60742, 64234, 67798, 71433, 75018, 78633, 79982, 80663, 84403, 88003, 91790, 95552, 99148]"
24,mixed_gradual_100K_48,HT_BOCD_F,0.8924289242892429,0.7847549672516596,00:47:57,160.17 MB,"[3510, 7115, 12644, 16422, 19870, 20452, 26413, 30070, 33725, 37264, 39974, 40509, 44165, 47892, 51508, 56487, 59909, 60503, 64285, 70035, 72500, 75923, 79500, 80132, 82212, 85851, 89417, 93149, 96761]"
25,mixed_gradual_100K_50,HT_BOCD_F,0.895018950189502,0.7899294340499003,00:39:56,385.23 MB,"[3695, 7385, 10977, 14612, 18178, 19999, 20477, 23992, 27617, 31233, 34837, 38608, 40003, 40523, 44184, 47694, 51443, 55123, 59881, 60401, 63896, 67535, 71149, 74674, 78240, 80019, 80478, 83954, 87589, 91285, 94977]"
26,mixed_gradual_100K_52,HT_BOCD_F,0.8914789147891479,0.7829010299459783,00:37:17,14.38 MB,"[3654, 7334, 10925, 14585, 18156, 19943, 20529, 24256, 27947, 31696, 35363, 38986, 39984, 40715, 44384, 48079, 51718, 55428, 59077, 59961, 60692, 64357, 68043, 71694, 75398, 79042, 79945, 80714, 84390, 88023, 91678, 95382, 99031]"
27,mixed_gradual_100K_54,HT_BOCD_F,0.8915889158891589,0.7831256238017652,00:42:21,24.82 MB,"[3709, 7130, 10769, 14373, 17986, 19954, 20569, 24325, 27934, 29784, 33386, 36951, 39930, 40464, 44271, 47869, 51643, 58332, 59931, 60448, 64139, 67688, 71363, 75015, 78713, 79963, 80512, 84281, 87897, 91425, 95023, 98726]"
28,mixed_gradual_100K_56,HT_BOCD_F,0.8945589455894559,0.7890494543944055,00:37:05,6.48 MB,"[3696, 7385, 11080, 14706, 18336, 19956, 20520, 24295, 27970, 31523, 34948, 38653, 39949, 40602, 44346, 47882, 51558, 55124, 58812, 59922, 60575, 64319, 67855, 71531, 75097, 78827, 79900, 80826, 84550, 88334, 91943, 95625, 99351]"
29,mixed_gradual_100K_58,HT_BOCD_F,0.8927789277892779,0.7854955684021597,00:39:04,18.25 MB,"[3678, 7415, 11158, 14762, 19869, 20387, 23964, 27680, 31320, 34929, 38694, 40011, 40691, 44401, 47937, 51668, 55301, 58896, 60025, 60697, 64407, 67944, 71678, 75300, 78900, 80029, 80728, 84257, 87891, 91654, 95306, 98908]"
