,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,mixed_gradual_100K_0,NoChange_basic_F,0.4981949819498195,-0.0037444049321160027,00:00:01,531 B,[]
1,mixed_gradual_100K_0,MajClass_basic_F,0.5057850578505785,0.0,00:00:02,637 B,[]
2,mixed_gradual_100K_0,NB_basic_F,0.5833358333583336,0.16594587523283638,00:00:06,28.26 KB,[]
3,mixed_gradual_100K_0,NB_ADWIN_F,0.9096490964909649,0.8192445071834172,00:00:14,39.04 KB,"[3103, 20095, 20607, 40063, 40575, 44095, 44383, 46207, 60159, 60671, 63615, 80127, 80639]"
4,mixed_gradual_100K_0,NB_CUSUM_F,0.9121891218912189,0.8243344435984314,00:00:11,30.55 KB,"[19917, 39962, 59979, 79996]"
5,mixed_gradual_100K_0,NB_DDM_F,0.912559125591256,0.8250766194774268,00:00:11,58.44 KB,"[19963, 20124, 40018, 60050, 80061]"
6,mixed_gradual_100K_0,NB_ECDD_F,0.8824588245882459,0.7648700674963124,00:00:12,35.62 KB,"[1103, 1196, 1862, 2203, 2574, 3110, 3792, 4175, 5549, 6825, 8341, 8864, 9813, 11332, 12130, 14257, 15618, 17677, 18431, 19452, 19769, 19991, 22590, 23127, 24191, 24698, 25788, 26529, 27495, 28601, 29830, 31091, 31747, 32147, 32440, 32673, 33142, 34274, 35635, 36181, 37695, 38068, 39469, 39719, 39785, 40050, 41897, 42607, 43144, 43826, 44209, 45583, 46859, 48375, 48908, 49847, 51366, 52164, 54291, 55652, 57711, 58465, 59486, 59803, 60067, 62624, 63161, 64225, 64732, 64925, 65600, 66876, 68392, 68925, 69083, 69864, 70655, 71383, 72099, 72263, 72707, 74308, 75669, 76215, 76937, 77413, 78482, 79266, 79598, 79730, 79962, 81931, 82269, 82641, 83178, 83860, 84243, 85617, 86893, 88409, 88932, 89881, 91400, 92198, 94325, 95686, 96334, 96954, 97430, 98499, 98972, 99945]"
7,mixed_gradual_100K_0,NB_EDDM_F,0.9101591015910159,0.8202644459885895,00:00:11,31.83 KB,"[20133, 20211, 40106, 60358, 80099]"
8,mixed_gradual_100K_0,NB_GMA_F,0.5833358333583336,0.16594587523283638,00:00:11,30.4 KB,[]
9,mixed_gradual_100K_0,NB_HDDMA_F,0.9127791277912779,0.8255148708544944,00:00:12,31.88 KB,"[19973, 39983, 60000, 80018]"
10,mixed_gradual_100K_0,NB_HDDMW_F,0.91229912299123,0.8245549473652978,00:00:12,33.42 KB,"[19912, 39929, 59946, 79963]"
11,mixed_gradual_100K_0,NB_KSWIN1_F,0.5833358333583336,0.16594587523283638,00:00:34,31.34 KB,[]
12,mixed_gradual_100K_0,NB_KSWIN51_F,0.5833358333583336,0.16594587523283638,00:00:34,31.34 KB,[]
13,mixed_gradual_100K_0,NB_KSWIN101_F,0.5833358333583336,0.16594587523283638,00:00:34,31.34 KB,[]
14,mixed_gradual_100K_0,NB_KSWIN151_F,0.5833358333583336,0.16594587523283638,00:00:34,31.34 KB,[]
15,mixed_gradual_100K_0,NB_KSWIN201_F,0.5833358333583336,0.16594587523283638,00:00:34,31.34 KB,[]
16,mixed_gradual_100K_0,NB_PH_F,0.9122291222912229,0.824416577680087,00:00:11,30.63 KB,"[20074, 40203, 60149, 80216]"
17,mixed_gradual_100K_0,NB_RDDM_F,0.912679126791268,0.8253139295819445,00:00:12,87.12 KB,"[19825, 20053, 39934, 40143, 59945, 60155, 79962, 80193]"
18,mixed_gradual_100K_0,NB_STEPD_F,0.9089890898908989,0.8179342162241924,00:00:22,71.1 KB,"[113, 6520, 6847, 13887, 18495, 19778, 19913, 20334, 26535, 26861, 33904, 34348, 38512, 39795, 40056, 40373, 44314, 44714, 47509, 54364, 58529, 59812, 60079, 66571, 66898, 72499, 75081, 75225, 78546, 79885, 80165, 80525, 84348, 89694, 92277, 95098, 95244, 98563]"
19,mixed_gradual_100K_2,NoChange_basic_F,0.5048450484504845,0.009477794525904618,00:00:01,531 B,[]
20,mixed_gradual_100K_2,MajClass_basic_F,0.5070350703507035,-0.000460774675735459,00:00:02,637 B,[]
21,mixed_gradual_100K_2,NB_basic_F,0.5840258402584025,0.1669585710980833,00:00:06,28.26 KB,[]
22,mixed_gradual_100K_2,NB_ADWIN_F,0.908619086190862,0.8171735758631693,00:00:14,38.85 KB,"[20063, 20639, 40095, 40639, 60095, 60607, 80095, 80607]"
23,mixed_gradual_100K_2,NB_CUSUM_F,0.9102891028910289,0.8205125306676371,00:00:11,30.55 KB,"[19919, 39937, 59933, 79929]"
24,mixed_gradual_100K_2,NB_DDM_F,0.9105391053910539,0.8210202104158825,00:00:11,31.16 KB,"[19975, 40000, 60008, 79988]"
25,mixed_gradual_100K_2,NB_ECDD_F,0.8854188541885419,0.7707661056235106,00:00:12,49.11 KB,"[486, 1713, 3017, 3580, 4166, 5047, 5361, 6036, 7131, 8164, 10142, 10960, 12126, 12353, 13015, 13258, 14352, 15750, 16677, 18265, 19678, 19890, 21710, 23576, 25301, 25438, 25849, 26385, 27127, 27631, 29114, 29303, 29920, 30956, 32122, 32349, 34350, 35746, 36353, 36673, 37788, 38295, 39047, 39819, 39887, 41706, 41999, 43572, 44158, 45039, 45844, 47244, 47715, 49036, 49786, 50953, 51878, 52080, 52345, 54346, 55742, 56349, 56417, 58257, 59670, 59882, 61702, 61995, 63568, 64154, 65035, 65349, 66024, 67119, 68152, 70130, 70863, 71228, 72159, 72812, 74340, 75738, 76665, 78253, 79666, 79876, 81698, 83001, 83564, 84150, 85031, 85345, 86020, 87115, 88148, 90126, 90944, 92110, 92337, 92999, 93242, 94336, 95734, 96661, 98249, 99651]"
26,mixed_gradual_100K_2,NB_EDDM_F,0.9003790037900379,0.800691903316104,00:00:11,59.52 KB,"[145, 267, 398, 818, 1155, 1390, 20388, 20521, 20769, 20959, 40386, 40559, 40733, 60413, 60705, 80403, 80794]"
27,mixed_gradual_100K_2,NB_GMA_F,0.5840258402584025,0.1669585710980833,00:00:11,30.4 KB,[]
28,mixed_gradual_100K_2,NB_HDDMA_F,0.9107291072910729,0.8213928615839924,00:00:12,31.88 KB,"[19975, 39897, 59894, 79890]"
29,mixed_gradual_100K_2,NB_HDDMW_F,0.9104091040910409,0.8207542998787962,00:00:12,33.42 KB,"[19887, 39883, 59879, 79875]"
30,mixed_gradual_100K_2,NB_KSWIN1_F,0.5840258402584025,0.1669585710980833,00:00:34,31.34 KB,[]
31,mixed_gradual_100K_2,NB_KSWIN51_F,0.5840258402584025,0.1669585710980833,00:00:39,31.34 KB,[]
32,mixed_gradual_100K_2,NB_KSWIN101_F,0.5830058300583005,0.16668549178783884,00:00:35,31.95 KB,"[19904, 99819]"
33,mixed_gradual_100K_2,NB_KSWIN151_F,0.5834058340583406,0.16559762718324583,00:00:34,31.4 KB,[79879]
34,mixed_gradual_100K_2,NB_KSWIN201_F,0.5833958339583396,0.1655758862489111,00:00:34,31.4 KB,[79880]
35,mixed_gradual_100K_2,NB_PH_F,0.9095290952909529,0.8189945022522549,00:00:11,30.63 KB,"[20108, 40179, 60139, 80153]"
36,mixed_gradual_100K_2,NB_RDDM_F,0.9107691076910769,0.8214716374857406,00:00:12,86.98 KB,"[19903, 39935, 59926, 79922]"
