,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,mixed_abrupt_10K_0,BOLE_basic_F,0.7990799079907991,0.5982744311220025,00:00:07,1.72 MB,[]
1,mixed_abrupt_10K_0,BOLE_ADWIN_F,0.8950895089508951,0.7901485686651036,00:00:13,626.16 KB,[]
2,mixed_abrupt_10K_0,BOLE_BOCD_F,0.8965896589658966,0.7931054480103239,00:06:45,187.75 MB,[]
3,mixed_abrupt_10K_0,BOLE_CUSUM_F,0.8968896889688969,0.793684860511914,00:00:09,410.87 KB,[]
4,mixed_abrupt_10K_0,BOLE_DDM_F,0.877987798779878,0.7559011789151163,00:00:10,692.02 KB,[]
5,mixed_abrupt_10K_0,BOLE_ECDD_F,0.8236823682368237,0.6472813547463301,00:00:11,526.52 KB,[]
6,mixed_abrupt_10K_0,BOLE_EDDM_F,0.827982798279828,0.6559773748096485,00:00:09,630.23 KB,[]
7,mixed_abrupt_10K_0,BOLE_GMA_F,0.7990799079907991,0.5982744311220025,00:00:09,1.74 MB,[]
8,mixed_abrupt_10K_0,BOLE_HDDMA_F,0.8488848884888489,0.6977239457848591,00:00:12,442.62 KB,[]
9,mixed_abrupt_10K_0,BOLE_HDDMW_F,0.8575857585758576,0.7150976642435142,00:00:11,446.9 KB,[]
10,mixed_abrupt_10K_0,BOLE_KSWIN1_F,0.8890889088908891,0.7780602216661586,00:00:43,449.38 KB,[]
11,mixed_abrupt_10K_0,BOLE_KSWIN51_F,0.8763876387638764,0.7526482493670283,00:00:43,430.04 KB,[]
12,mixed_abrupt_10K_0,BOLE_KSWIN101_F,0.8823882388238824,0.7646832523930864,00:00:43,495.97 KB,[]
13,mixed_abrupt_10K_0,BOLE_KSWIN151_F,0.8832883288328833,0.7664742431452786,00:00:43,494.8 KB,[]
14,mixed_abrupt_10K_0,BOLE_KSWIN201_F,0.8818881888188819,0.763683526868398,00:00:42,477.55 KB,[]
15,mixed_abrupt_10K_0,BOLE_PH_F,0.8986898689868987,0.7973146406592476,00:00:09,540.59 KB,[]
16,mixed_abrupt_10K_0,BOLE_RDDM_F,0.8643864386438644,0.7287184771757395,00:00:10,1.07 MB,[]
17,mixed_abrupt_10K_0,BOLE_STEPD_F,0.8458845884588458,0.6916600921930472,00:00:19,639.76 KB,[]
18,mixed_abrupt_10K_2,BOLE_basic_F,0.8136813681368137,0.6274568036160824,00:00:07,1.62 MB,[]
19,mixed_abrupt_10K_2,BOLE_ADWIN_F,0.8883888388838884,0.7766928911997394,00:00:13,483.37 KB,[]
20,mixed_abrupt_10K_2,BOLE_BOCD_F,0.8975897589758975,0.7951201216403843,00:05:54,137.37 MB,[]
21,mixed_abrupt_10K_2,BOLE_CUSUM_F,0.9035903590359036,0.807091597786743,00:00:09,361.96 KB,[]
22,mixed_abrupt_10K_2,BOLE_DDM_F,0.8893889388938894,0.778715381151252,00:00:10,693.22 KB,[]
23,mixed_abrupt_10K_2,BOLE_ECDD_F,0.8296829682968296,0.6591817113226974,00:00:11,447.54 KB,[]
24,mixed_abrupt_10K_2,BOLE_EDDM_F,0.8413841384138414,0.6827213958837768,00:00:09,487.07 KB,[]
25,mixed_abrupt_10K_2,BOLE_GMA_F,0.8136813681368137,0.6274568036160824,00:00:09,1.63 MB,[]
26,mixed_abrupt_10K_2,BOLE_HDDMA_F,0.8475847584758476,0.6950446035867782,00:00:11,487.51 KB,[]
27,mixed_abrupt_10K_2,BOLE_HDDMW_F,0.8656865686568657,0.7312540079528351,00:00:11,515.07 KB,[]
28,mixed_abrupt_10K_2,BOLE_KSWIN1_F,0.8864886488648865,0.77293780144396,00:00:42,522.2 KB,[]
29,mixed_abrupt_10K_2,BOLE_KSWIN51_F,0.8842884288428843,0.7685296676503905,00:00:42,457.72 KB,[]
30,mixed_abrupt_10K_2,BOLE_KSWIN101_F,0.8865886588658866,0.7731030508525315,00:00:42,624.34 KB,[]
31,mixed_abrupt_10K_2,BOLE_KSWIN151_F,0.8946894689468947,0.7892650276117443,00:00:43,607.16 KB,[]
32,mixed_abrupt_10K_2,BOLE_KSWIN201_F,0.8812881288128813,0.7624531861385838,00:00:42,494.91 KB,[]
33,mixed_abrupt_10K_2,BOLE_PH_F,0.9021902190219022,0.8043046711863602,00:00:09,477.92 KB,[]
34,mixed_abrupt_10K_2,BOLE_RDDM_F,0.870987098709871,0.7418568711364717,00:00:10,1.1 MB,[]
35,mixed_abrupt_10K_2,BOLE_STEPD_F,0.8565856585658566,0.7130387460852589,00:00:19,493.31 KB,[]
36,mixed_abrupt_10K_4,BOLE_basic_F,0.8200820082008201,0.6400168438535274,00:00:07,1.91 MB,[]
37,mixed_abrupt_10K_4,BOLE_ADWIN_F,0.8983898389838983,0.7967377955449911,00:00:13,565.94 KB,[]
38,mixed_abrupt_10K_4,BOLE_BOCD_F,0.8981898189818982,0.7963581025991266,00:05:45,202.22 MB,[]
39,mixed_abrupt_10K_4,BOLE_CUSUM_F,0.9025902590259026,0.8051259170552967,00:00:10,460.45 KB,[]
40,mixed_abrupt_10K_4,BOLE_DDM_F,0.8848884888488849,0.7697400757700941,00:00:10,631.8 KB,[]
41,mixed_abrupt_10K_4,BOLE_ECDD_F,0.8403840384038403,0.6807273518222687,00:00:11,558.08 KB,[]
