,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,mixed_abrupt_10K_0,NoChange_basic_F,0.49834983498349833,-0.0035670210903814767,00:00:00,739 B,[]
1,mixed_abrupt_10K_0,MajClass_basic_F,0.5081508150815082,0.0,00:00:00,845 B,[]
2,mixed_abrupt_10K_0,NB_basic_F,0.5772577257725773,0.15303381985421957,00:00:00,31.72 KB,[]
3,mixed_abrupt_10K_0,NB_ADWIN_F,0.872987298729873,0.7459186756805329,00:00:01,37.49 KB,"[2111, 4095, 4959, 6079, 7967, 8351]"
4,mixed_abrupt_10K_0,NB_BOCD_F,0.9004900490049005,0.8008875818336317,00:01:09,60.67 MB,"[2009, 4009, 6008, 8007]"
5,mixed_abrupt_10K_0,NB_CUSUM_F,0.8825882588258825,0.7650696570086228,00:00:01,31.08 KB,"[2058, 4057, 6056, 8055]"
6,mixed_abrupt_10K_0,NB_DDM_F,0.8968896889688969,0.793684860511914,00:00:01,31.63 KB,"[2027, 4024, 6023, 8022]"
7,mixed_abrupt_10K_0,NB_ECDD_F,0.8846884688468847,0.769283277966789,00:00:01,46.25 KB,"[1103, 1196, 1862, 2001, 3375, 3999, 5101, 5997, 7373, 7996, 9099, 9192, 9858]"
8,mixed_abrupt_10K_0,NB_EDDM_F,0.8842884288428843,0.7685251566988306,00:00:01,59.52 KB,"[2053, 2297, 4040, 4395, 6040, 6244, 8043, 8495]"
9,mixed_abrupt_10K_0,NB_GMA_F,0.5772577257725773,0.15303381985421957,00:00:01,30.82 KB,[]
10,mixed_abrupt_10K_0,NB_HDDMA_F,0.9013901390139014,0.8026905296511945,00:00:01,32.45 KB,"[2005, 4004, 6003, 8002]"
11,mixed_abrupt_10K_0,NB_HDDMW_F,0.9013901390139014,0.8026905296511945,00:00:01,33.96 KB,"[2007, 4006, 6005, 8004]"
12,mixed_abrupt_10K_0,NB_KSWIN1_F,0.9001900190019002,0.8002891973548601,00:00:04,31.84 KB,"[2012, 4011, 6011, 8010]"
13,mixed_abrupt_10K_0,NB_KSWIN51_F,0.9001900190019002,0.8002891973548601,00:00:04,31.84 KB,"[2013, 4012, 6011, 8010]"
14,mixed_abrupt_10K_0,NB_KSWIN101_F,0.9001900190019002,0.8002891973548601,00:00:04,31.84 KB,"[2012, 4012, 6010, 8010]"
15,mixed_abrupt_10K_0,NB_KSWIN151_F,0.9001900190019002,0.8002891973548601,00:00:04,31.84 KB,"[2013, 4011, 6011, 8009]"
16,mixed_abrupt_10K_0,NB_KSWIN201_F,0.9001900190019002,0.8002891973548601,00:00:04,31.84 KB,"[2013, 4011, 6011, 8010]"
17,mixed_abrupt_10K_0,NB_PH_F,0.8511851185118512,0.7022328525407282,00:00:01,31.04 KB,"[2154, 4147, 6149, 8151]"
18,mixed_abrupt_10K_0,NB_RDDM_F,0.8916891689168917,0.7833172232352549,00:00:01,87.54 KB,"[2015, 4013, 6017, 8011]"
19,mixed_abrupt_10K_0,NB_STEPD_F,0.8858885888588859,0.7717202356394917,00:00:02,70.73 KB,"[113, 2003, 2105, 3862, 4004, 4111, 6001, 6103, 7860, 8002, 8109]"
20,mixed_abrupt_10K_2,NoChange_basic_F,0.5214521452145214,0.04256583678539382,00:00:00,731 B,[]
21,mixed_abrupt_10K_2,MajClass_basic_F,0.5073507350735074,-0.0029831449398980536,00:00:00,837 B,[]
22,mixed_abrupt_10K_2,NB_basic_F,0.57995799579958,0.1583244267135103,00:00:00,28.26 KB,[]
23,mixed_abrupt_10K_2,NB_ADWIN_F,0.8771877187718772,0.7542122387002789,00:00:01,37.35 KB,"[2079, 4063, 6079, 8063]"
24,mixed_abrupt_10K_2,NB_BOCD_F,0.8998899889988999,0.7996611954024913,00:01:03,59.94 MB,"[2018, 4019, 6019, 8019]"
25,mixed_abrupt_10K_2,NB_CUSUM_F,0.8802880288028803,0.7604358102417829,00:00:01,30.9 KB,"[2060, 4061, 6060, 8061]"
26,mixed_abrupt_10K_2,NB_DDM_F,0.8787878787878788,0.7574963823926527,00:00:01,31.53 KB,"[2033, 4032, 6036, 6122, 8032]"
27,mixed_abrupt_10K_2,NB_ECDD_F,0.8803880388038804,0.760678048484112,00:00:01,59.68 KB,"[486, 1713, 2002, 2486, 3714, 4002, 4486, 5714, 6002, 6486, 7714, 8002, 8486, 9714]"
28,mixed_abrupt_10K_2,NB_EDDM_F,0.8725872587258726,0.745016658842926,00:00:01,59.63 KB,"[145, 267, 398, 818, 1155, 1390, 2021, 2209, 4054, 4200, 6050, 6815, 8040]"
29,mixed_abrupt_10K_2,NB_GMA_F,0.57995799579958,0.1583244267135103,00:00:01,30.76 KB,[]
30,mixed_abrupt_10K_2,NB_HDDMA_F,0.9040904090409041,0.8080756397709847,00:00:01,32.33 KB,"[2003, 4003, 6003, 8003]"
31,mixed_abrupt_10K_2,NB_HDDMW_F,0.9020902090209021,0.8040730462312764,00:00:01,33.89 KB,"[2011, 4011, 6011, 8011]"
32,mixed_abrupt_10K_2,NB_KSWIN1_F,0.897989798979898,0.795876133416053,00:00:04,32.23 KB,"[2021, 4023, 6022, 8023]"
33,mixed_abrupt_10K_2,NB_KSWIN51_F,0.8983898389838983,0.7966644429619746,00:00:04,32.23 KB,"[2023, 4023, 6023, 8022]"
34,mixed_abrupt_10K_2,NB_KSWIN101_F,0.897989798979898,0.795876133416053,00:00:04,32.23 KB,"[2021, 4023, 6022, 8023]"
35,mixed_abrupt_10K_2,NB_KSWIN151_F,0.8971897189718971,0.7942643819776467,00:00:04,32.23 KB,"[2024, 4022, 6023, 8021]"
36,mixed_abrupt_10K_2,NB_KSWIN201_F,0.8983898389838983,0.7966644429619746,00:00:04,32.23 KB,"[2023, 4022, 6023, 8023]"
37,mixed_abrupt_10K_2,NB_PH_F,0.8438843884388438,0.6875765261356362,00:00:01,30.97 KB,"[2146, 4180, 6168, 8181]"
38,mixed_abrupt_10K_2,NB_RDDM_F,0.902990299029903,0.805873486747579,00:00:01,114.73 KB,"[2022, 4021, 6020, 8020]"
39,mixed_abrupt_10K_2,NB_STEPD_F,0.8673867386738674,0.7346350007727578,00:00:02,70.57 KB,"[2006, 2117, 2181, 4007, 4134, 6007, 6159, 8007, 8115]"
40,mixed_abrupt_10K_4,NoChange_basic_F,0.49744974497449745,-0.0052221562076994864,00:00:00,723 B,[]
41,mixed_abrupt_10K_4,MajClass_basic_F,0.49954995499549953,-0.011015227484809511,00:00:00,829 B,[]
42,mixed_abrupt_10K_4,NB_basic_F,0.57995799579958,0.15944588493800954,00:00:00,28.26 KB,[]
43,mixed_abrupt_10K_4,NB_ADWIN_F,0.8972897289728973,0.7945689316069983,00:00:01,37.33 KB,"[2079, 4063, 6079, 8063]"
44,mixed_abrupt_10K_4,NB_BOCD_F,0.9077907790779078,0.8155636624077351,00:01:02,60.67 MB,"[2008, 4007, 6007, 8007]"
45,mixed_abrupt_10K_4,NB_CUSUM_F,0.9016901690169017,0.8033608294929677,00:00:01,30.89 KB,"[2059, 4057, 6057, 8057]"
46,mixed_abrupt_10K_4,NB_DDM_F,0.9041904190419042,0.8083622435863452,00:00:01,31.54 KB,"[2029, 4028, 6031, 6110, 8023]"
47,mixed_abrupt_10K_4,NB_ECDD_F,0.8968896889688969,0.7937544192935048,00:00:01,59.58 KB,"[1840, 2006, 3023, 3842, 4003, 5023, 5841, 6007, 7840, 8006, 9023, 9842]"
48,mixed_abrupt_10K_4,NB_EDDM_F,0.9078907890789079,0.8157592824144694,00:00:01,59.44 KB,"[129, 2013, 4028, 4340, 6023, 7483, 8007]"
49,mixed_abrupt_10K_4,NB_GMA_F,0.57995799579958,0.15944588493800954,00:00:01,30.74 KB,[]
50,mixed_abrupt_10K_4,NB_HDDMA_F,0.9071907190719072,0.814359377769633,00:00:01,32.35 KB,"[2011, 4011, 6011, 8011]"
51,mixed_abrupt_10K_4,NB_HDDMW_F,0.9095909590959096,0.8191604283445563,00:00:01,33.87 KB,"[2008, 4008, 6008, 8008]"
52,mixed_abrupt_10K_4,NB_KSWIN1_F,0.903990399039904,0.8079613272255726,00:00:04,32.15 KB,"[2023, 4025, 6022, 8022]"
