,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,mixed_abrupt_1M_0,BOLE_basic_F,0.9805849805849806,0.9611636200652062,00:14:12,134.15 MB,[]
1,mixed_abrupt_1M_0,BOLE_ADWIN_F,0.906002906002906,0.8119706082726204,00:24:36,665.89 KB,[]
2,mixed_abrupt_1M_0,BOLE_CUSUM_F,0.9555079555079555,0.9110032725097402,00:17:27,2.23 MB,[]
3,mixed_abrupt_1M_0,BOLE_DDM_F,0.9708219708219709,0.9416340944201955,00:17:36,11.66 MB,[]
4,mixed_abrupt_1M_0,BOLE_ECDD_F,0.8345798345798345,0.6690934659319083,00:20:10,3.76 MB,[]
5,mixed_abrupt_1M_0,BOLE_EDDM_F,0.9704689704689705,0.9409287966291434,00:15:19,18.11 MB,[]
6,mixed_abrupt_1M_0,BOLE_GMA_F,0.9805849805849806,0.9611636200652062,00:18:15,134.17 MB,[]
7,mixed_abrupt_1M_0,BOLE_HDDMA_F,0.8541348541348541,0.7082156302951806,00:21:39,2.61 MB,[]
8,mixed_abrupt_1M_0,BOLE_HDDMW_F,0.8708498708498709,0.7416450459024467,00:21:31,1.58 MB,[]
9,mixed_abrupt_1M_0,BOLE_PH_F,0.9898219898219898,0.9796404552742222,00:16:33,20.43 MB,[]
10,mixed_abrupt_1M_0,BOLE_RDDM_F,0.9075239075239075,0.8150140453752659,00:18:51,2.19 MB,[]
11,mixed_abrupt_1M_0,BOLE_STEPD_F,0.8591558591558591,0.718252544875799,00:32:16,2.82 MB,[]
12,mixed_abrupt_1M_2,BOLE_basic_F,0.9813659813659814,0.962725983938718,00:14:15,145.14 MB,[]
13,mixed_abrupt_1M_2,BOLE_ADWIN_F,0.9056719056719057,0.8113074167314448,00:24:13,947.94 KB,[]
14,mixed_abrupt_1M_2,BOLE_CUSUM_F,0.9624069624069624,0.9248033387253636,00:17:28,2.53 MB,[]
15,mixed_abrupt_1M_2,BOLE_DDM_F,0.9730289730289731,0.946048906660262,00:17:57,13.79 MB,[]
16,mixed_abrupt_1M_2,BOLE_ECDD_F,0.8344108344108344,0.6687552276471287,00:20:17,3.78 MB,[]
17,mixed_abrupt_1M_2,BOLE_EDDM_F,0.9642539642539643,0.9284947507030269,00:15:55,12.74 MB,[]
18,mixed_abrupt_1M_2,BOLE_GMA_F,0.9813659813659814,0.962725983938718,00:19:26,145.16 MB,[]
19,mixed_abrupt_1M_2,BOLE_HDDMA_F,0.8538738538738538,0.7076874441698809,00:21:34,2.55 MB,[]
20,mixed_abrupt_1M_2,BOLE_HDDMW_F,0.8688198688198688,0.7375850148462926,00:21:35,1.77 MB,[]
21,mixed_abrupt_1M_2,BOLE_PH_F,0.9903119903119904,0.9806208721905281,00:16:56,20.95 MB,[]
22,mixed_abrupt_1M_2,BOLE_RDDM_F,0.908986908986909,0.8179390196971396,00:18:37,2.54 MB,[]
23,mixed_abrupt_1M_2,BOLE_STEPD_F,0.8582428582428583,0.7164296972262538,00:32:35,2.92 MB,[]
24,mixed_abrupt_1M_4,BOLE_basic_F,0.9797669797669798,0.9595267818406432,00:14:55,135 MB,[]
25,mixed_abrupt_1M_4,BOLE_ADWIN_F,0.906975906975907,0.8139103378623735,00:26:10,835.85 KB,[]
26,mixed_abrupt_1M_4,BOLE_CUSUM_F,0.9548879548879549,0.9097614103329574,00:19:43,806.46 KB,[]
27,mixed_abrupt_1M_4,BOLE_DDM_F,0.9737069737069737,0.9474050834805305,00:19:33,10.75 MB,[]
28,mixed_abrupt_1M_4,BOLE_ECDD_F,0.8345808345808345,0.6690962957099934,00:22:03,3.86 MB,[]
29,mixed_abrupt_1M_4,BOLE_EDDM_F,0.9666919666919667,0.9333724092013945,00:16:47,17.33 MB,[]
30,mixed_abrupt_1M_4,BOLE_GMA_F,0.9797669797669798,0.9595267818406432,00:19:51,135.01 MB,[]
31,mixed_abrupt_1M_4,BOLE_HDDMA_F,0.8543248543248543,0.7085933164634721,00:22:24,2.67 MB,[]
32,mixed_abrupt_1M_4,BOLE_HDDMW_F,0.8708518708518709,0.7416520528929363,00:21:55,1.59 MB,[]
33,mixed_abrupt_1M_4,BOLE_PH_F,0.99000299000299,0.9800025144206597,00:18:01,14.68 MB,[]
34,mixed_abrupt_1M_4,BOLE_RDDM_F,0.9131009131009131,0.8261691691253424,00:20:15,2.31 MB,[]
35,mixed_abrupt_1M_4,BOLE_STEPD_F,0.8598898598898599,0.7197161598148114,00:34:39,2.9 MB,[]
36,mixed_abrupt_1M_6,BOLE_basic_F,0.97992397992398,0.9598408783941642,00:15:50,133.54 MB,[]
37,mixed_abrupt_1M_6,BOLE_ADWIN_F,0.907042907042907,0.8140482416294753,00:26:24,669.92 KB,[]
38,mixed_abrupt_1M_6,BOLE_CUSUM_F,0.9566989566989567,0.9133806744151411,00:19:20,3.13 MB,[]
39,mixed_abrupt_1M_6,BOLE_DDM_F,0.9704009704009704,0.9407922715581091,00:19:27,11.82 MB,[]
40,mixed_abrupt_1M_6,BOLE_ECDD_F,0.8346778346778346,0.6692915830209281,00:22:08,3.88 MB,[]
41,mixed_abrupt_1M_6,BOLE_EDDM_F,0.9615159615159615,0.9230177370520117,00:17:22,13.86 MB,[]
42,mixed_abrupt_1M_6,BOLE_GMA_F,0.97992397992398,0.9598408783941642,00:20:44,133.56 MB,[]
43,mixed_abrupt_1M_6,BOLE_HDDMA_F,0.8543338543338543,0.7086127307602295,00:23:26,2.59 MB,[]
44,mixed_abrupt_1M_6,BOLE_HDDMW_F,0.8698268698268699,0.7396012960532077,00:23:08,1.65 MB,[]
45,mixed_abrupt_1M_6,BOLE_PH_F,0.9895479895479895,0.9790923854151338,00:17:49,14.99 MB,[]
46,mixed_abrupt_1M_6,BOLE_RDDM_F,0.9047979047979048,0.8095584232447534,00:19:52,2.16 MB,[]
47,mixed_abrupt_1M_6,BOLE_STEPD_F,0.8595338595338595,0.7190111642009682,00:34:56,2.85 MB,[]
48,mixed_abrupt_1M_8,BOLE_basic_F,0.9803409803409804,0.9606747976127328,00:15:49,132.97 MB,[]
49,mixed_abrupt_1M_8,BOLE_ADWIN_F,0.9055699055699056,0.8111014018083631,00:26:27,952.43 KB,[]
50,mixed_abrupt_1M_8,BOLE_CUSUM_F,0.9493449493449494,0.8986681206259124,00:19:05,1.31 MB,[]
51,mixed_abrupt_1M_8,BOLE_DDM_F,0.9726529726529727,0.9452961786335937,00:19:48,10.32 MB,[]
52,mixed_abrupt_1M_8,BOLE_ECDD_F,0.8336628336628337,0.6672657639117408,00:22:04,3.81 MB,[]
