,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,mixed_abrupt_1M_0,BOLE_KSWIN1_F,0.9062649062649063,0.8124926193661257,01:23:50,1.24 MB,[]
1,mixed_abrupt_1M_0,BOLE_KSWIN51_F,0.9066519066519066,0.813259787943738,01:23:21,1.08 MB,[]
2,mixed_abrupt_1M_0,BOLE_KSWIN101_F,0.9060109060109061,0.8119796785436186,01:23:21,1.19 MB,[]
3,mixed_abrupt_1M_0,BOLE_KSWIN151_F,0.9068599068599068,0.8136813199193854,01:22:59,1.11 MB,[]
4,mixed_abrupt_1M_0,BOLE_KSWIN201_F,0.9078699078699078,0.8157070288848599,01:10:19,1.17 MB,[]
5,mixed_abrupt_1M_2,BOLE_KSWIN1_F,0.9071259071259071,0.8142148168389723,01:07:50,1.04 MB,[]
6,mixed_abrupt_1M_2,BOLE_KSWIN51_F,0.9044319044319045,0.808829031509048,01:07:59,1.21 MB,[]
7,mixed_abrupt_1M_2,BOLE_KSWIN101_F,0.9049159049159049,0.8097882242057637,01:08:18,1.02 MB,[]
8,mixed_abrupt_1M_2,BOLE_KSWIN151_F,0.9045759045759045,0.809113959852102,01:13:17,1.02 MB,[]
9,mixed_abrupt_1M_2,BOLE_KSWIN201_F,0.9034949034949035,0.8069530551642262,01:12:25,1.23 MB,[]
10,mixed_abrupt_1M_4,BOLE_KSWIN1_F,0.9101149101149101,0.8201925451487257,01:07:15,1.8 MB,[]
11,mixed_abrupt_1M_4,BOLE_KSWIN51_F,0.9105509105509105,0.8210707011658406,01:07:14,1.17 MB,[]
12,mixed_abrupt_1M_4,BOLE_KSWIN101_F,0.90996690996691,0.8198930284250994,01:20:16,1.07 MB,[]
13,mixed_abrupt_1M_4,BOLE_KSWIN151_F,0.911044911044911,0.8220557004328836,01:24:47,1.29 MB,[]
14,mixed_abrupt_1M_4,BOLE_KSWIN201_F,0.9057189057189057,0.8113965620778982,01:25:03,1.11 MB,[]
15,mixed_abrupt_1M_6,BOLE_KSWIN1_F,0.9091289091289091,0.8182250892279507,01:24:47,1.08 MB,[]
16,mixed_abrupt_1M_6,BOLE_KSWIN51_F,0.9058999058999059,0.8117654484096966,01:24:45,1.19 MB,[]
17,mixed_abrupt_1M_6,BOLE_KSWIN101_F,0.9121809121809121,0.8243291281254561,01:14:47,1.16 MB,[]
18,mixed_abrupt_1M_6,BOLE_KSWIN151_F,0.9057879057879058,0.8115399676413246,01:08:11,1.26 MB,[]
19,mixed_abrupt_1M_6,BOLE_KSWIN201_F,0.9092349092349092,0.8184359335442501,01:09:18,1.39 MB,[]
20,mixed_abrupt_1M_8,BOLE_KSWIN1_F,0.9058549058549058,0.8116699289869158,01:15:54,1.21 MB,[]
21,mixed_abrupt_1M_8,BOLE_KSWIN51_F,0.9069199069199069,0.8138032222021361,01:15:58,1.27 MB,[]
22,mixed_abrupt_1M_8,BOLE_KSWIN101_F,0.9067219067219067,0.8134052177784986,01:14:17,1.2 MB,[]
23,mixed_abrupt_1M_8,BOLE_KSWIN151_F,0.9051479051479051,0.8102586297758944,01:09:02,1.15 MB,[]
24,mixed_abrupt_1M_8,BOLE_KSWIN201_F,0.9081329081329081,0.816227107253682,01:16:54,1.26 MB,[]
25,mixed_abrupt_1M_10,BOLE_KSWIN1_F,0.9063159063159063,0.8125935087859067,01:24:33,1.14 MB,[]
26,mixed_abrupt_1M_10,BOLE_KSWIN51_F,0.9154939154939155,0.8309563630953724,01:24:57,1.23 MB,[]
27,mixed_abrupt_1M_10,BOLE_KSWIN101_F,0.9056759056759057,0.8113128106738957,01:14:51,1.16 MB,[]
28,mixed_abrupt_1M_10,BOLE_KSWIN151_F,0.9068619068619068,0.8136868268606217,01:08:09,1.57 MB,[]
29,mixed_abrupt_1M_10,BOLE_KSWIN201_F,0.9056759056759057,0.811314046919229,01:09:10,1.12 MB,[]
30,mixed_abrupt_1M_12,BOLE_KSWIN1_F,0.907979907979908,0.8159218976568468,01:09:14,1.21 MB,[]
31,mixed_abrupt_1M_12,BOLE_KSWIN51_F,0.9073659073659074,0.8146949837657487,01:09:11,1.21 MB,[]
32,mixed_abrupt_1M_12,BOLE_KSWIN101_F,0.9083159083159084,0.8165951330715002,01:09:16,1.14 MB,[]
33,mixed_abrupt_1M_12,BOLE_KSWIN151_F,0.9064999064999065,0.8129630416949991,01:09:00,1.25 MB,[]
34,mixed_abrupt_1M_12,BOLE_KSWIN201_F,0.9094299094299094,0.8188243909630226,01:09:03,1.18 MB,[]
35,mixed_abrupt_1M_14,BOLE_KSWIN1_F,0.9056079056079056,0.8111787152302538,01:08:53,1.32 MB,[]
36,mixed_abrupt_1M_14,BOLE_KSWIN51_F,0.9086149086149086,0.8171920448592457,01:08:57,1.2 MB,[]
37,mixed_abrupt_1M_14,BOLE_KSWIN101_F,0.9045539045539046,0.809069911707332,01:09:22,1.17 MB,[]
38,mixed_abrupt_1M_14,BOLE_KSWIN151_F,0.9073399073399073,0.8146417124279749,01:09:22,1.13 MB,[]
