,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,mixed_abrupt_1M_0,HT_basic_F,0.8579158579158579,0.7157852591838653,00:01:39,5.36 MB,[]
1,mixed_abrupt_1M_0,HT_ADWIN_F,0.9008509008509008,0.801647245172281,00:02:48,51.95 KB,"[2175, 3071, 6751, 13407, 20063, 27231, 28127, 34783, 38655, 40447, 47103, 50879, 54655, 57727, 64895, 71551, 75327, 82111, 88767, 96191, 100799, 104639, 111359, 121503, 123487, 127583, 131359, 135135, 138847, 145503, 152671, 156767, 163423, 167519, 174175, 177887, 184543, 188223, 192063, 198719, 200063, 203839, 207679, 217919, 224575, 228319, 233439, 240703, 247423, 251519, 258175, 258591, 262399, 263295, 269951, 276607, 283263, 287135, 293087, 297183, 301023, 304863, 305887, 309727, 313503, 316735, 320831, 322111, 325791, 329471, 333567, 340223, 344063, 347839, 354495, 358847, 362463, 365855, 372703, 374943, 376063, 377055, 380831, 384607, 388351, 392159, 396255, 400031, 403743, 407583, 414239, 421343, 425215, 429055, 432863, 435935, 439615, 443359, 450015, 456671, 457791, 461567, 466079, 470175, 474271, 480927, 485535, 489375, 493183, 500159, 503999, 507679, 511455, 521823, 522207, 525919, 526751, 530719, 537695, 541439, 545407, 552511, 556351, 557375, 561215, 565055, 571711, 575551, 579327, 583007, 584543, 588223, 592063, 598719, 600063, 603839, 607679, 617919, 624575, 628319, 633439, 640703, 647423, 651519, 658175, 658591, 662399, 663295, 669951, 676607, 683263, 687135, 693087, 697183, 701023, 704863, 705887, 709727, 713503, 716735, 720831, 722111, 725791, 729471, 733567, 740223, 744063, 747839, 754495, 758847, 762463, 765855, 772703, 774943, 776063, 777055, 780831, 784607, 788351, 792159, 796255, 800031, 803743, 807583, 814239, 821343, 825215, 829055, 832863, 835935, 839615, 843359, 850015, 856671, 857791, 861567, 866079, 870175, 874271, 880927, 885535, 889375, 893183, 900159, 903999, 907679, 911455, 921823, 922207, 925919, 926751, 930719, 937695, 941439, 945407, 952511, 956351, 957375, 961215, 965055, 971711, 975551, 979327, 983007, 984543, 988223, 992063, 998719]"
2,mixed_abrupt_1M_0,HT_CUSUM_F,0.9506679506679506,0.9013240447108555,00:02:01,0.99 MB,"[3667, 7297, 10986, 14753, 18510, 200053, 203667, 207297, 210986, 214753, 218511, 400052, 403654, 407332, 411073, 414781, 418495, 600053, 603667, 607297, 610986, 614753, 618511, 800052, 803654, 807332, 811073, 814781, 818495]"
3,mixed_abrupt_1M_0,HT_DDM_F,0.9475029475029475,0.8949794330955876,00:02:06,848.64 KB,"[3541, 7037, 10456, 10591, 14122, 14311, 17887, 21444, 24761, 28389, 30589, 30699, 30814, 30890, 34423, 200173, 400199, 403609, 407096, 410661, 414008, 417531, 420790, 424120, 427596, 430913, 434341, 434406, 438002, 441538, 444909, 444971, 448498, 452337, 454796, 456262, 457341, 460739, 460976, 464399, 600176, 800183, 803595, 807099, 810042, 813532, 817083, 820350, 821230, 821342, 824872, 824945, 828520, 828653, 832288, 835854, 838204, 841698, 841763, 841823, 845377]"
4,mixed_abrupt_1M_0,HT_ECDD_F,0.8889098889098889,0.7777703812002292,00:02:28,109.93 KB,"[1103, 1196, 1862, 2203, 2574, 3110, 3792, 4175, 5549, 6825, 8341, 8864, 9813, 11332, 12130, 14257, 15618, 17677, 18431, 20041, 20744, 20850, 22125, 23112, 24523, 24757, 26208, 27090, 27346, 28396, 28891, 30526, 32052, 32417, 33355, 33767, 33968, 34867, 36567, 37718, 37999, 38485, 38968, 40525, 41151, 41572, 42544, 43055, 43858, 45716, 46774, 48473, 49136, 50444, 51755, 52396, 53264, 55259, 55414, 55625, 56277, 56376, 58001, 59537, 60617, 61240, 62293, 62516, 63192, 63355, 63829, 65121, 65510, 66131, 66472, 66621, 67253, 68113, 68760, 69521, 70730, 71907, 72586, 72997, 74184, 75293, 76175, 76400, 77258, 77828, 79513, 81878, 83061, 85246, 86815, 89715, 89777, 89847, 90499, 91633, 92770, 94277, 94642, 96132, 98325, 98583, 99451, 100729, 101945, 102793, 103420, 104604, 104910, 105433, 106832, 108021, 108234, 109194, 109996, 112431, 113480, 114466, 115636, 116346, 116886, 117687, 118130, 119554, 120034, 120737, 120963, 121871, 122417, 124074, 125696, 126273, 126863, 127214, 127986, 129210, 129846, 130450, 131183, 131925, 132299, 132804, 133132, 134989, 135820, 137305, 137574, 138132, 138391, 138773, 140336, 141104, 141345, 141649, 144072, 144123, 144551, 144601, 146165, 146250, 146849, 147080, 148322, 148558, 149445, 149809, 150849, 151422, 153038, 153758, 154150, 155066, 155986, 156484, 157633, 158351, 158393, 158846, 159769, 160346, 161123, 162128, 163503, 163800, 165065, 166065, 167069, 167524, 169183, 169669, 170607, 170702, 171023, 171538, 173010, 174750, 176106, 176525, 177116, 177586, 178216, 178590, 179371, 180281, 180664, 181881, 182381, 182685, 184411, 186571, 187153, 187431, 187520, 187795, 187999, 189559, 191304, 192719, 193758, 195419, 196184, 197309, 198288, 200001, 201626, 202203, 203110, 203509, 203792, 205771, 206825, 208341, 208864, 209813, 211332, 212129, 212656, 214257, 215618, 216266, 216886, 217362, 218431, 220041, 220744, 220849, 221352, 222117, 223112, 224523, 224757, 226208, 227090, 227346, 228396, 228891, 230526, 232052, 232417, 233355, 233767, 234052, 234705, 236567, 237720, 237999, 238485, 238968, 240525, 241151, 241572, 242544, 243055, 243858, 245716, 245983, 246126, 246774, 248473, 249136, 250444, 252337, 253335, 255259, 256579, 256945, 257592, 258001, 258929, 259536, 260617, 261240, 262293, 262516, 263192, 263355, 263829, 265121, 265510, 266131, 266472, 266621, 267253, 268113, 268760, 269521, 270730, 271907, 272586, 272997, 274184, 275293, 276175, 276400, 277258, 277828, 279513, 281878, 283061, 285246, 286815, 289715, 289777, 289847, 290499, 291632, 292770, 294277, 294522, 296132, 297548, 297707, 298513, 298885, 299451, 299896, 300730, 301945, 302793, 303420, 304604, 304910, 305433, 306832, 308021, 308234, 309194, 309996, 312431, 314669, 314782, 314929, 316904, 317687, 318130, 319554, 320034, 320737, 321175, 321781, 322017, 324074, 325264, 325696, 326273, 326863, 328072, 329210, 330128, 330840, 330971, 331924, 334987, 337066, 338134, 338390, 340336, 341345, 344141, 344720, 346165, 346849, 348322, 349445, 350849, 351628, 352005, 353038, 353369, 354420, 355258, 356484, 358351, 359586, 360073, 360104, 361123, 362849, 363800, 365065, 366065, 366451, 367524, 368850, 369669, 370607, 371324, 371915, 372270, 372817, 374877, 376393, 377116, 377586, 378216, 378590, 378891, 380664, 381610, 382381, 382685, 383574, 384411, 386571, 387520, 387994, 388967, 389707, 391304, 392719, 393758, 395419, 396185, 397309, 398288, 400001, 401376, 402201, 402574, 403110, 403792, 404175, 405549, 406825, 408341, 408864, 409813, 411332, 412130, 414257, 415618, 417677, 418431, 420041, 420744, 420850, 422125, 423112, 424523, 424757, 426208, 427090, 427346, 428396, 428891, 430526, 432052, 432417, 433355, 433767, 433968, 434867, 436567, 437718, 437999, 438485, 438968, 440525, 441151, 441572, 442544, 443055, 443858, 445716, 446774, 448473, 449136, 450444, 451755, 452396, 453264, 455259, 455414, 455625, 456277, 456376, 458001, 459537, 460617, 461240, 462293, 462516, 463192, 463355, 463829, 465121, 465510, 466131, 466472, 466621, 467253, 468113, 468760, 469521, 470730, 471907, 472586, 472997, 474184, 475293, 476175, 476400, 477258, 477828, 479513, 481878, 483061, 485246, 486815, 489715, 489777, 489847, 490499, 491633, 492770, 494277, 494642, 496132, 498325, 498583, 499451, 500729, 501945, 502793, 503420, 504604, 504910, 505433, 506832, 508021, 508234, 509194, 509996, 512431, 513480, 514466, 515636, 516346, 516886, 517687, 518130, 519554, 520034, 520737, 520963, 521871, 522417, 524074, 525696, 526273, 526863, 527214, 527986, 529210, 529846, 530450, 531183, 531925, 532299, 532804, 533132, 534989, 535820, 537305, 537574, 538132, 538391, 538773, 540336, 541104, 541345, 541649, 544072, 544123, 544551, 544601, 546165, 546250, 546849, 547080, 548322, 548558, 549445, 549809, 550849, 551422, 553038, 553758, 554150, 555066, 555986, 556484, 557633, 558351, 558393, 558846, 559769, 560346, 561123, 562128, 563503, 563800, 565065, 566065, 567069, 567524, 569183, 569669, 570607, 570702, 571023, 571538, 573010, 574750, 576106, 576525, 577116, 577586, 578216, 578590, 579371, 580281, 580664, 581881, 582381, 582685, 584411, 586571, 587153, 587431, 587520, 587795, 587999, 589559, 591304, 592719, 593758, 595419, 596184, 597309, 598288, 600001, 601626, 602203, 603110, 603509, 603792, 605771, 606825, 608341, 608864, 609813, 611332, 612129, 612656, 614257, 615618, 616266, 616886, 617362, 618431, 620041, 620744, 620849, 621352, 622117, 623112, 624523, 624757, 626208, 627090, 627346, 628396, 628891, 630526, 632052, 632417, 633355, 633767, 634052, 634705, 636567, 637720, 637999, 638485, 638968, 640525, 641151, 641572, 642544, 643055, 643858, 645716, 645983, 646126, 646774, 648473, 649136, 650444, 652337, 653335, 655259, 656579, 656945, 657592, 658001, 658929, 659536, 660617, 661240, 662293, 662516, 663192, 663355, 663829, 665121, 665510, 666131, 666472, 666621, 667253, 668113, 668760, 669521, 670730, 671907, 672586, 672997, 674184, 675293, 676175, 676400, 677258, 677828, 679513, 681878, 683061, 685246, 686815, 689715, 689777, 689847, 690499, 691632, 692770, 694277, 694522, 696132, 697548, 697707, 698513, 698885, 699451, 699896, 700730, 701945, 702793, 703420, 704604, 704910, 705433, 706832, 708021, 708234, 709194, 709996, 712431, 714669, 714782, 714929, 716904, 717687, 718130, 719554, 720034, 720737, 721175, 721781, 722017, 724074, 725264, 725696, 726273, 726863, 728072, 729210, 730128, 730840, 730971, 731924, 734987, 737066, 738134, 738390, 740336, 741345, 744141, 744720, 746165, 746849, 748322, 749445, 750849, 751628, 752005, 753038, 753369, 754420, 755258, 756484, 758351, 759586, 760073, 760104, 761123, 762849, 763800, 765065, 766065, 766451, 767524, 768850, 769669, 770607, 771324, 771915, 772270, 772817, 774877, 776393, 777116, 777586, 778216, 778590, 778891, 780664, 781610, 782381, 782685, 783574, 784411, 786571, 787520, 787994, 788967, 789707, 791304, 792719, 793758, 795419, 796185, 797309, 798288, 800001, 801376, 802201, 802574, 803110, 803792, 804175, 805549, 806825, 808341, 808864, 809813, 811332, 812130, 814257, 815618, 817677, 818431, 820041, 820744, 820850, 822125, 823112, 824523, 824757, 826208, 827090, 827346, 828396, 828891, 830526, 832052, 832417, 833355, 833767, 833968, 834867, 836567, 837718, 837999, 838485, 838968, 840525, 841151, 841572, 842544, 843055, 843858, 845716, 846774, 848473, 849136, 850444, 851755, 852396, 853264, 855259, 855414, 855625, 856277, 856376, 858001, 859537, 860617, 861240, 862293, 862516, 863192, 863355, 863829, 865121, 865510, 866131, 866472, 866621, 867253, 868113, 868760, 869521, 870730, 871907, 872586, 872997, 874184, 875293, 876175, 876400, 877258, 877828, 879513, 881878, 883061, 885246, 886815, 889715, 889777, 889847, 890499, 891633, 892770, 894277, 894642, 896132, 898325, 898583, 899451, 900729, 901945, 902793, 903420, 904604, 904910, 905433, 906832, 908021, 908234, 909194, 909996, 912431, 913480, 914466, 915636, 916346, 916886, 917687, 918130, 919554, 920034, 920737, 920963, 921871, 922417, 924074, 925696, 926273, 926863, 927214, 927986, 929210, 929846, 930450, 931183, 931925, 932299, 932804, 933132, 934989, 935820, 937305, 937574, 938132, 938391, 938773, 940336, 941104, 941345, 941649, 944072, 944123, 944551, 944601, 946165, 946250, 946849, 947080, 948322, 948558, 949445, 949809, 950849, 951422, 953038, 953758, 954150, 955066, 955986, 956484, 957633, 958351, 958393, 958846, 959769, 960346, 961123, 962128, 963503, 963800, 965065, 966065, 967069, 967524, 969183, 969669, 970607, 970702, 971023, 971538, 973010, 974750, 976106, 976525, 977116, 977586, 978216, 978590, 979371, 980281, 980664, 981881, 982381, 982685, 984411, 986571, 987153, 987431, 987520, 987795, 987999, 989559, 991304, 992719, 993758, 995419, 996184, 997309, 998288]"
5,mixed_abrupt_1M_0,HT_EDDM_F,0.9400719400719401,0.8801314111503908,00:01:58,0.96 MB,"[3683, 3852, 4278, 4426, 4621, 6531, 202181, 202440, 203850, 207428, 211152, 214845, 214954, 215173, 215670, 219424, 219568, 219877, 223600, 223712, 227289, 230848, 230968, 234550, 238265, 241951, 242557, 246180, 249770, 249905, 250568, 254258, 254632, 255792, 259444, 263108, 263208, 263424, 267117, 270771, 274385, 274596, 278183, 278325, 278505, 282200, 285806, 285960, 289701, 290004, 293700, 297392, 297549, 301380, 305084, 401540, 401878, 402303, 402632, 403792, 407452, 407567, 411185, 414802, 414918, 415024, 415733, 415840, 419492, 420309, 420476, 420919, 421479, 421580, 425328, 425462, 425703, 425833, 426096, 429683, 433303, 602072, 602385, 602601, 603822, 607436, 607551, 608196, 608659, 612404, 613557, 803086, 803166, 803686, 807134]"
6,mixed_abrupt_1M_0,HT_GMA_F,0.8579158579158579,0.7157852591838653,00:02:07,5.37 MB,[]
7,mixed_abrupt_1M_0,HT_HDDMA_F,0.9204889204889205,0.8409549178255333,00:02:20,480.99 KB,"[3452, 6900, 10387, 13858, 14407, 18042, 21625, 25229, 28857, 32486, 35946, 39418, 42888, 46298, 49709, 53143, 56144, 59565, 63136, 66683, 70163, 73666, 77240, 80658, 84187, 87634, 91139, 94670, 98081, 101678, 105122, 108508, 112081, 115643, 119075, 121875, 125529, 129072, 132522, 136087, 139563, 142993, 146544, 150110, 200004, 203540, 207034, 210622, 214080, 217483, 220951, 224556, 228066, 231523, 234934, 238484, 241991, 245497, 249019, 252536, 256139, 259758, 263352, 266765, 270277, 273741, 277333, 280683, 284180, 287631, 291113, 294739, 298242, 301822, 305409, 308893, 312428, 315945, 319439, 321895, 325529, 328991, 332552, 336086, 339562, 343143, 346691, 350192, 400004, 403347, 406768, 410301, 413766, 417392, 420847, 424379, 427915, 431383, 434863, 438317, 441804, 445260, 600016, 603475, 606975, 610386, 613890, 614407, 618042, 621625, 625229, 628857, 632486, 635946, 639418, 642888, 646298, 649709, 653143, 656144, 659565, 663136, 666683, 670163, 673666, 677240, 680658, 684187, 687634, 691139, 694670, 698081, 701678, 705122, 708508, 712081, 715643, 719075, 721875, 725529, 729072, 732522, 736087, 739563, 742993, 746544, 750110, 800004, 803540, 807034, 810622, 814080, 817483, 820949, 824556, 828066, 831523, 834934, 838484, 841991, 845497, 849019, 852536, 856139, 859758, 863352, 866765, 870277, 873741, 877333, 880683, 884180, 887631, 891113, 894739, 898242, 901822, 905409, 908893, 912428, 915945, 919439, 921895, 925529, 928991, 932552, 936086, 939562, 943143, 946689, 950192]"
8,mixed_abrupt_1M_0,HT_HDDMW_F,0.9605479605479605,0.9210862053343796,00:02:07,974.58 KB,"[200009, 203516, 207048, 400009, 403508, 407215, 600009, 603516, 607048, 800009, 803508, 807215]"
9,mixed_abrupt_1M_0,HT_KSWIN1_F,0.9653219653219653,0.9306351001037574,00:05:56,1.1 MB,"[200015, 400016, 600015, 800016]"
