,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,mixed_abrupt_1M_0,NoChange_basic_F,0.5021655021655022,0.004168738057432681,00:00:27,739 B,[]
1,mixed_abrupt_1M_0,MajClass_basic_F,0.5063805063805064,-3.6896807888236326e-06,00:00:33,845 B,[]
2,mixed_abrupt_1M_0,NB_basic_F,0.5842735842735842,0.1676851268188253,00:01:43,31.72 KB,[]
3,mixed_abrupt_1M_0,NB_ADWIN_F,0.9193379193379193,0.8386257057460392,00:03:40,41.67 KB,"[3103, 200415, 201951, 400287, 404063, 404351, 406143, 600127, 800287, 804063, 804351, 806143]"
4,mixed_abrupt_1M_0,NB_CUSUM_F,0.9204659204659205,0.8408848309095075,00:02:53,31.08 KB,"[200055, 400055, 600055, 800055]"
5,mixed_abrupt_1M_0,NB_DDM_F,0.9181689181689182,0.8362852083127484,00:02:53,58.95 KB,"[200258, 400291, 400378, 600250, 800306]"
6,mixed_abrupt_1M_0,NB_ECDD_F,0.8893678893678894,0.7786843590942031,00:03:04,101.69 KB,"[1103, 1196, 1862, 2203, 2574, 3110, 3792, 4175, 5549, 6825, 8341, 8864, 9813, 11332, 12130, 14257, 15618, 17677, 18431, 20041, 20744, 20850, 22117, 23112, 24339, 24595, 24756, 26208, 27094, 27431, 28650, 30249, 32052, 33353, 33434, 33778, 34110, 34867, 37385, 37587, 38205, 38486, 38969, 40525, 41151, 41572, 42544, 43055, 43858, 44385, 44826, 45494, 46775, 48473, 48831, 49136, 50444, 52337, 53264, 55625, 56703, 58001, 58110, 59537, 60432, 60617, 60963, 62138, 62558, 63192, 63829, 64162, 64257, 64372, 64977, 65807, 66140, 66476, 66620, 67253, 67394, 68760, 69521, 70730, 71907, 72586, 72997, 74069, 74794, 75689, 76143, 77333, 77627, 79202, 80544, 81878, 82681, 84863, 85329, 85906, 86815, 89715, 89777, 90125, 91632, 91998, 92770, 93014, 94277, 94522, 96132, 97548, 97712, 98513, 98583, 99642, 100732, 102286, 103643, 104910, 105081, 105433, 106367, 108082, 109192, 109996, 110137, 112431, 113480, 114466, 115712, 116386, 116886, 117687, 118130, 119554, 120034, 120737, 121175, 121781, 122911, 124074, 125696, 126273, 127295, 127622, 129210, 129895, 130838, 132299, 132804, 133132, 134989, 135113, 135678, 137287, 138132, 138391, 138467, 140336, 141345, 144141, 144577, 145205, 145349, 146165, 146849, 147080, 148322, 148558, 149166, 149809, 150849, 151628, 152261, 153038, 153369, 153729, 155018, 157628, 157743, 158350, 158846, 159348, 159769, 159942, 160998, 162849, 163800, 165065, 166065, 166451, 166653, 167329, 168850, 169669, 169800, 170199, 171539, 172068, 173010, 173071, 173209, 174780, 175162, 176525, 177116, 177586, 179371, 180281, 180665, 181610, 182684, 183574, 184411, 186571, 186903, 187153, 187838, 187992, 189559, 189963, 190243, 191633, 191880, 192382, 192720, 193590, 193758, 195170, 196716, 198038, 199060, 199166, 200001, 201376, 202201, 203110, 204175, 204681, 204874, 205549, 206825, 208341, 208874, 209032, 209813, 210604, 211332, 212048, 212212, 212656, 214257, 215618, 216164, 216886, 217362, 218431, 219215, 219877, 220729, 220850, 221689, 222117, 223112, 224523, 224757, 226208, 227090, 227190, 227430, 228650, 230249, 232052, 233353, 233434, 233778, 234110, 234867, 237385, 237587, 238205, 238486, 238969, 240525, 241151, 241572, 242544, 243055, 243858, 244385, 244826, 245494, 246775, 248473, 248831, 249136, 250444, 252337, 253264, 255625, 256703, 258001, 258110, 259537, 260432, 260617, 260963, 262138, 262558, 263192, 263829, 264162, 264257, 264372, 264977, 265807, 266140, 266476, 266620, 267253, 267394, 268760, 269521, 270730, 271907, 272586, 272997, 274069, 274794, 275689, 276143, 277333, 277627, 279202, 280544, 281878, 282681, 284863, 285329, 285906, 286815, 289715, 289777, 290125, 291632, 291998, 292770, 293014, 294277, 294522, 296132, 297548, 297712, 298513, 298583, 299642, 300732, 302286, 303643, 304910, 305081, 305433, 306367, 308082, 309192, 309996, 310137, 312431, 313480, 314466, 315712, 316386, 316886, 317687, 318130, 319554, 320034, 320737, 321175, 321781, 322911, 324074, 325696, 326273, 327295, 327622, 329210, 329895, 330838, 332299, 332804, 333132, 334989, 335113, 335678, 337287, 338132, 338391, 338467, 340336, 341345, 344141, 344577, 345205, 345349, 346165, 346849, 347080, 348322, 348558, 349166, 349809, 350849, 351628, 352261, 353038, 353369, 353729, 355018, 357628, 357743, 358350, 358846, 359348, 359769, 359942, 360998, 362849, 363800, 365065, 366065, 366451, 366653, 367329, 368850, 369669, 369800, 370199, 371539, 372068, 373010, 373071, 373209, 374780, 375162, 376525, 377116, 377586, 379371, 380281, 380665, 381610, 382684, 383574, 384411, 386571, 386903, 387153, 387838, 387992, 389559, 389963, 390243, 391633, 391880, 392382, 392720, 393590, 393758, 395170, 396716, 398038, 399060, 399166, 400001, 401376, 402201, 403110, 404175, 404681, 404874, 405549, 406825, 408341, 408874, 409032, 409813, 410604, 411332, 412048, 412212, 412656, 414257, 415618, 416164, 416886, 417362, 418431, 419215, 419877, 420729, 420850, 421689, 422117, 423112, 424523, 424757, 426208, 427090, 427190, 427430, 428650, 430249, 432052, 433353, 433434, 433778, 434110, 434867, 437385, 437587, 438205, 438486, 438969, 440525, 441151, 441572, 442544, 443055, 443858, 444385, 444826, 445494, 446775, 448473, 448831, 449136, 450444, 452337, 453264, 455625, 456703, 458001, 458110, 459537, 460432, 460617, 460963, 462138, 462558, 463192, 463829, 464162, 464257, 464372, 464977, 465807, 466140, 466476, 466620, 467253, 467394, 468760, 469521, 470730, 471907, 472586, 472997, 474069, 474794, 475689, 476143, 477333, 477627, 479202, 480544, 481878, 482681, 484863, 485329, 485906, 486815, 489715, 489777, 490125, 491632, 491998, 492770, 493014, 494277, 494522, 496132, 497548, 497712, 498513, 498583, 499642, 500732, 502286, 503643, 504910, 505081, 505433, 506367, 508082, 509192, 509996, 510137, 512431, 513480, 514466, 515712, 516386, 516886, 517687, 518130, 519554, 520034, 520737, 521175, 521781, 522911, 524074, 525696, 526273, 527295, 527622, 529210, 529895, 530838, 532299, 532804, 533132, 534989, 535113, 535678, 537287, 538132, 538391, 538467, 540336, 541345, 544141, 544577, 545205, 545349, 546165, 546849, 547080, 548322, 548558, 549166, 549809, 550849, 551628, 552261, 553038, 553369, 553729, 555018, 557628, 557743, 558350, 558846, 559348, 559769, 559942, 560998, 562849, 563800, 565065, 566065, 566451, 566653, 567329, 568850, 569669, 569800, 570199, 571539, 572068, 573010, 573071, 573209, 574780, 575162, 576525, 577116, 577586, 579371, 580281, 580665, 581610, 582684, 583574, 584411, 586571, 586903, 587153, 587838, 587992, 589559, 589963, 590243, 591633, 591880, 592382, 592720, 593590, 593758, 595170, 596716, 598038, 599060, 599166, 600001, 601376, 602201, 603110, 604175, 604681, 604874, 605549, 606825, 608341, 608874, 609032, 609813, 610604, 611332, 612048, 612212, 612656, 614257, 615618, 616164, 616886, 617362, 618431, 619215, 619877, 620729, 620850, 621689, 622117, 623112, 624523, 624757, 626208, 627090, 627190, 627430, 628650, 630249, 632052, 633353, 633434, 633778, 634110, 634867, 637385, 637587, 638205, 638486, 638969, 640525, 641151, 641572, 642544, 643055, 643858, 644385, 644826, 645494, 646775, 648473, 648831, 649136, 650444, 652337, 653264, 655625, 656703, 658001, 658110, 659537, 660432, 660617, 660963, 662138, 662558, 663192, 663829, 664162, 664257, 664372, 664977, 665807, 666140, 666476, 666620, 667253, 667394, 668760, 669521, 670730, 671907, 672586, 672997, 674069, 674794, 675689, 676143, 677333, 677627, 679202, 680544, 681878, 682681, 684863, 685329, 685906, 686815, 689715, 689777, 690125, 691632, 691998, 692770, 693014, 694277, 694522, 696132, 697548, 697712, 698513, 698583, 699642, 700732, 702286, 703643, 704910, 705081, 705433, 706367, 708082, 709192, 709996, 710137, 712431, 713480, 714466, 715712, 716386, 716886, 717687, 718130, 719554, 720034, 720737, 721175, 721781, 722911, 724074, 725696, 726273, 727295, 727622, 729210, 729895, 730838, 732299, 732804, 733132, 734989, 735113, 735678, 737287, 738132, 738391, 738467, 740336, 741345, 744141, 744577, 745205, 745349, 746165, 746849, 747080, 748322, 748558, 749166, 749809, 750849, 751628, 752261, 753038, 753369, 753729, 755018, 757628, 757743, 758350, 758846, 759348, 759769, 759942, 760998, 762849, 763800, 765065, 766065, 766451, 766653, 767329, 768850, 769669, 769800, 770199, 771539, 772068, 773010, 773071, 773209, 774780, 775162, 776525, 777116, 777586, 779371, 780281, 780665, 781610, 782684, 783574, 784411, 786571, 786903, 787153, 787838, 787992, 789559, 789963, 790243, 791633, 791880, 792382, 792720, 793590, 793758, 795170, 796716, 798038, 799060, 799166, 800001, 801376, 802201, 803110, 804175, 804681, 804874, 805549, 806825, 808341, 808874, 809032, 809813, 810604, 811332, 812048, 812212, 812656, 814257, 815618, 816164, 816886, 817362, 818431, 819215, 819877, 820729, 820850, 821689, 822117, 823112, 824523, 824757, 826208, 827090, 827190, 827430, 828650, 830249, 832052, 833353, 833434, 833778, 834110, 834867, 837385, 837587, 838205, 838486, 838969, 840525, 841151, 841572, 842544, 843055, 843858, 844385, 844826, 845494, 846775, 848473, 848831, 849136, 850444, 852337, 853264, 855625, 856703, 858001, 858110, 859537, 860432, 860617, 860963, 862138, 862558, 863192, 863829, 864162, 864257, 864372, 864977, 865807, 866140, 866476, 866620, 867253, 867394, 868760, 869521, 870730, 871907, 872586, 872997, 874069, 874794, 875689, 876143, 877333, 877627, 879202, 880544, 881878, 882681, 884863, 885329, 885906, 886815, 889715, 889777, 890125, 891632, 891998, 892770, 893014, 894277, 894522, 896132, 897548, 897712, 898513, 898583, 899642, 900732, 902286, 903643, 904910, 905081, 905433, 906367, 908082, 909192, 909996, 910137, 912431, 913480, 914466, 915712, 916386, 916886, 917687, 918130, 919554, 920034, 920737, 921175, 921781, 922911, 924074, 925696, 926273, 927295, 927622, 929210, 929895, 930838, 932299, 932804, 933132, 934989, 935113, 935678, 937287, 938132, 938391, 938467, 940336, 941345, 944141, 944577, 945205, 945349, 946165, 946849, 947080, 948322, 948558, 949166, 949809, 950849, 951628, 952261, 953038, 953369, 953729, 955018, 957628, 957743, 958350, 958846, 959348, 959769, 959942, 960998, 962849, 963800, 965065, 966065, 966451, 966653, 967329, 968850, 969669, 969800, 970199, 971539, 972068, 973010, 973071, 973209, 974780, 975162, 976525, 977116, 977586, 979371, 980281, 980665, 981610, 982684, 983574, 984411, 986571, 986903, 987153, 987838, 987992, 989559, 989963, 990243, 991633, 991880, 992382, 992720, 993590, 993758, 995170, 996716, 998038, 999060, 999166]"
7,mixed_abrupt_1M_0,NB_EDDM_F,0.90997190997191,0.8198850048117926,00:02:45,59.73 KB,"[200922, 201020, 218425, 404703, 405021, 406402, 406825, 603782, 603914, 604293, 802920, 803040]"
8,mixed_abrupt_1M_0,NB_GMA_F,0.5842735842735842,0.1676851268188253,00:02:47,30.83 KB,[]
9,mixed_abrupt_1M_0,NB_HDDMA_F,0.9201209201209202,0.840194630382005,00:03:08,59.66 KB,"[200171, 400171, 600171, 800171]"
