,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,mixed_gradual_1M_0,BOLE_basic_F,0.9776309776309776,0.955255526136014,00:13:57,141.15 MB,[]
1,mixed_gradual_1M_0,BOLE_ADWIN_F,0.9055819055819055,0.8111278413515606,00:23:27,934.88 KB,[]
2,mixed_gradual_1M_0,BOLE_CUSUM_F,0.9613399613399614,0.9226640501633113,00:16:40,5.13 MB,[]
3,mixed_gradual_1M_0,BOLE_DDM_F,0.9770719770719771,0.9541358794161732,00:16:57,11.18 MB,[]
4,mixed_gradual_1M_0,BOLE_ECDD_F,0.833989833989834,0.6679186780528207,00:19:27,3.78 MB,[]
5,mixed_gradual_1M_0,BOLE_EDDM_F,0.9617379617379618,0.9234608627337555,00:15:31,14.79 MB,[]
6,mixed_gradual_1M_0,BOLE_GMA_F,0.9776309776309776,0.955255526136014,00:18:45,141.17 MB,[]
7,mixed_gradual_1M_0,BOLE_HDDMA_F,0.8536528536528537,0.7072542642725171,00:20:57,2.56 MB,[]
8,mixed_gradual_1M_0,BOLE_HDDMW_F,0.8691778691778692,0.738303202371239,00:20:51,1.58 MB,[]
9,mixed_gradual_1M_0,BOLE_PH_F,0.9886699886699887,0.977336103976192,00:15:30,15.01 MB,[]
10,mixed_gradual_1M_0,BOLE_RDDM_F,0.9054719054719055,0.8109064483081767,00:18:01,2.36 MB,[]
11,mixed_gradual_1M_0,BOLE_STEPD_F,0.8588128588128588,0.7175685796425498,00:31:10,2.85 MB,[]
12,mixed_gradual_1M_2,BOLE_basic_F,0.9806429806429806,0.9612798962367347,00:14:04,154.7 MB,[]
13,mixed_gradual_1M_2,BOLE_ADWIN_F,0.9066469066469066,0.8132572524202459,00:23:31,786.36 KB,[]
14,mixed_gradual_1M_2,BOLE_CUSUM_F,0.9533749533749534,0.9067308407698689,00:17:20,1.65 MB,[]
15,mixed_gradual_1M_2,BOLE_DDM_F,0.9738919738919739,0.9477749008216894,00:17:17,7.37 MB,[]
16,mixed_gradual_1M_2,BOLE_ECDD_F,0.833977833977834,0.6678918129454612,00:19:38,3.78 MB,[]
17,mixed_gradual_1M_2,BOLE_EDDM_F,0.9615289615289615,0.9230453948299938,00:15:15,13.25 MB,[]
18,mixed_gradual_1M_2,BOLE_GMA_F,0.9806429806429806,0.9612798962367347,00:18:46,154.71 MB,[]
19,mixed_gradual_1M_2,BOLE_HDDMA_F,0.8531968531968532,0.7063360639491002,00:20:48,2.54 MB,[]
20,mixed_gradual_1M_2,BOLE_HDDMW_F,0.8688288688288688,0.7376073598664448,00:20:51,1.6 MB,[]
21,mixed_gradual_1M_2,BOLE_PH_F,0.989033989033989,0.9780643786915113,00:15:46,14.07 MB,[]
22,mixed_gradual_1M_2,BOLE_RDDM_F,0.9067799067799068,0.8135256268811282,00:18:19,2.24 MB,[]
23,mixed_gradual_1M_2,BOLE_STEPD_F,0.8576878576878577,0.7153179307712992,00:30:58,2.86 MB,[]
24,mixed_gradual_1M_4,BOLE_basic_F,0.9777879777879778,0.9555679225518001,00:13:57,140.68 MB,[]
25,mixed_gradual_1M_4,BOLE_ADWIN_F,0.9058789058789058,0.8117183102354626,00:23:20,891.08 KB,[]
26,mixed_gradual_1M_4,BOLE_CUSUM_F,0.9616929616929617,0.9233727947087844,00:17:46,2.73 MB,[]
27,mixed_gradual_1M_4,BOLE_DDM_F,0.966022966022966,0.9320348336084595,00:18:47,13.19 MB,[]
28,mixed_gradual_1M_4,BOLE_ECDD_F,0.8342568342568343,0.6684439876957421,00:20:53,3.78 MB,[]
29,mixed_gradual_1M_4,BOLE_EDDM_F,0.9653269653269654,0.9306424142635579,00:15:49,18.01 MB,[]
30,mixed_gradual_1M_4,BOLE_GMA_F,0.9777879777879778,0.9555679225518001,00:18:51,140.7 MB,[]
31,mixed_gradual_1M_4,BOLE_HDDMA_F,0.854017854017854,0.707978173733413,00:20:59,2.55 MB,[]
32,mixed_gradual_1M_4,BOLE_HDDMW_F,0.8696168696168696,0.7391814804615519,00:22:34,1.69 MB,[]
33,mixed_gradual_1M_4,BOLE_PH_F,0.9898129898129898,0.9796223625698637,00:16:40,18.14 MB,[]
34,mixed_gradual_1M_4,BOLE_RDDM_F,0.9010949010949011,0.8021532071014448,00:19:09,2.11 MB,[]
35,mixed_gradual_1M_4,BOLE_STEPD_F,0.859094859094859,0.7181264162334171,00:33:02,2.86 MB,[]
36,mixed_gradual_1M_6,BOLE_basic_F,0.9783319783319784,0.9566561493450014,00:14:59,144.08 MB,[]
37,mixed_gradual_1M_6,BOLE_ADWIN_F,0.9066099066099066,0.8131782067191702,00:25:05,670.48 KB,[]
38,mixed_gradual_1M_6,BOLE_CUSUM_F,0.9601719601719602,0.9203282922175999,00:18:09,3.89 MB,[]
39,mixed_gradual_1M_6,BOLE_DDM_F,0.9695529695529695,0.9390965104025633,00:18:23,10.74 MB,[]
40,mixed_gradual_1M_6,BOLE_ECDD_F,0.8337188337188337,0.6673721091010851,00:21:20,3.8 MB,[]
41,mixed_gradual_1M_6,BOLE_EDDM_F,0.965052965052965,0.9300946057757912,00:16:00,15.77 MB,[]
42,mixed_gradual_1M_6,BOLE_GMA_F,0.9783319783319784,0.9566561493450014,00:19:47,144.1 MB,[]
43,mixed_gradual_1M_6,BOLE_HDDMA_F,0.8534008534008534,0.7067436561668288,00:22:19,2.49 MB,[]
44,mixed_gradual_1M_6,BOLE_HDDMW_F,0.8702138702138702,0.7403753690851986,00:22:20,1.66 MB,[]
45,mixed_gradual_1M_6,BOLE_PH_F,0.9893779893779894,0.9787525716991984,00:16:47,17.54 MB,[]
46,mixed_gradual_1M_6,BOLE_RDDM_F,0.901032901032901,0.8020305582710497,00:19:19,1.98 MB,[]
47,mixed_gradual_1M_6,BOLE_STEPD_F,0.8584648584648584,0.7168699480077882,00:32:34,2.86 MB,[]
48,mixed_gradual_1M_8,BOLE_basic_F,0.9782879782879783,0.9565679213011063,00:13:52,143.2 MB,[]
49,mixed_gradual_1M_8,BOLE_ADWIN_F,0.9058909058909059,0.8117368761498306,00:21:39,835.86 KB,[]
50,mixed_gradual_1M_8,BOLE_CUSUM_F,0.9564629564629564,0.912906841387887,00:15:17,4.38 MB,[]
