,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,mixed_gradual_1M_0,BOLE_KSWIN1_F,0.906039906039906,0.812044525089556,01:16:04,1.31 MB,[]
1,mixed_gradual_1M_0,BOLE_KSWIN51_F,0.9044529044529045,0.8088672290849973,01:16:37,1.02 MB,[]
2,mixed_gradual_1M_0,BOLE_KSWIN101_F,0.909069909069909,0.8181090476649933,01:19:10,1.23 MB,[]
3,mixed_gradual_1M_0,BOLE_KSWIN151_F,0.9100299100299101,0.8200186013528906,01:18:58,1.09 MB,[]
4,mixed_gradual_1M_0,BOLE_KSWIN201_F,0.9066289066289066,0.8132185679508106,01:18:31,1.23 MB,[]
5,mixed_gradual_1M_2,BOLE_KSWIN1_F,0.9061219061219061,0.8122090806815618,01:18:09,1.18 MB,[]
6,mixed_gradual_1M_2,BOLE_KSWIN51_F,0.912032912032912,0.8240303413738225,01:18:10,1.17 MB,[]
7,mixed_gradual_1M_2,BOLE_KSWIN101_F,0.9100519100519101,0.8200649067896866,01:19:07,1.25 MB,[]
8,mixed_gradual_1M_2,BOLE_KSWIN151_F,0.9041529041529042,0.8082673989441529,01:18:29,1.22 MB,[]
9,mixed_gradual_1M_2,BOLE_KSWIN201_F,0.9118269118269118,0.8236208151463535,01:18:00,1.97 MB,[]
10,mixed_gradual_1M_4,BOLE_KSWIN1_F,0.905031905031905,0.8100257607439664,01:18:37,1.18 MB,[]
11,mixed_gradual_1M_4,BOLE_KSWIN51_F,0.9116339116339116,0.8232266808435624,01:18:01,1.26 MB,[]
12,mixed_gradual_1M_4,BOLE_KSWIN101_F,0.9072149072149072,0.8143901998760895,01:18:00,1.13 MB,[]
13,mixed_gradual_1M_4,BOLE_KSWIN151_F,0.906091906091906,0.8121423592413424,01:18:06,1.22 MB,[]
14,mixed_gradual_1M_4,BOLE_KSWIN201_F,0.9056219056219056,0.8112037759953743,01:18:02,1.25 MB,[]
15,mixed_gradual_1M_6,BOLE_KSWIN1_F,0.9091009091009091,0.8181641682154694,01:18:13,1.02 MB,[]
16,mixed_gradual_1M_6,BOLE_KSWIN51_F,0.908068908068908,0.8161020456053065,01:17:42,1.13 MB,[]
17,mixed_gradual_1M_6,BOLE_KSWIN101_F,0.9052949052949053,0.8105511974738725,01:19:17,1.2 MB,[]
18,mixed_gradual_1M_6,BOLE_KSWIN151_F,0.905037905037905,0.8100377407664093,01:18:07,1.12 MB,[]
19,mixed_gradual_1M_6,BOLE_KSWIN201_F,0.9061839061839062,0.8123314175434748,01:17:39,1.05 MB,[]
20,mixed_gradual_1M_8,BOLE_KSWIN1_F,0.9056139056139056,0.8111874052666427,01:18:10,1.09 MB,[]
21,mixed_gradual_1M_8,BOLE_KSWIN51_F,0.9095339095339096,0.8190336853821173,01:17:56,1.06 MB,[]
22,mixed_gradual_1M_8,BOLE_KSWIN101_F,0.9168629168629169,0.8336889261181997,01:17:40,1.13 MB,[]
23,mixed_gradual_1M_8,BOLE_KSWIN151_F,0.9040559040559041,0.8080704578869439,01:17:46,1.21 MB,[]
24,mixed_gradual_1M_8,BOLE_KSWIN201_F,0.9058789058789058,0.8117186607720723,01:08:26,1.25 MB,[]
25,mixed_gradual_1M_10,BOLE_KSWIN1_F,0.9067339067339067,0.8134317334852744,01:08:33,1.04 MB,[]
26,mixed_gradual_1M_10,BOLE_KSWIN51_F,0.9036689036689036,0.80729532397019,01:08:37,1.02 MB,[]
27,mixed_gradual_1M_10,BOLE_KSWIN101_F,0.9048019048019048,0.8095596944116681,01:12:34,1.15 MB,[]
28,mixed_gradual_1M_10,BOLE_KSWIN151_F,0.9067339067339067,0.813430305546613,01:14:21,1.15 MB,[]
29,mixed_gradual_1M_10,BOLE_KSWIN201_F,0.9073739073739073,0.8147065330764998,01:17:07,1.24 MB,[]
30,mixed_gradual_1M_12,BOLE_KSWIN1_F,0.9076339076339076,0.8152327493022467,01:15:32,1.24 MB,[]
31,mixed_gradual_1M_12,BOLE_KSWIN51_F,0.9076209076209076,0.8152080212304194,01:17:13,1.2 MB,[]
32,mixed_gradual_1M_12,BOLE_KSWIN101_F,0.907980907980908,0.8159266550981407,01:17:33,1.17 MB,[]
33,mixed_gradual_1M_12,BOLE_KSWIN151_F,0.9071729071729072,0.8143096915280432,01:17:40,1.04 MB,[]
34,mixed_gradual_1M_12,BOLE_KSWIN201_F,0.9033309033309034,0.8066264044154272,01:17:53,1.32 MB,[]
35,mixed_gradual_1M_14,BOLE_KSWIN1_F,0.9099929099929099,0.8199531598423039,01:18:11,1.09 MB,[]
36,mixed_gradual_1M_14,BOLE_KSWIN51_F,0.9059169059169059,0.811804409850174,01:24:52,1.32 MB,[]
37,mixed_gradual_1M_14,BOLE_KSWIN101_F,0.9147209147209148,0.8294050806387003,01:20:51,1.1 MB,[]
38,mixed_gradual_1M_14,BOLE_KSWIN151_F,0.9061949061949062,0.812352192108031,01:22:45,1.05 MB,[]
39,mixed_gradual_1M_14,BOLE_KSWIN201_F,0.9045699045699046,0.8091034111150727,01:23:25,1.09 MB,[]
40,mixed_gradual_1M_16,BOLE_KSWIN1_F,0.9028169028169029,0.805595382877295,01:23:30,1.24 MB,[]
41,mixed_gradual_1M_16,BOLE_KSWIN51_F,0.9047069047069047,0.8093760540021344,01:23:40,1.27 MB,[]
42,mixed_gradual_1M_16,BOLE_KSWIN101_F,0.9074859074859075,0.8149308604949338,01:23:12,1.03 MB,[]
43,mixed_gradual_1M_16,BOLE_KSWIN151_F,0.9105579105579106,0.8210759078438348,01:24:02,1.17 MB,[]
44,mixed_gradual_1M_16,BOLE_KSWIN201_F,0.9043959043959044,0.8087505385088933,01:23:58,1.11 MB,[]
45,mixed_gradual_1M_18,BOLE_KSWIN1_F,0.9063179063179063,0.8126010899056176,01:24:59,1.01 MB,[]
46,mixed_gradual_1M_18,BOLE_KSWIN51_F,0.9031929031929032,0.8063487425665611,01:25:11,1.13 MB,[]
47,mixed_gradual_1M_18,BOLE_KSWIN101_F,0.9069199069199069,0.8137999201260886,01:25:20,1.32 MB,[]
48,mixed_gradual_1M_18,BOLE_KSWIN151_F,0.9188519188519189,0.8376789162225435,01:25:02,1.22 MB,[]
49,mixed_gradual_1M_18,BOLE_KSWIN201_F,0.9037189037189037,0.8073982176271737,01:25:45,1.14 MB,[]
