,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,mixed_gradual_1M_0,HT_basic_F,0.8591338591338591,0.7182321992056397,00:01:37,5.25 MB,[]
1,mixed_gradual_1M_0,HT_ADWIN_F,0.8997498997498997,0.7994433907337787,00:02:55,83.82 KB,"[2175, 3071, 6751, 13407, 20063, 27231, 28127, 34783, 38655, 40447, 47103, 50879, 54655, 57727, 64895, 71551, 75327, 82111, 88767, 96191, 100799, 104639, 111359, 121503, 123487, 127583, 131359, 135135, 138847, 145503, 152671, 156767, 163423, 167519, 174175, 177887, 184543, 188223, 192063, 198719, 200063, 200511, 204607, 208703, 212575, 216383, 220991, 227647, 231263, 232383, 236159, 237311, 240383, 244095, 252863, 259007, 262847, 266527, 271135, 272031, 275871, 282527, 286367, 288607, 295775, 300319, 304095, 307807, 312287, 316095, 316863, 320607, 322655, 329311, 333407, 340063, 343871, 347583, 352191, 358847, 362527, 365887, 372543, 376351, 380447, 384255, 387967, 392063, 398719, 400095, 400543, 407199, 410911, 417567, 424223, 428831, 436191, 442847, 446815, 450591, 457247, 460991, 464671, 468383, 472223, 476031, 480127, 483775, 490431, 494271, 500927, 508351, 512703, 513183, 515039, 521695, 525535, 529375, 536543, 543199, 549855, 551071, 557727, 561439, 565375, 569151, 576831, 580639, 584607, 588319, 595487, 599967, 600447, 604543, 605503, 609311, 615967, 622623, 626559, 630399, 642527, 646367, 653631, 656511, 666751, 670623, 672095, 675935, 680031, 683871, 687647, 689535, 696191, 699999, 700447, 704255, 709375, 713055, 719711, 722271, 726015, 729951, 733631, 740287, 744127, 747807, 751583, 755423, 759231, 764191, 770847, 776991, 780799, 784639, 788351, 795519, 799999, 800447, 801983, 805023, 808735, 812575, 819743, 823519, 827263, 831071, 834815, 838623, 839551, 843391, 847103, 850847, 857791, 864959, 869055, 872895, 874079, 879711, 886399, 889727, 896383, 900159, 903999, 907679, 911455, 911839, 918751, 921183, 924959, 931615, 935711, 939807, 946975, 949215, 949695, 956351, 959039, 962751, 966463, 970271, 974111, 977759, 984511, 988287, 988831, 992671, 996479]"
2,mixed_gradual_1M_0,HT_CUSUM_F,0.949017949017949,0.8980348796913805,00:02:04,954.2 KB,"[3667, 7297, 10986, 14753, 18510, 199983, 203654, 207316, 210999, 214710, 218435, 222271, 225931, 229602, 233311, 399985, 403679, 407361, 411034, 414737, 418503, 600011, 603682, 607344, 611027, 614738, 618463, 622299, 625959, 629630, 633339, 800013, 803707, 807389, 811062, 814765, 818531]"
3,mixed_gradual_1M_0,HT_DDM_F,0.9518359518359518,0.903659169309172,00:02:05,0.97 MB,"[3541, 7037, 10456, 10591, 14122, 14311, 17887, 21444, 24761, 28389, 30589, 30699, 30814, 30890, 34423, 200176, 201000, 203872, 203923, 207475, 210900, 400190, 600222, 603622, 607124, 610743, 614272, 616287, 619415, 800231, 803586, 807026, 809975, 813559, 816905]"
4,mixed_gradual_1M_0,HT_ECDD_F,0.8893858893858894,0.7787204021346337,00:02:25,109.69 KB,"[1103, 1196, 1862, 2203, 2574, 3110, 3792, 4175, 5549, 6825, 8341, 8864, 9813, 11332, 12130, 14257, 15618, 17677, 18431, 20041, 20744, 20850, 22125, 23112, 24523, 24757, 26208, 27090, 27346, 28396, 28891, 30526, 32052, 32417, 33355, 33767, 33968, 34867, 36567, 37718, 37999, 38485, 38968, 40525, 41151, 41572, 42544, 43055, 43858, 45716, 46774, 48473, 49136, 50444, 51755, 52396, 53264, 55259, 55414, 55625, 56277, 56376, 58001, 59537, 60617, 61240, 62293, 62516, 63192, 63355, 63829, 65121, 65510, 66131, 66472, 66621, 67253, 68113, 68760, 69521, 70730, 71907, 72586, 72997, 74184, 75293, 76175, 76400, 77258, 77828, 79513, 81878, 83061, 85246, 86815, 89715, 89777, 89847, 90499, 91633, 92770, 94277, 94642, 96132, 98325, 98583, 99451, 100729, 101945, 102793, 103420, 104604, 104910, 105433, 106832, 108021, 108234, 109194, 109996, 112431, 113480, 114466, 115636, 116346, 116886, 117687, 118130, 119554, 120034, 120737, 120963, 121871, 122417, 124074, 125696, 126273, 126863, 127214, 127986, 129210, 129846, 130450, 131183, 131925, 132299, 132804, 133132, 134989, 135820, 137305, 137574, 138132, 138391, 138773, 140336, 141104, 141345, 141649, 144072, 144123, 144551, 144601, 146165, 146250, 146849, 147080, 148322, 148558, 149445, 149809, 150849, 151422, 153038, 153758, 154150, 155066, 155986, 156484, 157633, 158351, 158393, 158846, 159769, 160346, 161123, 162128, 163503, 163800, 165065, 166065, 167069, 167524, 169183, 169669, 170607, 170702, 171023, 171538, 173010, 174750, 176106, 176525, 177116, 177586, 178216, 178590, 179371, 180281, 180664, 181881, 182381, 182685, 184411, 186571, 187153, 187431, 187520, 187795, 187999, 189559, 191304, 192719, 193758, 195419, 196184, 197309, 198288, 199767, 199922, 202587, 203124, 204189, 204695, 204888, 205563, 206839, 208355, 208776, 209827, 210618, 211346, 211743, 212144, 212670, 213139, 214271, 215632, 216280, 216900, 217376, 218445, 220055, 220825, 221366, 222131, 223126, 224537, 224771, 226222, 227108, 227204, 227459, 228410, 228667, 230263, 232066, 233674, 233836, 234162, 234881, 235655, 235869, 236581, 237169, 238456, 240539, 241165, 241588, 242558, 243069, 243872, 245506, 246789, 247053, 248487, 249150, 249416, 250460, 252351, 253155, 255273, 256597, 256959, 257606, 258015, 258339, 258413, 259551, 260200, 261254, 262125, 262572, 263206, 263693, 264990, 265821, 266486, 267267, 267408, 268774, 269535, 270255, 271481, 272053, 272600, 273011, 273664, 274879, 275703, 276157, 277347, 277641, 280688, 281528, 281892, 283075, 285260, 285920, 286698, 287770, 288397, 289729, 290190, 290512, 291647, 291694, 292677, 293252, 294291, 294787, 297062, 298737, 299465, 300743, 301959, 302807, 303434, 304618, 304924, 305447, 306846, 308035, 308248, 309208, 310010, 312445, 314683, 314796, 314943, 316918, 317701, 318144, 319568, 320048, 320751, 321189, 321795, 322031, 324088, 325278, 325710, 326287, 326877, 328086, 329224, 330142, 330854, 330985, 331938, 335001, 337080, 338148, 338404, 340350, 341359, 344155, 344734, 346179, 346863, 348336, 349459, 350863, 351642, 352019, 353052, 353383, 354434, 355272, 356498, 358365, 359600, 360087, 360118, 361137, 362863, 363814, 365079, 366079, 366465, 367538, 368864, 369683, 370621, 371338, 371929, 372284, 372831, 374891, 376407, 377130, 377600, 378230, 378604, 378905, 380678, 381624, 382395, 382699, 383588, 384425, 386585, 387534, 388008, 388981, 389721, 391318, 392733, 393772, 395433, 396199, 397323, 398302, 399781, 399936, 402601, 403138, 404203, 404709, 404902, 405577, 406853, 408369, 408790, 409841, 410632, 411360, 411757, 412158, 412684, 413153, 414285, 415646, 416294, 416914, 417390, 418459, 420069, 420839, 421380, 422145, 423140, 424551, 424785, 426236, 427122, 427218, 427473, 428424, 428681, 430277, 432080, 433688, 433850, 434176, 434895, 435669, 435883, 436595, 437183, 438470, 440553, 441179, 441602, 442572, 443083, 443886, 445520, 446803, 447067, 448501, 449164, 449430, 450474, 452365, 453169, 455287, 456611, 456973, 457620, 458029, 458353, 458427, 459565, 460214, 461268, 462139, 462586, 463220, 463707, 465004, 465835, 466500, 467281, 467422, 468788, 469549, 470269, 471495, 472067, 472614, 473025, 473678, 474893, 475717, 476171, 477361, 477655, 480702, 481542, 481906, 483089, 485274, 485934, 486712, 487784, 488411, 489743, 490204, 490526, 491661, 491708, 492691, 493266, 494305, 494801, 497076, 498751, 499479, 500757, 501973, 502821, 503448, 504632, 504938, 505461, 506860, 508049, 508262, 509222, 510024, 512459, 514697, 514810, 514957, 516932, 517715, 518158, 519582, 520062, 520765, 521203, 521809, 522045, 524102, 525292, 525724, 526301, 527351, 527595, 529238, 529467, 530156, 530430, 531149, 531952, 532345, 532832, 533160, 535017, 535848, 537077, 538418, 540546, 541132, 541373, 544169, 544368, 546193, 546278, 546877, 548350, 549985, 550095, 550877, 551656, 552622, 552884, 554448, 555218, 557510, 558379, 559049, 561214, 562156, 562612, 563828, 564869, 565751, 566681, 567552, 569211, 569697, 570635, 571136, 571943, 573038, 574808, 575933, 576158, 576429, 578031, 579405, 580305, 580693, 581638, 582712, 583602, 584439, 585726, 586599, 586945, 587180, 587866, 588020, 589587, 589991, 590271, 591661, 591907, 593618, 593786, 594228, 595447, 596767, 597439, 598316, 599795, 599950, 602615, 603152, 604216, 604723, 605813, 606554, 607117, 608626, 609855, 610646, 611323, 612090, 612255, 614299, 615660, 617719, 618473, 620083, 620786, 621394, 622170, 622839, 623171, 624565, 625371, 626250, 627136, 627473, 628692, 629885, 629985, 632094, 633397, 633809, 634094, 634747, 635172, 636211, 637198, 637428, 638483, 639011, 640567, 641193, 641614, 642586, 643097, 643900, 645758, 646025, 646168, 646816, 648515, 649178, 650486, 652379, 653377, 655301, 656621, 656987, 657634, 658043, 658971, 659578, 660659, 661282, 662335, 662558, 663234, 663397, 663871, 665163, 665552, 666173, 666514, 666663, 667295, 668155, 668802, 669563, 670772, 671949, 672628, 673039, 674226, 675335, 676217, 676442, 677300, 677870, 679555, 681920, 683103, 685288, 686857, 689757, 689819, 689889, 690541, 691674, 692812, 694319, 694564, 696174, 697590, 697749, 698555, 698927, 699493, 699938, 700772, 701987, 702835, 703462, 704646, 704952, 705475, 706874, 708063, 708276, 709236, 710038, 712473, 714711, 714824, 714971, 716946, 717729, 718172, 719596, 720076, 720779, 721217, 721823, 722059, 724116, 725306, 725738, 726315, 726905, 728114, 729252, 730170, 730882, 731013, 731966, 735029, 737108, 738176, 738432, 740378, 741387, 744183, 744762, 746207, 746891, 748364, 749487, 750891, 751670, 752047, 753080, 753411, 754462, 755300, 756526, 758393, 759628, 760115, 760146, 761165, 762891, 763842, 765107, 766107, 766493, 767566, 768892, 769711, 770649, 771366, 771957, 772312, 772859, 774919, 776435, 777158, 777628, 778258, 778632, 778933, 780706, 781652, 782423, 782727, 783616, 784453, 786613, 787562, 788036, 789009, 789749, 791346, 792761, 793800, 795461, 796227, 797351, 798330, 799809, 799964, 802629, 803166, 804231, 804737, 804930, 805605, 806881, 808397, 808818, 809869, 810660, 811388, 811785, 812186, 812712, 813181, 814313, 815674, 816322, 816942, 817418, 818487, 820097, 820867, 821408, 822173, 823168, 824579, 824813, 826264, 827150, 827246, 827501, 828452, 828709, 830305, 832108, 833716, 833878, 834204, 834923, 835697, 835911, 836623, 837211, 838498, 840581, 841207, 841630, 842600, 843111, 843914, 845548, 846831, 847095, 848529, 849192, 849458, 850502, 852393, 853197, 855315, 856639, 857001, 857648, 858057, 858381, 858455, 859593, 860242, 861296, 862167, 862614, 863248, 863735, 865032, 865863, 866528, 867309, 867450, 868816, 869577, 870297, 871523, 872095, 872642, 873053, 873706, 874921, 875745, 876199, 877389, 877683, 880730, 881570, 881934, 883117, 885302, 885962, 886740, 887812, 888439, 889771, 890232, 890554, 891689, 891736, 892719, 893294, 894333, 894829, 897104, 898779, 899507, 900785, 902001, 902849, 903476, 904660, 904966, 905489, 906888, 908077, 908290, 909250, 910052, 912487, 914725, 914838, 914985, 916960, 917743, 918186, 919610, 920090, 920793, 921231, 921837, 922073, 924130, 925320, 925752, 926329, 927379, 927623, 929266, 929495, 930184, 930458, 931177, 931980, 932373, 932860, 933188, 935045, 935876, 937105, 938446, 940574, 941160, 941401, 944197, 944396, 946221, 946306, 946905, 948378, 950013, 950123, 950905, 951684, 952650, 952912, 954476, 955246, 957538, 958407, 959077, 961242, 962184, 962640, 963856, 964897, 965779, 966709, 967580, 969239, 969725, 970663, 971164, 971971, 973066, 974836, 975961, 976186, 976457, 978059, 979433, 980333, 980721, 981666, 982740, 983630, 984467, 985754, 986627, 986973, 987208, 987894, 988048, 989615, 990019, 990299, 991689, 991935, 993646, 993814, 994256, 995475, 996795, 997467, 998344]"
5,mixed_gradual_1M_0,HT_EDDM_F,0.9372359372359372,0.8744595911211299,00:01:56,778.63 KB,"[3683, 3852, 4278, 4426, 4621, 6531, 202178, 202433, 204490, 206581, 206988, 210594, 211203, 214862, 214953, 215044, 215754, 219464, 219585, 219890, 223614, 223726, 227303, 230862, 230982, 234564, 238279, 241965, 242571, 246194, 249784, 249919, 250582, 254272, 254646, 255806, 259458, 263122, 263222, 263438, 267131, 270785, 274399, 274610, 278197, 278339, 278519, 282214, 285820, 285974, 289715, 290018, 293714, 297406, 297563, 301394, 305098, 401537, 401925, 402328, 402421, 402602, 402796, 403188, 403673, 407148, 602172, 602427, 602643, 603864, 607478, 607593, 608238, 608701, 612446, 613599, 803096, 803225, 803615, 807268, 807400, 810912, 812106, 812266, 812370, 812709, 813566, 817372, 817460, 821222, 825027, 828694, 832391, 832496, 836292, 839994, 841088, 844779, 844905, 845552, 845818, 849515, 853320, 853462, 853744, 854027, 855936, 856060, 859810]"
6,mixed_gradual_1M_0,HT_GMA_F,0.8591338591338591,0.7182321992056397,00:02:06,5.26 MB,[]
7,mixed_gradual_1M_0,HT_HDDMA_F,0.9374709374709375,0.8749096436264748,00:02:21,837.18 KB,"[3452, 6900, 10387, 13858, 14407, 18042, 21625, 25229, 28857, 32486, 35946, 39418, 42888, 46298, 49709, 53143, 56144, 59565, 63136, 66683, 70163, 73666, 77240, 80658, 84187, 87634, 91139, 94670, 98081, 101678, 105122, 108508, 112081, 115643, 119075, 121875, 125529, 129072, 132522, 136087, 139563, 142993, 146544, 150110, 199975, 203467, 206851, 210364, 213866, 217389, 220861, 224393, 227929, 231397, 234877, 238331, 241828, 245245, 399963, 403508, 406903, 410347, 413881, 417415, 420875, 424407, 427943, 431411, 434891, 438345, 441832, 445288, 599971, 603511, 607001, 610426, 613900, 617429, 620946, 624416, 627934, 631425, 634905, 638359, 641856, 645273, 799991, 803536, 806931, 810375, 813909, 817443, 820903, 824435, 827971, 831439, 834919, 838373, 841860, 845316]"
8,mixed_gradual_1M_0,HT_HDDMW_F,0.95999695999696,0.9199844518844043,00:02:13,0.96 MB,"[199984, 399998, 600012, 800026, 803693]"
9,mixed_gradual_1M_0,HT_KSWIN1_F,0.892941892941893,0.7858039573554902,00:07:13,3.82 MB,[202414]
