,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,mixed_gradual_1M_0,NoChange_basic_F,0.5022155022155023,0.004269008607130185,00:00:26,659 B,[]
1,mixed_gradual_1M_0,MajClass_basic_F,0.5063775063775063,0.0,00:00:31,765 B,[]
2,mixed_gradual_1M_0,NB_basic_F,0.5842675842675843,0.16767457681381545,00:01:41,28.26 KB,[]
3,mixed_gradual_1M_0,NB_ADWIN_F,0.9194499194499195,0.8388523191181959,00:03:38,41.1 KB,"[3103, 200447, 201983, 400319, 600287, 603359, 800511]"
4,mixed_gradual_1M_0,NB_CUSUM_F,0.9201049201049201,0.8401624417264744,00:02:51,30.61 KB,"[199945, 399975, 599989, 800003]"
5,mixed_gradual_1M_0,NB_DDM_F,0.9186479186479186,0.8372426612216207,00:02:51,58.46 KB,"[200263, 400319, 600282, 800306]"
6,mixed_gradual_1M_0,NB_ECDD_F,0.888992888992889,0.7779342584763699,00:03:00,100.91 KB,"[1103, 1196, 1862, 2203, 2574, 3110, 3792, 4175, 5549, 6825, 8341, 8864, 9813, 11332, 12130, 14257, 15618, 17677, 18431, 20041, 20744, 20850, 22117, 23112, 24339, 24595, 24756, 26208, 27094, 27431, 28650, 30249, 32052, 33353, 33434, 33778, 34110, 34867, 37385, 37587, 38205, 38486, 38969, 40525, 41151, 41572, 42544, 43055, 43858, 44385, 44826, 45494, 46775, 48473, 48831, 49136, 50444, 52337, 53264, 55625, 56703, 58001, 58110, 59537, 60432, 60617, 60963, 62138, 62558, 63192, 63829, 64162, 64257, 64372, 64977, 65807, 66140, 66476, 66620, 67253, 67394, 68760, 69521, 70730, 71907, 72586, 72997, 74069, 74794, 75689, 76143, 77333, 77627, 79202, 80544, 81878, 82681, 84863, 85329, 85906, 86815, 89715, 89777, 90125, 91632, 91998, 92770, 93014, 94277, 94522, 96132, 97548, 97712, 98513, 98583, 99642, 100732, 102286, 103643, 104910, 105081, 105433, 106367, 108082, 109192, 109996, 110137, 112431, 113480, 114466, 115712, 116386, 116886, 117687, 118130, 119554, 120034, 120737, 121175, 121781, 122911, 124074, 125696, 126273, 127295, 127622, 129210, 129895, 130838, 132299, 132804, 133132, 134989, 135113, 135678, 137287, 138132, 138391, 138467, 140336, 141345, 144141, 144577, 145205, 145349, 146165, 146849, 147080, 148322, 148558, 149166, 149809, 150849, 151628, 152261, 153038, 153369, 153729, 155018, 157628, 157743, 158350, 158846, 159348, 159769, 159942, 160998, 162849, 163800, 165065, 166065, 166451, 166653, 167329, 168850, 169669, 169800, 170199, 171539, 172068, 173010, 173071, 173209, 174780, 175162, 176525, 177116, 177586, 179371, 180281, 180665, 181610, 182684, 183574, 184411, 186571, 186903, 187153, 187838, 187992, 189559, 189963, 190243, 191633, 191880, 192382, 192720, 193590, 193758, 195170, 196716, 198038, 199060, 199166, 199920, 202587, 203124, 204188, 205563, 206839, 208139, 208888, 209826, 210618, 211346, 212062, 212226, 212670, 214271, 215632, 216178, 216900, 217376, 218445, 219229, 219891, 220743, 220864, 221703, 222131, 223126, 224537, 224771, 226222, 227104, 227204, 227444, 228664, 230263, 232066, 233367, 233448, 233792, 234124, 234881, 237399, 237601, 238219, 238500, 238983, 240539, 241165, 241586, 242558, 243069, 243872, 244399, 244840, 245508, 246789, 248487, 248845, 249150, 250458, 252351, 253278, 255639, 256717, 258015, 258124, 259551, 260446, 260631, 260977, 262152, 262572, 263206, 263843, 264176, 264271, 264386, 264991, 265821, 266154, 266490, 266634, 267267, 267408, 268774, 269535, 270744, 271921, 272600, 273011, 274083, 274808, 275703, 276157, 277347, 277641, 279216, 280558, 281892, 282695, 284877, 285343, 285920, 286829, 289729, 289791, 290139, 291646, 292012, 292784, 293028, 294291, 294536, 296146, 297562, 297726, 298527, 298597, 299656, 300746, 302300, 303657, 304924, 305095, 305447, 306381, 308096, 309206, 310010, 310151, 312445, 313494, 314480, 315726, 316400, 316900, 317701, 318144, 319568, 320048, 320751, 321189, 321795, 322925, 324088, 325710, 326287, 327309, 327636, 329224, 329909, 330852, 332313, 332818, 333146, 335003, 335127, 335692, 337301, 338146, 338405, 338481, 340350, 341359, 344155, 344591, 345219, 345363, 346179, 346863, 347094, 348336, 348572, 349180, 349823, 350863, 351642, 352275, 353052, 353383, 353743, 355032, 357642, 357757, 358364, 358860, 359362, 359783, 359956, 361012, 362863, 363814, 365079, 366079, 366465, 366667, 367343, 368864, 369683, 369814, 370213, 371553, 372082, 373024, 373085, 373223, 374794, 375176, 376539, 377130, 377600, 379385, 380295, 380679, 381624, 382698, 383588, 384425, 386585, 386917, 387167, 387852, 388006, 389573, 389977, 390257, 391647, 391894, 392396, 392734, 393604, 393772, 395184, 396730, 398052, 399074, 399180, 399934, 402601, 403138, 404202, 405577, 406853, 408153, 408902, 409840, 410632, 411360, 412076, 412240, 412684, 414285, 415646, 416192, 416914, 417390, 418459, 419243, 419905, 420757, 420878, 421717, 422145, 423140, 424551, 424785, 426236, 427118, 427218, 427458, 428678, 430277, 432080, 433381, 433462, 433806, 434138, 434895, 437413, 437615, 438233, 438514, 438997, 440553, 441179, 441600, 442572, 443083, 443886, 444413, 444854, 445522, 446803, 448501, 448859, 449164, 450472, 452365, 453292, 455653, 456731, 458029, 458138, 459565, 460460, 460645, 460991, 462166, 462586, 463220, 463857, 464190, 464285, 464400, 465005, 465835, 466168, 466504, 466648, 467281, 467422, 468788, 469549, 470758, 471935, 472614, 473025, 474097, 474822, 475717, 476171, 477361, 477655, 479230, 480572, 481906, 482709, 484891, 485357, 485934, 486843, 489743, 489805, 490153, 491660, 492026, 492798, 493042, 494305, 494550, 496160, 497576, 497740, 498541, 498611, 499670, 500760, 502314, 503671, 504938, 505109, 505461, 506395, 508110, 509220, 510024, 510165, 512459, 513508, 514494, 515740, 516414, 516914, 517715, 518158, 519582, 520062, 520765, 521203, 521809, 522939, 524102, 525724, 526301, 527323, 527650, 529238, 529923, 530866, 532327, 532832, 533160, 535017, 535141, 535706, 537315, 538160, 538419, 538495, 540364, 541373, 544169, 544605, 545233, 545377, 546193, 546877, 547108, 548350, 548586, 549194, 549837, 550877, 551656, 552289, 553066, 553397, 553757, 555046, 557656, 557771, 558378, 558874, 559376, 559797, 559970, 561026, 562877, 563828, 565093, 566093, 566479, 566681, 567357, 568878, 569697, 569828, 570227, 571567, 572096, 573038, 573099, 573237, 574808, 575190, 576553, 577144, 577614, 579399, 580309, 580693, 581638, 582712, 583602, 584439, 586599, 586931, 587181, 587866, 588020, 589587, 589991, 590271, 591661, 591908, 592410, 592748, 593618, 593786, 595198, 596744, 598066, 599088, 599194, 599948, 602615, 603152, 604216, 605591, 606867, 608167, 608916, 609854, 610646, 611374, 612090, 612254, 612698, 614299, 615660, 616206, 616928, 617404, 618473, 619257, 619919, 620771, 620892, 621731, 622159, 623154, 624565, 624799, 626250, 627132, 627232, 627472, 628692, 630291, 632094, 633395, 633476, 633820, 634152, 634909, 637427, 637629, 638247, 638528, 639011, 640567, 641193, 641614, 642586, 643097, 643900, 644427, 644868, 645536, 646817, 648515, 648873, 649178, 650486, 652379, 653306, 655667, 656745, 658043, 658152, 659579, 660474, 660659, 661005, 662180, 662600, 663234, 663871, 664204, 664299, 664414, 665019, 665849, 666182, 666518, 666662, 667295, 667436, 668802, 669563, 670772, 671949, 672628, 673039, 674111, 674836, 675731, 676185, 677375, 677669, 679244, 680586, 681920, 682723, 684905, 685371, 685948, 686857, 689757, 689819, 690167, 691674, 692040, 692812, 693056, 694319, 694564, 696174, 697590, 697754, 698555, 698625, 699684, 700774, 702328, 703685, 704952, 705123, 705475, 706409, 708124, 709234, 710038, 710179, 712473, 713522, 714508, 715754, 716428, 716928, 717729, 718172, 719596, 720076, 720779, 721217, 721823, 722953, 724116, 725738, 726315, 727337, 727664, 729252, 729937, 730880, 732341, 732846, 733174, 735031, 735155, 735720, 737329, 738174, 738433, 738509, 740378, 741387, 744183, 744619, 745247, 745391, 746207, 746891, 747122, 748364, 748600, 749208, 749851, 750891, 751670, 752303, 753080, 753411, 753771, 755060, 757670, 757785, 758392, 758888, 759390, 759811, 759984, 761040, 762891, 763842, 765107, 766107, 766493, 766695, 767371, 768892, 769711, 769842, 770241, 771581, 772110, 773052, 773113, 773251, 774822, 775204, 776567, 777158, 777628, 779413, 780323, 780707, 781652, 782726, 783616, 784453, 786613, 786945, 787195, 787880, 788034, 789601, 790005, 790285, 791675, 791922, 792424, 792762, 793632, 793800, 795212, 796758, 798080, 799102, 799208, 799962, 802629, 803166, 804230, 805605, 806881, 808181, 808930, 809868, 810660, 811388, 812104, 812268, 812712, 814313, 815674, 816220, 816942, 817418, 818487, 819271, 819933, 820785, 820906, 821745, 822173, 823168, 824579, 824813, 826264, 827146, 827246, 827486, 828706, 830305, 832108, 833409, 833490, 833834, 834166, 834923, 837441, 837643, 838261, 838542, 839025, 840581, 841207, 841628, 842600, 843111, 843914, 844441, 844882, 845550, 846831, 848529, 848887, 849192, 850500, 852393, 853320, 855681, 856759, 858057, 858166, 859593, 860488, 860673, 861019, 862194, 862614, 863248, 863885, 864218, 864313, 864428, 865033, 865863, 866196, 866532, 866676, 867309, 867450, 868816, 869577, 870786, 871963, 872642, 873053, 874125, 874850, 875745, 876199, 877389, 877683, 879258, 880600, 881934, 882737, 884919, 885385, 885962, 886871, 889771, 889833, 890181, 891688, 892054, 892826, 893070, 894333, 894578, 896188, 897604, 897768, 898569, 898639, 899698, 900788, 902342, 903699, 904966, 905137, 905489, 906423, 908138, 909248, 910052, 910193, 912487, 913536, 914522, 915768, 916442, 916942, 917743, 918186, 919610, 920090, 920793, 921231, 921837, 922967, 924130, 925752, 926329, 927351, 927678, 929266, 929951, 930894, 932355, 932860, 933188, 935045, 935169, 935734, 937343, 938188, 938447, 938523, 940392, 941401, 944197, 944633, 945261, 945405, 946221, 946905, 947136, 948378, 948614, 949222, 949865, 950905, 951684, 952317, 953094, 953425, 953785, 955074, 957684, 957799, 958406, 958902, 959404, 959825, 959998, 961054, 962905, 963856, 965121, 966121, 966507, 966709, 967385, 968906, 969725, 969856, 970255, 971595, 972124, 973066, 973127, 973265, 974836, 975218, 976581, 977172, 977642, 979427, 980337, 980721, 981666, 982740, 983630, 984467, 986627, 986959, 987209, 987894, 988048, 989615, 990019, 990299, 991689, 991936, 992438, 992776, 993646, 993814, 995226, 996772, 998094, 999116, 999222]"
7,mixed_gradual_1M_0,NB_EDDM_F,0.9115099115099116,0.8229689652893242,00:02:42,59.59 KB,"[200869, 201193, 220181, 220227, 402724, 402891, 602327, 602419, 602616, 603882, 603990, 604335, 604548, 606609, 606835, 804495, 821815, 821858]"
8,mixed_gradual_1M_0,NB_GMA_F,0.5842675842675843,0.16767457681381545,00:02:45,30.46 KB,[]
9,mixed_gradual_1M_0,NB_HDDMA_F,0.92004692004692,0.8400466520991182,00:03:04,59.13 KB,"[200160, 400175, 600189, 800203]"
