,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,mixed_gradual_20K_0,HT_basic_F,0.6180809040452022,0.23725987277301927,00:00:02,277.53 KB,[]
1,mixed_gradual_20K_0,HT_ADWIN_F,0.8752937646882344,0.7504675190771567,00:00:03,76.22 KB,"[2175, 3071, 4095, 4991, 7743, 8479, 11999, 12415, 13951, 15999, 16543]"
2,mixed_gradual_20K_0,HT_BOCD_F,0.8751937596879844,0.7502163873749087,00:08:10,188.76 MB,"[3530, 4120, 7577, 8116, 11004, 12012, 12697, 15899, 16484]"
3,mixed_gradual_20K_0,HT_CUSUM_F,0.8610930546527327,0.7219849919033839,00:00:03,37.51 KB,"[3735, 7865, 11703, 12164, 15858, 19579]"
4,mixed_gradual_20K_0,HT_DDM_F,0.8652932646632332,0.7304353848326359,00:00:03,38.93 KB,"[3580, 3935, 7445, 7917, 11487, 11553, 11920, 15489, 15530, 15931, 19485, 19525]"
5,mixed_gradual_20K_0,HT_ECDD_F,0.8535426771338567,0.7069317836210494,00:00:05,70.86 KB,"[1103, 1196, 1862, 2203, 2574, 3110, 3665, 3868, 5856, 6194, 6567, 6659, 7122, 7503, 7814, 11116, 11438, 11794, 13842, 14180, 15089, 15644, 15974, 17835, 18175, 18546, 18638, 19101, 19481, 19764]"
6,mixed_gradual_20K_0,HT_EDDM_F,0.8684434221711086,0.736741335283593,00:00:02,39.63 KB,"[3738, 4107, 4208, 7901, 7957, 8027, 11800, 11862, 12017, 15741, 15838, 15894, 16013, 16089, 19781]"
7,mixed_gradual_20K_0,HT_GMA_F,0.6180809040452022,0.23725987277301927,00:00:03,279.65 KB,[]
8,mixed_gradual_20K_0,HT_HDDMA_F,0.8667433371668584,0.7333988557997205,00:00:03,39.56 KB,"[3452, 3821, 7446, 7805, 11355, 11807, 15356, 15799, 19425]"
9,mixed_gradual_20K_0,HT_HDDMW_F,0.8729436471823592,0.7457881475475948,00:00:04,41.11 KB,"[3511, 3995, 7510, 7988, 11503, 11981, 15496, 15974, 19488]"
10,mixed_gradual_20K_0,HT_KSWIN1_F,0.6180809040452022,0.23725987277301927,00:00:14,280.59 KB,[]
11,mixed_gradual_20K_0,HT_KSWIN51_F,0.6180809040452022,0.23725987277301927,00:00:14,280.59 KB,[]
12,mixed_gradual_20K_0,HT_KSWIN101_F,0.6180809040452022,0.23725987277301927,00:00:13,280.59 KB,[]
