,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,mixed_abrupt_500K_0,HT_basic_F,0.8196536393072786,0.6392052169605273,00:00:49,3.14 MB,[]
1,mixed_abrupt_500K_0,HT_ADWIN_F,0.9004638009276018,0.8008701882274896,00:01:30,47.6 KB,"[2175, 3071, 6751, 13407, 20063, 27231, 28127, 34783, 38655, 40447, 47103, 50879, 54655, 57727, 64895, 71551, 75327, 82111, 88767, 96191, 100031, 103743, 107551, 114527, 118271, 125439, 129279, 133119, 137215, 141023, 147679, 148927, 155583, 158143, 161887, 163135, 167103, 170911, 174719, 175615, 182271, 188927, 196095, 199935, 200255, 204351, 206143, 212799, 216543, 223967, 227743, 231455, 235231, 239071, 240607, 247263, 255167, 257983, 265151, 271807, 272703, 276799, 280671, 287327, 291103, 297759, 300095, 300863, 304703, 308799, 312543, 319295, 323807, 325759, 332415, 336191, 337279, 341055, 348223, 349215, 349983, 353791, 355327, 357247, 361855, 363391, 370047, 376703, 380543, 382079, 385951, 388191, 394847, 395679, 399423, 400063, 403839, 407647, 417887, 424543, 426079, 426879, 433567, 437343, 440415, 444223, 447903, 451871, 458527, 462239, 466207, 470047, 476703, 480543, 482239, 488895, 490111, 492575, 499231]"
2,mixed_abrupt_500K_0,HT_CUSUM_F,0.9381358762717525,0.8762506154081966,00:01:04,572.47 KB,"[3667, 7297, 10986, 14753, 18510, 100054, 103666, 107296, 110985, 114752, 118510, 200052, 203665, 207295, 210984, 214751, 218508, 300052, 303664, 307294, 310983, 314750, 318508, 400050, 403663, 407293, 410982, 414749, 418506]"
3,mixed_abrupt_500K_0,HT_DDM_F,0.9302278604557209,0.8603937076237028,00:01:06,71.73 KB,"[3541, 7037, 10456, 10591, 14122, 14311, 17887, 21444, 24761, 28389, 30589, 30699, 30814, 30890, 34423, 100126, 200169, 203635, 207104, 207144, 210680, 214234, 216286, 300136, 400163, 403557, 407079, 410706, 414150, 414265, 417900, 421432, 424730, 428252, 428365, 431948, 432024, 435570, 435771, 439223, 442194, 442864, 445824, 449159, 449233, 452827, 456112, 459551, 462998, 463115, 466672, 470005, 473611, 476996, 480376, 483759, 483904, 487409, 490854, 494223, 494275, 497835, 498228]"
4,mixed_abrupt_500K_0,HT_ECDD_F,0.8883617767235534,0.776673996855928,00:01:13,89.53 KB,"[1103, 1196, 1862, 2203, 2574, 3110, 3792, 4175, 5549, 6825, 8341, 8864, 9813, 11332, 12130, 14257, 15618, 17677, 18431, 20041, 20744, 20850, 22125, 23112, 24523, 24757, 26208, 27090, 27346, 28396, 28891, 30526, 32052, 32417, 33355, 33767, 33968, 34867, 36567, 37718, 37999, 38485, 38968, 40525, 41151, 41572, 42544, 43055, 43858, 45716, 46774, 48473, 49136, 50444, 51755, 52396, 53264, 55259, 55414, 55625, 56277, 56376, 58001, 59537, 60617, 61240, 62293, 62516, 63192, 63355, 63829, 65121, 65510, 66131, 66472, 66621, 67253, 68113, 68760, 69521, 70730, 71907, 72586, 72997, 74184, 75293, 76175, 76400, 77258, 77828, 79513, 81878, 83061, 85246, 86815, 89715, 89777, 89847, 90499, 91633, 92770, 94277, 94642, 96132, 98325, 98583, 99451, 100000, 101102, 102316, 102573, 103109, 103791, 104174, 105548, 106824, 108340, 108863, 109812, 111331, 112129, 114256, 115617, 117676, 118430, 120040, 120743, 120849, 122124, 123111, 124522, 124756, 126207, 127089, 127345, 128395, 128890, 130525, 132051, 132416, 133354, 133766, 134051, 134704, 136566, 137719, 137998, 138484, 138967, 140524, 141150, 141571, 142543, 143054, 143857, 145715, 145982, 146125, 146773, 148472, 149135, 150443, 152336, 153334, 155258, 156578, 156944, 157591, 158000, 158928, 159535, 160616, 161239, 162292, 162515, 163191, 163354, 163828, 165120, 165509, 166130, 166471, 166620, 167252, 168112, 168759, 169520, 170729, 171906, 172585, 172996, 174183, 175292, 176174, 176399, 177257, 177827, 179512, 181877, 183060, 185245, 186814, 189714, 189776, 189846, 190498, 191631, 192769, 194276, 194521, 196131, 197547, 197706, 198512, 198884, 199450, 199895, 200001, 201101, 201194, 201860, 202201, 202572, 203108, 203790, 204173, 205547, 206823, 208339, 208862, 209811, 211330, 212128, 214255, 215616, 217675, 218429, 220039, 220742, 220848, 222123, 223110, 224521, 224755, 226206, 227088, 227344, 228394, 228889, 230524, 232050, 232415, 233353, 233765, 233966, 234865, 236565, 237716, 237997, 238483, 238966, 240523, 241149, 241570, 242542, 243053, 243856, 245714, 246772, 248471, 249134, 250442, 251753, 252394, 253262, 255257, 255412, 255623, 256275, 256374, 257999, 259535, 260615, 261238, 262291, 262514, 263190, 263353, 263827, 265119, 265508, 266129, 266470, 266619, 267251, 268111, 268758, 269519, 270728, 271905, 272584, 272995, 274182, 275291, 276173, 276398, 277256, 277826, 279511, 281876, 283059, 285244, 286813, 289713, 289775, 289845, 290497, 291631, 292768, 294275, 294640, 296130, 298323, 298581, 299449, 299998, 301100, 302314, 302571, 303107, 303789, 304172, 305546, 306822, 308338, 308861, 309810, 311329, 312127, 314254, 315615, 317674, 318428, 320038, 320741, 320847, 322122, 323109, 324520, 324754, 326205, 327087, 327343, 328393, 328888, 330523, 332049, 332414, 333352, 333764, 334049, 334702, 336564, 337717, 337996, 338482, 338965, 340522, 341148, 341569, 342541, 343052, 343855, 345713, 345980, 346123, 346771, 348470, 349133, 350441, 352334, 353332, 355256, 356576, 356942, 357589, 357998, 358926, 359533, 360614, 361237, 362290, 362513, 363189, 363352, 363826, 365118, 365507, 366128, 366469, 366618, 367250, 368110, 368757, 369518, 370727, 371904, 372583, 372994, 374181, 375290, 376172, 376397, 377255, 377825, 379510, 381875, 383058, 385243, 386812, 389712, 389774, 389844, 390496, 391629, 392767, 394274, 394519, 396129, 397545, 397704, 398510, 398882, 399448, 399893, 399999, 401099, 401192, 401858, 402199, 402570, 403106, 403788, 404171, 405545, 406821, 408337, 408860, 409809, 411328, 412126, 414253, 415614, 417673, 418427, 420037, 420740, 420846, 422121, 423108, 424519, 424753, 426204, 427086, 427342, 428392, 428887, 430522, 432048, 432413, 433351, 433763, 433964, 434863, 436563, 437714, 437995, 438481, 438964, 440521, 441147, 441568, 442540, 443051, 443854, 445712, 446770, 448469, 449132, 450440, 451751, 452392, 453260, 455255, 455410, 455621, 456273, 456372, 457997, 459533, 460613, 461236, 462289, 462512, 463188, 463351, 463825, 465117, 465506, 466127, 466468, 466617, 467249, 468109, 468756, 469517, 470726, 471903, 472582, 472993, 474180, 475289, 476171, 476396, 477254, 477824, 479509, 481874, 483057, 485242, 486811, 489711, 489773, 489843, 490495, 491629, 492766, 494273, 494638, 496128, 498321, 498579, 499447]"
5,mixed_abrupt_500K_0,HT_EDDM_F,0.9152838305676612,0.8305471163516848,00:01:01,644.86 KB,"[3683, 3852, 4278, 4426, 4621, 6531, 101574, 102368, 104530, 107984, 108169, 112044, 112129, 115714, 119448, 119559, 119900, 123628, 123750, 123905, 124062, 127710, 127853, 131443, 131529, 131806, 135499, 135651, 138740, 138838, 138984, 142498, 146117, 149767, 149886, 150503, 154265, 156498, 160086, 160185, 160986, 164611, 164714, 168446, 168553, 168995, 172694, 176334, 180024, 183571, 187303, 187414, 187627, 191392, 191531, 195229, 198760, 200026, 200217, 203916, 207592, 207716, 211368, 215000, 218761, 218914, 222752, 226400, 230049, 230136, 231173, 234871, 235026, 238551, 242199, 242592, 246349, 246439, 246626, 246984, 250642, 250759, 254523, 254625, 255800, 259454, 263117, 263237, 263686, 264032, 267768, 268686, 272323, 272428, 276120, 278332, 278399, 282103, 285741, 285859, 289536, 300265, 303752, 303849, 304684, 308075, 311739, 315438, 315563, 319493, 319631, 319919, 323654, 327422, 327532, 329154, 329267, 329377, 329487, 333202, 401148, 401465, 402436, 402629, 404517, 407872, 407958, 408167, 411959]"
6,mixed_abrupt_500K_0,HT_GMA_F,0.8196536393072786,0.6392052169605273,00:01:03,3.14 MB,[]
7,mixed_abrupt_500K_0,HT_HDDMA_F,0.9066198132396265,0.8131831963959906,00:01:16,62.35 KB,"[3452, 6900, 10387, 13858, 14407, 18042, 21625, 25229, 28857, 32486, 35946, 39418, 42888, 46298, 49709, 53143, 56144, 59565, 63136, 66683, 70163, 73666, 77240, 80658, 84187, 87634, 91139, 94670, 98081, 100004, 103483, 106985, 110466, 114003, 114406, 118041, 121624, 125228, 128856, 132485, 135945, 139417, 142887, 146297, 149708, 153142, 156143, 159564, 163135, 166682, 170162, 173665, 177239, 180657, 184186, 187633, 191138, 194669, 198080, 200003, 203482, 206984, 210465, 214002, 214405, 218040, 221623, 225227, 228855, 232484, 235944, 239416, 242886, 246296, 249707, 253141, 256142, 259563, 263134, 266681, 270161, 273664, 277238, 280656, 284185, 287632, 291137, 294668, 298079, 300002, 303481, 306983, 310464, 314001, 314404, 318039, 321622, 325226, 328854, 332483, 335943, 339415, 342885, 346295, 349706, 353140, 356141, 359562, 363133, 366680, 370160, 373663, 377237, 380655, 384184, 387631, 391136, 394667, 398078, 400001, 403480, 406982, 410463, 414000, 414403, 418038, 421621, 425225, 428853, 432482, 435942, 439414, 442884, 446294, 449705, 453139, 456140, 459561, 463132, 466679, 470159, 473662, 477236, 480654, 484183, 487630, 491135, 494666, 498077]"
8,mixed_abrupt_500K_0,HT_HDDMW_F,0.9475918951837904,0.8951662497386689,00:01:09,660.31 KB,"[100007, 103509, 107047, 200005, 203508, 207213, 300004, 303513, 307045, 400003, 403506, 407211]"
9,mixed_abrupt_500K_0,HT_KSWIN1_F,0.953733907467815,0.9074528826817159,00:03:22,675.84 KB,"[100012, 200011, 300010, 400009]"
10,mixed_abrupt_500K_0,HT_KSWIN51_F,0.953733907467815,0.9074528826817159,00:03:23,675.84 KB,"[100012, 200011, 300010, 400009]"
11,mixed_abrupt_500K_0,HT_KSWIN101_F,0.953733907467815,0.9074528826817159,00:03:23,675.84 KB,"[100012, 200011, 300010, 400009]"
12,mixed_abrupt_500K_0,HT_KSWIN151_F,0.953737907475815,0.9074608937698575,00:03:23,675.84 KB,"[100013, 200011, 300010, 400009]"
13,mixed_abrupt_500K_0,HT_KSWIN201_F,0.953733907467815,0.9074528826817159,00:03:22,675.84 KB,"[100012, 200011, 300010, 400009]"
14,mixed_abrupt_500K_0,HT_PH_F,0.9497678995357991,0.899519581489286,00:01:00,594.43 KB,"[100259, 200246, 300243, 400242]"
15,mixed_abrupt_500K_0,HT_RDDM_F,0.9084398168796337,0.8168172547694571,00:01:11,133.19 KB,"[3488, 6938, 10251, 13543, 16899, 17437, 20745, 23543, 24000, 24248, 27766, 31162, 34592, 34867, 38375, 41841, 45276, 45496, 45762, 49224, 52632, 56042, 56584, 56944, 60370, 60699, 60883, 64302, 67767, 71203, 71360, 74802, 78214, 78493, 78682, 82156, 82712, 86091, 89476, 93011, 96465, 99905, 100047, 103514, 106999, 110385, 110581, 114026, 114306, 117765, 117932, 121447, 124928, 128252, 131521, 131795, 135225, 138622, 141971, 145354, 148808, 149414, 150586, 150865, 154396, 156143, 159527, 162817, 163186, 164054, 164211, 167710, 171185, 171368, 174792, 175343, 178855, 179071, 182574, 186004, 189464, 193010, 196363, 199800, 200000, 203486, 206930, 210164, 210384, 210588, 214032, 217380, 220629, 220821, 224318, 227778, 231044, 234515, 234714, 238219, 238484, 241936, 242104, 245589, 245979, 246136, 249585, 250554, 253966, 256294, 256952, 258267, 258927, 262327, 262495, 265942, 266633, 269038, 269467, 272885, 273220, 276752, 277082, 277891, 281371, 283143, 286151, 288906, 289164, 292521, 292688, 296167, 299629, 300001, 303487, 306985, 307474, 311028, 314494, 315009, 315170, 318597, 319344, 319552, 323109, 324002, 327392, 330794, 333866, 334144, 335118, 336058, 338441, 341159, 344601, 344815, 345431, 348845, 350584, 350733, 354279, 356081, 359456, 359691, 363136, 366557, 369679, 373078, 373691, 374327, 377674, 381119, 384604, 384926, 388447, 391766, 393224, 396539, 399920, 400083, 403537, 407037, 410528, 413914, 414161, 417678, 418037, 421464, 424788, 424942, 428431, 428720, 432218, 435755, 438479, 441970, 442878, 443063, 446535, 449844, 450473, 453970, 455954, 459388, 459696, 463137, 466584, 469691, 473106, 473712, 474268, 477528, 477823, 481369, 483087, 486207, 489188, 492301, 492460, 496023, 499447]"
