,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,mixed_abrupt_500K_0,HT_BOCD_F,0.8996657993315986,0.7992462742664892,04:37:13,180.53 KB,"[3529, 7125, 10756, 14548, 18123, 21659, 25377, 28891, 32516, 36115, 39762, 43362, 46902, 50476, 54032, 59411, 63163, 66874, 70436, 74107, 77860, 81689, 85244, 88879, 92557, 96271, 99911, 100244, 103678, 107215, 110941, 114290, 118061, 121761, 125434, 129027, 132654, 136208, 139978, 143588, 149349, 153056, 157868, 161554, 165127, 168646, 172061, 175843, 179491, 183144, 186740, 190317, 193982, 197706, 200008, 203527, 207123, 210754, 214546, 218121, 221657, 225375, 228889, 232514, 236113, 239760, 243360, 246900, 250474, 254030, 259409, 263161, 266872, 270434, 274105, 277858, 281687, 285242, 288877, 292555, 296269, 299909, 300242, 303676, 307213, 310939, 314288, 318059, 321759, 325432, 329025, 332652, 336206, 339976, 343586, 349347, 353054, 357866, 361552, 365125, 368644, 372059, 375841, 379489, 383142, 386738, 390315, 393980, 397704, 400006, 403525, 407121, 410752, 414544, 418119, 421655, 425373, 428887, 432512, 436111, 439758, 443358, 446898, 450472, 454028, 459407, 463159, 466870, 470432, 474103, 477856, 481685, 485240, 488875, 492553, 496267, 499907]"
1,mixed_abrupt_500K_2,HT_BOCD_F,0.8980417960835921,0.7960300725196235,04:20:48,1.35 MB,"[3656, 7263, 10918, 14647, 17335, 20937, 24572, 28301, 31869, 35603, 39202, 42715, 46418, 50105, 53900, 57556, 62814, 66495, 70006, 73619, 77360, 80979, 84660, 88501, 92082, 95892, 99708, 100025, 103666, 107356, 110960, 114600, 119742, 123456, 126893, 130553, 134043, 137715, 141503, 145150, 148824, 152297, 155786, 159507, 163152, 166804, 170422, 174084, 177504, 181006, 184781, 188529, 192068, 198454, 200020, 203665, 207362, 210940, 214573, 217361, 221026, 224744, 228404, 231742, 235504, 238977, 242514, 246183, 249904, 253617, 255553, 259175, 262881, 266662, 270284, 273934, 277554, 281162, 284806, 288538, 291968, 295692, 299413, 300024, 303661, 307360, 310943, 314625, 317347, 320985, 324411, 328016, 331692, 335435, 339080, 342659, 346295, 349864, 353583, 355972, 359752, 363541, 366822, 370481, 374190, 377783, 381368, 385002, 388698, 392351, 395976, 399701, 400023, 403663, 407263, 410918, 414647, 417335, 420937, 424572, 428301, 431869, 435603, 439202, 442715, 446418, 450105, 453900, 457556, 462814, 466495, 470006, 473619, 477360, 480979, 484660, 488501, 492082, 495892, 499708]"
2,mixed_abrupt_500K_4,HT_BOCD_F,0.8991917983835968,0.7983306423404768,04:55:19,114.06 MB,"[3773, 9558, 13278, 16886, 20437, 26332, 30029, 33664, 37368, 41092, 44704, 48361, 51963, 55591, 59241, 62881, 66620, 70180, 73905, 77614, 81336, 85028, 88704, 92414, 96136, 99792, 100028, 103627, 107340, 110950, 114546, 118237, 121785, 125386, 129024, 132711, 136267, 139883, 143654, 147290, 151085, 154793, 158437, 161973, 167889, 171465, 175225, 181492, 185125, 188656, 192326, 196115, 199521, 200023, 203626, 207339, 210947, 214557, 218222, 221799, 225383, 229023, 232710, 236266, 239875, 243569, 247226, 250858, 254469, 257885, 260622, 264320, 268053, 271673, 275399, 279124, 282425, 286233, 289961, 293603, 297269, 300010, 303673, 309333, 313013, 316611, 320341, 324110, 327708, 331304, 334860, 338626, 342092, 345844, 349278, 352882, 356357, 360016, 363704, 367362, 370216, 373932, 377506, 379978, 383719, 387500, 391191, 394856, 399999, 403624, 407337, 410945, 414555, 418220, 421797, 425381, 429021, 432708, 436264, 439873, 443567, 447224, 450856, 454467, 457883, 460620, 464318, 468051, 471671, 475397, 479122, 482423, 486231, 489959, 493601, 497267]"
3,mixed_abrupt_500K_6,HT_BOCD_F,0.9007078014156028,0.8013645763863931,04:37:15,77.39 MB,"[3702, 7292, 11018, 14617, 18326, 21949, 25586, 29331, 32947, 36576, 40232, 43989, 47616, 51363, 54962, 58671, 62249, 65920, 69491, 73007, 76686, 80372, 84005, 87632, 91259, 94691, 98411, 100015, 106048, 109759, 113449, 117110, 120767, 124309, 127898, 131526, 135066, 138713, 142473, 146253, 149851, 153623, 157308, 160883, 164532, 168288, 171945, 175613, 179301, 182942, 186570, 190165, 193835, 197546, 200010, 206144, 209876, 213554, 217192, 220837, 224591, 228271, 232043, 235614, 239109, 242681, 246156, 249852, 253624, 257259, 260899, 264525, 268242, 271990, 275784, 279445, 283060, 286619, 290365, 294019, 297751, 300010, 306236, 309925, 313458, 317186, 320835, 324590, 328269, 331893, 335542, 339134, 342870, 346540, 350200, 353824, 357599, 361293, 365090, 368696, 372375, 375992, 379616, 383181, 386731, 390362, 394064, 397750, 400009, 406114, 409755, 413457, 417185, 420834, 424589, 428269, 432041, 435612, 439107, 442679, 446154, 449850, 453622, 457257, 460897, 464523, 468240, 471988, 475782, 479443, 483058, 486617, 490363, 494017, 497749]"
4,mixed_abrupt_500K_8,HT_BOCD_F,0.8988637977275955,0.7976676953478421,05:01:40,81.5 MB,"[3652, 7263, 10923, 16534, 20298, 23929, 27676, 31284, 34946, 38601, 44299, 47923, 51558, 55176, 58943, 62573, 66219, 69767, 73309, 76994, 80587, 82903, 86686, 90330, 94083, 97768, 100007, 103770, 107297, 110916, 114445, 120232, 123795, 127439, 131097, 134792, 138412, 142173, 145794, 149398, 153024, 156730, 160292, 164039, 167774, 171533, 175197, 178837, 182380, 185973, 191744, 195308, 199027, 200008, 203719, 207275, 210919, 214675, 218363, 221126, 224824, 228445, 230865, 234598, 238361, 244766, 248355, 251941, 255600, 259238, 262941, 266610, 270260, 273830, 279430, 283187, 286816, 290333, 294011, 297692, 300005, 303768, 307295, 310914, 314443, 320230, 323793, 327437, 331095, 334790, 338410, 342171, 345792, 349396, 353022, 356728, 360290, 364037, 367772, 371531, 375195, 378835, 382378, 385971, 391742, 395306, 399025, 400006, 403717, 407273, 410917, 414673, 418361, 421124, 424822, 428443, 430863, 434596, 438359, 444764, 448353, 451939, 455598, 459236, 462939, 466608, 470258, 473828, 479428, 483185, 486814, 490331, 494009, 497690]"
5,mixed_abrupt_500K_10,HT_BOCD_F,0.8998457996915994,0.7996218094842538,04:43:25,176.28 MB,"[3738, 7468, 11014, 14799, 18478, 22294, 25849, 29502, 33209, 36797, 40461, 44087, 47727, 51222, 54907, 58347, 62044, 65920, 69703, 73453, 77145, 80732, 84226, 87844, 89969, 93669, 97405, 100006, 103684, 107322, 110880, 114513, 118190, 124643, 128295, 131925, 136151, 139935, 143509, 147028, 150783, 154439, 158035, 161558, 165061, 168555, 172183, 176021, 182385, 185970, 189565, 193248, 196887, 200007, 203636, 207334, 210916, 214623, 218245, 222042, 225685, 229377, 232975, 236520, 240042, 243551, 247145, 250728, 254384, 258041, 261624, 265372, 269039, 272622, 276132, 279854, 283557, 287305, 292923, 296602, 300009, 303684, 307322, 310880, 314513, 318190, 324643, 328295, 331925, 336151, 339935, 343509, 347028, 350783, 354439, 358035, 361558, 365061, 368555, 372183, 376021, 382385, 385970, 389565, 393248, 396887, 400007, 403636, 407334, 410916, 414623, 418245, 422042, 425685, 429377, 432975, 436520, 440042, 443551, 447145, 450728, 454384, 458041, 461624, 465372, 469039, 472622, 476132, 479854, 483557, 487305, 492923, 496602]"
6,mixed_abrupt_500K_12,HT_BOCD_F,0.8996117992235985,0.7991658080126071,05:00:39,49.56 MB,"[3685, 7281, 10916, 14572, 18305, 21987, 27867, 31513, 35037, 38697, 42214, 45777, 49310, 52766, 56517, 60267, 63970, 67745, 71612, 75167, 78800, 84870, 88546, 92273, 98436, 100007, 103653, 107293, 111015, 114564, 118162, 121753, 125413, 131569, 135264, 138991, 142704, 146413, 149978, 153539, 157072, 160488, 164197, 167902, 171602, 175288, 178965, 182606, 186291, 190033, 193775, 197502, 200006, 203655, 207163, 210987, 214582, 218228, 221816, 225449, 231804, 235367, 239028, 242651, 246264, 249895, 253451, 257222, 260954, 264630, 268242, 272011, 275437, 278999, 282596, 286311, 290027, 293686, 297443, 300006, 303693, 307328, 310861, 314617, 320688, 324248, 327785, 331515, 335139, 338957, 342538, 346207, 349882, 353414, 357137, 360734, 364530, 368130, 371967, 375560, 379234, 382844, 386452, 390182, 396190, 399964, 402415, 406076, 409793, 413339, 416913, 420537, 421122, 424789, 428370, 431961, 435528, 439292, 442857, 446550, 450311, 453970, 457619, 461192, 464896, 468628, 472287, 476034, 479703, 483494, 487054, 490840, 494617, 498199]"
7,mixed_abrupt_500K_14,HT_BOCD_F,0.8988017976035952,0.7975515932082118,04:02:51,34.44 MB,"[3731, 7300, 10874, 14601, 18284, 21837, 25519, 29235, 32991, 36673, 40089, 43694, 47212, 50962, 54694, 58514, 62226, 65897, 69712, 73229, 76906, 80692, 84221, 87918, 91449, 94967, 98503, 100009, 103735, 107353, 111109, 114729, 118378, 121869, 125545, 129301, 133080, 136704, 140253, 143710, 147202, 150960, 154672, 158212, 161908, 167910, 171469, 175162, 178913, 182492, 186197, 189894, 193552, 197337, 199764, 200026, 203550, 207190, 210972, 214732, 218225, 221803, 225542, 229288, 232941, 236680, 240209, 243712, 247310, 250960, 254692, 258512, 262224, 265895, 269710, 273227, 276904, 280690, 284219, 287916, 291447, 294965, 298501, 300007, 303733, 307351, 311107, 314727, 318376, 321867, 325543, 329299, 333078, 336702, 340251, 343708, 347200, 350958, 354670, 358210, 361906, 367908, 371467, 375160, 378911, 382490, 386195, 389892, 393550, 397335, 399762, 400024, 403548, 407188, 410970, 414730, 418223, 421801, 425540, 429286, 432939, 436678, 440207, 443710, 447308, 450958, 454690, 458510, 462222, 465893, 469708, 473225, 476902, 480688, 484217, 487914, 491445, 494963, 498499]"
8,mixed_abrupt_500K_16,HT_BOCD_F,0.9003578007156015,0.8006672726457874,04:23:05,195.36 MB,"[3588, 7212, 10985, 14599, 18193, 21802, 28127, 31742, 35319, 38892, 42439, 46017, 49624, 53424, 57056, 60661, 64278, 67803, 71427, 75117, 78704, 85010, 88747, 92295, 97043, 100007, 103725, 106791, 110665, 114248, 117934, 121486, 125104, 128575, 132230, 135864, 139529, 143199, 146745, 150438, 154003, 157600, 161147, 164948, 168453, 172045, 175670, 179442, 183062, 186730, 190404, 193985, 197718, 200006, 203728, 207383, 211006, 214585, 218190, 221792, 225539, 229297, 232960, 236527, 240107, 243811, 247454, 251034, 254824, 258374, 262179, 265865, 269563, 273255, 276861, 280571, 284258, 287708, 291365, 295060, 298713, 300010, 303579, 307153, 312796, 316313, 319876, 323635, 327278, 331141, 334814, 338406, 342018, 345608, 349385, 355499, 359113, 362799, 366367, 371916, 375720, 379502, 385583, 391554, 395145, 398809, 400009, 403578, 407152, 412795, 416298, 419948, 423564, 427259, 431052, 434530, 438144, 441798, 445543, 449300, 452987, 456649, 460364, 464073, 467655, 471367, 475079, 478632, 485200, 488869, 492612, 496423]"
9,mixed_abrupt_500K_18,HT_BOCD_F,0.9000058000116,0.7999593362629488,04:13:44,167.37 MB,"[3708, 7340, 11125, 14638, 18284, 22110, 25790, 29462, 33315, 36855, 40558, 44246, 47722, 51499, 55133, 58904, 62535, 66131, 69756, 73282, 76998, 80813, 84297, 87790, 91268, 97514, 100006, 103669, 107142, 110667, 114427, 117948, 121719, 125320, 128967, 132560, 136308, 141770, 145566, 149182, 153009, 156673, 160423, 164076, 167704, 171324, 174904, 178492, 182225, 185769, 189384, 192842, 196495, 200007, 203660, 207311, 210924, 214487, 218165, 224334, 227867, 234031, 237638, 241056, 244754, 248585, 254856, 258465, 262107, 267672, 271171, 274677, 278362, 282112, 285730, 289401, 292968, 295100, 298888, 300013, 303694, 307368, 311066, 314552, 318235, 321875, 325541, 329154, 332860, 336570, 340268, 343885, 347452, 351016, 354705, 358277, 361998, 365768, 369529, 373246, 376978, 380686, 384394, 388132, 391812, 395444, 399093, 400013, 403748, 407391, 411136, 414868, 418394, 423839, 427290, 430821, 434550, 438265, 442017, 445709, 449353, 453017, 456670, 460420, 464073, 467701, 471321, 474917, 478480, 482221, 485766, 489368, 493016, 496689]"
