generator;drift_type;size;classifier;detector;accuracy_mean;accuracy_conf;cohen_kappas_mean;cohen_kappas_conf;time_mean;time_conf;memory_mean;memory_conf;drifts_mean;drifts_conf
mixed;abrupt;1M;NB;basic;0.584;0.0001;0.1671;0.0003;99.5;4.2153;29292.544;801.4913;0.0;0.0
mixed;gradual;1M;NB;basic;0.584;0.0001;0.1671;0.0002;95.7;4.2795;28938.24;0.0;0.0;0.0
mixed;abrupt;1M;HT;basic;0.8563;0.0039;0.7126;0.0077;93.5;4.772;5595201.536;179719.6013;0.0;0.0
mixed;gradual;1M;HT;basic;0.856;0.004;0.7121;0.0081;91.3;2.1606;5579472.896;182729.4958;0.0;0.0
mixed;abrupt;1M;NoChange;basic;0.5022;0.0009;0.0041;0.0018;26.5;1.0256;703.0;17.3268;0.0;0.0
mixed;gradual;1M;NoChange;basic;0.5022;0.0009;0.0042;0.0018;24.8;1.1584;623.0;17.3268;0.0;0.0
mixed;abrupt;1M;MajClass;basic;0.5063;0.0001;-0.0001;0.0;31.5;1.5175;809.0;17.3268;0.0;0.0
mixed;gradual;1M;MajClass;basic;0.5063;0.0001;-0.0001;0.0;29.7;1.351;729.0;17.3268;0.0;0.0
mixed;abrupt;1M;BOLE;basic;0.9804;0.0002;0.9607;0.0004;880.8;23.4014;140882477.056;1386871.1272;0.0;0.0
mixed;abrupt;1M;BOLE;ADWIN;0.9062;0.0002;0.8123;0.0005;1475.2667;47.4021;860809.5573;38868.3046;0.0;0.0
mixed;abrupt;1M;BOLE;CUSUM;0.9549;0.0016;0.9098;0.0031;1060.2333;36.9658;2419008.8533;367476.3752;0.0;0.0
mixed;abrupt;1M;BOLE;DDM;0.9729;0.0009;0.9457;0.0017;1086.5667;37.7837;12748237.4827;881751.262;0.0;0.0
mixed;abrupt;1M;BOLE;ECDD;0.8342;0.0002;0.6683;0.0004;1197.9333;42.9022;4001715.5413;18378.9826;0.0;0.0
mixed;abrupt;1M;BOLE;EDDM;0.9641;0.0012;0.9283;0.0024;950.3667;34.9572;16535344.4693;951310.5335;0.0;0.0
mixed;abrupt;1M;BOLE;GMA;0.9804;0.0002;0.9607;0.0004;1144.5;41.5905;140899254.272;1386900.0202;0.0;0.0
mixed;abrupt;1M;BOLE;HDDMA;0.854;0.0002;0.7079;0.0004;1268.3333;41.1753;2710219.4347;22309.2433;0.0;0.0
mixed;abrupt;1M;BOLE;HDDMW;0.8695;0.0003;0.739;0.0006;1277.2667;43.9142;1695896.9173;20068.8206;0.0;0.0
mixed;abrupt;1M;BOLE;PH;0.9903;0.0002;0.9807;0.0003;1009.7667;30.4744;20421017.6;1445506.8205;0.0;0.0
mixed;abrupt;1M;BOLE;RDDM;0.9062;0.0017;0.8124;0.0034;1136.7667;35.7493;2529864.3627;147652.5636;0.0;0.0
mixed;abrupt;1M;BOLE;STEPD;0.8589;0.0002;0.7176;0.0004;1995.1333;61.4361;3009063.5947;22279.6033;0.0;0.0
mixed;abrupt;1M;BOLE;KSWIN;0.9072;0.0007;0.8143;0.0013;4695.2;65.8904;1258081.4848;32081.6215;0.0;0.0
mixed;abrupt;1M;HT;ADWIN;0.9005;0.0006;0.8009;0.0013;168.4;8.0029;86893.568;43026.7859;222.8;6.1426
mixed;abrupt;1M;HT;CUSUM;0.9364;0.0109;0.8727;0.0217;121.4;5.7348;766338.048;225306.6636;87.8;46.9294
mixed;abrupt;1M;HT;DDM;0.9477;0.0038;0.8953;0.0076;122.2;6.289;907137.024;234256.7505;64.8;33.0371
mixed;abrupt;1M;HT;ECDD;0.8896;0.0009;0.7791;0.0018;141.1;7.5439;110545.92;3998.7799;1139.7;30.1735
mixed;abrupt;1M;HT;EDDM;0.9342;0.005;0.8684;0.0101;113.2;6.1334;947717.12;114473.127;121.4;41.9204
mixed;abrupt;1M;HT;GMA;0.8563;0.0039;0.7126;0.0077;121.5;5.8627;5600444.416;181183.3588;0.0;0.0
mixed;abrupt;1M;HT;HDDMA;0.92;0.0071;0.8399;0.0143;141.2;5.1563;428410.88;268681.2343;202.0;41.9419
mixed;abrupt;1M;HT;HDDMW;0.9581;0.0016;0.9162;0.0032;131.6;5.8525;1073924.096;43584.7236;6.4;2.1645
mixed;abrupt;1M;HT;KSWIN;0.9595;0.0008;0.919;0.0015;381.6;6.4695;1076048.6912;15312.6853;4.0;0.0
mixed;abrupt;1M;HT;PH;0.9576;0.0014;0.9153;0.0028;113.5;4.3218;1050376.192;48187.8308;4.0;0.0
mixed;abrupt;1M;HT;RDDM;0.9112;0.0025;0.8224;0.0051;134.2;6.8598;180998.144;103036.4254;393.8;38.0655
mixed;abrupt;1M;HT;STEPD;0.9103;0.0004;0.8205;0.0007;276.4;14.6029;93463.552;9426.0827;459.6;11.1854
mixed;abrupt;1M;NB;ADWIN;0.9186;0.0004;0.8371;0.0007;213.5;8.8211;42314.752;108.269;6.3;1.8791
mixed;abrupt;1M;NB;CUSUM;0.9199;0.0003;0.8398;0.0007;168.3;6.8784;31629.312;83.077;4.5;1.1311
mixed;abrupt;1M;NB;DDM;0.9061;0.0171;0.8121;0.0343;169.3;6.2185;54580.224;8409.336;5.1;0.7114
mixed;abrupt;1M;NB;ECDD;0.8895;0.0012;0.779;0.0023;180.5;4.4001;103113.728;3790.7626;1210.8;34.3534
mixed;abrupt;1M;NB;EDDM;0.9048;0.0019;0.8095;0.0039;161.3;3.6639;58194.944;6301.5231;10.7;1.5835
mixed;abrupt;1M;NB;GMA;0.584;0.0001;0.1671;0.0003;162.3;5.192;31443.968;43.4124;0.0;0.0
mixed;abrupt;1M;NB;HDDMA;0.9197;0.0003;0.8394;0.0006;183.1;5.1303;44313.6;6361.4468;4.0;0.0
mixed;abrupt;1M;NB;HDDMW;0.9201;0.0003;0.8402;0.0007;181.2;5.0448;34625.536;59.93;4.0;0.0
mixed;abrupt;1M;NB;KSWIN;0.9201;0.0001;0.8401;0.0002;470.76;6.9859;32854.4256;34.8089;4.04;0.0563
mixed;abrupt;1M;NB;PH;0.9197;0.0003;0.8394;0.0007;160.7;7.4651;31666.176;41.8958;4.0;0.0
mixed;abrupt;1M;NB;RDDM;0.9147;0.0033;0.8293;0.0066;171.7;7.2956;118400.0;299.8338;30.8;8.616
mixed;abrupt;1M;NB;STEPD;0.9138;0.0007;0.8276;0.0013;316.3;13.2209;83871.744;775.7257;325.6;19.9623
mixed;gradual;1M;BOLE;basic;0.9789;0.0003;0.9578;0.0005;867.0;21.7782;148827886.9333;1707468.8429;0.0;0.0
mixed;gradual;1M;BOLE;ADWIN;0.9055;0.0003;0.811;0.0005;1432.7333;37.2079;905151.1467;40248.0934;0.0;0.0
mixed;gradual;1M;BOLE;CUSUM;0.9552;0.0018;0.9104;0.0035;1034.4667;29.9041;2409009.8347;411513.1372;0.0;0.0
mixed;gradual;1M;BOLE;DDM;0.9713;0.001;0.9427;0.002;1063.5333;29.0108;11783547.5627;1118653.9157;0.0;0.0
mixed;gradual;1M;BOLE;ECDD;0.8336;0.0002;0.6672;0.0004;1187.4333;31.5045;3986685.952;16205.9002;0.0;0.0
mixed;gradual;1M;BOLE;EDDM;0.9618;0.0015;0.9236;0.0031;932.6;26.1275;16108574.0373;831912.4598;0.0;0.0
mixed;gradual;1M;BOLE;GMA;0.9789;0.0003;0.9578;0.0005;1143.8333;29.3056;148843266.048;1706984.8779;0.0;0.0
mixed;gradual;1M;BOLE;HDDMA;0.8534;0.0002;0.7066;0.0004;1259.4667;32.0885;2680160.256;20886.3223;0.0;0.0
mixed;gradual;1M;BOLE;HDDMW;0.869;0.0002;0.738;0.0005;1264.9;32.6397;1708130.304;21941.6879;0.0;0.0
mixed;gradual;1M;BOLE;PH;0.9895;0.0002;0.979;0.0003;981.4;27.5881;18047041.536;1006788.7481;0.0;0.0
mixed;gradual;1M;BOLE;RDDM;0.904;0.0015;0.808;0.0029;1121.8333;29.5745;2672121.1733;167212.9209;0.0;0.0
mixed;gradual;1M;BOLE;STEPD;0.8582;0.0002;0.7164;0.0004;1940.9667;53.2738;2985645.3973;15960.4748;0.0;0.0
mixed;gradual;1M;BOLE;KSWIN;0.9073;0.001;0.8146;0.0019;4733.66;69.9286;1233754.5216;43149.3676;0.0;0.0
mixed;gradual;1M;HT;ADWIN;0.8997;0.0006;0.7994;0.0012;167.1;3.6856;59430.912;10051.3349;225.9;3.9392
mixed;gradual;1M;HT;CUSUM;0.9415;0.0082;0.883;0.0163;118.8;1.9313;977948.672;130913.8582;67.8;29.7422
mixed;gradual;1M;HT;DDM;0.9481;0.004;0.8962;0.008;118.8;2.2318;1026590.72;57862.0922;53.8;28.5502
mixed;gradual;1M;HT;ECDD;0.8893;0.0011;0.7786;0.0022;136.7;3.0172;107253.76;7244.5531;1135.0;29.5873
mixed;gradual;1M;HT;EDDM;0.9337;0.0038;0.8673;0.0077;110.1;1.9504;831520.768;216982.0225;126.9;32.0423
mixed;gradual;1M;HT;GMA;0.856;0.004;0.7121;0.0081;117.9;2.7489;5580521.472;182501.836;0.0;0.0
mixed;gradual;1M;HT;HDDMA;0.9202;0.0095;0.8404;0.019;138.4;3.238;493005.824;290079.602;201.0;55.1964
mixed;gradual;1M;HT;HDDMW;0.9573;0.0012;0.9147;0.0025;126.4;2.5504;1068076.032;48653.9147;6.9;1.4087
mixed;gradual;1M;HT;KSWIN;0.8778;0.0049;0.7556;0.0098;420.32;3.5508;3368837.3248;578753.8522;0.68;0.1566
mixed;gradual;1M;HT;PH;0.9578;0.0015;0.9156;0.0031;110.1;2.0911;1051069.44;52420.8177;4.0;0.0
mixed;gradual;1M;HT;RDDM;0.9104;0.0029;0.8207;0.0058;131.0;2.455;204037.12;107678.0445;397.7;31.4016
mixed;gradual;1M;HT;STEPD;0.9098;0.0005;0.8195;0.0011;268.5;4.843;96497.664;7145.2061;463.8;18.7751
mixed;gradual;1M;NB;ADWIN;0.9184;0.0003;0.8368;0.0007;207.4;9.4915;42102.784;94.8331;7.9;2.2983
