,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,Elec2,BOLE_basic_F,0.8501688331751672,0.692279818058746,00:00:42,18.29 MB,[]
1,Elec2,BOLE_ADWIN_F,0.9118315640793626,0.8190972128146431,00:01:09,940.26 KB,[]
2,Elec2,BOLE_BOCD_F,0.9192469819690583,0.8343777199565386,00:16:39,73.34 MB,[]
3,Elec2,BOLE_CUSUM_F,0.9114122398534572,0.8179718554038681,00:00:54,1.87 MB,[]
4,Elec2,BOLE_DDM_F,0.9184304032133478,0.8327840500687339,00:00:58,5.02 MB,[]
5,Elec2,BOLE_ECDD_F,0.911941912559864,0.8196625745876717,00:00:58,793.28 KB,[]
6,Elec2,BOLE_EDDM_F,0.9158703184657148,0.8276982995134942,00:00:47,685.66 KB,[]
7,Elec2,BOLE_GMA_F,0.8501688331751672,0.692279818058746,00:00:55,18.31 MB,[]
8,Elec2,BOLE_HDDMA_F,0.9146123457879985,0.8250992389600327,00:01:01,871.35 KB,[]
9,Elec2,BOLE_HDDMW_F,0.9215201606673876,0.83922996743794,00:01:03,834.47 KB,[]
10,Elec2,BOLE_KSWIN1_F,0.9190042153119552,0.8339535495107504,00:03:02,796.29 KB,[]
11,Elec2,BOLE_KSWIN51_F,0.9186511001743506,0.8331977470269225,00:02:59,652.95 KB,[]
12,Elec2,BOLE_KSWIN101_F,0.9186952395665512,0.8333178532880903,00:03:00,1.17 MB,[]
13,Elec2,BOLE_KSWIN151_F,0.9170841517512304,0.8298395104220921,00:02:58,0.96 MB,[]
14,Elec2,BOLE_KSWIN201_F,0.9182538456445455,0.8323213491640234,00:02:58,907.21 KB,[]
15,Elec2,BOLE_PH_F,0.908057646046214,0.8109728178441598,00:00:52,2.88 MB,[]
16,Elec2,BOLE_RDDM_F,0.921167045529783,0.8384029369100426,00:00:52,1.38 MB,[]
17,Elec2,BOLE_STEPD_F,0.9197104455871643,0.8354283383226652,00:01:23,0.99 MB,[]
