,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,Elec2,HT_basic_F,0.782635563108296,0.5544166252535502,00:00:03,1.75 MB,[]
1,Elec2,HT_ADWIN_F,0.8159387345236256,0.6191570249498731,00:00:06,69.33 KB,"[255, 1247, 1823, 2271, 2719, 3999, 4479, 11807, 13855, 15647, 16639, 17567, 19135, 20127, 20895, 22687, 23231, 23871, 26175, 27263, 27551, 28735, 29407, 30431, 31455, 32031, 32287, 32927, 34015, 35551, 36511, 37983, 40031, 44127, 44415, 44767, 45055]"
2,Elec2,HT_BOCD_F,0.8247886826598397,0.6397306539879102,00:04:06,1.52 MB,"[200, 2064, 3024, 4241, 7180, 9287, 11544, 13997, 15854, 17433, 19127, 19807, 20817, 22506, 23932, 24527, 25850, 26189, 27118, 27549, 27730, 29055, 30269, 30840, 31343, 31911, 32198, 32575, 33590, 33973, 35886, 36363, 37691, 39160, 41313, 41452, 42581, 43679, 44335, 44672, 45004]"
3,Elec2,HT_CUSUM_F,0.8111716801659641,0.6082728923990622,00:00:05,64.23 KB,"[2443, 5348, 6326, 9440, 11589, 12656, 15503, 19119, 20130, 22553, 23231, 23906, 27648, 28939, 29824, 30551, 30997, 31409, 32370, 36763, 44009]"
4,Elec2,HT_DDM_F,0.8359780185826842,0.6619810804318086,00:00:05,238.26 KB,"[147, 180, 224, 344, 377, 1894, 1945, 2132, 2266, 2407, 4397, 5070, 11580, 11787, 11854, 11893, 12655, 12731, 12874, 12908, 12950, 13519, 14034, 16156, 16235, 16359, 16461, 16534, 16742, 17134, 17275, 17355, 19077, 19132, 19279, 19383, 19422, 19803, 19853, 19903, 19989, 20036, 20286, 20482, 20564, 20618, 20809, 21554, 21585, 21839, 22032, 22178, 22481, 22830, 22878, 22944, 23969, 24189, 24237, 24276, 24382, 24431, 24557, 25183, 25243, 25858, 26184, 26590, 26626, 26665, 26868, 27110, 27151, 27186, 27483, 27526, 27634, 27711, 27747, 27902, 27999, 28780, 28870, 28935, 29024, 29066, 29215, 29281, 29471, 29514, 29594, 29808, 30269, 30305, 30448, 30501, 30843, 30899, 31046, 31173, 31327, 31562, 31746, 31823, 31895, 31989, 32129, 32489, 32570, 32604, 32686, 33000, 33033, 33312, 33606, 33652, 33744, 33957, 34034, 34141, 34888, 35744, 35902, 36225, 36351, 36531, 36583, 36725, 36914, 36945, 37098, 37152, 37793, 37893, 37960, 38200, 38250, 38375, 38471, 38545, 38612, 38688, 38723, 39111, 39186, 39574, 40511, 40633]"
5,Elec2,HT_ECDD_F,0.8532144512370065,0.6994108821177396,00:00:05,79.68 KB,"[143, 181, 224, 303, 334, 566, 906, 1002, 1063, 1202, 1273, 1310, 1581, 1692, 1727, 1857, 2034, 2134, 2173, 2236, 2406, 2498, 2655, 2724, 2869, 2942, 3028, 3116, 3152, 3261, 3340, 3406, 3473, 3614, 3755, 3797, 4037, 4133, 4223, 4339, 4388, 4536, 4600, 4667, 4706, 4900, 4958, 5037, 5076, 5181, 5229, 5320, 5659, 5734, 5807, 5967, 6043, 6195, 6306, 6479, 6526, 6632, 6818, 6913, 6979, 7097, 7127, 7286, 7354, 7441, 7471, 7506, 7737, 7767, 7839, 7965, 8162, 8331, 8439, 8519, 8746, 8905, 9012, 9103, 9214, 9327, 9375, 9409, 9515, 9563, 9597, 9668, 9789, 9850, 9995, 10028, 10090, 10122, 10285, 10432, 10624, 10715, 10811, 10942, 11008, 11086, 11125, 11250, 11538, 11605, 11748, 11854, 11893, 12014, 12188, 12241, 12324, 12478, 12559, 12613, 12729, 12769, 12909, 12977, 13030, 13065, 13163, 13260, 13290, 13320, 13358, 13389, 13458, 13764, 13914, 13981, 14013, 14044, 14102, 14150, 14336, 14393, 14461, 14869, 15011, 15099, 15130, 15160, 15242, 15349, 15515, 15639, 15795, 15891, 15950, 16062, 16123, 16164, 16257, 16354, 16457, 16556, 16694, 16742, 16926, 17028, 17129, 17248, 17353, 17428, 17563, 17596, 17690, 17904, 18000, 18138, 18190, 18375, 18506, 18655, 18760, 18950, 18983, 19028, 19117, 19167, 19229, 19382, 19422, 19485, 19563, 19702, 19749, 19793, 19827, 19989, 20034, 20092, 20210, 20462, 20560, 20615, 20738, 20777, 21495, 21597, 21832, 22027, 22167, 22462, 22584, 22750, 22880, 22993, 23153, 23191, 23364, 23395, 23492, 23592, 23762, 23827, 23993, 24027, 24179, 24209, 24287, 24382, 24432, 24498, 24578, 24722, 24806, 24912, 24984, 25140, 25242, 25278, 25467, 25625, 25664, 25814, 25884, 26030, 26176, 26208, 26363, 26487, 26582, 26628, 26665, 26801, 26861, 27019, 27107, 27138, 27186, 27225, 27289, 27419, 27468, 27528, 27630, 27712, 27748, 27808, 28001, 28100, 28133, 28216, 28481, 28595, 28653, 28745, 28816, 28912, 28942, 29069, 29109, 29214, 29267, 29301, 29420, 29536, 29593, 29712, 29792, 29852, 29948, 30182, 30231, 30355, 30445, 30495, 30833, 30899, 31026, 31062, 31171, 31324, 31429, 31488, 31555, 31592, 31640, 31718, 31758, 31822, 31890, 31930, 31960, 32126, 32185, 32399, 32516, 32562, 32596, 32686, 32821, 32851, 32901, 32965, 33033, 33303, 33436, 33580, 33666, 33743, 33928, 34002, 34142, 34315, 34357, 34568, 34741, 35233, 35267, 35300, 35431, 35539, 35663, 35815, 35893, 36052, 36207, 36336, 36378, 36469, 36503, 36555, 36596, 36710, 36903, 36986, 37021, 37103, 37152, 37322, 37415, 37447, 37535, 37582, 37619, 37736, 37891, 37958, 38062, 38159, 38246, 38277, 38347, 38471, 38546, 38610, 38681, 38723, 38907, 39020, 39094, 39206, 39325, 39540, 39571, 39622, 39883, 40017, 40052, 40316, 40394, 40492, 40627, 40706, 40864, 40993, 41069, 41136, 41303, 41437, 41473, 41503, 41785, 41970, 42146, 42225, 42275, 42379, 42419, 42524, 42574, 42617, 42714, 42747, 42815, 42986, 43087, 43285, 43381, 43489, 43634, 43675, 43705, 43774, 43814, 43889, 44003, 44051, 44188, 44273, 44320, 44356, 44387, 44659, 44698, 44900, 44991, 45027, 45214, 45261]"
6,Elec2,HT_EDDM_F,0.8395974487431308,0.6703452535217199,00:00:05,72.03 KB,"[182, 305, 491, 599, 815, 931, 1117, 1594, 1789, 1963, 2122, 2260, 2444, 2623, 3237, 3426, 4237, 4384, 4710, 4955, 5129, 5271, 5649, 5842, 6072, 6233, 6380, 6555, 7109, 7177, 7349, 7488, 7736, 7933, 8165, 8492, 8885, 9019, 9214, 9475, 9690, 9869, 10314, 10486, 10676, 10851, 11113, 11273, 11409, 11604, 11788, 11965, 12354, 12523, 12673, 12908, 12976, 13402, 14046, 14125, 14229, 14396, 14865, 15103, 15311, 15514, 15673, 16123, 16283, 16395, 16539, 16785, 17027, 17159, 17391, 17568, 17713, 17995, 18140, 18375, 18699, 19024, 19245, 19431, 19576, 19753, 19872, 20078, 20270, 20470, 20804, 20920, 21235, 21501, 21679, 21901, 22082, 22222, 22479, 22648, 22790, 22925, 23088, 23226, 23459, 23594, 23833, 24025, 24215, 24450, 24577, 24768, 24955, 25170, 25328, 25616, 25845, 26182, 26442, 26625, 26860, 27117, 27259, 27479, 27599, 27731, 28009, 28314, 28487, 28684, 28866, 29042, 29220, 29396, 29537, 29731, 29827, 30021, 30245, 30428, 30587, 30843, 30977, 31182, 31334, 31505, 31634, 31828, 31902, 32132, 32313, 32515, 32603, 32726, 32994, 33305, 33446, 33594, 33759, 33959, 34143, 34320, 34576, 34757, 34892, 35085, 35228, 35431, 35556, 35744, 35953, 36224, 36357, 36514, 36604, 36911, 37084, 37329, 37539, 37688, 37896, 38057, 38247, 38378, 38564, 38709, 38906, 39099, 39240, 39409, 39569, 40028, 40081, 40267, 40405, 40500, 40652, 41329, 41447, 41599, 42005, 42277, 42424, 42602, 42741, 42944, 43121, 43297, 43676, 43787, 43916, 44003, 44165, 44334, 44518, 44676, 44999, 45213]"
7,Elec2,HT_GMA_F,0.782635563108296,0.5544166252535502,00:00:05,1.75 MB,[]
8,Elec2,HT_HDDMA_F,0.8495508816843592,0.6913443160899195,00:00:06,73.34 KB,"[145, 225, 337, 382, 424, 567, 1004, 1066, 1204, 1313, 1791, 2132, 2261, 2407, 2725, 3098, 3191, 5295, 5325, 5972, 6307, 6529, 6568, 6923, 6981, 7100, 7448, 7769, 7799, 8333, 8906, 9256, 9326, 9471, 9501, 9564, 9665, 9851, 10304, 10404, 10625, 10778, 11107, 11269, 11539, 11605, 11750, 11873, 12245, 12333, 12525, 12642, 12731, 13068, 13500, 14071, 14101, 16151, 16420, 16542, 17028, 17130, 19028, 19120, 19246, 19457, 19492, 19747, 19852, 19991, 20093, 20212, 20469, 20561, 20617, 20775, 21506, 21675, 21832, 22028, 22169, 22470, 22571, 22777, 22880, 22946, 23226, 23466, 23594, 23843, 23995, 24182, 24221, 24434, 24554, 24808, 24914, 25153, 25246, 25280, 25468, 25629, 25842, 26178, 26221, 26540, 26583, 26803, 26917, 27108, 27140, 27254, 27284, 27468, 27535, 27631, 27714, 27881, 28296, 28338, 28485, 28746, 28961, 29072, 29217, 29268, 29303, 29422, 29584, 29741, 29792, 29950, 30261, 30456, 30590, 30835, 30902, 31028, 31172, 31326, 31430, 31490, 31557, 31843, 31960, 32128, 32395, 32516, 32563, 32598, 32822, 32852, 32966, 33036, 33308, 33439, 33580, 33930, 34097, 34146, 34581, 34708, 35499, 36211, 36356, 36390, 36470, 36602, 36632, 37326, 37535, 37625, 37737, 37892, 37963, 38064, 38192, 38246, 38348, 38568, 38682, 38724, 39098, 39224, 40024, 40317, 40583, 40628, 40996, 41071, 41306, 41441, 41471, 41972, 42327, 42419, 42574, 42604, 42716, 42751, 42817, 42988, 43296, 43381, 43677, 43708, 43778, 43814, 43895, 44016, 44051, 44190, 44322, 44388, 44661, 44694, 44993, 45035]"
9,Elec2,HT_HDDMW_F,0.8332193065701485,0.6576331840101478,00:00:06,71.22 KB,"[182, 1112, 1799, 2133, 2264, 2442, 4236, 4400, 4919, 5325, 5970, 6244, 7176, 7646, 8911, 9262, 10340, 10870, 11555, 11874, 12876, 14036, 14341, 14868, 15231, 15390, 16129, 16469, 17115, 17298, 17399, 18141, 19034, 19280, 19433, 19753, 20063, 20275, 20473, 20810, 21525, 21698, 22485, 22591, 22778, 22929, 23233, 23468, 23846, 24001, 24213, 24479, 24989, 25172, 25666, 25849, 26197, 26636, 26870, 27115, 27536, 27735, 28015, 28491, 28771, 28940, 29161, 29516, 29826, 30262, 30454, 30841, 31025, 31329, 31556, 31765, 31895, 32039, 32179, 32567, 33316, 33602, 33961, 34147, 34371, 34582, 34756, 35231, 35954, 36248, 36481, 37688, 37963, 38199, 38384, 38636, 38908, 39099, 39235, 39542, 40058, 40408, 40634, 41453, 42002, 42361, 42753, 43298, 43678, 43813, 44007, 44329, 44664, 45012]"
10,Elec2,HT_KSWIN1_F,0.8229568978835161,0.6351419534456408,00:00:19,66.51 KB,"[194, 2502, 5059, 9297, 11273, 12994, 16541, 19339, 19772, 20106, 20297, 20485, 20823, 22506, 22860, 23176, 23601, 23891, 24206, 24561, 25196, 25857, 26194, 27426, 27736, 29058, 30272, 30418, 30856, 31342, 31626, 31900, 32195, 33592, 33973, 34603, 34918, 36360, 36495, 38381, 39117, 41451, 42736, 43321, 43690, 44028, 44334, 44669, 45006]"
11,Elec2,HT_KSWIN51_F,0.8181457041336541,0.6246857793472248,00:00:19,66.71 KB,"[190, 2633, 4579, 5409, 6326, 7185, 9440, 9550, 10778, 11274, 12996, 16542, 19342, 19889, 20106, 20376, 20816, 22490, 22862, 23174, 23600, 23896, 24206, 24559, 25856, 26194, 27655, 27755, 28885, 29230, 29829, 30275, 30420, 30853, 31161, 31345, 31795, 32196, 33591, 33973, 34604, 34920, 36361, 36495, 38380, 39117, 40635, 41449, 42736, 43688, 44336, 44669, 45005]"
12,Elec2,HT_KSWIN101_F,0.8221403191278056,0.6335924251901491,00:00:19,66.77 KB,"[189, 2633, 3252, 4912, 9278, 10357, 11494, 14677, 15863, 16449, 19142, 19517, 19762, 19877, 20107, 20292, 20484, 20818, 22507, 22863, 23175, 23600, 23895, 24560, 25194, 25856, 26193, 27424, 27739, 29055, 29829, 30274, 30475, 30851, 31340, 31623, 31914, 32193, 33331, 33595, 33973, 34604, 34765, 36361, 36494, 38380, 39118, 41326, 41452, 42735, 43321, 43691, 44334, 44668, 45005]"
