generator;drift_type;size;classifier;detector;accuracy_mean;accuracy_conf;cohen_kappas_mean;cohen_kappas_conf;time_mean;time_conf;memory_mean;memory_conf;drifts_mean;drifts_conf
Covertype;none;none;NB;basic;0.4877;;0.0004;;323.0;;1300234.24;;0.0;
Covertype;none;none;HT;basic;0.7573;;0.6042;;208.0;;32925286.4;;0.0;
Covertype;none;none;NoChange;basic;0.9506;;0.9207;;55.0;;1423.36;;0.0;
Covertype;none;none;MajClass;basic;0.4876;;0.0151;;57.0;;1249.28;;0.0;
Covertype;none;none;HT;ADWIN;0.7887;;0.6631;;302.0;;282439.68;;1133.0;
Covertype;none;none;HT;BOCD;0.8104;;0.6973;;2209.0;;150953000.96;;1445.0;
Covertype;none;none;HT;CUSUM;0.7883;;0.6606;;294.0;;442071.04;;407.0;
Covertype;none;none;HT;DDM;0.8659;;0.7853;;261.0;;327301.12;;4880.0;
Covertype;none;none;HT;ECDD;0.8914;;0.8258;;240.0;;399513.6;;6797.0;
Covertype;none;none;HT;EDDM;0.8464;;0.7541;;241.0;;251248.64;;2808.0;
Covertype;none;none;HT;GMA;0.7573;;0.6042;;240.0;;32925286.4;;0.0;
Covertype;none;none;HT;HDDMA;0.8728;;0.7958;;265.0;;446484.48;;4507.0;
Covertype;none;none;HT;HDDMW;0.8348;;0.7353;;284.0;;340480.0;;2474.0;
Covertype;none;none;HT;KSWIN;0.8136;0.0009;0.7021;0.0014;440.8;4.5112;248952.832;68276.2148;1660.4;28.3088
Covertype;none;none;HT;PH;0.7828;;0.6506;;292.0;;382689.28;;235.0;
Covertype;none;none;HT;RDDM;0.8396;;0.7429;;257.0;;314204.16;;2929.0;
Covertype;none;none;HT;STEPD;0.859;;0.7739;;305.0;;339128.32;;4877.0;
Covertype;none;none;NB;ADWIN;0.6938;;0.4936;;299.0;;274903.04;;2099.0;
Covertype;none;none;NB;BOCD;0.7642;;0.6139;;1122.0;;3009413.12;;3037.0;
Covertype;none;none;NB;CUSUM;0.6758;;0.4614;;299.0;;420864.0;;1184.0;
Covertype;none;none;NB;DDM;0.8252;;0.7162;;287.0;;971530.24;;6048.0;
Covertype;none;none;NB;ECDD;0.5866;;0.2605;;431.0;;1405091.84;;2599.0;
Covertype;none;none;NB;EDDM;0.7874;;0.654;;256.0;;522393.6;;3945.0;
Covertype;none;none;NB;GMA;0.4877;;0.0004;;558.0;;1300234.24;;0.0;
Covertype;none;none;NB;HDDMA;0.8533;;0.7626;;278.0;;636835.84;;7069.0;
Covertype;none;none;NB;HDDMW;0.7722;;0.6277;;292.0;;505395.2;;3406.0;
Covertype;none;none;NB;KSWIN;0.7536;0.0006;0.5931;0.0011;371.6;2.4204;491233.28;383.1307;3080.6;10.3364
Covertype;none;none;NB;PH;0.6546;;0.4233;;312.0;;591994.88;;787.0;
Covertype;none;none;NB;RDDM;0.7454;;0.5874;;275.0;;546406.4;;3026.0;
Covertype;none;none;NB;STEPD;0.8006;;0.6755;;294.0;;808171.52;;6405.0;
