generator;drift_type;size;classifier;detector;accuracy_mean;accuracy_conf;cohen_kappas_mean;cohen_kappas_conf;time_mean;time_conf;memory_mean;memory_conf;drifts_mean;drifts_conf
Elec2;none;none;NB;basic;0.7287;;0.4151;;5;;60508.16;;0;
Elec2;none;none;HT;basic;0.7826;;0.5544;;3;;1835008;;0;
Elec2;none;none;NoChange;basic;0.8533;;0.6998;;1;;739;;0;
Elec2;none;none;MajClass;basic;0.5753;;0.0001;;1;;845;;0;
Elec2;none;none;BOLE;basic;0.8553;0.0044;0.703;0.0091;44.4;5.3117;18752733.18;623633.024;0;0
Elec2;none;none;BOLE;ADWIN;0.9118;0.0008;0.8191;0.0016;71.6;8.2643;951003.136;387236.4798;0;0
Elec2;none;none;BOLE;BOCD;0.9176;0.0018;0.831;0.0037;926.4;128.4915;66416803.84;27848550.1;0;0
Elec2;none;none;BOLE;CUSUM;0.912;0.0017;0.8192;0.0036;55.8;9.2668;1769996.288;486668.5602;0;0
Elec2;none;none;BOLE;DDM;0.9206;0.0019;0.8373;0.0038;57;6.1459;3139436.544;1751357.859;0;0
Elec2;none;none;BOLE;ECDD;0.9104;0.0013;0.8166;0.0027;62.2;10.6233;1016895.488;174278.1363;0;0
Elec2;none;none;BOLE;EDDM;0.9158;0.0007;0.8274;0.0016;49.4;7.1652;724684.8;32839.8472;0;0
Elec2;none;none;BOLE;GMA;0.8553;0.0044;0.703;0.0091;70.4;37.9125;18771607.55;623415.5313;0;0
Elec2;none;none;BOLE;HDDMA;0.9145;0.0008;0.8249;0.0016;67.2;13.1229;873424.896;81810.9479;0;0
Elec2;none;none;BOLE;HDDMW;0.9205;0.0007;0.8371;0.0016;68.6;14.0094;868978.688;192747.928;0;0
Elec2;none;none;BOLE;KSWIN;0.919;0.0003;0.8338;0.0007;192.4;9.9781;989361.7664;137948.7566;0;0
Elec2;none;none;BOLE;PH;0.9066;0.0029;0.8084;0.0058;56.6;7.1112;2740977.664;365320.5712;0;0
Elec2;none;none;BOLE;RDDM;0.9204;0.0006;0.8367;0.0013;57.8;7.8235;1539309.568;264497.2961;0;0
Elec2;none;none;BOLE;STEPD;0.919;0.0011;0.834;0.0023;90.2;10.587;992210.944;64016.6785;0;0
Elec2;none;none;HT;ADWIN;0.8159;;0.6192;;6;;70993.92;;37;
Elec2;none;none;HT;BOCD;0.8248;;0.6397;;246;;1593835.52;;41;
Elec2;none;none;HT;CUSUM;0.8112;;0.6083;;5;;65771.52;;21;
Elec2;none;none;HT;DDM;0.836;;0.662;;5;;243978.24;;148;
Elec2;none;none;HT;ECDD;0.8532;;0.6994;;5;;81592.32;;438;
Elec2;none;none;HT;EDDM;0.8396;;0.6703;;5;;73758.72;;218;
Elec2;none;none;HT;GMA;0.7826;;0.5544;;5;;1835008;;0;
Elec2;none;none;HT;HDDMA;0.8496;;0.6913;;6;;75100.16;;218;
Elec2;none;none;HT;HDDMW;0.8332;;0.6576;;6;;72929.28;;114;
Elec2;none;none;HT;KSWIN;0.8215;0.003;0.632;0.0062;19;0;68233.216;132.6229;52.2;2.6919
Elec2;none;none;HT;PH;0.8064;;0.6005;;4;;180879.36;;9;
Elec2;none;none;HT;RDDM;0.8401;;0.6717;;5;;128389.12;;161;
Elec2;none;none;HT;STEPD;0.8411;;0.6737;;9;;143144.96;;244;
Elec2;none;none;NB;ADWIN;0.7978;;0.5801;;10;;65669.12;;45;
Elec2;none;none;NB;BOCD;0.8016;;0.5912;;199;;1583349.76;;54;
Elec2;none;none;NB;CUSUM;0.7944;;0.5728;;8;;60160;;28;
Elec2;none;none;NB;DDM;0.8159;;0.6209;;9;;120330.24;;150;
Elec2;none;none;NB;ECDD;0.85;;0.6927;;9;;75479.04;;414;
Elec2;none;none;NB;EDDM;0.8319;;0.6545;;8;;67952.64;;208;
Elec2;none;none;NB;GMA;0.7287;;0.4151;;8;;59115.52;;0;
Elec2;none;none;NB;HDDMA;0.8484;;0.689;;9;;69785.6;;251;
Elec2;none;none;NB;HDDMW;0.8303;;0.6517;;9;;66631.68;;123;
Elec2;none;none;NB;KSWIN;0.8103;0.0009;0.6093;0.0018;24.4;2.4204;63127.552;101.0794;69.6;3.5772
Elec2;none;none;NB;PH;0.777;;0.5349;;6;;59688.96;;13;
Elec2;none;none;NB;RDDM;0.8349;;0.6608;;7;;123535.36;;174;
Elec2;none;none;NB;STEPD;0.8416;;0.6745;;10;;135802.88;;249;
