generator;drift_type;size;classifier;detector;accuracy_mean;accuracy_conf;cohen_kappas_mean;cohen_kappas_conf;time_mean;time_conf;memory_mean;memory_conf;drifts_mean;drifts_conf
SensorStream;none;none;NB;basic;0.0763;;0.0572;;871.0;;949780.48;;0.0;
SensorStream;none;none;HT;basic;0.2222;;0.2057;;751.0;;114074583.04;;0.0;
SensorStream;none;none;NoChange;basic;0.0011;;-0.0203;;29.0;;5580.8;;0.0;
SensorStream;none;none;MajClass;basic;0.0295;;0.0023;;48.0;;6430.72;;0.0;
SensorStream;none;none;BOLE;ADWIN;0.4158;0.0052;0.4035;0.0054;27817.0;17026.3143;1756364.8;333085.5334;0.0;0.0
SensorStream;none;none;BOLE;CUSUM;0.5798;0.0312;0.571;0.0318;33129.5;13220.806;685629.44;747360.6657;0.0;0.0
SensorStream;none;none;BOLE;DDM;0.5372;0.0566;0.5276;0.058;31574.0;4065.9855;395412766.72;129969975.1494;0.0;0.0
SensorStream;none;none;BOLE;ECDD;0.3065;0.0172;0.2916;0.0174;16646.75;1868.4679;1261646643.2;29593176.6466;0.0;0.0
SensorStream;none;none;BOLE;EDDM;0.5353;0.1873;0.5255;0.1912;29939.0;1118.146;148887306.24;614076489.455;0.0;0.0
SensorStream;none;none;BOLE;GMA;0.2992;0.0086;0.2842;0.0087;14415.0;908.7246;1260572901.376;15201121.669;0.0;0.0
SensorStream;none;none;BOLE;HDDMA;0.5884;;0.5797;;37949.0;;1121976.32;;0.0;
SensorStream;none;none;BOLE;HDDMW;0.5266;;0.5166;;32776.0;;1824522.24;;0.0;
SensorStream;none;none;BOLE;PH;0.4941;;0.4835;;32346.0;;11712593.92;;0.0;
SensorStream;none;none;BOLE;STEPD;0.2094;;0.1919;;19586.0;;6973030.4;;0.0;
SensorStream;none;none;HT;ADWIN;0.3026;;0.2879;;1558.0;;224983.04;;4741.0;
SensorStream;none;none;HT;CUSUM;0.4938;;0.4832;;1733.0;;65638.4;;529.0;
SensorStream;none;none;HT;DDM;0.3736;;0.3605;;1566.0;;53833891.84;;324.0;
SensorStream;none;none;HT;ECDD;0.2163;;0.1996;;1100.0;;122054246.4;;8.0;
SensorStream;none;none;HT;EDDM;0.4215;;0.4093;;1638.0;;54263808.0;;482.0;
SensorStream;none;none;HT;GMA;0.2222;;0.2057;;1143.0;;114074583.04;;0.0;
SensorStream;none;none;HT;HDDMA;0.4993;;0.4888;;2195.0;;90716.16;;583.0;
SensorStream;none;none;HT;HDDMW;0.4644;;0.4532;;2170.0;;455598.08;;868.0;
SensorStream;none;none;HT;KSWIN;0.2235;0.0102;0.2069;0.0103;2200.0;82.1987;23304808.448;64598269.2772;3.2;2.8314
SensorStream;none;none;HT;PH;0.4647;;0.4535;;1935.0;;551342.08;;283.0;
SensorStream;none;none;HT;RDDM;0.5102;;0.4998;;2142.0;;134789.12;;832.0;
SensorStream;none;none;HT;STEPD;0.133;;0.1146;;1547.0;;761538.56;;18814.0;
SensorStream;none;none;NB;ADWIN;0.3867;;0.3732;;1266.0;;414392.32;;8370.0;
SensorStream;none;none;NB;BOCD;0.3707;;0.3568;;15440.0;;2925527.04;;8835.0;
SensorStream;none;none;NB;CUSUM;0.6904;;0.6837;;2071.0;;402257.92;;518.0;
SensorStream;none;none;NB;DDM;0.6539;;0.6464;;2161.0;;853749.76;;589.0;
SensorStream;none;none;NB;ECDD;0.0994;;0.0808;;2423.0;;1572864.0;;35.0;
SensorStream;none;none;NB;EDDM;0.6201;;0.6119;;2114.0;;801669.12;;579.0;
SensorStream;none;none;NB;GMA;0.0763;;0.0572;;2420.0;;952381.44;;0.0;
SensorStream;none;none;NB;HDDMA;0.6953;;0.6887;;2112.0;;78376.96;;581.0;
SensorStream;none;none;NB;HDDMW;0.6896;;0.6829;;1977.0;;98713.6;;623.0;
SensorStream;none;none;NB;KSWIN;0.0763;0.0;0.0572;0.0;2752.6;171.216;953313.28;0.0;0.0;0.0
SensorStream;none;none;NB;PH;0.6567;;0.6494;;1708.0;;412794.88;;326.0;
SensorStream;none;none;NB;RDDM;0.708;;0.7017;;1745.0;;847646.72;;756.0;
SensorStream;none;none;NB;STEPD;0.1821;;0.1639;;1315.0;;966256.64;;22662.0;
