,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,sea_abrupt_100K_0,BOLE_BOCD_F,0.942709427094271,0.8727122348582086,01:20:19,78.44 MB,[]
1,sea_abrupt_100K_2,BOLE_BOCD_F,0.945019450194502,0.8773650248701845,01:04:54,182.08 MB,[]
2,sea_abrupt_100K_4,BOLE_BOCD_F,0.9423094230942309,0.8713935824803613,01:02:10,93.02 MB,[]
3,sea_abrupt_100K_6,BOLE_BOCD_F,0.941949419494195,0.8717219739378471,01:09:44,66.84 MB,[]
4,sea_abrupt_100K_8,BOLE_BOCD_F,0.943179431794318,0.873181545114618,01:02:55,67.98 MB,[]
5,sea_abrupt_100K_10,BOLE_BOCD_F,0.941109411094111,0.8687442428387488,01:11:13,120.08 MB,[]
6,sea_abrupt_100K_12,BOLE_BOCD_F,0.944229442294423,0.8772019044698492,01:05:08,125.92 MB,[]
7,sea_abrupt_100K_14,BOLE_BOCD_F,0.9427794277942779,0.8727781139650599,01:07:14,150.76 MB,[]
8,sea_abrupt_100K_16,BOLE_BOCD_F,0.9428994289942899,0.874567249332692,01:07:20,272.65 MB,[]
9,sea_abrupt_100K_18,BOLE_BOCD_F,0.9435394353943539,0.8759157314444457,01:04:27,268.88 MB,[]
10,sea_abrupt_100K_20,BOLE_BOCD_F,0.9418194181941819,0.870263703233455,01:05:58,91.71 MB,[]
11,sea_abrupt_100K_22,BOLE_BOCD_F,0.9433694336943369,0.8748200237730491,01:04:41,92.53 MB,[]
12,sea_abrupt_100K_24,BOLE_BOCD_F,0.941449414494145,0.8692441039350882,01:01:40,81.46 MB,[]
13,sea_abrupt_100K_26,BOLE_BOCD_F,0.9402494024940249,0.8674266186876102,01:05:08,93.59 MB,[]
14,sea_abrupt_100K_28,BOLE_BOCD_F,0.9422294222942229,0.871217905735238,01:08:15,216.23 MB,[]
15,sea_abrupt_100K_30,BOLE_BOCD_F,0.943029430294303,0.8723853814061187,01:09:29,19.1 MB,[]
16,sea_abrupt_100K_32,BOLE_BOCD_F,0.943549435494355,0.8750479169191618,01:03:48,89.14 MB,[]
17,sea_abrupt_100K_34,BOLE_BOCD_F,0.9415194151941519,0.8698696275782146,01:08:34,146.16 MB,[]
18,sea_abrupt_100K_36,BOLE_BOCD_F,0.942969429694297,0.874008365195185,01:05:25,97.25 MB,[]
19,sea_abrupt_100K_38,BOLE_BOCD_F,0.9419894198941989,0.8715335611006647,01:11:21,55.03 MB,[]
20,sea_abrupt_100K_40,BOLE_BOCD_F,0.9413294132941329,0.8705794110259718,01:06:29,58.62 MB,[]
21,sea_abrupt_100K_42,BOLE_BOCD_F,0.942569425694257,0.8719435768757999,01:05:19,51.29 MB,[]
22,sea_abrupt_100K_44,BOLE_BOCD_F,0.9414694146941469,0.8700348739356479,01:11:15,179.06 MB,[]
23,sea_abrupt_100K_46,BOLE_BOCD_F,0.943879438794388,0.8754776850356389,01:07:06,88.09 MB,[]
24,sea_abrupt_100K_48,BOLE_BOCD_F,0.94279942799428,0.8730697988979312,01:08:41,38.84 MB,[]
25,sea_abrupt_100K_50,BOLE_BOCD_F,0.9411694116941169,0.869552599357585,01:10:48,104.01 MB,[]
26,sea_abrupt_100K_52,BOLE_BOCD_F,0.9427194271942719,0.8734656918877413,01:20:24,64.24 MB,[]
27,sea_abrupt_100K_54,BOLE_BOCD_F,0.9409094090940909,0.8681516021444498,01:16:02,105.04 MB,[]
28,sea_abrupt_100K_56,BOLE_BOCD_F,0.943319433194332,0.8727593250938053,01:19:42,45.37 MB,[]
29,sea_abrupt_100K_58,BOLE_BOCD_F,0.943989439894399,0.8760822378644533,01:25:20,56.69 MB,[]
