,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,sea_gradual_100K_0,BOLE_BOCD_F,0.942239422394224,0.8718622915478019,01:11:01,200.75 MB,[]
1,sea_gradual_100K_2,BOLE_BOCD_F,0.943869438694387,0.8748731697987512,01:16:35,50.04 MB,[]
2,sea_gradual_100K_4,BOLE_BOCD_F,0.9413294132941329,0.869076286202344,01:18:58,136.78 MB,[]
3,sea_gradual_100K_6,BOLE_BOCD_F,0.940779407794078,0.8690833493329805,01:18:54,73.21 MB,[]
4,sea_gradual_100K_8,BOLE_BOCD_F,0.942909429094291,0.8726634375050966,01:18:13,86.73 MB,[]
5,sea_gradual_100K_10,BOLE_BOCD_F,0.9401294012940129,0.866323181864487,01:14:52,283.55 MB,[]
6,sea_gradual_100K_12,BOLE_BOCD_F,0.9423194231942319,0.8729576718437682,01:22:41,418.46 MB,[]
7,sea_gradual_100K_14,BOLE_BOCD_F,0.942469424694247,0.8722734103138599,01:22:24,117.9 MB,[]
8,sea_gradual_100K_16,BOLE_BOCD_F,0.940029400294003,0.86800534513309,01:14:36,94.56 MB,[]
9,sea_gradual_100K_18,BOLE_BOCD_F,0.9408194081940819,0.8698732730364263,01:20:29,62.53 MB,[]
10,sea_gradual_100K_20,BOLE_BOCD_F,0.9395193951939519,0.8652896942221753,01:19:21,95.33 MB,[]
11,sea_gradual_100K_22,BOLE_BOCD_F,0.94369943699437,0.8755391416437422,01:17:43,41.13 MB,[]
12,sea_gradual_100K_24,BOLE_BOCD_F,0.941689416894169,0.8695611100614267,01:23:27,302.91 MB,[]
13,sea_gradual_100K_26,BOLE_BOCD_F,0.9406194061940619,0.8685709392808626,01:22:13,72.09 MB,[]
14,sea_gradual_100K_28,BOLE_BOCD_F,0.94179941799418,0.8700845065742739,01:18:11,54.23 MB,[]
15,sea_gradual_100K_30,BOLE_BOCD_F,0.941039410394104,0.8679697471721092,01:19:57,125.23 MB,[]
16,sea_gradual_100K_32,BOLE_BOCD_F,0.939999399994,0.8669120926270009,01:24:05,61.08 MB,[]
17,sea_gradual_100K_34,BOLE_BOCD_F,0.941719417194172,0.870255995726302,01:26:43,85.78 MB,[]
18,sea_gradual_100K_36,BOLE_BOCD_F,0.942739427394274,0.8735625581842177,01:20:33,196.76 MB,[]
19,sea_gradual_100K_38,BOLE_BOCD_F,0.9415494154941549,0.8702716797938269,01:10:41,195.34 MB,[]
20,sea_gradual_100K_40,BOLE_BOCD_F,0.9409494094940949,0.869768168893863,01:19:32,163.78 MB,[]
21,sea_gradual_100K_42,BOLE_BOCD_F,0.94229942299423,0.8711942188965693,01:12:02,279.67 MB,[]
22,sea_gradual_100K_44,BOLE_BOCD_F,0.9402394023940239,0.8674069809511493,01:13:06,153.25 MB,[]
23,sea_gradual_100K_46,BOLE_BOCD_F,0.9413794137941379,0.8699829721636442,01:20:34,78.89 MB,[]
24,sea_gradual_100K_48,BOLE_BOCD_F,0.942619426194262,0.8727060972298496,01:16:11,77.84 MB,[]
25,sea_gradual_100K_50,BOLE_BOCD_F,0.9424894248942489,0.872357638049666,01:18:27,34.44 MB,[]
26,sea_gradual_100K_52,BOLE_BOCD_F,0.94159941599416,0.8711388538811505,01:22:27,81.91 MB,[]
27,sea_gradual_100K_54,BOLE_BOCD_F,0.9417594175941759,0.8701039317533614,01:26:22,106.33 MB,[]
28,sea_gradual_100K_56,BOLE_BOCD_F,0.9407694076940769,0.8670562106190669,01:27:13,69.71 MB,[]
29,sea_gradual_100K_58,BOLE_BOCD_F,0.9426094260942609,0.8731331461605042,01:25:57,40.07 MB,[]
