,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,sea_abrupt_1M_0,BOLE_KSWIN1_F,0.9594839594839595,0.9104027648916573,00:53:04,1.89 MB,[]
1,sea_abrupt_1M_0,BOLE_KSWIN51_F,0.96004996004996,0.9116480079519778,00:53:48,1.34 MB,[]
2,sea_abrupt_1M_0,BOLE_KSWIN101_F,0.9601609601609602,0.9118804053711094,00:52:41,1.04 MB,[]
3,sea_abrupt_1M_0,BOLE_KSWIN151_F,0.9573309573309573,0.9055944818747526,01:01:05,1.54 MB,[]
4,sea_abrupt_1M_0,BOLE_KSWIN201_F,0.957965957965958,0.9069510714410216,01:01:13,1.32 MB,[]
5,sea_abrupt_1M_2,BOLE_KSWIN1_F,0.9554099554099554,0.9013656332370117,01:02:15,1.14 MB,[]
6,sea_abrupt_1M_2,BOLE_KSWIN51_F,0.9595419595419595,0.9105863579795608,01:01:54,1.51 MB,[]
7,sea_abrupt_1M_2,BOLE_KSWIN101_F,0.9566569566569566,0.9041601252968817,01:00:35,1.67 MB,[]
8,sea_abrupt_1M_2,BOLE_KSWIN151_F,0.9552969552969554,0.901157789198115,01:01:04,1.48 MB,[]
9,sea_abrupt_1M_2,BOLE_KSWIN201_F,0.9564619564619564,0.903700803751884,01:00:22,1.35 MB,[]
10,sea_abrupt_1M_4,BOLE_KSWIN1_F,0.9573899573899574,0.9054020185222906,01:00:50,1.74 MB,[]
11,sea_abrupt_1M_4,BOLE_KSWIN51_F,0.9573489573489573,0.9052987616039291,01:00:26,1.61 MB,[]
12,sea_abrupt_1M_4,BOLE_KSWIN101_F,0.9545809545809546,0.899165995987976,01:00:39,1.43 MB,[]
13,sea_abrupt_1M_4,BOLE_KSWIN151_F,0.9545609545609546,0.8991202153217769,01:02:04,1.45 MB,[]
14,sea_abrupt_1M_4,BOLE_KSWIN201_F,0.9530949530949531,0.8958253694503105,01:01:53,1.17 MB,[]
15,sea_abrupt_1M_6,BOLE_KSWIN1_F,0.9545759545759546,0.8993688365409577,01:01:30,1.16 MB,[]
16,sea_abrupt_1M_6,BOLE_KSWIN51_F,0.9591999591999592,0.9097134636996028,01:01:41,1.07 MB,[]
17,sea_abrupt_1M_6,BOLE_KSWIN101_F,0.9564039564039564,0.9034818796865941,00:58:54,1.49 MB,[]
18,sea_abrupt_1M_6,BOLE_KSWIN151_F,0.9563999563999565,0.9034532620955077,00:54:14,1.23 MB,[]
19,sea_abrupt_1M_6,BOLE_KSWIN201_F,0.954003954003954,0.8981492664576777,00:53:22,1.29 MB,[]
20,sea_abrupt_1M_8,BOLE_KSWIN1_F,0.9583369583369583,0.9076061862297741,00:53:53,1.54 MB,[]
21,sea_abrupt_1M_8,BOLE_KSWIN51_F,0.96004696004696,0.9114462959634544,00:53:24,1.35 MB,[]
22,sea_abrupt_1M_8,BOLE_KSWIN101_F,0.9591879591879592,0.9095805309694802,00:53:43,1.48 MB,[]
23,sea_abrupt_1M_8,BOLE_KSWIN151_F,0.956909956909957,0.904396420694119,00:53:06,1.27 MB,[]
24,sea_abrupt_1M_8,BOLE_KSWIN201_F,0.9615759615759616,0.914860761883873,00:50:22,2.31 MB,[]
25,sea_abrupt_1M_10,BOLE_KSWIN1_F,0.9539029539029539,0.8978915768784134,00:52:43,1.69 MB,[]
26,sea_abrupt_1M_10,BOLE_KSWIN51_F,0.9607509607509608,0.9130576050796398,00:52:52,1.62 MB,[]
27,sea_abrupt_1M_10,BOLE_KSWIN101_F,0.9574089574089574,0.9056470474999143,00:52:07,1.19 MB,[]
28,sea_abrupt_1M_10,BOLE_KSWIN151_F,0.9568309568309569,0.904292675572356,00:50:13,1.3 MB,[]
29,sea_abrupt_1M_10,BOLE_KSWIN201_F,0.9574779574779575,0.9057957640860608,00:52:09,1.62 MB,[]
30,sea_abrupt_1M_12,BOLE_KSWIN1_F,0.9564169564169565,0.9035709255482673,00:51:40,1.42 MB,[]
