,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,sea_abrupt_1M_0,HT_basic_F,0.9397059397059397,0.8675413970344747,00:01:16,2.96 MB,[]
1,sea_abrupt_1M_0,HT_ADWIN_F,0.9497769497769498,0.8875075650914748,00:02:20,138.39 KB,"[8767, 15935, 23103, 29759, 36671, 44863, 50911, 58047, 65215, 72447, 79103, 86239, 93631, 100927, 105375, 112543, 121759, 128447, 134591, 141247, 150463, 160607, 167263, 174431, 181119, 187295, 194079, 203935, 209791, 224127, 231807, 239871, 249279, 257055, 264479, 271647, 279615, 286431, 293087, 300255, 314591, 322367, 329535, 337663, 344319, 353759, 361151, 368255, 379519, 389055, 396671, 403839, 410495, 417151, 424831, 431839, 438495, 445663, 452831, 459487, 465855, 475071, 482975, 491775, 499455, 506879, 513535, 520639, 527807, 537023, 544799, 551967, 559327, 565983, 573151, 579871, 587039, 593695, 600671, 609279, 625663, 637567, 646591, 654207, 658175, 668415, 678655, 686335, 692959, 700639, 705759, 711391, 713151, 727487, 736415, 752799, 757183, 773087, 789471, 795103, 799711, 806367, 813535, 822751, 830687, 837855, 844511, 851231, 853663, 861503, 867807, 874975, 882143, 889119, 895871, 903263, 910431, 919647, 926303, 935775, 942271, 949439, 957343, 966847, 973503, 981663, 987199, 994111]"
2,sea_abrupt_1M_0,HT_CUSUM_F,0.9867589867589868,0.9707919077108549,00:01:39,530.5 KB,"[200832, 400360, 600274, 800465]"
3,sea_abrupt_1M_0,HT_DDM_F,0.9855599855599856,0.9681319533599404,00:01:39,556.03 KB,"[201530, 202112, 205609, 208518, 400622, 403383, 600465, 600547, 600588, 604544, 604624, 608093, 608143, 608209, 609178, 609313, 612839, 616528, 616562, 620764, 620817, 624463, 624514, 800831, 800867]"
4,sea_abrupt_1M_0,HT_ECDD_F,0.9381229381229381,0.8623264050524921,00:01:52,97.93 KB,"[655, 1566, 2788, 3617, 4209, 5933, 6793, 7075, 7773, 8103, 8850, 9203, 9702, 10500, 11598, 12452, 13321, 14592, 16252, 17348, 18308, 18539, 18816, 19338, 20542, 20835, 21268, 21473, 21688, 22378, 22811, 22960, 23527, 24454, 24991, 25833, 26717, 27553, 27820, 28157, 28884, 30048, 31000, 31797, 32668, 33583, 34070, 34349, 34565, 36479, 37417, 37608, 38676, 39251, 40322, 40870, 41287, 41613, 42783, 43809, 44513, 45355, 46175, 47559, 48700, 50066, 51148, 51623, 53522, 53989, 54722, 55211, 55660, 55774, 56369, 56844, 57042, 57386, 57769, 58177, 59295, 60918, 62012, 62374, 62920, 64010, 64656, 65242, 65566, 66172, 66830, 67337, 67640, 68497, 69873, 71911, 73297, 73976, 74394, 75211, 75919, 76521, 77980, 79315, 80132, 81249, 81470, 82191, 83107, 83921, 85258, 86519, 86891, 87663, 88206, 88860, 90263, 91051, 91492, 92181, 92693, 93315, 94676, 95504, 95881, 96597, 98156, 99494, 100343, 102019, 103202, 103826, 104669, 104954, 105441, 106491, 107025, 107665, 108105, 109174, 109844, 110128, 111160, 112130, 113231, 113914, 114386, 114746, 115531, 116410, 116639, 117712, 118571, 119336, 120094, 120836, 122172, 122867, 123833, 124741, 125974, 127576, 127890, 128399, 128732, 129520, 129755, 130387, 130990, 132183, 133105, 134576, 134798, 135636, 136107, 137643, 138448, 139619, 140256, 140539, 141422, 142665, 143485, 144080, 145570, 146382, 146865, 147458, 147904, 148270, 148408, 148539, 149021, 149498, 150111, 151348, 152003, 152880, 153957, 155018, 155626, 156875, 157456, 157878, 160027, 161188, 161523, 162343, 162814, 163654, 164475, 165203, 165947, 166139, 166602, 166833, 167257, 167729, 168351, 169083, 170662, 171428, 171622, 171882, 172639, 173551, 174446, 176178, 176787, 178164, 179806, 180528, 181405, 183077, 183852, 184834, 185293, 186262, 186824, 187176, 188054, 188887, 189340, 189737, 190392, 190787, 191151, 191737, 192640, 193896, 194349, 194782, 196198, 196513, 197001, 197334, 197916, 199000, 199491, 200141, 201101, 202031, 203468, 203711, 204539, 204776, 205231, 206571, 207464, 208763, 209929, 210711, 212044, 212492, 212982, 214186, 214236, 214602, 215292, 215520, 216105, 217452, 218739, 220176, 220988, 221910, 223114, 225641, 225920, 227391, 229148, 230304, 230784, 231573, 233246, 233324, 234542, 235990, 236091, 236872, 237089, 238451, 239331, 240455, 241967, 243227, 243382, 245338, 246371, 246473, 247625, 250125, 250983, 251541, 253010, 254519, 255407, 256394, 256701, 256958, 257641, 258294, 259505, 260129, 260504, 261344, 261888, 263731, 265677, 266853, 268870, 270421, 270804, 271272, 271887, 272455, 273379, 274810, 275885, 276626, 277726, 279404, 281477, 282376, 283078, 284257, 284788, 286888, 290195, 292102, 294406, 295630, 296791, 297284, 298195, 299678, 300599, 301970, 303098, 303399, 303826, 304983, 306059, 307182, 308347, 309207, 309861, 310754, 312077, 313445, 314787, 314890, 315483, 315799, 316240, 317440, 318496, 319909, 321758, 322712, 323529, 325140, 326110, 326826, 330875, 331855, 331993, 332688, 333524, 334003, 334536, 334813, 335461, 336598, 337618, 338407, 338871, 339606, 340047, 340935, 343690, 345312, 346069, 346583, 347776, 349266, 350356, 351049, 351921, 353056, 354031, 354572, 355010, 355436, 356956, 358683, 359707, 360546, 361603, 362802, 364259, 365484, 366493, 366936, 367928, 369407, 370715, 371814, 371965, 372464, 373148, 375188, 375611, 376648, 377600, 378073, 378770, 379751, 380926, 381828, 382050, 383059, 384624, 385118, 386038, 387524, 389186, 392399, 393312, 393888, 394824, 396242, 397639, 398385, 399428, 400015, 400892, 401879, 402263, 402980, 403226, 403776, 404154, 404658, 404896, 405357, 405708, 406409, 406923, 407165, 407621, 408062, 408791, 409329, 409679, 410764, 411741, 412170, 413015, 414710, 415295, 416139, 416809, 417784, 418644, 418990, 419530, 420964, 422474, 422798, 424110, 424898, 425839, 426542, 426931, 428371, 428917, 429290, 429766, 430633, 431565, 433621, 434697, 435449, 436151, 436419, 436773, 437151, 437864, 438655, 439367, 440320, 440901, 441908, 442815, 443028, 443552, 444166, 445014, 445807, 446880, 447806, 449037, 450222, 451117, 451371, 452031, 452372, 453133, 453879, 454551, 454708, 455321, 456414, 457796, 458177, 458708, 459342, 459917, 460399, 461237, 461675, 461788, 462407, 462848, 463541, 464079, 465350, 466174, 467133, 467982, 468745, 469084, 470331, 471138, 471407, 471804, 472199, 472599, 472988, 473216, 473754, 474411, 474767, 475127, 475940, 477015, 477693, 478404, 478728, 479558, 481159, 482034, 482491, 482737, 483375, 483920, 484715, 485014, 485940, 487264, 488054, 488888, 490035, 491142, 492163, 492851, 493285, 493643, 493734, 494297, 494818, 495527, 495943, 496146, 497052, 498047, 499137, 500274, 501458, 501962, 502964, 503491, 504079, 505415, 506586, 507089, 507496, 508189, 508700, 510306, 510783, 512049, 512640, 513529, 513843, 514116, 514650, 515882, 516467, 516624, 516774, 517291, 518143, 519751, 520094, 520216, 520694, 521009, 521503, 522866, 523343, 523836, 524626, 525370, 526209, 527338, 527797, 527984, 528834, 529033, 529834, 530131, 530302, 530657, 530991, 531713, 532041, 532387, 533191, 534505, 534914, 535339, 535845, 536606, 536985, 537605, 539964, 540454, 541023, 541705, 541792, 542655, 543639, 544512, 545259, 546165, 546911, 547818, 548455, 548574, 548801, 549848, 550850, 551348, 553116, 553734, 554289, 554454, 554794, 555721, 556206, 556581, 556802, 557343, 558043, 558751, 558900, 559229, 559490, 560246, 560978, 561495, 562825, 563679, 564844, 565316, 566128, 566948, 567846, 568629, 569172, 569827, 570124, 570693, 570760, 571140, 571363, 571868, 573717, 574445, 574745, 575085, 575679, 576106, 576297, 576939, 578434, 578917, 579356, 580425, 580937, 581482, 582052, 582380, 582741, 583241, 583613, 584123, 584524, 584756, 585669, 586844, 587893, 588462, 589110, 590244, 591041, 591228, 591553, 592193, 592658, 592827, 592872, 593565, 594139, 594624, 595593, 596365, 597487, 598113, 598222, 598813, 599316, 600011, 600573, 602228, 604250, 605269, 605603, 606612, 607362, 608687, 609014, 609870, 611124, 612044, 613684, 614188, 615119, 615532, 616400, 616789, 617584, 618054, 618713, 620374, 622777, 623033, 624095, 626420, 629378, 632734, 633186, 633325, 634604, 635373, 635958, 637592, 640069, 640842, 642388, 643315, 646287, 649623, 650711, 651010, 651446, 651542, 652424, 652829, 652970, 653219, 653679, 653874, 655113, 655192, 655867, 656793, 657572, 657923, 659294, 659874, 659992, 661244, 662365, 664397, 667069, 669118, 669244, 669458, 670885, 672725, 674755, 675931, 677726, 678328, 678722, 679562, 680871, 681767, 682663, 683605, 684435, 686379, 686813, 687807, 688396, 689812, 693172, 695269, 697304, 698058, 699886, 700068, 701158, 704536, 706297, 706738, 708029, 710482, 711419, 711623, 712437, 713665, 715112, 715799, 716549, 717265, 718679, 720281, 722281, 722567, 724155, 725588, 726189, 726920, 727403, 727638, 728056, 729114, 729940, 730534, 731303, 731837, 732216, 732517, 733020, 734256, 734711, 735428, 737100, 740168, 740870, 742286, 743727, 744883, 745474, 746068, 746847, 748086, 749445, 749647, 749968, 750181, 751211, 753047, 755632, 756123, 756639, 757255, 758107, 758649, 758789, 759804, 761603, 763187, 763403, 763715, 764429, 765965, 768086, 769017, 770770, 771829, 772876, 774212, 774390, 775009, 776287, 776932, 777753, 778291, 779675, 781781, 784365, 785118, 786349, 787211, 788793, 790574, 791103, 791921, 792626, 793555, 795481, 797381, 798214, 798757, 799640, 801565, 802788, 803681, 803921, 804378, 804852, 805160, 805933, 806083, 806345, 806793, 807811, 808109, 808545, 809401, 811713, 812082, 813321, 814592, 816252, 817182, 818308, 818539, 818816, 819338, 819966, 820542, 820835, 821268, 821473, 821688, 822378, 822811, 822960, 823527, 824454, 824991, 825833, 826717, 827553, 827820, 828157, 828884, 830048, 831000, 831797, 832668, 833583, 834070, 834349, 834565, 836479, 837417, 837608, 838676, 839251, 840322, 840870, 841287, 841613, 842783, 843809, 844513, 845355, 846175, 847559, 848700, 850066, 851148, 851623, 853522, 853989, 854722, 855211, 855660, 855774, 856369, 856844, 857042, 857386, 857769, 858177, 859295, 860918, 862012, 862374, 862920, 864010, 864656, 865242, 865566, 866172, 866830, 867337, 867640, 868497, 869873, 871911, 873297, 873976, 874394, 875211, 875919, 876521, 877980, 879315, 880132, 881249, 881470, 882191, 883107, 883921, 885258, 886519, 886891, 887663, 888206, 888860, 890263, 891051, 891492, 892181, 892693, 893315, 894676, 895504, 895881, 896597, 898156, 899494, 900343, 902019, 903202, 903826, 904669, 904954, 905441, 906491, 907025, 907665, 908105, 909174, 909844, 910128, 911160, 912130, 913231, 913914, 914386, 914746, 915531, 916410, 916639, 917712, 918571, 919336, 920094, 920836, 922172, 922867, 923833, 924741, 925974, 927576, 927890, 928399, 928732, 929520, 929755, 930387, 930990, 932183, 933105, 934576, 934798, 935636, 936107, 937643, 938448, 939619, 940256, 940539, 941422, 942665, 943485, 944080, 945570, 946382, 946865, 947458, 947904, 948270, 948408, 948539, 949021, 949498, 950111, 951348, 952003, 952880, 953957, 955018, 955626, 956875, 957456, 957878, 960027, 961188, 961523, 962343, 962814, 963654, 964475, 965203, 965947, 966139, 966602, 966833, 967257, 967729, 968351, 969083, 970662, 971428, 971622, 971882, 972639, 973551, 974446, 976178, 976787, 978164, 979806, 980528, 981405, 983077, 983852, 984834, 985293, 986262, 986824, 987176, 988054, 988887, 989340, 989737, 990392, 990787, 991151, 991737, 992640, 993896, 994349, 994782, 996198, 996513, 997001, 997334, 997916, 999000, 999491]"
5,sea_abrupt_1M_0,HT_EDDM_F,0.9829309829309829,0.9623199075860672,00:01:30,550.68 KB,"[358, 3939, 3996, 209175, 209290, 209929, 210813, 212608, 214937, 214995, 404114, 404225, 406132, 410437, 414177, 415196, 419086, 422641, 423069, 424200, 424854, 426054, 429487, 433319, 434614, 435489, 438011, 439544, 602909, 602959, 603381, 804955, 805057]"
6,sea_abrupt_1M_0,HT_GMA_F,0.9397059397059397,0.8675413970344747,00:01:36,2.96 MB,[]
7,sea_abrupt_1M_0,HT_HDDMA_F,0.9873739873739874,0.9721524264543285,00:01:52,576.01 KB,"[200782, 400212, 600071, 800294]"
8,sea_abrupt_1M_0,HT_HDDMW_F,0.969040969040969,0.9317489745632953,00:01:50,1.93 MB,[415413]
9,sea_abrupt_1M_0,HT_KSWIN1_F,0.9397059397059397,0.8675413970344747,00:05:46,2.96 MB,[]
