,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,sea_abrupt_1M_0,NoChange_basic_F,0.5578195578195578,0.025690090891944774,00:00:25,739 B,[]
1,sea_abrupt_1M_0,MajClass_basic_F,0.651919651919652,1.237491087454197e-06,00:00:31,845 B,[]
2,sea_abrupt_1M_0,NB_basic_F,0.917012917012917,0.809413245280899,00:01:33,24.56 KB,[]
3,sea_abrupt_1M_0,NB_ADWIN_F,0.9507929507929508,0.8881258957216878,00:03:16,34.74 KB,"[203903, 405599, 601343, 803263]"
4,sea_abrupt_1M_0,NB_CUSUM_F,0.9513629513629513,0.8893488921195324,00:02:24,24.47 KB,"[200553, 400695, 600220, 800934]"
5,sea_abrupt_1M_0,NB_DDM_F,0.9466609466609467,0.8783753891046441,00:02:26,45.74 KB,"[145850, 146865, 205049, 403617, 403788, 600804, 805304]"
6,sea_abrupt_1M_0,NB_ECDD_F,0.9388089388089388,0.86370290187721,00:02:34,92.75 KB,"[655, 1381, 1566, 1777, 2221, 2820, 3620, 3901, 4378, 4852, 5927, 6793, 8103, 8710, 9401, 9827, 10132, 11792, 12452, 13321, 13633, 14592, 16252, 17348, 18308, 18402, 18816, 19338, 19966, 20232, 20835, 21472, 21651, 22378, 22811, 22960, 23321, 24454, 25833, 26151, 26470, 26885, 27395, 27553, 27820, 28157, 28881, 30048, 31000, 31797, 32668, 34070, 36479, 37608, 38676, 39251, 40322, 40870, 41162, 41613, 42783, 43809, 44513, 45355, 46088, 46468, 47559, 48700, 49493, 50540, 51146, 51625, 53522, 53989, 54957, 55661, 56225, 57769, 58400, 59231, 59549, 60158, 60609, 61708, 62181, 62408, 62920, 63864, 64656, 65242, 65501, 66171, 67304, 68494, 70043, 71911, 73114, 73297, 73949, 74394, 75211, 75919, 76521, 77240, 77980, 78323, 79315, 80132, 80714, 81465, 82291, 83107, 83569, 83921, 84256, 85259, 86523, 86806, 87660, 88206, 88690, 89123, 89297, 90118, 91051, 91492, 92181, 92693, 92852, 94675, 95504, 96195, 96597, 98156, 99494, 99759, 99985, 100343, 101444, 102019, 103202, 103565, 103734, 104669, 105441, 106239, 106928, 107905, 108281, 109174, 109655, 110130, 110551, 111129, 112618, 113916, 114744, 115656, 116072, 117712, 118520, 118790, 119336, 120094, 120836, 122172, 122867, 123832, 124741, 125974, 127576, 128137, 128729, 129520, 130385, 130990, 132727, 133531, 134329, 134797, 135260, 136107, 136480, 137602, 138626, 139023, 139624, 140256, 140539, 141422, 142665, 143485, 144080, 144220, 144567, 145480, 146382, 146422, 146623, 146826, 147245, 147598, 147904, 148270, 148408, 148539, 148764, 150111, 151039, 151428, 151667, 152003, 152880, 153957, 155018, 155626, 156875, 157343, 157878, 160027, 161188, 161523, 162343, 162814, 163560, 163860, 164616, 165203, 165852, 166139, 166602, 166831, 167257, 167583, 167729, 168351, 169172, 170543, 171300, 171904, 172639, 173477, 174446, 175318, 175406, 175514, 175875, 176787, 178164, 180207, 180777, 181296, 182659, 183077, 183852, 184834, 185293, 186262, 187199, 188147, 188885, 189340, 189739, 190286, 190664, 190896, 191232, 191737, 192690, 193511, 194349, 194430, 194694, 194943, 195158, 196198, 197001, 197358, 197916, 199000, 199491, 200141, 200725, 201101, 202031, 202412, 202858, 203468, 204559, 206571, 207464, 208763, 209929, 210711, 212044, 212871, 214186, 215334, 215636, 216272, 216493, 217348, 218966, 219185, 219704, 220022, 220180, 220638, 221910, 223114, 225641, 225721, 226539, 229041, 231268, 232065, 233327, 234097, 234796, 235990, 237083, 238451, 239331, 240455, 241967, 243227, 243382, 244054, 244856, 245235, 246371, 248399, 250983, 252033, 253503, 254519, 254911, 255407, 256394, 256701, 256958, 257641, 258294, 259505, 260238, 260901, 261403, 261630, 261888, 262285, 263731, 264950, 265679, 266216, 267926, 268870, 269750, 269850, 270421, 270804, 271272, 271887, 272452, 273379, 274810, 276165, 276323, 276883, 277723, 279404, 281477, 282376, 283078, 284257, 286256, 286888, 289294, 290197, 290754, 290858, 291847, 292547, 292622, 293141, 293489, 294406, 294909, 295630, 296281, 296791, 297228, 298043, 299242, 300180, 301970, 303098, 303401, 303768, 305671, 307373, 308347, 309207, 310196, 311064, 311402, 313445, 314787, 315727, 316018, 316243, 317440, 318499, 319312, 320089, 320634, 321387, 322712, 325029, 325739, 325856, 326193, 326826, 327038, 327775, 329008, 329385, 330020, 330366, 330875, 331855, 333212, 334251, 334408, 335461, 336089, 336291, 337568, 338634, 338871, 339606, 340048, 340935, 341537, 342171, 343627, 345046, 346026, 346583, 347776, 348229, 349419, 349753, 351049, 351919, 351994, 352281, 353056, 353385, 354031, 354572, 355010, 355436, 356413, 357519, 359190, 360339, 361152, 362404, 363187, 363860, 364322, 364777, 364892, 366396, 367326, 367928, 369177, 370060, 370407, 371306, 372385, 372799, 373561, 374258, 374630, 375611, 376968, 378603, 379147, 379752, 380055, 380778, 381924, 382687, 383310, 384421, 385118, 386038, 386705, 387523, 389023, 392606, 396150, 397456, 398564, 399201, 399492, 400015, 400399, 400948, 401311, 401879, 402980, 403769, 404152, 404896, 405425, 405927, 406591, 406925, 407128, 407621, 408062, 408791, 409704, 409781, 410764, 411328, 411396, 411918, 412782, 414554, 415364, 415926, 416139, 416396, 416809, 417784, 418631, 418990, 419530, 420964, 421268, 421592, 422117, 422477, 423393, 423525, 424011, 424897, 425839, 426542, 426931, 427439, 428345, 428786, 429522, 430633, 431565, 433621, 434697, 435259, 436419, 436479, 436652, 437002, 437151, 437864, 439367, 440901, 441723, 442465, 443097, 443365, 444003, 444716, 445014, 445281, 445782, 446880, 447806, 448022, 448204, 448452, 449037, 449806, 449842, 450222, 450629, 451117, 451371, 452031, 452372, 453133, 453879, 454551, 454708, 455321, 456301, 457793, 458177, 458708, 459342, 459917, 460399, 461237, 461675, 461788, 462407, 462848, 463541, 464079, 464484, 465000, 465350, 466279, 467133, 467294, 467982, 468447, 468745, 469084, 470331, 471442, 472262, 472988, 473754, 474411, 475127, 475940, 477040, 477669, 477904, 478728, 479558, 480063, 480267, 480371, 481159, 481445, 482034, 482737, 483055, 483377, 485108, 485420, 485940, 486317, 488054, 488446, 488888, 490035, 490830, 491186, 491517, 492163, 492670, 492848, 493285, 493638, 494707, 495517, 495943, 496146, 496469, 497052, 497563, 498047, 498690, 499107, 500274, 501458, 501734, 501981, 502364, 502826, 502966, 503021, 503493, 503619, 505401, 506930, 508193, 508285, 509300, 509347, 510404, 510783, 512049, 512640, 512980, 513529, 513839, 514248, 514650, 514806, 515607, 515805, 516285, 516467, 516624, 516774, 517289, 518143, 519427, 520219, 520694, 521503, 522866, 523569, 525196, 525922, 526035, 526428, 526901, 527338, 527827, 527984, 528834, 528904, 529834, 530704, 531713, 532160, 532387, 533191, 534505, 535284, 535845, 536037, 536703, 537605, 538841, 539118, 539555, 539773, 540429, 541031, 541705, 542311, 543454, 544542, 544767, 545383, 545934, 546344, 546850, 548341, 550057, 550850, 551348, 552237, 552852, 554267, 554927, 555694, 556370, 556990, 557343, 557818, 558043, 558308, 558421, 558709, 559229, 559490, 560246, 560978, 561338, 561614, 562187, 562479, 562656, 563005, 563462, 563999, 564347, 564844, 565437, 565682, 566128, 566948, 567846, 568629, 569172, 569814, 570124, 570710, 571263, 571868, 573377, 574445, 574742, 574972, 575090, 575679, 576106, 576297, 576939, 577682, 577982, 578434, 578764, 579349, 580425, 580688, 580937, 581482, 582052, 582726, 583241, 584073, 584546, 584756, 585669, 586358, 586844, 587281, 587638, 587687, 587893, 588462, 588851, 589110, 589670, 590010, 590545, 590998, 591228, 591670, 592193, 592658, 592828, 593122, 593565, 594624, 595593, 596365, 596779, 597249, 597513, 598908, 599304, 600011, 600573, 601278, 602228, 602766, 603285, 604988, 605315, 606140, 606563, 607937, 609045, 609870, 611124, 612755, 613684, 614188, 615119, 615522, 616400, 616789, 617584, 618054, 618713, 619207, 620392, 620647, 621847, 622776, 623605, 624265, 625030, 626538, 629378, 633078, 633271, 633758, 635372, 635895, 636909, 637592, 638796, 640069, 640832, 642388, 643571, 643970, 645687, 646289, 646472, 647181, 648182, 649630, 650708, 650953, 651446, 652397, 652828, 652970, 653219, 653679, 653874, 655354, 657005, 657922, 658294, 658341, 659294, 659874, 659992, 661244, 662365, 664397, 667069, 669118, 669244, 669458, 670885, 672725, 672915, 674294, 676702, 677726, 678328, 678722, 679562, 680286, 680871, 681758, 681888, 682273, 683171, 684512, 685255, 687158, 689657, 693413, 693722, 695631, 697700, 698947, 701158, 704065, 706740, 708714, 710566, 712612, 712696, 713205, 714177, 714931, 717265, 718679, 720281, 722281, 722567, 723995, 725549, 726920, 727668, 729407, 730977, 732210, 733252, 734087, 735428, 736019, 736105, 737087, 737244, 737744, 739089, 740048, 740872, 742286, 744456, 747383, 748004, 749445, 749647, 749968, 750785, 751720, 752414, 753047, 754093, 754606, 756711, 758183, 758649, 759174, 760001, 761270, 763187, 763715, 764429, 765965, 768086, 769586, 770770, 772041, 772251, 773319, 774212, 775205, 776929, 777442, 778291, 779675, 781347, 782148, 782557, 784365, 784631, 785117, 786760, 788794, 790497, 792294, 792626, 793013, 793555, 794703, 797381, 798327, 800014, 801381, 801566, 801777, 802221, 802820, 803620, 803901, 804378, 804852, 805927, 806793, 808103, 808710, 809401, 809827, 810132, 811792, 812452, 813321, 813633, 814592, 816252, 817348, 818308, 818402, 818816, 819338, 819966, 820232, 820835, 821472, 821651, 822378, 822811, 822960, 823321, 824454, 825833, 826151, 826470, 826885, 827395, 827553, 827820, 828157, 828881, 830048, 831000, 831797, 832668, 834070, 836479, 837608, 838676, 839251, 840322, 840870, 841162, 841613, 842783, 843809, 844513, 845355, 846088, 846468, 847559, 848700, 849493, 850540, 851146, 851625, 853522, 853989, 854957, 855661, 856225, 857769, 858400, 859231, 859549, 860158, 860609, 861708, 862181, 862408, 862920, 863864, 864656, 865242, 865501, 866171, 867304, 868494, 870043, 871911, 873114, 873297, 873949, 874394, 875211, 875919, 876521, 877240, 877980, 878323, 879315, 880132, 880714, 881465, 882291, 883107, 883569, 883921, 884256, 885259, 886523, 886806, 887660, 888206, 888690, 889123, 889297, 890118, 891051, 891492, 892181, 892693, 892852, 894675, 895504, 896195, 896597, 898156, 899494, 899759, 899985, 900343, 901444, 902019, 903202, 903565, 903734, 904669, 905441, 906239, 906928, 907905, 908281, 909174, 909655, 910130, 910551, 911129, 912618, 913916, 914744, 915656, 916072, 917712, 918520, 918790, 919336, 920094, 920836, 922172, 922867, 923832, 924741, 925974, 927576, 928137, 928729, 929520, 930385, 930990, 932727, 933531, 934329, 934797, 935260, 936107, 936480, 937602, 938626, 939023, 939624, 940256, 940539, 941422, 942665, 943485, 944080, 944220, 944567, 945480, 946382, 946422, 946623, 946826, 947245, 947598, 947904, 948270, 948408, 948539, 948764, 950111, 951039, 951428, 951667, 952003, 952880, 953957, 955018, 955626, 956875, 957343, 957878, 960027, 961188, 961523, 962343, 962814, 963560, 963860, 964616, 965203, 965852, 966139, 966602, 966831, 967257, 967583, 967729, 968351, 969172, 970543, 971300, 971904, 972639, 973477, 974446, 975318, 975406, 975514, 975875, 976787, 978164, 980207, 980777, 981296, 982659, 983077, 983852, 984834, 985293, 986262, 987199, 988147, 988885, 989340, 989739, 990286, 990664, 990896, 991232, 991737, 992690, 993511, 994349, 994430, 994694, 994943, 995158, 996198, 997001, 997358, 997916, 999000, 999491]"
7,sea_abrupt_1M_0,NB_EDDM_F,0.946994946994947,0.8800065740433556,00:02:21,46.76 KB,"[363, 217977, 218066, 218336, 220039, 220947, 222529, 243940, 243999, 252443, 252488, 253009, 422585, 422809, 424200, 424578, 607594, 820782, 820902, 821692]"
8,sea_abrupt_1M_0,NB_GMA_F,0.917012917012917,0.809413245280899,00:02:20,24.22 KB,[]
9,sea_abrupt_1M_0,NB_HDDMA_F,0.9511189511189512,0.8888437267297528,00:02:37,36.36 KB,"[21474, 202402, 404699, 600488, 800950, 821474]"
