,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,sea_gradual_1M_0,BOLE_basic_F,0.9801199801199801,0.956325944693492,00:14:04,145.6 MB,[]
1,sea_gradual_1M_0,BOLE_ADWIN_F,0.9465269465269466,0.881228971708775,00:23:14,0.99 MB,[]
2,sea_gradual_1M_0,BOLE_CUSUM_F,0.9835429835429835,0.9637080031727444,00:16:29,1.91 MB,[]
3,sea_gradual_1M_0,BOLE_DDM_F,0.9827789827789828,0.962015597873214,00:16:54,5.92 MB,[]
4,sea_gradual_1M_0,BOLE_ECDD_F,0.8833318833318833,0.7395963080056084,00:18:03,4.08 MB,[]
5,sea_gradual_1M_0,BOLE_EDDM_F,0.9832299832299832,0.9629692440008006,00:14:57,6.67 MB,[]
6,sea_gradual_1M_0,BOLE_GMA_F,0.9801199801199801,0.956325944693492,00:19:00,145.61 MB,[]
7,sea_gradual_1M_0,BOLE_HDDMA_F,0.8991518991518992,0.7749527404489934,00:20:45,2.94 MB,[]
8,sea_gradual_1M_0,BOLE_HDDMW_F,0.9276019276019276,0.8390617014226853,00:20:48,1.61 MB,[]
9,sea_gradual_1M_0,BOLE_PH_F,0.9939409939409939,0.9866454766284333,00:15:44,9.27 MB,[]
10,sea_gradual_1M_0,BOLE_RDDM_F,0.9496179496179497,0.8882910718332933,00:17:40,2.69 MB,[]
11,sea_gradual_1M_0,BOLE_STEPD_F,0.9061189061189061,0.7904449511095595,00:31:59,2.98 MB,[]
12,sea_gradual_1M_2,BOLE_basic_F,0.9798439798439799,0.9557433555592235,00:14:00,141.84 MB,[]
13,sea_gradual_1M_2,BOLE_ADWIN_F,0.9457389457389458,0.879651329684684,00:24:20,0.97 MB,[]
14,sea_gradual_1M_2,BOLE_CUSUM_F,0.9827449827449828,0.9619845961060179,00:17:12,1.68 MB,[]
15,sea_gradual_1M_2,BOLE_DDM_F,0.9776249776249776,0.9506287355583648,00:17:56,3.93 MB,[]
16,sea_gradual_1M_2,BOLE_ECDD_F,0.8832458832458833,0.7396392307915144,00:19:11,4 MB,[]
17,sea_gradual_1M_2,BOLE_EDDM_F,0.9826569826569826,0.9617575975033684,00:15:07,11.06 MB,[]
18,sea_gradual_1M_2,BOLE_GMA_F,0.9798439798439799,0.9557433555592235,00:19:07,141.86 MB,[]
19,sea_gradual_1M_2,BOLE_HDDMA_F,0.8986468986468986,0.7741181782376151,00:20:51,2.86 MB,[]
20,sea_gradual_1M_2,BOLE_HDDMW_F,0.9245899245899246,0.8323840865809655,00:20:49,1.79 MB,[]
21,sea_gradual_1M_2,BOLE_PH_F,0.9937889937889938,0.9863254366931864,00:16:02,9.52 MB,[]
22,sea_gradual_1M_2,BOLE_RDDM_F,0.9507439507439508,0.8908162896408567,00:17:58,2.36 MB,[]
23,sea_gradual_1M_2,BOLE_STEPD_F,0.9062889062889062,0.7910186507906235,00:31:48,2.96 MB,[]
24,sea_gradual_1M_4,BOLE_basic_F,0.9803239803239803,0.9565880719319835,00:14:20,141.01 MB,[]
25,sea_gradual_1M_4,BOLE_ADWIN_F,0.9462529462529462,0.8803694236904329,00:24:09,748.62 KB,[]
26,sea_gradual_1M_4,BOLE_CUSUM_F,0.9846459846459846,0.966087015224456,00:16:57,1.88 MB,[]
27,sea_gradual_1M_4,BOLE_DDM_F,0.9831399831399832,0.9627074041152819,00:17:36,5.09 MB,[]
28,sea_gradual_1M_4,BOLE_ECDD_F,0.8832918832918832,0.7385882516856054,00:19:11,4.02 MB,[]
29,sea_gradual_1M_4,BOLE_EDDM_F,0.9784189784189784,0.9522154153838083,00:15:07,7.45 MB,[]
30,sea_gradual_1M_4,BOLE_GMA_F,0.9803239803239803,0.9565880719319835,00:19:20,141.02 MB,[]
31,sea_gradual_1M_4,BOLE_HDDMA_F,0.8981168981168981,0.7719559406756391,00:20:51,2.9 MB,[]
32,sea_gradual_1M_4,BOLE_HDDMW_F,0.9276259276259277,0.8386389418759734,00:20:43,1.51 MB,[]
33,sea_gradual_1M_4,BOLE_PH_F,0.9931289931289932,0.9848145517461615,00:16:16,7.7 MB,[]
34,sea_gradual_1M_4,BOLE_RDDM_F,0.9470749470749471,0.8822826027766391,00:17:49,2.35 MB,[]
35,sea_gradual_1M_4,BOLE_STEPD_F,0.9057599057599057,0.7890156796818816,00:31:22,2.94 MB,[]
36,sea_gradual_1M_6,BOLE_basic_F,0.9823449823449824,0.9611363985866647,00:14:01,134.68 MB,[]
37,sea_gradual_1M_6,BOLE_ADWIN_F,0.9471559471559472,0.882620581320026,00:24:19,896.18 KB,[]
38,sea_gradual_1M_6,BOLE_CUSUM_F,0.9815929815929816,0.9594071719785335,00:17:12,1.74 MB,[]
