,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,sea_gradual_1M_0,BOLE_ADWIN_F,0.9465519465519465,0.8813659307803621,00:21:32,838.46 KB,[]
1,sea_gradual_1M_2,BOLE_ADWIN_F,0.9471679471679472,0.8828769590890991,00:21:05,777.33 KB,[]
2,sea_gradual_1M_4,BOLE_ADWIN_F,0.9468199468199469,0.881596165893913,00:22:25,875.17 KB,[]
3,sea_gradual_1M_6,BOLE_ADWIN_F,0.9465599465599466,0.8813433718080841,00:22:37,872.68 KB,[]
4,sea_gradual_1M_8,BOLE_ADWIN_F,0.9478439478439479,0.8840020197093362,00:22:36,812.18 KB,[]
5,sea_gradual_1M_10,BOLE_ADWIN_F,0.9465089465089465,0.8811361735537484,00:23:26,851.99 KB,[]
6,sea_gradual_1M_12,BOLE_ADWIN_F,0.9467329467329467,0.8818799982905613,00:24:01,791.81 KB,[]
7,sea_gradual_1M_14,BOLE_ADWIN_F,0.9465459465459466,0.8815988639682247,00:23:57,791.95 KB,[]
8,sea_gradual_1M_16,BOLE_ADWIN_F,0.9463819463819464,0.8812142590174551,00:22:32,947.11 KB,[]
9,sea_gradual_1M_18,BOLE_ADWIN_F,0.9461549461549461,0.8804978625554082,00:22:30,895.67 KB,[]
