,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,sea_gradual_1M_0,BOLE_DDM_F,0.9839559839559839,0.9646023858378543,00:16:09,8.56 MB,[]
1,sea_gradual_1M_2,BOLE_DDM_F,0.9795389795389795,0.9548931600416742,00:16:22,6.16 MB,[]
2,sea_gradual_1M_4,BOLE_DDM_F,0.9816529816529816,0.9593853748027946,00:16:04,5.56 MB,[]
3,sea_gradual_1M_6,BOLE_DDM_F,0.9799389799389799,0.9557073333465237,00:16:28,5.09 MB,[]
4,sea_gradual_1M_8,BOLE_DDM_F,0.9797029797029797,0.9551057767080254,00:16:36,4.81 MB,[]
5,sea_gradual_1M_10,BOLE_DDM_F,0.9820969820969822,0.9604577357384602,00:17:19,5.71 MB,[]
6,sea_gradual_1M_12,BOLE_DDM_F,0.981013981013981,0.9581295929410406,00:17:24,5.87 MB,[]
7,sea_gradual_1M_14,BOLE_DDM_F,0.9824759824759824,0.9614021156725359,00:16:52,9.29 MB,[]
8,sea_gradual_1M_16,BOLE_DDM_F,0.9825479825479826,0.9615501615111638,00:16:59,8 MB,[]
9,sea_gradual_1M_18,BOLE_DDM_F,0.9819259819259819,0.9601442659958881,00:16:03,7.07 MB,[]
