,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,sea_gradual_1M_0,BOLE_ECDD_F,0.8835938835938836,0.7402321864289972,00:14:32,4.1 MB,[]
1,sea_gradual_1M_2,BOLE_ECDD_F,0.8833828833828834,0.7400174959190231,00:14:35,4 MB,[]
2,sea_gradual_1M_4,BOLE_ECDD_F,0.8834768834768835,0.7390341194613277,00:14:38,4 MB,[]
3,sea_gradual_1M_6,BOLE_ECDD_F,0.8835368835368835,0.7399964255915545,00:14:37,4.07 MB,[]
4,sea_gradual_1M_8,BOLE_ECDD_F,0.8845878845878846,0.7419045879130839,00:14:32,4.03 MB,[]
5,sea_gradual_1M_10,BOLE_ECDD_F,0.8832078832078832,0.7390094177932041,00:14:30,4.05 MB,[]
6,sea_gradual_1M_12,BOLE_ECDD_F,0.8837308837308837,0.7407656308468119,00:14:30,4.06 MB,[]
7,sea_gradual_1M_14,BOLE_ECDD_F,0.8842838842838843,0.7422569516786521,00:14:16,4.04 MB,[]
8,sea_gradual_1M_16,BOLE_ECDD_F,0.8837808837808838,0.7411787039325031,00:14:09,4.07 MB,[]
9,sea_gradual_1M_18,BOLE_ECDD_F,0.8834308834308834,0.7400754061593526,00:14:11,3.98 MB,[]
