,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,sea_gradual_1M_0,BOLE_EDDM_F,0.9845019845019845,0.9657880255510156,00:13:57,11.56 MB,[]
1,sea_gradual_1M_2,BOLE_EDDM_F,0.975066975066975,0.9449794211815054,00:14:31,9.67 MB,[]
2,sea_gradual_1M_4,BOLE_EDDM_F,0.984036984036984,0.9646640710597929,00:14:11,11.53 MB,[]
3,sea_gradual_1M_6,BOLE_EDDM_F,0.9781199781199781,0.9516569824577985,00:14:08,9.19 MB,[]
4,sea_gradual_1M_8,BOLE_EDDM_F,0.9842229842229843,0.9651107422819594,00:13:57,18.95 MB,[]
5,sea_gradual_1M_10,BOLE_EDDM_F,0.9831259831259831,0.9627176353025992,00:14:15,11.86 MB,[]
6,sea_gradual_1M_12,BOLE_EDDM_F,0.9732209732209732,0.9408878043765468,00:15:14,9.49 MB,[]
7,sea_gradual_1M_14,BOLE_EDDM_F,0.9825319825319825,0.9614840256644864,00:15:05,8.6 MB,[]
8,sea_gradual_1M_16,BOLE_EDDM_F,0.9844899844899845,0.9658367403439445,00:14:41,10.44 MB,[]
9,sea_gradual_1M_18,BOLE_EDDM_F,0.980980980980981,0.9580120379980493,00:15:03,9.37 MB,[]
