,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,sea_gradual_1M_0,BOLE_HDDMA_F,0.8988728988728989,0.7743939314610591,00:19:20,2.9 MB,[]
1,sea_gradual_1M_2,BOLE_HDDMA_F,0.898053898053898,0.7727452734972661,00:19:09,3 MB,[]
2,sea_gradual_1M_4,BOLE_HDDMA_F,0.8983538983538983,0.7724420425847552,00:19:13,2.89 MB,[]
3,sea_gradual_1M_6,BOLE_HDDMA_F,0.8993108993108994,0.7752164493202528,00:20:29,2.98 MB,[]
4,sea_gradual_1M_8,BOLE_HDDMA_F,0.8995408995408996,0.775292610702513,00:20:41,3.01 MB,[]
5,sea_gradual_1M_10,BOLE_HDDMA_F,0.8987708987708988,0.7737879172510643,00:20:35,2.92 MB,[]
6,sea_gradual_1M_12,BOLE_HDDMA_F,0.8990738990738991,0.7750426467130408,00:19:19,2.89 MB,[]
7,sea_gradual_1M_14,BOLE_HDDMA_F,0.8992798992798993,0.7756517614435793,00:19:14,2.91 MB,[]
8,sea_gradual_1M_16,BOLE_HDDMA_F,0.8988818988818988,0.7749325423597035,00:19:07,2.93 MB,[]
9,sea_gradual_1M_18,BOLE_HDDMA_F,0.8985588985588986,0.7738833426180707,00:19:02,2.93 MB,[]
