,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,sea_gradual_1M_0,BOLE_KSWIN1_F,0.9555789555789556,0.9016136279027512,01:03:35,1.38 MB,[]
1,sea_gradual_1M_0,BOLE_KSWIN51_F,0.9555309555309556,0.9015421694321554,01:03:20,1.35 MB,[]
2,sea_gradual_1M_0,BOLE_KSWIN101_F,0.9564179564179565,0.9035886281341238,01:04:19,1.14 MB,[]
3,sea_gradual_1M_0,BOLE_KSWIN151_F,0.9544289544289545,0.899080121146095,01:09:04,1.13 MB,[]
4,sea_gradual_1M_0,BOLE_KSWIN201_F,0.9543339543339543,0.8989148369454463,01:12:40,1.53 MB,[]
5,sea_gradual_1M_2,BOLE_KSWIN1_F,0.9576449576449576,0.9064103640976638,01:10:21,1.16 MB,[]
6,sea_gradual_1M_2,BOLE_KSWIN51_F,0.9568289568289569,0.9045127354714783,01:09:56,1.42 MB,[]
7,sea_gradual_1M_2,BOLE_KSWIN101_F,0.9555779555779556,0.901685031799889,01:08:25,1.24 MB,[]
8,sea_gradual_1M_2,BOLE_KSWIN151_F,0.9573159573159573,0.9055643196990024,01:08:50,1.18 MB,[]
9,sea_gradual_1M_2,BOLE_KSWIN201_F,0.9541829541829542,0.8987014056036049,01:09:02,1.2 MB,[]
10,sea_gradual_1M_4,BOLE_KSWIN1_F,0.9554329554329555,0.9010197887868072,01:07:23,1.22 MB,[]
11,sea_gradual_1M_4,BOLE_KSWIN51_F,0.9589829589829589,0.9089258857264622,01:07:47,1.17 MB,[]
12,sea_gradual_1M_4,BOLE_KSWIN101_F,0.956104956104956,0.90264152111555,01:08:53,1.5 MB,[]
13,sea_gradual_1M_4,BOLE_KSWIN151_F,0.9573659573659574,0.9053730797624839,01:06:58,1.93 MB,[]
14,sea_gradual_1M_4,BOLE_KSWIN201_F,0.9525239525239525,0.8945637874850124,01:07:38,1.42 MB,[]
15,sea_gradual_1M_6,BOLE_KSWIN1_F,0.9561549561549562,0.9028990318450363,01:07:05,1.25 MB,[]
16,sea_gradual_1M_6,BOLE_KSWIN51_F,0.9567619567619567,0.9042829678350119,01:10:21,1.6 MB,[]
17,sea_gradual_1M_6,BOLE_KSWIN101_F,0.9596629596629597,0.9107420612265238,01:00:11,2.15 MB,[]
18,sea_gradual_1M_6,BOLE_KSWIN151_F,0.9573549573549573,0.9055950074826176,01:00:14,1.9 MB,[]
19,sea_gradual_1M_6,BOLE_KSWIN201_F,0.956086956086956,0.9027586535326078,01:00:55,1.51 MB,[]
20,sea_gradual_1M_8,BOLE_KSWIN1_F,0.957019957019957,0.9047271937390463,01:01:26,1.4 MB,[]
21,sea_gradual_1M_8,BOLE_KSWIN51_F,0.9566669566669567,0.9038959079605231,01:01:40,1.51 MB,[]
22,sea_gradual_1M_8,BOLE_KSWIN101_F,0.9624599624599625,0.9167753980001379,01:00:17,2.01 MB,[]
23,sea_gradual_1M_8,BOLE_KSWIN151_F,0.9576719576719577,0.9061954222506622,01:02:53,1.25 MB,[]
24,sea_gradual_1M_8,BOLE_KSWIN201_F,0.9576009576009576,0.9060164250429462,01:07:35,1.54 MB,[]
25,sea_gradual_1M_10,BOLE_KSWIN1_F,0.955011955011955,0.9003402649790798,01:06:21,1.41 MB,[]
26,sea_gradual_1M_10,BOLE_KSWIN51_F,0.9570599570599571,0.9048365500736568,01:03:58,1.26 MB,[]
27,sea_gradual_1M_10,BOLE_KSWIN101_F,0.9571989571989572,0.9051908554511142,01:05:44,1.35 MB,[]
28,sea_gradual_1M_10,BOLE_KSWIN151_F,0.965015965015965,0.9226288055578201,01:05:02,1.15 MB,[]
29,sea_gradual_1M_10,BOLE_KSWIN201_F,0.9536139536139536,0.8971600138262361,01:06:50,1.31 MB,[]
30,sea_gradual_1M_12,BOLE_KSWIN1_F,0.9557449557449558,0.9020985195365213,01:08:21,1.38 MB,[]
31,sea_gradual_1M_12,BOLE_KSWIN51_F,0.9557469557469558,0.9021016335832408,01:05:09,1.16 MB,[]
32,sea_gradual_1M_12,BOLE_KSWIN101_F,0.9576709576709577,0.9064149841958736,01:06:05,1.17 MB,[]
33,sea_gradual_1M_12,BOLE_KSWIN151_F,0.9572549572549572,0.9054382015356242,01:04:49,1.18 MB,[]
34,sea_gradual_1M_12,BOLE_KSWIN201_F,0.9577059577059577,0.9065569280512815,01:02:32,1.8 MB,[]
35,sea_gradual_1M_14,BOLE_KSWIN1_F,0.9636959636959637,0.919826274471833,01:00:26,2.08 MB,[]
36,sea_gradual_1M_14,BOLE_KSWIN51_F,0.9584359584359584,0.9082490209785633,01:01:52,1.3 MB,[]
37,sea_gradual_1M_14,BOLE_KSWIN101_F,0.9581939581939581,0.9077810173217955,01:01:39,1.26 MB,[]
38,sea_gradual_1M_14,BOLE_KSWIN151_F,0.9565809565809565,0.9041741145357096,01:12:28,1.2 MB,[]
39,sea_gradual_1M_14,BOLE_KSWIN201_F,0.9591459591459591,0.9097287139456842,01:06:29,1.19 MB,[]
40,sea_gradual_1M_16,BOLE_KSWIN1_F,0.9575389575389576,0.9062383518768125,01:07:17,1.19 MB,[]
41,sea_gradual_1M_16,BOLE_KSWIN51_F,0.9571709571709571,0.9054367885531552,01:08:15,1.95 MB,[]
42,sea_gradual_1M_16,BOLE_KSWIN101_F,0.9533359533359533,0.8968933649953,01:09:59,1.2 MB,[]
43,sea_gradual_1M_16,BOLE_KSWIN151_F,0.9534499534499534,0.8971991976942966,01:10:40,1.3 MB,[]
44,sea_gradual_1M_16,BOLE_KSWIN201_F,0.9591049591049591,0.909653905221803,01:10:42,1.55 MB,[]
45,sea_gradual_1M_18,BOLE_KSWIN1_F,0.9565859565859566,0.9040863212859138,01:10:56,1.56 MB,[]
46,sea_gradual_1M_18,BOLE_KSWIN51_F,0.9545619545619546,0.8995449204781507,01:15:30,1.2 MB,[]
47,sea_gradual_1M_18,BOLE_KSWIN101_F,0.9643769643769644,0.9213292619460764,01:16:09,1.3 MB,[]
48,sea_gradual_1M_18,BOLE_KSWIN151_F,0.9587429587429588,0.9087968221493403,01:15:06,1.44 MB,[]
49,sea_gradual_1M_18,BOLE_KSWIN201_F,0.9576399576399577,0.9063741073028772,01:14:30,1.73 MB,[]
