,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,sea_gradual_1M_0,BOLE_RDDM_F,0.9492089492089492,0.8873361724219302,00:17:42,2.52 MB,[]
1,sea_gradual_1M_2,BOLE_RDDM_F,0.9458849458849459,0.8799922153020007,00:17:37,2.12 MB,[]
2,sea_gradual_1M_4,BOLE_RDDM_F,0.9467869467869467,0.8815898107065173,00:17:09,2.23 MB,[]
3,sea_gradual_1M_6,BOLE_RDDM_F,0.9432649432649433,0.8740334588178701,00:16:26,2.52 MB,[]
4,sea_gradual_1M_8,BOLE_RDDM_F,0.9467049467049468,0.8814973466888025,00:16:44,2.19 MB,[]
5,sea_gradual_1M_10,BOLE_RDDM_F,0.9502099502099502,0.8894497477948916,00:16:22,2.44 MB,[]
6,sea_gradual_1M_12,BOLE_RDDM_F,0.9461409461409461,0.8806216918246769,00:16:07,2.48 MB,[]
7,sea_gradual_1M_14,BOLE_RDDM_F,0.9537979537979538,0.8977902779683042,00:14:51,2.52 MB,[]
8,sea_gradual_1M_16,BOLE_RDDM_F,0.9461609461609461,0.8808374252101449,00:14:45,2.63 MB,[]
9,sea_gradual_1M_18,BOLE_RDDM_F,0.9518919518919519,0.8934347995944765,00:14:37,2.77 MB,[]
