,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,sea_gradual_1M_0,BOLE_STEPD_F,0.9061649061649062,0.7905652438783974,00:24:10,3.01 MB,[]
1,sea_gradual_1M_2,BOLE_STEPD_F,0.9058429058429058,0.7901287737319618,00:24:02,3.16 MB,[]
2,sea_gradual_1M_4,BOLE_STEPD_F,0.9057609057609057,0.7890413266724565,00:23:51,2.99 MB,[]
3,sea_gradual_1M_6,BOLE_STEPD_F,0.9063699063699063,0.7909612905437348,00:23:41,3.08 MB,[]
4,sea_gradual_1M_8,BOLE_STEPD_F,0.9063949063949064,0.7906581473186242,00:23:42,2.93 MB,[]
5,sea_gradual_1M_10,BOLE_STEPD_F,0.9061319061319061,0.7902611247493688,00:23:44,3.02 MB,[]
6,sea_gradual_1M_12,BOLE_STEPD_F,0.9061129061129061,0.7907336625991331,00:23:25,3.05 MB,[]
7,sea_gradual_1M_14,BOLE_STEPD_F,0.9068519068519069,0.7925675034691939,00:23:24,3.04 MB,[]
8,sea_gradual_1M_16,BOLE_STEPD_F,0.9068279068279068,0.7925700941668399,00:23:23,2.96 MB,[]
9,sea_gradual_1M_18,BOLE_STEPD_F,0.9057809057809058,0.7899565869178341,00:23:20,3.01 MB,[]
