,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,sea_gradual_1M_0,HT_basic_F,0.9397039397039397,0.8675642615464636,00:01:16,2.93 MB,[]
1,sea_gradual_1M_0,HT_ADWIN_F,0.9493389493389494,0.8864914514792857,00:02:20,41.21 KB,"[8767, 15935, 23103, 29759, 36671, 44863, 50911, 58047, 65215, 72447, 79103, 86239, 93631, 100927, 105375, 112543, 121759, 128447, 134591, 141247, 150463, 160607, 167263, 174431, 181119, 187295, 194079, 203967, 207551, 217791, 225631, 237023, 244767, 251935, 266015, 276319, 283487, 284703, 291679, 298847, 315231, 324447, 331359, 338015, 345183, 354399, 363903, 373407, 380063, 387839, 400991, 410207, 417375, 425087, 432255, 438399, 445567, 452735, 459391, 466047, 473055, 479775, 481311, 489311, 496479, 504671, 511839, 519519, 526687, 532767, 539039, 546207, 552863, 560031, 567071, 573727, 582239, 591551, 598879, 600639, 610111, 613375, 627711, 635711, 643871, 648479, 657663, 664831, 665919, 666879, 683135, 694943, 703775, 708383, 714015, 721695, 728415, 745055, 753183, 758175, 765855, 773023, 790687, 795295, 796063, 800031, 809247, 816351, 825567, 834783, 836319, 843903, 850559, 857727, 864895, 872511, 879167, 885823, 892991, 899231, 899679, 908447, 908959, 917023, 924191, 930847, 938015, 945471, 952735, 959903, 967583, 975455, 982623, 990303, 997471]"
2,sea_gradual_1M_0,HT_CUSUM_F,0.9873439873439873,0.9720856586263452,00:01:38,622.54 KB,"[200940, 400392, 600328, 800592]"
3,sea_gradual_1M_0,HT_DDM_F,0.9871089871089871,0.9715768433713965,00:01:38,607.65 KB,"[201573, 202126, 205623, 208532, 400656, 403411, 600528, 800985]"
4,sea_gradual_1M_0,HT_ECDD_F,0.9376199376199377,0.8611721444252729,00:01:51,98.02 KB,"[655, 1566, 2788, 3617, 4209, 5933, 6793, 7075, 7773, 8103, 8850, 9203, 9702, 10500, 11598, 12452, 13321, 14592, 16252, 17348, 18308, 18539, 18816, 19338, 20542, 20835, 21268, 21473, 21688, 22378, 22811, 22960, 23527, 24454, 24991, 25833, 26717, 27553, 27820, 28157, 28884, 30048, 31000, 31797, 32668, 33583, 34070, 34349, 34565, 36479, 37417, 37608, 38676, 39251, 40322, 40870, 41287, 41613, 42783, 43809, 44513, 45355, 46175, 47559, 48700, 50066, 51148, 51623, 53522, 53989, 54722, 55211, 55660, 55774, 56369, 56844, 57042, 57386, 57769, 58177, 59295, 60918, 62012, 62374, 62920, 64010, 64656, 65242, 65566, 66172, 66830, 67337, 67640, 68497, 69873, 71911, 73297, 73976, 74394, 75211, 75919, 76521, 77980, 79315, 80132, 81249, 81470, 82191, 83107, 83921, 85258, 86519, 86891, 87663, 88206, 88860, 90263, 91051, 91492, 92181, 92693, 93315, 94676, 95504, 95881, 96597, 98156, 99494, 100343, 102019, 103202, 103826, 104669, 104954, 105441, 106491, 107025, 107665, 108105, 109174, 109844, 110128, 111160, 112130, 113231, 113914, 114386, 114746, 115531, 116410, 116639, 117712, 118571, 119336, 120094, 120836, 122172, 122867, 123833, 124741, 125974, 127576, 127890, 128399, 128732, 129520, 129755, 130387, 130990, 132183, 133105, 134576, 134798, 135636, 136107, 137643, 138448, 139619, 140256, 140539, 141422, 142665, 143485, 144080, 145570, 146382, 146865, 147458, 147904, 148270, 148408, 148539, 149021, 149498, 150111, 151348, 152003, 152880, 153957, 155018, 155626, 156875, 157456, 157878, 160027, 161188, 161523, 162343, 162814, 163654, 164475, 165203, 165947, 166139, 166602, 166833, 167257, 167729, 168351, 169083, 170662, 171428, 171622, 171882, 172639, 173551, 174446, 176178, 176787, 178164, 179806, 180528, 181405, 183077, 183852, 184834, 185293, 186262, 186824, 187176, 188054, 188887, 189340, 189737, 190392, 190787, 191151, 191737, 192640, 193896, 194349, 194782, 196198, 196513, 197001, 197334, 197916, 199000, 199493, 199925, 200965, 201836, 202872, 203482, 203883, 204790, 205245, 205574, 206719, 207289, 208009, 209054, 209943, 210725, 212058, 212506, 214615, 215650, 215989, 217466, 218500, 220190, 221924, 223369, 223630, 224248, 224951, 225123, 225542, 226553, 229055, 230318, 230798, 231587, 233341, 234556, 236004, 236106, 236886, 238465, 239345, 240469, 241981, 242654, 242797, 243241, 243404, 244068, 244870, 245651, 246385, 246809, 247189, 248413, 249688, 250997, 252025, 253024, 253518, 254011, 255421, 256408, 256715, 256972, 257655, 258308, 259519, 260143, 260518, 261358, 261902, 263745, 265691, 266867, 268884, 270435, 270818, 271286, 271901, 272469, 273393, 274824, 275899, 276640, 277740, 279418, 281491, 282390, 283092, 284271, 284802, 286902, 290209, 292116, 294420, 295644, 296805, 297298, 298209, 299692, 300613, 301984, 303112, 303413, 303840, 304997, 306073, 307196, 308361, 309221, 309875, 310768, 312091, 313459, 314801, 314904, 315497, 315813, 316254, 317454, 318510, 319923, 321772, 322726, 323543, 325154, 326124, 326840, 330889, 331869, 332007, 332702, 333538, 334017, 334550, 334827, 335475, 336612, 337632, 338421, 338885, 339620, 340061, 340949, 343704, 345326, 346083, 346597, 347790, 349280, 350370, 351063, 351935, 353070, 354045, 354586, 355024, 355450, 356970, 358697, 359721, 360560, 361617, 362816, 364273, 365498, 366507, 366950, 367942, 369421, 370729, 371828, 371979, 372478, 373162, 375202, 375625, 376662, 377614, 378087, 378784, 379765, 380940, 381842, 382064, 383073, 384638, 385132, 386052, 387538, 389200, 392413, 393326, 393902, 394838, 396256, 397653, 398399, 399443, 399934, 400976, 401233, 401907, 403008, 403583, 403804, 404182, 404686, 405150, 405453, 405679, 406619, 406953, 407150, 407649, 408090, 408819, 409357, 409707, 410792, 411769, 412198, 413043, 414738, 415323, 416167, 416837, 417812, 418672, 419018, 419558, 420992, 422502, 422826, 424138, 424926, 425867, 426570, 426959, 428399, 428945, 429318, 429794, 430661, 431593, 433649, 434725, 435477, 436179, 436447, 436801, 437179, 437892, 438683, 439395, 440348, 440929, 441936, 442843, 443056, 443580, 444194, 445042, 445835, 446908, 447834, 449065, 450250, 451145, 451399, 452059, 452400, 453161, 453907, 454579, 454736, 455349, 456442, 457824, 458205, 458736, 459370, 459945, 460427, 461265, 461703, 461816, 462435, 462876, 463569, 464107, 465378, 466202, 467161, 468010, 468773, 469112, 470359, 471166, 471435, 471832, 472227, 472627, 473016, 473244, 473782, 474439, 474795, 475155, 475968, 477043, 477721, 478432, 478756, 479586, 481187, 482062, 482519, 482765, 483403, 483948, 484743, 485042, 485968, 487292, 488082, 488916, 490063, 491170, 492191, 492879, 493313, 493671, 493762, 494325, 494846, 495555, 495971, 496174, 497080, 498075, 499165, 500302, 501486, 501990, 502992, 503519, 504107, 505443, 506614, 507117, 507524, 508217, 508728, 510334, 510811, 512077, 512668, 513557, 513871, 514144, 514678, 515910, 516495, 516652, 516802, 517319, 518171, 519779, 520122, 520244, 520722, 521037, 521531, 522894, 523371, 523864, 524654, 525398, 526237, 527366, 527825, 528012, 528862, 529061, 529862, 530159, 530330, 530685, 531019, 531741, 532069, 532415, 533219, 534533, 534942, 535367, 535873, 536634, 537013, 537633, 539992, 540482, 541051, 541733, 541820, 542683, 543667, 544540, 545287, 546193, 546939, 547846, 548483, 548602, 548829, 549876, 550878, 551376, 553144, 553762, 554317, 554482, 554822, 555749, 556234, 556609, 556830, 557371, 558071, 558779, 558928, 559257, 559518, 560274, 561006, 561523, 562853, 563707, 564872, 565344, 566156, 566976, 567874, 568657, 569200, 569855, 570152, 570721, 570788, 571168, 571391, 571896, 573745, 574473, 574773, 575113, 575707, 576134, 576325, 576967, 578462, 578945, 579384, 580453, 580965, 581510, 582080, 582408, 582769, 583269, 583641, 584151, 584552, 584784, 585697, 586872, 587921, 588490, 589138, 590272, 591069, 591256, 591581, 592221, 592686, 592855, 592900, 593593, 594167, 594652, 595621, 596393, 597515, 598141, 598250, 598841, 599344, 599918, 600390, 601320, 602808, 603646, 605311, 605501, 606182, 607979, 608530, 609220, 609912, 611166, 612797, 614228, 615161, 615562, 616442, 616831, 617626, 618460, 620434, 621190, 622163, 622330, 622428, 622819, 623647, 624307, 625072, 626581, 629420, 632773, 633337, 633800, 635414, 635937, 636951, 637634, 638838, 640111, 640884, 642430, 643613, 644096, 645729, 647622, 649180, 650749, 651720, 652467, 652871, 653916, 655867, 656835, 657616, 657965, 659336, 660769, 662407, 664346, 664728, 664948, 667111, 669160, 669411, 670667, 670830, 671376, 671889, 672344, 673376, 674797, 675594, 677743, 679251, 680913, 682544, 683646, 684477, 686421, 687849, 689699, 691060, 692104, 693455, 694740, 696949, 697311, 698101, 699928, 700463, 701200, 704107, 705382, 706256, 708071, 710524, 711276, 711989, 713257, 715154, 717122, 718722, 719951, 720417, 722069, 723069, 724207, 725630, 726229, 727043, 727817, 728098, 728777, 729154, 730062, 730483, 731233, 732252, 733294, 734129, 734753, 735470, 736298, 737142, 737467, 738186, 738468, 739131, 739650, 740154, 740914, 742328, 744498, 747703, 748048, 749487, 749690, 750010, 750827, 750935, 752311, 753404, 754647, 756753, 757875, 758691, 759216, 760039, 761346, 762586, 763756, 766007, 766997, 767177, 767951, 768129, 768391, 769301, 770812, 770981, 771856, 772918, 773295, 774254, 775247, 776039, 777484, 778113, 778333, 779259, 779717, 780245, 780391, 781077, 781823, 784407, 785164, 786350, 787253, 788836, 790539, 792113, 792659, 794390, 794768, 797423, 798369, 799963, 801460, 801956, 802841, 803737, 803977, 804434, 804908, 805983, 806849, 807417, 808159, 808906, 809457, 809532, 809883, 810556, 811654, 812505, 813377, 813689, 814648, 816308, 817256, 818364, 818595, 818872, 819394, 820022, 820598, 820891, 821324, 821529, 821744, 822434, 822867, 823016, 823583, 824510, 825047, 825889, 826773, 827609, 827876, 828213, 828940, 830104, 831056, 831853, 832724, 833639, 834126, 834405, 834621, 836535, 837473, 837664, 838732, 839307, 840378, 840926, 841343, 841669, 842839, 843865, 844569, 845411, 846231, 847615, 848756, 850122, 851204, 851679, 853578, 854045, 854778, 855267, 855716, 855830, 856425, 856900, 857098, 857442, 857825, 858233, 859351, 860974, 862068, 862430, 862976, 864066, 864712, 865298, 865622, 866228, 866886, 867393, 867696, 868553, 869929, 871967, 873353, 874032, 874450, 875267, 875975, 876577, 878036, 879371, 880188, 881305, 881526, 882247, 883163, 883977, 885314, 886575, 886947, 887719, 888262, 888916, 890319, 891107, 891548, 892237, 892749, 893371, 894732, 895560, 895937, 896653, 898212, 899550, 900399, 902075, 903258, 903882, 904725, 905010, 905497, 906547, 907081, 907721, 908161, 909230, 909900, 910184, 911216, 912186, 913287, 913970, 914442, 914802, 915587, 916466, 916695, 917768, 918627, 919392, 920150, 920892, 922228, 922923, 923889, 924797, 926030, 927632, 927946, 928455, 928788, 929576, 929811, 930443, 931046, 932239, 933161, 934632, 934854, 935692, 936163, 937699, 938504, 939675, 940312, 940595, 941478, 942721, 943541, 944136, 945626, 946438, 946921, 947514, 947960, 948326, 948464, 948595, 949077, 949554, 950167, 951404, 952059, 952936, 954013, 955074, 955682, 956931, 957512, 957934, 960083, 961244, 961579, 962399, 962870, 963710, 964531, 965259, 966003, 966195, 966658, 966889, 967313, 967785, 968407, 969139, 970718, 971484, 971678, 971938, 972695, 973607, 974502, 976234, 976843, 978220, 979862, 980584, 981461, 983133, 983908, 984890, 985349, 986318, 986880, 987232, 988110, 988943, 989396, 989793, 990448, 990843, 991207, 991793, 992696, 993952, 994405, 994838, 996254, 996569, 997057, 997390, 997972, 999056, 999547]"
5,sea_gradual_1M_0,HT_EDDM_F,0.9816239816239817,0.9594366648870479,00:01:30,580.73 KB,"[358, 3939, 3996, 209189, 209304, 209943, 210827, 212622, 214951, 215009, 404151, 603484, 805370, 805525, 806002, 806424, 807155, 810948, 811008, 811850, 814087, 815092, 815936, 819767, 824361, 825722, 829561, 832979, 833119, 834649, 838197, 839460, 843142, 843220]"
6,sea_gradual_1M_0,HT_GMA_F,0.9397039397039397,0.8675642615464636,00:01:35,2.93 MB,[]
7,sea_gradual_1M_0,HT_HDDMA_F,0.9868589868589869,0.9710124159295065,00:01:51,565.67 KB,"[201115, 400456, 600330, 800507]"
8,sea_gradual_1M_0,HT_HDDMW_F,0.9683679683679683,0.9302891649480418,00:01:49,1.94 MB,[415441]
9,sea_gradual_1M_0,HT_KSWIN1_F,0.9397039397039397,0.8675642615464636,00:05:40,2.93 MB,[]
