,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,sea_gradual_20K_0,NoChange_basic_F,0.5567778388919445,0.027122639386687478,00:00:00,531 B,[]
1,sea_gradual_20K_0,MajClass_basic_F,0.6489324466223311,5.4764017681510904e-05,00:00:00,637 B,[]
2,sea_gradual_20K_0,NB_basic_F,0.9140957047852393,0.8034934098711775,00:00:01,21.68 KB,[]
3,sea_gradual_20K_0,NB_ADWIN_F,0.935996799839992,0.8572900055126721,00:00:03,31.48 KB,"[4703, 12895]"
4,sea_gradual_20K_0,NB_BOCD_F,0.9371968598429922,0.860003036837562,00:30:32,934.21 MB,"[5211, 12176]"
5,sea_gradual_20K_0,NB_CUSUM_F,0.9389469473473674,0.8641794809842683,00:00:02,23.89 KB,"[4646, 12424]"
6,sea_gradual_20K_0,NB_DDM_F,0.9208460423021151,0.8203618321710107,00:00:02,45.11 KB,"[4420, 12169]"
7,sea_gradual_20K_0,NB_ECDD_F,0.9290964548227412,0.84235462588065,00:00:02,26.19 KB,"[655, 1381, 1566, 1777, 2221, 2820, 3623, 3912, 5094, 5367, 6025, 6405, 6851, 7461, 7767, 8516, 9150, 9372, 9865, 10966, 11542, 11902, 12204, 13257, 14745, 15264, 16162, 16664, 17353, 17872, 18193, 18760, 19030, 19654, 19893]"
8,sea_gradual_20K_0,NB_EDDM_F,0.9370468523426171,0.8581940341544975,00:00:02,35.65 KB,"[363, 4047, 8512, 11963, 16618]"
9,sea_gradual_20K_0,NB_GMA_F,0.9140957047852393,0.8034934098711775,00:00:02,23.79 KB,[]
10,sea_gradual_20K_0,NB_HDDMA_F,0.9396969848492425,0.8659502620814532,00:00:02,25.13 KB,"[4651, 12264]"
11,sea_gradual_20K_0,NB_HDDMW_F,0.9140957047852393,0.8034934098711775,00:00:02,37.1 KB,[]
12,sea_gradual_20K_0,NB_KSWIN1_F,0.9140957047852393,0.8034934098711775,00:00:07,24.73 KB,[]
13,sea_gradual_20K_0,NB_KSWIN51_F,0.9140957047852393,0.8034934098711775,00:00:07,24.73 KB,[]
14,sea_gradual_20K_0,NB_KSWIN101_F,0.9140957047852393,0.8034934098711775,00:00:07,24.73 KB,[]
15,sea_gradual_20K_0,NB_KSWIN151_F,0.9140957047852393,0.8034934098711775,00:00:07,24.73 KB,[]
16,sea_gradual_20K_0,NB_KSWIN201_F,0.9140957047852393,0.8034934098711775,00:00:07,24.73 KB,[]
