,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,sea_gradual_50K_0,NoChange_basic_F,0.5569311386227724,0.02616705455751268,00:00:01,739 B,[]
1,sea_gradual_50K_0,MajClass_basic_F,0.6499929998599971,2.288679107179672e-05,00:00:01,845 B,[]
2,sea_gradual_50K_0,HT_basic_F,0.9328386567731355,0.8503130515955127,00:00:03,424.85 KB,[]
3,sea_gradual_50K_0,HT_ADWIN_F,0.9417588351767036,0.8697690114198887,00:00:07,36.44 KB,"[8767, 14399, 20511, 27167, 30463, 40959, 49119]"
4,sea_gradual_50K_0,HT_BOCD_F,0.9449988999779996,0.8775235163025839,01:27:51,268.42 MB,"[7568, 12997, 19295, 26054, 30298, 38279, 45807]"
5,sea_gradual_50K_0,HT_CUSUM_F,0.9458589171783436,0.8795207175444151,00:00:04,116.85 KB,"[11572, 20466, 30383, 40729]"
6,sea_gradual_50K_0,HT_DDM_F,0.9401588031760635,0.8657986343948508,00:00:04,131.55 KB,"[11162, 11195, 14882, 14913, 18774, 20233, 23781, 26799, 29919, 41288, 41502]"
7,sea_gradual_50K_0,HT_ECDD_F,0.9353587071741435,0.8561720560668488,00:00:04,34.25 KB,"[655, 1566, 2788, 3617, 4209, 5933, 6793, 7075, 7773, 8103, 8850, 9203, 9913, 10434, 11085, 11806, 13452, 14227, 14760, 16553, 17448, 18051, 18474, 19078, 19901, 21119, 22948, 23737, 24122, 24626, 24864, 25325, 25676, 26377, 26891, 27133, 27589, 28030, 28759, 29297, 29649, 29879, 32177, 34202, 35030, 36092, 36515, 37889, 39863, 40127, 41317, 41501, 41836, 42721, 43556, 44145, 45869, 46347, 46729, 46820, 48039, 49337, 49970]"
8,sea_gradual_50K_0,HT_EDDM_F,0.9432588651773035,0.8739906557365429,00:00:03,180.33 KB,"[358, 3939, 3996, 22141, 22280, 23194, 27139, 27756, 28146, 30009, 33803, 35221, 35437, 39155]"
9,sea_gradual_50K_0,HT_GMA_F,0.9328386567731355,0.8503130515955127,00:00:04,426.63 KB,[]
10,sea_gradual_50K_0,HT_HDDMA_F,0.9478789575791516,0.8838219375999125,00:00:05,132.08 KB,"[20623, 30177, 41044]"
11,sea_gradual_50K_0,HT_HDDMW_F,0.9435988719774395,0.8758198650971627,00:00:05,282.23 KB,[31110]
12,sea_gradual_50K_0,HT_KSWIN1_F,0.9328386567731355,0.8503130515955127,00:00:16,427.51 KB,[]
13,sea_gradual_50K_0,HT_KSWIN51_F,0.9328386567731355,0.8503130515955127,00:00:16,427.51 KB,[]
14,sea_gradual_50K_0,HT_KSWIN101_F,0.9328386567731355,0.8503130515955127,00:00:17,427.51 KB,[]
15,sea_gradual_50K_0,HT_KSWIN151_F,0.9328386567731355,0.8503130515955127,00:00:16,427.51 KB,[]
16,sea_gradual_50K_0,HT_KSWIN201_F,0.9328386567731355,0.8503130515955127,00:00:17,427.51 KB,[]
17,sea_gradual_50K_0,HT_PH_F,0.9436988739774795,0.8760580574972544,00:00:04,278.71 KB,[31100]
18,sea_gradual_50K_0,HT_RDDM_F,0.9462189243784875,0.8796758547857504,00:00:05,197.7 KB,"[10604, 20278, 20566, 23875, 26052, 26451, 27748, 28002, 29936, 40796, 41340, 41502]"
19,sea_gradual_50K_0,HT_STEPD_F,0.9464389287785756,0.879209554755367,00:00:10,67.66 KB,"[2830, 5953, 6368, 7099, 9729, 10437, 12059, 14119, 17527, 19292, 19921, 23284, 23750, 27144, 29302, 29362, 29422, 30297, 33608, 36983, 39140, 39883, 41340, 41712, 42967, 46304, 47035, 48045, 49361, 49464]"
20,sea_gradual_50K_2,NoChange_basic_F,0.5676513530270605,0.047326397077946655,00:00:00,731 B,[]
21,sea_gradual_50K_2,MajClass_basic_F,0.6518730374607492,0.0001942164162708079,00:00:01,837 B,[]
22,sea_gradual_50K_2,HT_basic_F,0.9317186343726874,0.8473496053538144,00:00:03,414.1 KB,[]
23,sea_gradual_50K_2,HT_ADWIN_F,0.9441588831776635,0.8746536199905541,00:00:06,36.97 KB,"[6655, 16671, 23839, 29983, 30943, 35039, 40383, 48479]"
24,sea_gradual_50K_2,HT_BOCD_F,0.9437588751775036,0.8735936261171969,01:17:16,79.32 MB,"[6344, 12784, 20145, 27004, 30259, 35941, 40271, 47721]"
25,sea_gradual_50K_2,HT_CUSUM_F,0.9516190323806476,0.8919785304325862,00:00:04,126.66 KB,"[11073, 20621, 30322, 40599]"
26,sea_gradual_50K_2,HT_DDM_F,0.9414388287765756,0.8689376964204633,00:00:05,151.69 KB,"[3856, 7587, 7618, 10546, 22323, 22354, 30276, 32516, 32548, 34587, 37849, 40525, 40666]"
27,sea_gradual_50K_2,HT_ECDD_F,0.9349386987739755,0.8551721832602276,00:00:05,47.29 KB,"[324, 1368, 2016, 2329, 2936, 3915, 5441, 6356, 7584, 8184, 8676, 9657, 10271, 10674, 11587, 11774, 13557, 15101, 15867, 17239, 17832, 18491, 19243, 20145, 21751, 22578, 22660, 24557, 24869, 25129, 26225, 26935, 27570, 27986, 28831, 29662, 30104, 31380, 33355, 34244, 35512, 36423, 38780, 42145, 43406, 44156, 45542, 46328, 47171, 48156, 48783, 49100, 49611, 49877]"
28,sea_gradual_50K_2,HT_EDDM_F,0.9433388667773356,0.872974090485467,00:00:04,152.42 KB,"[3861, 7587, 10498, 14031, 14178, 18162, 20014, 20798, 23007, 27056, 29822, 30301, 31909, 32061, 34575, 38332, 40283]"
29,sea_gradual_50K_2,HT_GMA_F,0.9317186343726874,0.8473496053538144,00:00:04,416.56 KB,[]
30,sea_gradual_50K_2,HT_HDDMA_F,0.9550591011820236,0.899732733169693,00:00:05,132.15 KB,"[11191, 20332, 30257, 31853, 32028, 34441, 37907]"
31,sea_gradual_50K_2,HT_HDDMW_F,0.9317186343726874,0.8473496053538144,00:00:05,420.14 KB,[]
32,sea_gradual_50K_2,HT_KSWIN1_F,0.9317186343726874,0.8473496053538144,00:00:17,417.38 KB,[]
33,sea_gradual_50K_2,HT_KSWIN51_F,0.9317186343726874,0.8473496053538144,00:00:17,417.38 KB,[]
34,sea_gradual_50K_2,HT_KSWIN101_F,0.9317186343726874,0.8473496053538144,00:00:14,417.38 KB,[]
35,sea_gradual_50K_2,HT_KSWIN151_F,0.9317186343726874,0.8473496053538144,00:00:14,417.38 KB,[]
36,sea_gradual_50K_2,HT_KSWIN201_F,0.9317186343726874,0.8473496053538144,00:00:14,417.38 KB,[]
37,sea_gradual_50K_2,HT_PH_F,0.9431188623772475,0.8736702286297963,00:00:04,312.75 KB,"[22423, 31096]"
38,sea_gradual_50K_2,HT_RDDM_F,0.9431388627772556,0.8710747829457026,00:00:05,88.26 KB,"[3591, 6916, 10158, 13549, 13708, 17244, 20018, 20582, 24350, 24624, 25427, 27361, 27604, 30041, 32204, 32355, 33990, 37492, 37726, 40370, 43677, 47042, 47550, 47722]"
39,sea_gradual_50K_2,HT_STEPD_F,0.9449188983779676,0.8755378328409982,00:00:11,67.54 KB,"[3418, 4209, 4271, 6528, 7582, 9675, 10412, 11892, 13574, 16454, 18169, 19270, 22648, 25428, 28839, 29756, 30116, 33355, 34530, 36266, 39639, 42970, 44181, 46500, 46598, 46658, 47556, 49633]"
40,sea_gradual_50K_4,NoChange_basic_F,0.5606712134242685,0.021531099344581254,00:00:01,723 B,[]
41,sea_gradual_50K_4,MajClass_basic_F,0.6596731934638693,-4.000004917970115e-05,00:00:01,829 B,[]
42,sea_gradual_50K_4,HT_basic_F,0.9321586431728635,0.8462978082013345,00:00:03,362.16 KB,[]
43,sea_gradual_50K_4,HT_ADWIN_F,0.9432188643772875,0.8711415154749149,00:00:07,36.93 KB,"[7167, 16383, 23455, 30975, 32831, 41535, 48543]"
44,sea_gradual_50K_4,HT_BOCD_F,0.9419188383767675,0.867775305361282,01:26:10,454.58 MB,"[7083, 12690, 20380, 27694, 30623, 37584, 44543]"
45,sea_gradual_50K_4,HT_CUSUM_F,0.9475189503790076,0.8812735666390004,00:00:04,116.66 KB,"[11975, 20843, 30490, 40898]"
46,sea_gradual_50K_4,HT_DDM_F,0.9394987899757995,0.8617613566767759,00:00:04,117.42 KB,"[3710, 3825, 11970, 12044, 15784, 15839, 19752, 30384, 41223, 41284, 45214, 45346]"
47,sea_gradual_50K_4,HT_ECDD_F,0.9359187183743675,0.855410964069043,00:00:05,34.14 KB,"[1078, 1431, 1724, 2744, 4266, 5163, 6034, 6840, 7336, 7705, 8830, 9462, 9918, 10571, 11187, 11647, 12697, 13695, 14177, 14869, 15216, 15961, 16821, 17387, 17782, 18833, 20059, 20620, 20863, 21538, 22088, 22752, 23096, 24550, 25396, 26159, 26878, 28029, 29396, 30071, 30180, 30966, 32080, 34290, 34834, 36036, 37170, 38402, 39697, 41284, 42760, 42889, 44056, 45179, 46295, 46796, 47048, 47352, 47721, 48839, 49474, 49880]"
48,sea_gradual_50K_4,HT_EDDM_F,0.9476189523790476,0.8817202940161526,00:00:04,142.05 KB,"[3536, 7216, 10050, 20887, 30621, 34321, 38101, 40458]"
49,sea_gradual_50K_4,HT_GMA_F,0.9321586431728635,0.8462978082013345,00:00:04,364.61 KB,[]
50,sea_gradual_50K_4,HT_HDDMA_F,0.9498989979799596,0.8863178171543803,00:00:05,142.22 KB,"[3405, 20805, 30413, 34231, 38126]"
51,sea_gradual_50K_4,HT_HDDMW_F,0.9321586431728635,0.8462978082013345,00:00:05,391.59 KB,[]
52,sea_gradual_50K_4,HT_KSWIN1_F,0.9321586431728635,0.8462978082013345,00:00:17,365.36 KB,[]
53,sea_gradual_50K_4,HT_KSWIN51_F,0.9321586431728635,0.8462978082013345,00:00:17,365.36 KB,[]
54,sea_gradual_50K_4,HT_KSWIN101_F,0.9321586431728635,0.8462978082013345,00:00:16,365.36 KB,[]
55,sea_gradual_50K_4,HT_KSWIN151_F,0.9321586431728635,0.8462978082013345,00:00:16,365.36 KB,[]
56,sea_gradual_50K_4,HT_KSWIN201_F,0.9321586431728635,0.8462978082013345,00:00:16,365.36 KB,[]
57,sea_gradual_50K_4,HT_PH_F,0.9424588491769835,0.8715067023904532,00:00:04,234.54 KB,[31376]
58,sea_gradual_50K_4,HT_RDDM_F,0.9454589091781835,0.875295850962605,00:00:04,111.7 KB,"[3531, 4037, 4178, 20572, 20713, 21658, 28029, 29792, 29993, 30225, 33664, 37174, 40466, 41117, 41278, 41452, 41778, 42239, 42629, 46245, 46857]"
59,sea_gradual_50K_4,HT_STEPD_F,0.9415188303766076,0.8651626563049701,00:00:10,67.59 KB,"[1440, 3094, 4392, 6301, 6844, 8848, 9477, 12883, 13309, 13369, 14893, 17173, 19329, 19466, 22888, 23319, 26706, 29988, 33250, 34314, 37691, 39756, 41458, 41765, 43110, 44408, 46317, 46860, 48864, 49489]"
60,sea_gradual_50K_6,NoChange_basic_F,0.5580911618232365,0.0316824296332558,00:00:00,715 B,[]
61,sea_gradual_50K_6,MajClass_basic_F,0.6476929538590772,0.0,00:00:01,821 B,[]
62,sea_gradual_50K_6,HT_basic_F,0.9318386367727355,0.8484404374536203,00:00:03,427.95 KB,[]
