generator;drift_type;size;classifier;detector;accuracy_mean;accuracy_conf;cohen_kappas_mean;cohen_kappas_conf;time_mean;time_conf;memory_mean;memory_conf;drifts_mean;drifts_conf
sea;abrupt;100K;NB;basic;0.9162;0.0006;0.8074;0.0016;9.2333;0.3883;22298.624;201.0543;0.0;0.0
sea;gradual;100K;NB;basic;0.9162;0.0006;0.8074;0.0016;8.0;0.3397;22200.32;0.0;0.0;0.0
sea;abrupt;100K;HT;basic;0.9356;0.0006;0.8582;0.0014;9.0;0.0;615374.848;18196.1832;0.0;0.0
sea;gradual;100K;HT;basic;0.9356;0.0006;0.8581;0.0014;7.0667;0.0947;613462.3573;15781.314;0.0;0.0
sea;abrupt;100K;NoChange;basic;0.5569;0.0012;0.0235;0.0018;2.0;0.0;624.6;25.3859;0.0;0.0
sea;gradual;100K;NoChange;basic;0.5567;0.0012;0.0231;0.0019;1.9333;0.0947;531.0;0.0;0.0;0.0
sea;abrupt;100K;MajClass;basic;0.652;0.0015;-0.0;0.0;2.7;0.174;730.6;25.3859;0.0;0.0
sea;gradual;100K;MajClass;basic;0.652;0.0015;-0.0;0.0;2.0;0.0;637.0;0.0;0.0;0.0
sea;abrupt;100K;BOLE;basic;0.9701;0.0003;0.9343;0.0006;63.38;1.8638;19742379.2128;105266.7879;0.0;0.0
sea;abrupt;100K;BOLE;ADWIN;0.946;0.0002;0.8802;0.0005;114.3667;3.2295;499720.8747;13953.4349;0.0;0.0
sea;abrupt;100K;BOLE;CUSUM;0.9722;0.0002;0.9387;0.0004;81.8333;2.2734;1104524.5611;44169.5116;0.0;0.0
sea;abrupt;100K;BOLE;DDM;0.9615;0.0004;0.9147;0.0008;85.18;2.4131;1781494.3744;115687.8144;0.0;0.0
sea;abrupt;100K;BOLE;ECDD;0.8841;0.0003;0.7412;0.0006;89.86;2.6912;763436.9195;5647.257;0.0;0.0
sea;abrupt;100K;BOLE;EDDM;0.9345;0.0012;0.8542;0.0026;74.2;2.0807;1224972.6976;65153.2567;0.0;0.0
sea;abrupt;100K;BOLE;GMA;0.9701;0.0003;0.9343;0.0006;86.5933;2.5163;19758946.7136;105210.2793;0.0;0.0
sea;abrupt;100K;BOLE;HDDMA;0.8991;0.0003;0.7747;0.0006;96.7933;2.9064;639902.1739;6851.8534;0.0;0.0
sea;abrupt;100K;BOLE;HDDMW;0.9265;0.0004;0.8364;0.0009;96.5867;2.8953;545167.6331;10490.302;0.0;0.0
sea;abrupt;100K;BOLE;KSWIN;0.9489;0.0001;0.8867;0.0003;358.3333;4.9261;622027.735;10645.4455;0.0;0.0
sea;abrupt;100K;BOLE;PH;0.9837;0.0001;0.9641;0.0002;77.24;2.2034;4419747.84;143563.4429;0.0;0.0
sea;abrupt;100K;BOLE;RDDM;0.9355;0.0007;0.8567;0.0015;84.6333;2.3432;1327077.7856;25854.3795;0.0;0.0
