generator;drift_type;size;classifier;detector;accuracy_mean;accuracy_conf;cohen_kappas_mean;cohen_kappas_conf;time_mean;time_conf;memory_mean;memory_conf;drifts_mean;drifts_conf
sea;abrupt;1M;NB;basic;0.9164;0.0003;0.808;0.0009;91.5;7.5273;22495.232;667.1373;0.0;0.0
sea;gradual;1M;NB;basic;0.9164;0.0003;0.808;0.0009;90.1;8.4874;22200.32;0.0;0.0;0.0
sea;abrupt;1M;HT;basic;0.9404;0.0004;0.8692;0.0009;77.0;0.3372;3056599.04;89122.7887;0.0;0.0
sea;gradual;1M;HT;basic;0.9403;0.0004;0.869;0.001;84.7;7.7711;3052404.736;93183.0501;0.0;0.0
sea;abrupt;1M;NoChange;basic;0.5567;0.0008;0.0234;0.0011;25.2;2.2822;703.0;17.3268;0.0;0.0
sea;gradual;1M;NoChange;basic;0.5567;0.0008;0.0234;0.0012;23.8;2.154;623.0;17.3268;0.0;0.0
sea;abrupt;1M;MajClass;basic;0.6518;0.0008;-0.0;0.0;29.9;2.5111;809.0;17.3268;0.0;0.0
sea;gradual;1M;MajClass;basic;0.6518;0.0008;-0.0;0.0;28.2;2.519;729.0;17.3268;0.0;0.0
sea;abrupt;1M;BOLE;basic;0.981;0.0004;0.9581;0.0009;653.2;15.6029;141602848.768;6107945.816;0.0;0.0
sea;abrupt;1M;BOLE;ADWIN;0.9465;0.0004;0.8813;0.001;1122.0;26.4564;872698.88;61235.4081;0.0;0.0
sea;abrupt;1M;BOLE;CUSUM;0.9826;0.0008;0.9617;0.0018;793.4;23.6349;1835008.0;280061.928;0.0;0.0
sea;abrupt;1M;BOLE;DDM;0.9818;0.0013;0.9598;0.0028;812.7;19.0555;6683623.424;2016101.337;0.0;0.0
sea;abrupt;1M;BOLE;ECDD;0.8837;0.0003;0.7405;0.0007;873.0;28.8281;4233101.312;25754.8559;0.0;0.0
sea;abrupt;1M;BOLE;EDDM;0.9804;0.0016;0.9567;0.0035;727.2;27.6744;11695816.704;3214533.4072;0.0;0.0
sea;abrupt;1M;BOLE;GMA;0.981;0.0004;0.9581;0.0009;899.6;38.5795;141619625.984;6106296.0452;0.0;0.0
sea;abrupt;1M;BOLE;HDDMA;0.899;0.0003;0.7747;0.0007;955.0;54.9507;3069181.952;43170.037;0.0;0.0
sea;abrupt;1M;BOLE;HDDMW;0.9278;0.0006;0.8395;0.0014;931.1;40.7348;1650458.624;51388.1978;0.0;0.0
sea;abrupt;1M;BOLE;PH;0.9938;0.0001;0.9864;0.0002;748.8;30.0143;10003415.04;868785.6326;0.0;0.0
sea;abrupt;1M;BOLE;RDDM;0.9494;0.0018;0.8877;0.004;827.3;26.3618;2555379.712;227849.3101;0.0;0.0
sea;abrupt;1M;BOLE;STEPD;0.9064;0.0002;0.7912;0.0007;1475.8;30.8052;3156213.76;38735.3116;0.0;0.0
sea;abrupt;1M;BOLE;KSWIN;0.9578;0.0008;0.9066;0.0017;4045.02;67.3683;1575380.5824;83089.1686;0.0;0.0
sea;abrupt;1M;HT;ADWIN;0.95;0.0004;0.8881;0.0009;140.7;0.9568;90035.2;28967.6683;132.4;2.9821
sea;abrupt;1M;HT;CUSUM;0.9869;0.0002;0.971;0.0005;98.7;0.4828;605468.672;27970.1343;4.7;0.5889
sea;abrupt;1M;HT;DDM;0.9853;0.0011;0.9676;0.0023;99.3;0.4828;617027.584;26605.1647;24.2;11.3499
sea;abrupt;1M;HT;ECDD;0.9377;0.0003;0.8614;0.0007;112.0;0.4769;94855.168;5923.7233;1208.0;12.7522
sea;abrupt;1M;HT;EDDM;0.9803;0.0022;0.9564;0.0049;91.0;0.3372;623960.064;39951.5153;48.2;22.5102
sea;abrupt;1M;HT;GMA;0.9404;0.0004;0.8692;0.0009;97.0;0.4769;3057647.616;90026.6197;0.0;0.0
sea;abrupt;1M;HT;HDDMA;0.9871;0.0003;0.9715;0.0008;112.5;0.6952;619283.456;19070.6833;5.3;0.9568
sea;abrupt;1M;HT;HDDMW;0.9633;0.0049;0.9199;0.0104;110.4;0.8397;1452381.184;292015.6099;1.2;0.3016
sea;abrupt;1M;HT;KSWIN;0.9404;0.0001;0.8692;0.0004;341.62;0.8057;3057647.616;34274.8572;0.0;0.0
