,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,sine_abrupt_100K_0,BOLE_BOCD_F,0.9137191371913719,0.8274006030342355,01:32:25,207.49 MB,[]
1,sine_abrupt_100K_2,BOLE_BOCD_F,0.9124491244912449,0.8248391445516274,01:17:55,133.83 MB,[]
2,sine_abrupt_100K_4,BOLE_BOCD_F,0.9127791277912779,0.8255152325538931,01:23:53,193.74 MB,[]
3,sine_abrupt_100K_6,BOLE_BOCD_F,0.9166591665916659,0.8332837413185505,01:28:59,253.57 MB,[]
4,sine_abrupt_100K_8,BOLE_BOCD_F,0.9142891428914289,0.8285240433719717,01:27:32,164.69 MB,[]
5,sine_abrupt_100K_10,BOLE_BOCD_F,0.9137491374913749,0.82743340840586,01:25:16,269.44 MB,[]
6,sine_abrupt_100K_12,BOLE_BOCD_F,0.9137791377913779,0.8275203499125451,01:25:15,125.27 MB,[]
7,sine_abrupt_100K_14,BOLE_BOCD_F,0.9139791397913979,0.8279022076066079,01:21:49,136.44 MB,[]
8,sine_abrupt_100K_16,BOLE_BOCD_F,0.9127691276912769,0.8254794924019537,01:20:04,342.73 MB,[]
9,sine_abrupt_100K_18,BOLE_BOCD_F,0.9126991269912699,0.8253443392692215,01:18:25,216.94 MB,[]
10,sine_abrupt_100K_20,BOLE_BOCD_F,0.916179161791618,0.8323211760617244,01:17:00,111.35 MB,[]
11,sine_abrupt_100K_22,BOLE_BOCD_F,0.9130691306913069,0.8261009165901053,01:19:26,224.93 MB,[]
12,sine_abrupt_100K_24,BOLE_BOCD_F,0.91089910899109,0.8217420665192252,01:22:09,224.02 MB,[]
13,sine_abrupt_100K_26,BOLE_BOCD_F,0.908269082690827,0.8165087342068829,01:21:20,310.47 MB,[]
14,sine_abrupt_100K_28,BOLE_BOCD_F,0.9115591155911559,0.8230664812510219,01:19:56,84.65 MB,[]
15,sine_abrupt_100K_30,BOLE_BOCD_F,0.9124891248912489,0.8249309432339669,01:22:47,151.21 MB,[]
16,sine_abrupt_100K_32,BOLE_BOCD_F,0.912619126191262,0.8252050366723761,01:30:13,273.76 MB,[]
17,sine_abrupt_100K_34,BOLE_BOCD_F,0.9140891408914089,0.8281359561329036,01:20:20,115.9 MB,[]
18,sine_abrupt_100K_36,BOLE_BOCD_F,0.913669136691367,0.827284715737222,01:22:09,194.26 MB,[]
19,sine_abrupt_100K_38,BOLE_BOCD_F,0.9147991479914799,0.8295425627012015,01:23:20,141.64 MB,[]
20,sine_abrupt_100K_40,BOLE_BOCD_F,0.9161891618916189,0.8323429995742287,01:22:12,148.51 MB,[]
21,sine_abrupt_100K_42,BOLE_BOCD_F,0.9156591565915659,0.8312717615315545,01:19:23,118.48 MB,[]
22,sine_abrupt_100K_44,BOLE_BOCD_F,0.9144391443914439,0.8288175630467789,01:27:05,289.05 MB,[]
23,sine_abrupt_100K_46,BOLE_BOCD_F,0.91109911099111,0.8221536093010191,01:30:01,209.05 MB,[]
24,sine_abrupt_100K_48,BOLE_BOCD_F,0.9116291162911629,0.8232307862972988,01:27:45,278.33 MB,[]
25,sine_abrupt_100K_50,BOLE_BOCD_F,0.9096790967909679,0.819326745237258,01:32:51,412.71 MB,[]
26,sine_abrupt_100K_52,BOLE_BOCD_F,0.9146191461914619,0.829188140317556,01:24:04,61.16 MB,[]
27,sine_abrupt_100K_54,BOLE_BOCD_F,0.9122491224912249,0.8244341030341873,01:22:58,190.51 MB,[]
28,sine_abrupt_100K_56,BOLE_BOCD_F,0.9119691196911969,0.8239084481989415,01:14:39,228.95 MB,[]
29,sine_abrupt_100K_58,BOLE_BOCD_F,0.915129151291513,0.830219174060379,01:30:55,538.56 MB,[]
